date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,0.5867861767,0.5109284249,0.5837983681,0.4668513065,0.4873825549,0.446578447,0.4413312735,0.5317290676,0.6194325017,0.8345619458
08/1963,0.4999495456,0.5530297477,0.4672394955,0.4126385852,0.4428005114,0.555972318,0.5318620716,0.4843572425,0.7225625247,0.8008117068
09/1963,0.6403395713,0.4660572237,0.5132344372,0.4460135443,0.4711192754,0.4398216698,0.4709632824,0.4814744636,0.5929849092,0.8568758705
10/1963,0.6522304207,0.5306268337,0.5059879649,0.4524711411,0.3843639462,0.527716416,0.5583079935,0.5977803548,0.5206356378,0.5934945044
11/1963,0.4329236635,0.3975339838,0.386339657,0.507092046,0.4058195954,0.5180003407,0.5788417138,0.555460754,0.5179629641,0.7558424415
12/1963,0.5696355782,0.5098578193,0.5817690248,0.4486604794,0.4028812597,0.3464106555,0.4380370463,0.662307896,0.5922991131,0.732469808
01/1964,0.5138254095,0.4843937519,0.4828355659,0.4160030963,0.4987493672,0.4419678307,0.5944465022,0.5312754948,0.6696290065,0.5987053604
02/1964,0.4242839737,0.498077706,0.4241291554,0.430943339,0.4685486125,0.3880190504,0.5606775835,0.6199222188,0.6418134736,0.5905758008
03/1964,0.4486902529,0.6681384554,0.4440839073,0.4553708372,0.4998408002,0.4659772248,0.3845054206,0.4388628246,0.444022442,0.5999003964
04/1964,0.6220160634,0.4734242804,0.5968222706,0.4420941035,0.4263790779,0.4213323755,0.4329181643,0.405888671,0.4700383342,0.7677586738
05/1964,0.5905788336,0.563492532,0.4862937197,0.3455473478,0.4762989506,0.3665074693,0.5200470854,0.4121493205,0.5350720377,0.7469671147
06/1964,0.4987722171,0.6046218243,0.4403398747,0.3596973742,0.4055029542,0.4406582636,0.3996775376,0.5737603214,0.6275849798,0.5929001218
07/1964,0.6214147322,0.5093123349,0.4754074877,0.4838432707,0.5119164167,0.3991052455,0.3728689227,0.6309186622,0.557118755,0.6734646404
08/1964,0.5544191179,0.5004618802,0.4603121357,0.3613768749,0.4064085163,0.4924336492,0.4737968912,0.4773485672,0.7169049224,0.5767608488
09/1964,0.5702782553,0.5252240279,0.51418132,0.4520226858,0.3775077731,0.3956697917,0.5497698174,0.5600665176,0.4965933224,0.5066353489
10/1964,0.5742319664,0.5748442438,0.5492610986,0.4687376398,0.3020892125,0.4119836485,0.4712178237,0.52020575,0.4894877782,0.5193507075
11/1964,0.5752776353,0.4249709965,0.51299318,0.4687762778,0.3720146819,0.4106949816,0.4522257717,0.481511447,0.493994401,0.573911215
12/1964,0.5730876469,0.4369059567,0.3795919902,0.39166629,0.3575597156,0.4036658567,0.5196534126,0.5912959312,0.5914601415,0.7435601608
01/1965,0.414024494,0.4696143545,0.3771777539,0.4048302054,0.3747832198,0.4007540991,0.5479311218,0.6284917827,0.4965999494,0.7064478303
02/1965,0.6916227166,0.4132972135,0.4282544356,0.453470275,0.2738285783,0.6037887501,0.4337011218,0.4683079252,0.3918353892,0.4897728283
03/1965,0.4912633561,0.4629568913,0.4995580243,0.4332748009,0.3974893695,0.3910263439,0.450520096,0.4548484965,0.457752463,0.4705050747
04/1965,0.5273121327,0.3766687165,0.558096668,0.5309313392,0.3935521303,0.382421912,0.4565699936,0.4453427949,0.4434951045,0.4934963068
05/1965,0.4444891462,0.4413918027,0.3771152544,0.3651201344,0.4660286505,0.3937448513,0.4989010311,0.4832988736,0.412546102,0.5937769958
06/1965,0.4808005657,0.4224071168,0.4482547303,0.4249901364,0.3111971142,0.4484329445,0.3896337333,0.6157361985,0.6058970267,0.7142493597
07/1965,0.6614665601,0.4004793262,0.4113524134,0.4614124784,0.4265309145,0.5709987554,0.5499935206,0.6013004959,0.597544029,0.7049557861
08/1965,0.5566473222,0.5891763192,0.5513215027,0.438624272,0.3510874329,0.4466610973,0.6004016082,0.4681213941,0.5089547258,0.5421923573
09/1965,0.483674767,0.4824987756,0.3568058364,0.5216294614,0.3291876135,0.5730670118,0.4688936309,0.4496443087,0.5724701838,0.597935886
10/1965,0.4566664427,0.4195624866,0.3411982915,0.4209273935,0.4150953053,0.5642837792,0.4600849155,0.500485499,0.6013503907,0.6539367474
11/1965,0.4834314896,0.456019834,0.4905262994,0.4223668208,0.385719446,0.5103969879,0.3741272493,0.3994751625,0.5057314485,0.4889873996
12/1965,0.4918800509,0.4688256966,0.3548931359,0.3646004267,0.4997897946,0.3446812488,0.4507757778,0.4635912982,0.4900890388,0.6793707269
01/1966,0.5671811065,0.625276765,0.4752780606,0.427496524,0.3929748464,0.4480140581,0.3761623691,0.4919830829,0.4488378031,0.3828257028
02/1966,0.5807501275,0.4818221996,0.4408279091,0.3907286819,0.469889857,0.3813170321,0.4565013304,0.4128551282,0.4813821655,0.4976103877
03/1966,0.3195454412,0.4928525298,0.471938565,0.4347960895,0.4880835761,0.4204174071,0.4370313561,0.4314918177,0.4920668914,0.40457201
04/1966,0.3603862733,0.4606810593,0.466789065,0.4401139976,0.3358584742,0.5525410099,0.6061694487,0.4685856959,0.4969151023,0.7489890833
05/1966,0.4240406653,0.3909449511,0.4784714866,0.3998841248,0.4008607509,0.4678991491,0.4186965167,0.5716110306,0.6370751018,0.5562096097
06/1966,0.46176578,0.4449089453,0.443319218,0.4951927565,0.4775899093,0.4686027451,0.5173911034,0.5353464258,0.5453482561,0.5791873787
07/1966,0.5283630187,0.5171297192,0.4835442676,0.4147939271,0.6035510225,0.4132949603,0.4391452472,0.6222244741,0.6370684295,0.5626338331
08/1966,0.4518925012,0.4856000256,0.5303920299,0.587908245,0.6468766534,0.4610939318,0.5579956601,0.435282082,0.5691690225,0.5627404371
09/1966,0.5410329183,0.5993416395,0.7475811206,0.534728877,0.4692419961,0.4462362564,0.6525206352,0.6243811765,0.5581591347,0.6909988937
10/1966,0.5440316473,0.5343867197,0.5129470385,0.4401534908,0.4540621954,0.6738008169,0.580908909,0.5536071197,0.6830448248,0.7617990534
11/1966,0.5392659871,0.4712321584,0.5270415456,0.5635453652,0.5293880771,0.4795833637,0.5710417902,0.6224313125,0.5558706659,0.5519461483
12/1966,0.4309815524,0.3833356906,0.6036666248,0.3681791892,0.5209882237,0.5504056684,0.7233084838,0.5173449949,0.8141464706,0.756387924
01/1967,0.5039611282,0.557309874,0.4210624592,0.4663505635,0.6482779206,0.4699647057,0.5871340551,0.5906112314,0.4792129014,0.5761699038
02/1967,0.5993659523,0.7103248268,0.5472700791,0.6997998359,0.5848619341,0.5446447204,0.471566136,0.3528201025,0.5757145945,0.3752912803
03/1967,0.517772517,0.4069163454,0.4787594773,0.5449099598,0.3803972915,0.4755449739,0.5569498446,0.6052200416,0.5877774195,0.5132941057
04/1967,0.4166193102,0.5373808552,0.4791473545,0.5795572814,0.4396142018,0.428920193,0.550344226,0.5358829953,0.4255784857,0.5130449458
05/1967,0.4224989065,0.3499728467,0.3816601223,0.493924484,0.5895469757,0.5912767631,0.5950570886,0.4582694386,0.5760238693,0.5963871471
06/1967,0.4358901108,0.6187782655,0.4532615777,0.541067022,0.5051266266,0.4524575094,0.5676808021,0.4133332526,0.5281256381,0.5400167153
07/1967,0.4717327353,0.4939745715,0.5390412417,0.5661119336,0.6105068044,0.4366483871,0.4818094464,0.4320052369,0.5472731037,0.4988947389
08/1967,0.4659745519,0.4118702879,0.6052047687,0.4884406942,0.4033835606,0.4234833904,0.4676518937,0.576922892,0.6307272765,0.4489684246
09/1967,0.4978005538,0.5392472023,0.585950909,0.4942711306,0.4356985118,0.4642569118,0.5088437512,0.4295915544,0.6112833736,0.5117806032
10/1967,0.434160761,0.4220588737,0.4991620353,0.4445620871,0.4835531575,0.5012010243,0.5946353499,0.4581523967,0.4895529036,0.4420245648
11/1967,0.3530785666,0.4695931776,0.508755978,0.5999895793,0.3381039596,0.4251458023,0.5643260886,0.5443796015,0.6356269698,0.4889158122
12/1967,0.4221180797,0.4116797889,0.4946772054,0.46018526,0.6065407837,0.5637992352,0.5768571288,0.4673424299,0.5393520096,0.5437952205
01/1968,0.4409508044,0.4667128538,0.497051741,0.4356242313,0.5755501828,0.4790380432,0.5173139465,0.6211285534,0.4334800214,0.3938384878
02/1968,0.5398794433,0.6351414151,0.4899475366,0.5646757126,0.5399689332,0.5403607908,0.3925725911,0.4089600876,0.5037877868,0.4786983856
03/1968,0.4988596088,0.4638443539,0.5948928551,0.4030875044,0.6325684356,0.4816910149,0.5229341503,0.5220314595,0.52264094,0.4860350968
04/1968,0.3474072777,0.4395468859,0.4507040871,0.5143102233,0.5440234645,0.5943460283,0.6586714187,0.5771330375,0.6366698601,0.4985369128
05/1968,0.4097096994,0.5916312231,0.4330182405,0.4172024244,0.3894824585,0.4405572487,0.6579261045,0.5863713681,0.5857911869,0.6350441389
06/1968,0.3546657973,0.4084609519,0.441020308,0.4907601853,0.4554397206,0.6385632531,0.5290345871,0.5674632766,0.477084788,0.4324417842
07/1968,0.4840518605,0.5377120832,0.5318813465,0.429589825,0.5477635887,0.5070917098,0.5395545033,0.4654043255,0.5295305104,0.368555567
08/1968,0.5019734158,0.6275069045,0.4644455107,0.6399607717,0.336824671,0.5828677628,0.4640837503,0.5364792263,0.4676799499,0.377767258
09/1968,0.4749285208,0.5655415467,0.5612286908,0.3620628051,0.5147611767,0.4151363318,0.5862852642,0.5209103056,0.4982812666,0.4581294421
10/1968,0.375036757,0.534837688,0.6362421952,0.4516274683,0.4178444437,0.4357198411,0.4729609527,0.4920358413,0.4118958844,0.433292934
11/1968,0.3881937559,0.4684603345,0.5623716701,0.4979759387,0.478878805,0.6057994819,0.3209605866,0.3869294868,0.4760520817,0.3737491617
12/1968,0.3756510503,0.448229849,0.4165572682,0.4601894154,0.5771095512,0.2853991515,0.4511288497,0.4060566132,0.5123157516,0.5556702601
01/1969,0.4442003188,0.4613585352,0.4959024795,0.5410584987,0.5763052901,0.4059113244,0.3704433868,0.3920153195,0.4856475692,0.3884920009
02/1969,0.5187285695,0.4231794399,0.4738473145,0.5357898046,0.4387934142,0.2689252986,0.4967614936,0.5228174275,0.4201606611,0.4409872117
03/1969,0.3697874947,0.475573953,0.3331733928,0.6028835949,0.4374755476,0.596672437,0.5166490486,0.4904525668,0.4434083359,0.4328308798
04/1969,0.3971076116,0.5052420498,0.3698470288,0.4595796327,0.4320692311,0.480403222,0.5990737392,0.4944596672,0.4658524883,0.5407171967
05/1969,0.3852683184,0.3750307774,0.5003928805,0.4147289054,0.3818096519,0.4607428921,0.5471027922,0.5206810214,0.6092079142,0.4407099081
06/1969,0.4197468368,0.4308572678,0.5058472026,0.4248492137,0.4657926143,0.4506162801,0.4806039553,0.4543925421,0.4010665232,0.4642184905
07/1969,0.4349083824,0.4769479548,0.4271024954,0.5979070507,0.6143681569,0.5197493768,0.5790470884,0.6246142194,0.5245650823,0.5645818327
08/1969,0.5513106581,0.5564209291,0.6274997455,0.5326648151,0.4642994649,0.5733637582,0.6045560288,0.6360641041,0.6383998954,0.7561049259
09/1969,0.4751516968,0.5084940599,0.4792314771,0.5071364757,0.4891929284,0.4688560839,0.5759058892,0.680856905,0.849772548,0.6412570833
10/1969,0.4173283049,0.6205613023,0.5115476556,0.4616944915,0.377082617,0.7100779601,0.5215578448,0.6244149117,0.8335875815,0.6461785834
11/1969,0.4810601566,0.4747942079,0.4859512702,0.5957064943,0.4491565302,0.5254125814,0.6032916279,0.4844148303,0.5403280306,0.5212070629
12/1969,0.4123653586,0.5705211635,0.5415276721,0.6263788694,0.4052666934,0.6178993705,0.567686728,0.6763368253,0.6830293313,0.6036110046
01/1970,0.3288034479,0.5699133583,0.5601950779,0.3701399771,0.7094969582,0.6072667651,0.6357240422,0.703462094,0.7723373313,0.744156257
02/1970,0.6925493439,0.8123669802,0.500153207,0.6727561296,0.7073431756,0.5116987747,0.4859506715,0.647875927,0.6621256286,0.6599367467
03/1970,0.5636271632,0.7065498199,0.5891568417,0.524790173,0.4342483175,0.6143048984,0.6632847401,0.6785598848,0.7417562443,0.5295454874
04/1970,0.516382234,0.728288767,0.6026759192,0.599521643,0.4732973576,0.47580473,0.6251551599,0.5815850663,0.5919556381,0.5993338557
05/1970,0.7850269601,0.5741435149,0.6948727852,0.5359605564,0.5106070783,0.6943333539,0.6686828744,0.6343739316,0.8144731693,0.6226541481
06/1970,0.6804846466,0.7770563582,0.8177209421,0.5291295387,0.5949025863,0.643788118,0.6474036389,0.6288170936,0.762770137,0.8502709726
07/1970,0.7046722068,0.6201041774,0.7443502249,0.7003283834,0.4734456972,0.9224408788,0.9382576422,0.9219740513,0.9496400984,1.343691215
08/1970,0.7692676307,0.718546674,0.6560076855,0.7525275017,0.6357162379,0.5557494599,0.7882039514,0.7770213599,0.7134703329,1.1204043243
09/1970,0.9751058926,0.7044080804,0.721157507,0.6050495354,0.5529696264,0.7273607816,0.635624537,0.7117959844,0.7624671431,0.8590760458
10/1970,0.7241022562,0.8495741177,0.7948525424,0.5792260707,0.6283770191,0.5250484046,0.6237361197,0.6255817109,0.6231968888,0.825126704
11/1970,0.6612124533,0.549808965,0.6137456467,0.645058265,0.5328704036,0.7061061977,0.7997780765,1.0370845805,0.8340874238,1.0497218385
12/1970,0.7388221666,0.6462788716,0.5732305124,0.5192506718,0.5945386926,0.5588846938,0.7218274691,0.9382532325,0.8857762278,0.9844779079
01/1971,0.7990200225,0.7024906644,0.684034321,0.6129804996,0.6767526717,0.5303340303,0.5269197685,0.5006206206,0.5900219559,0.5956222762
02/1971,0.9069424036,0.7001909857,0.4860052841,0.576837467,0.6266750151,0.5539781622,0.4679159299,0.5442761533,0.4897425329,0.7476154892
03/1971,0.5742867673,0.5255821391,0.5000832834,0.6028115173,0.6137204156,0.3709258399,0.4892417929,0.6289729113,0.8195398148,0.8032207769
04/1971,0.5118185654,0.4473639572,0.5335146635,0.5884977524,0.4265100408,0.4284559452,0.6640627263,0.7115889403,0.6586204155,0.681761478
05/1971,0.5219030315,0.5683951534,0.5339028207,0.5774641306,0.4012051284,0.4488687152,0.5139224489,0.6056825628,0.7154229546,0.6635106398
06/1971,0.5110100799,0.5365081832,0.532933479,0.4672039916,0.3809251076,0.7422409328,0.6224490367,0.641705205,0.6627573075,0.7508274027
07/1971,0.454617607,0.4495930711,0.6101212073,0.6508243124,0.5137641515,0.5688855739,0.5074725042,0.6836483144,0.5898860914,0.8033452593
08/1971,0.5569675133,0.5477023386,0.6111138828,0.6740942526,0.4372714314,0.590922546,0.5851909702,0.7337383682,0.5730040697,0.8847695614
09/1971,0.7790293835,0.5487080172,0.627781928,0.4178530993,0.4136849702,0.6142476433,0.6870506796,0.6977875013,0.5105728562,0.7046029056
10/1971,0.4878832553,0.5019620183,0.5762153518,0.4620138181,0.6247831111,0.5311523765,0.5459186526,0.6502362267,0.8414822752,0.8817874234
11/1971,0.7176781063,0.6870996515,0.4906134641,0.5130765761,0.5123164064,0.6231779969,0.6987732746,0.6773277768,0.6909410884,0.8161148941
12/1971,0.5875571576,0.5969240632,0.5409771531,0.4359585631,0.6371339468,0.6753341417,0.720915105,0.6716903129,0.8602498098,1.0180945241
01/1972,0.5698683516,0.6311322725,0.5599664449,0.5990624755,0.6048793377,0.4756297619,0.608725794,0.5217145493,0.6824963254,0.5506632563
02/1972,0.7034324052,0.501993736,0.5972529532,0.6956007075,0.5971103912,0.3638515579,0.5737356294,0.4089969901,0.6031035651,0.653946841
03/1972,0.4852093687,0.5371326071,0.3764392606,0.4217238653,0.400242192,0.6432138505,0.6158152903,0.8531896002,0.7272275842,0.7238591098
04/1972,0.4752513492,0.5354225471,0.4261361549,0.3974730023,0.7035724088,0.6378984106,0.6907494797,0.5499560322,0.5170978628,0.6081918305
05/1972,0.5201216987,0.5452524245,0.422814629,0.5955417704,0.3851676842,0.8316491232,0.5154750404,0.5855735278,0.5932898215,0.6683892821
06/1972,0.3795824872,0.500515305,0.4386085839,0.5051797257,0.4367956541,0.7402920179,0.6967585301,0.7128229562,0.8193707868,0.7359914271
07/1972,0.4771801891,0.4340746887,0.5971858449,0.6947615,0.4460904106,0.5405052147,0.7404614352,0.7547782687,0.5849216452,0.6714920143
08/1972,0.4662835549,0.5211609257,0.6799551505,0.4469046671,0.6117632466,0.6600180596,0.7590068904,0.6484049638,0.6348343561,0.6954220489
09/1972,0.7190460482,0.599699233,0.6085202874,0.6613768059,0.3416063466,0.5542821567,0.5664428365,0.4975826821,0.6802250396,0.6408252389
10/1972,0.6331905312,0.5835195462,0.4211807799,0.4092728861,0.6952751398,0.6502926838,0.7090015638,0.6573149585,0.71279652,0.5901341102
11/1972,0.5027059533,0.6242716752,0.6277389123,0.4679178246,0.6292798245,0.3808530908,0.7553268234,0.746624529,0.7772291955,0.8905614349
12/1972,0.8887125216,0.662526481,0.7017581121,0.5563791251,0.4383483981,0.5093671302,0.6068757613,0.3670117786,0.5003099663,0.612637507
01/1973,0.3996757245,0.5327939598,0.5266570951,0.435676691,0.4492850603,0.5954844917,0.552272484,0.6763056155,0.8102879845,0.8641786183
02/1973,0.5543877996,0.6336685671,0.5030856689,0.363857528,0.5885328615,0.5246278036,0.700477934,0.6525337756,0.5174333991,0.5732538174
03/1973,0.6295788716,0.6193584534,0.4307947092,0.5332498151,0.5842529451,0.6393086329,0.7244010995,0.7187053208,0.5637339138,0.757956418
04/1973,0.5909961454,0.6762219573,0.4686550267,0.4958068619,0.64839351,0.5915169757,0.6347235389,0.5573216659,0.5658709696,0.7080375248
05/1973,0.736377926,0.6676278128,0.6212798515,0.641209017,0.4882188166,0.4751726454,0.6495936434,0.7286215533,0.7054836503,0.608348948
06/1973,0.5263755157,0.4517750051,0.5490465136,0.5089894556,0.6483427264,0.8242729739,1.1497610448,0.8188209822,0.9831816995,0.9004731551
07/1973,0.6403135673,0.620451921,0.6401120668,0.4293431136,0.7517844048,0.8196329573,0.7227726132,0.8697681302,0.8507814681,0.8040115505
08/1973,0.5749487741,0.6223197766,0.643624927,0.6018271265,0.784090893,0.6273552243,0.4689115922,0.6125967387,0.8975443536,1.0170896081
09/1973,0.6566781151,0.587093068,0.6528540018,0.4624922417,0.6272882424,0.7351919582,0.6935758862,0.7144532019,0.7376277771,0.8853606217
10/1973,0.7188098113,0.7624932274,0.7098834918,0.7288987339,0.7196192483,0.652260015,0.5108341669,0.513035962,0.496462761,0.7309702558
11/1973,0.6788548725,0.5963872391,0.5415122726,0.414903319,0.5234632007,0.7833535515,0.7791813528,0.7068238595,0.8573261396,0.6470105808
12/1973,0.7896588407,0.5575201951,0.5977421212,0.4787004023,1.0663613487,0.8451372244,0.9832135271,0.9293551227,1.0120330334,0.8685448556
