date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
08/1963,0.5496740924,0.4604495197,0.3900801333,0.4567405133,0.4562892828,0.4881864538,0.5186601282,0.6485239535,0.4543244238,0.7372921458
09/1963,0.5324438747,0.4545098763,0.5298985052,0.4572688104,0.3874530201,0.5000298735,0.4389896569,0.5589826175,0.3738511587,0.6567698453
10/1963,0.7051150112,0.4102052688,0.4528371621,0.3644058616,0.4185981716,0.5021310784,0.5137949657,0.5520661131,0.6001925435,0.490077344
11/1963,0.3255753077,0.5228995664,0.4204590949,0.5264883378,0.372861258,0.4910607693,0.6634716378,0.4941180456,0.5130529327,0.758053546
12/1963,0.6504777761,0.4506342752,0.5221710538,0.4740845441,0.3884469017,0.3489177835,0.3768951386,0.615790571,0.6033235012,0.5996789505
01/1964,0.5018420891,0.5035746786,0.4126827248,0.4097765554,0.5306782726,0.3779434312,0.6058611288,0.644706411,0.5475238538,0.7659573855
02/1964,0.5043577819,0.395409696,0.427819376,0.4022577559,0.5987453453,0.3591532608,0.5532284755,0.5628703744,0.6157676063,0.7609282218
03/1964,0.6729629708,0.4065662136,0.450019791,0.502635272,0.4834237911,0.4568415175,0.3608345625,0.4412156591,0.4328640251,0.4921847303
04/1964,0.4865198722,0.6107134351,0.5008664225,0.3832850546,0.4643886006,0.4050705971,0.4197512538,0.4210058576,0.5078351793,0.7013242802
05/1964,0.5518243612,0.6301402227,0.34773456,0.3839559376,0.4905755949,0.3521989839,0.3837302502,0.4959020176,0.4381593468,0.6989488327
06/1964,0.5954226294,0.490181522,0.4984496903,0.2780006109,0.4142297626,0.4370165506,0.4780449506,0.3927997315,0.5217595551,0.6829824309
07/1964,0.555822204,0.4730790916,0.461851045,0.5419380877,0.5317230381,0.3649293735,0.3388171666,0.5274641389,0.5561253976,0.631414693
08/1964,0.4393426865,0.4229028249,0.3827207895,0.3446768617,0.5313351298,0.4959331116,0.4611076283,0.465618039,0.4866645743,0.7211629476
09/1964,0.5577808339,0.5077626622,0.5238775956,0.4216338919,0.3436727683,0.3804179278,0.5410462798,0.5642944721,0.5750800521,0.4438109432
10/1964,0.5876698079,0.5607052734,0.4650422041,0.3828551806,0.2526770424,0.4050305496,0.4529397939,0.478678436,0.5272328833,0.4274515376
11/1964,0.4190490013,0.494509965,0.4477658267,0.4870393624,0.356464095,0.323091252,0.482582714,0.433950166,0.4616828165,0.5595103609
12/1964,0.5486478808,0.3729944967,0.4156917822,0.3551275236,0.500353727,0.2756641018,0.4894714082,0.5594543987,0.5682088143,0.6788422813
01/1965,0.4089816854,0.3540529601,0.4310952629,0.3855493936,0.350576536,0.4492161081,0.3783997942,0.6495952933,0.5397336737,0.4823845836
02/1965,0.4567931402,0.4082216427,0.4485409366,0.3201782865,0.3842067252,0.4670837781,0.4338084335,0.4854511543,0.3677152751,0.391706568
03/1965,0.4310959872,0.4692769837,0.4784949055,0.416678208,0.3599158331,0.3983818629,0.4373143309,0.3834527531,0.4517543575,0.5003454995
04/1965,0.3915834557,0.5856293919,0.5734256107,0.3886495222,0.3229262511,0.4157297568,0.5001025872,0.3868142799,0.3935226117,0.4254405078
05/1965,0.3366515534,0.4608843469,0.3415759606,0.4664537039,0.4492225837,0.3937171651,0.5586680962,0.4145010166,0.4174898995,0.4720751092
06/1965,0.438814107,0.3718521221,0.5239056774,0.4605289831,0.3003604232,0.4170640043,0.3666459488,0.5945509777,0.4582599059,0.6973135125
07/1965,0.6540454226,0.5075339296,0.4157681909,0.3144265439,0.5483811328,0.3837821853,0.600043329,0.5917674034,0.516307394,0.6252999565
08/1965,0.5857595904,0.5546292195,0.372501341,0.5989409991,0.337134869,0.470061058,0.4572880823,0.4716818304,0.5183453235,0.4574768085
09/1965,0.4727724672,0.3467715324,0.504061852,0.5075789652,0.300168736,0.5787295105,0.434496756,0.5226579425,0.342444623,0.5795970977
10/1965,0.4792962703,0.3442952494,0.4658728879,0.2925040369,0.5256715135,0.5682151809,0.4155229322,0.5075309127,0.6011070767,0.5677415325
11/1965,0.4095838328,0.4890913067,0.4148929611,0.4249016813,0.4261259633,0.3753903728,0.398339083,0.3721669696,0.5277866211,0.4565156506
12/1965,0.4732393839,0.3291458004,0.363468875,0.4665863928,0.5130337375,0.2677241761,0.574985842,0.5697425594,0.3256000936,0.6733480284
01/1966,0.6943015411,0.4595388105,0.4014711613,0.3974228127,0.471312826,0.3831031027,0.3748801427,0.5042356245,0.5055244297,0.3441911234
02/1966,0.5229307235,0.4460958413,0.3947144004,0.4489633045,0.4752708296,0.4354317952,0.445981581,0.3559667581,0.5237576695,0.4463760647
03/1966,0.4599744229,0.4507507773,0.4470370711,0.474239079,0.4788282461,0.4144802638,0.4292010403,0.4146127221,0.4458098172,0.5092996804
04/1966,0.4805971147,0.4703345445,0.4598050798,0.4416772536,0.2899495465,0.5865647803,0.5271391097,0.6028017047,0.4533911881,0.64165815
05/1966,0.4740190921,0.3671228799,0.3822170577,0.3867063282,0.6172543115,0.3884111654,0.3878696284,0.655714387,0.6543005814,0.6453430183
06/1966,0.4729067642,0.47480038,0.4425083311,0.2930454183,0.6565659765,0.4945295593,0.5259608845,0.4409972266,0.5625356769,0.5547404428
07/1966,0.5858258288,0.601029448,0.4994486445,0.5565385374,0.572550602,0.392056644,0.3714305429,0.6232813482,0.6433913209,0.6049203168
08/1966,0.4507275891,0.5009791365,0.6665806739,0.5563341496,0.7736826853,0.4838134137,0.5997889666,0.431736878,0.6195530672,0.572670637
09/1966,0.5596316509,0.6145168363,0.8619989588,0.6387378366,0.5230939116,0.4718121986,0.4352459558,0.6339443649,0.6517732433,0.6770516681
10/1966,0.4969154006,0.5376165204,0.4354092428,0.4589201394,0.4323733874,0.7000203529,0.5670445297,0.4888321581,0.7317565749,0.8468390018
11/1966,0.554317465,0.4331491452,0.538599365,0.5668093084,0.6323997549,0.4318135097,0.6040121284,0.5866704612,0.6394037688,0.5157931438
12/1966,0.4418621339,0.4966446676,0.4499946729,0.4864698876,0.4052892249,0.6217928374,0.8152945915,0.4971608598,0.8005004298,0.749758595
01/1967,0.5328373084,0.3947986315,0.5801604321,0.5334398879,0.647296242,0.4567871277,0.5834776023,0.6118874138,0.4686543733,0.5566940612
02/1967,0.7370288217,0.7070911482,0.6324422169,0.6288687648,0.5621585394,0.3912566292,0.4387374834,0.4696626695,0.5894942799,0.3382854427
03/1967,0.3772724411,0.492612899,0.6171653255,0.4824777364,0.2908183609,0.5336433075,0.518362309,0.7034210574,0.687256293,0.5528602389
04/1967,0.3893580126,0.6671408926,0.5781872604,0.5373096784,0.3585289287,0.5469801766,0.5116193833,0.6522868627,0.4293746695,0.4292931297
05/1967,0.3695958777,0.3726616464,0.4415829215,0.47738425,0.6879711954,0.6079869032,0.5986934062,0.5087553289,0.5279860362,0.6242796034
06/1967,0.5273738803,0.5219107177,0.4365075663,0.6122125957,0.5939345215,0.433094438,0.6654119791,0.3965913225,0.472602943,0.5701752689
07/1967,0.4997742879,0.6146637324,0.5466247976,0.6423341491,0.415567634,0.5293749172,0.4412701897,0.4370655718,0.5746529235,0.503973352
08/1967,0.4154123931,0.6354782493,0.5176489141,0.3903888878,0.3700304985,0.4870288448,0.6520678799,0.4307367368,0.6718165169,0.4587026449
09/1967,0.4746284763,0.5338902158,0.6581246355,0.526797195,0.4436441982,0.3733870154,0.5941183998,0.488992525,0.4494227142,0.6360646904
10/1967,0.3919968943,0.5091550204,0.4855523043,0.4745125294,0.4453570256,0.4905281054,0.6514098674,0.4533538245,0.500856607,0.4687622175
11/1967,0.4003853261,0.5567872431,0.5389929175,0.5638304632,0.3596329416,0.3749703138,0.5687575301,0.5635398695,0.5381511799,0.6316222205
12/1967,0.4345540377,0.476851112,0.4864780664,0.5226125855,0.7184798335,0.5189130849,0.6212467072,0.4850282307,0.6294195685,0.5377423037
01/1968,0.4933847532,0.5386565931,0.4888633026,0.5821016855,0.6518277634,0.494666108,0.4702430955,0.6248158908,0.5103413738,0.3600804002
