date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,0.6787186156,0.5353617934,0.5565786564,0.4031278575,0.5285490032,0.5269463471,0.722440542,0.5332489619,1.026774825,0.742110276
08/1963,0.6865767143,0.5395468243,0.5429985578,0.4021245915,0.5337110721,0.5314510409,0.7350834367,0.5382606501,1.0352742705,0.7715539413
09/1963,0.6432786524,0.5127443656,0.5266215715,0.3854554228,0.5005192517,0.5017314111,0.689056204,0.5081266877,0.962805919,0.6926123478
10/1963,0.6749742166,0.5242524311,0.543634732,0.3840721073,0.5018637528,0.4995243415,0.7062165568,0.5209225928,0.9663235907,0.6806725938
11/1963,0.6800190378,0.5236671027,0.5286523808,0.3590199071,0.4918055563,0.4973854247,0.6964572328,0.4890449296,0.9445795696,0.6503987961
12/1963,0.6862509606,0.5252775912,0.5363368175,0.3649074981,0.496460142,0.5063146892,0.7078459024,0.4975941988,0.9519767761,0.6698453693
01/1964,0.6410841363,0.512043581,0.5156378259,0.4094249104,0.4823310894,0.4928878622,0.6879368679,0.4829222199,0.9390701487,0.6681399321
02/1964,0.6440507018,0.5081228852,0.4864558398,0.3920012802,0.4798512152,0.479125185,0.6781165627,0.466701964,0.9093173454,0.663556144
03/1964,0.6277499936,0.4892299325,0.4850881457,0.3867540293,0.4636255348,0.4721934955,0.6665977619,0.4708436016,0.8896202486,0.6225844446
04/1964,0.6204537343,0.4775320711,0.4756664716,0.3881634698,0.4550125215,0.4609907209,0.6402329046,0.446859165,0.8444970321,0.5996706304
05/1964,0.6011726503,0.459738627,0.469872334,0.3824932813,0.4595131254,0.4546269954,0.6493711861,0.4649698443,0.8723627396,0.5975507452
06/1964,0.5866278649,0.4561539994,0.4670330782,0.3822289862,0.4570088118,0.4455798368,0.6528101706,0.467081557,0.8450484726,0.5808981586
07/1964,0.5365399647,0.4843193193,0.340573149,0.48660518,0.4204766507,0.4919657542,0.4677838563,0.6541382785,0.7218981901,0.5577239716
08/1964,0.5214337351,0.4685849202,0.3321810858,0.488942754,0.4084268031,0.4863830948,0.457658341,0.6343668304,0.7061323721,0.5375625933
09/1964,0.5178133429,0.4816946403,0.3406154426,0.499333972,0.3596169982,0.4878378569,0.4649083782,0.655095146,0.7099964161,0.5334938748
10/1964,0.4991613324,0.4622199442,0.3268261893,0.4951423134,0.3505637063,0.4762341389,0.4483160784,0.633558784,0.6700433911,0.5230679081
11/1964,0.4939063373,0.4532782125,0.3183773256,0.4933848971,0.3487669369,0.4762445057,0.4481660285,0.6273548227,0.6744933509,0.5225831862
12/1964,0.4959058489,0.4523654968,0.3248269642,0.4991474508,0.3553951208,0.4731123984,0.4410950474,0.6249101023,0.6923019461,0.5174751688
01/1965,0.4732643031,0.459413304,0.3188066631,0.4811076709,0.3511348597,0.4701213583,0.4367619395,0.624877714,0.7121887751,0.519239551
02/1965,0.4512315034,0.4281350073,0.3123084286,0.4756454144,0.3394580601,0.4688997585,0.4151086866,0.5979065874,0.6780378957,0.4915692443
03/1965,0.4502283376,0.4447970643,0.3135191052,0.4744259412,0.3962369153,0.4549369229,0.4077715437,0.599714875,0.66337367,0.4841995502
04/1965,0.4576021295,0.4545095306,0.322456758,0.4839352582,0.3990720009,0.4619680035,0.4120930327,0.6046143744,0.6661541802,0.4839386454
05/1965,0.4325418147,0.4393400899,0.3131323236,0.4739539999,0.3780055315,0.4370486282,0.4015827761,0.5917611266,0.6513215363,0.4596979103
