date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,0.2897569905,0.4511286295,0.3649418191,0.4048502478,0.5453049285,0.6031855694,0.5352285068,0.6631725937,0.8253825226,0.8723276743
08/1963,0.2926272268,0.45716361,0.3649338247,0.4024360519,0.5406567057,0.6006177389,0.5375820282,0.6715499607,0.8353004812,0.8828934455
09/1963,0.2880349223,0.4287662316,0.3464554387,0.3828460424,0.5227717383,0.5744748377,0.5141013428,0.6380817286,0.786512654,0.8242080551
10/1963,0.287894716,0.4384130655,0.3494405,0.3955088776,0.5330670753,0.5880800522,0.5053032377,0.6505988169,0.7952466063,0.8363829839
11/1963,0.2679435305,0.4212656519,0.3239794668,0.3874005409,0.5233674044,0.57591351,0.4902387891,0.6396053144,0.7848963825,0.8238642448
12/1963,0.2746136441,0.4223337796,0.3461483949,0.391150069,0.5337393503,0.5796670343,0.4814173703,0.64599404,0.8034895718,0.840060599
01/1964,0.5186665118,0.4125196555,0.3386865849,0.3886290915,0.5134464104,0.5551959809,0.4747962156,0.6276616929,0.7840056551,0.8328603692
02/1964,0.5192890986,0.4174198652,0.3291157023,0.3645088106,0.5066238402,0.5308031784,0.4650804653,0.6251296003,0.7607634188,0.8094525052
03/1964,0.5050585713,0.4075106465,0.3260242362,0.355403103,0.5044469427,0.5244900354,0.4524343971,0.5996468018,0.7481908284,0.7919271258
04/1964,0.4984920889,0.3969838641,0.3207562381,0.3533826439,0.498221609,0.510196793,0.4520485252,0.5800786681,0.7105168806,0.7523780845
05/1964,0.5024485908,0.3993140338,0.3167169287,0.3610542669,0.4928549068,0.508538108,0.4469522803,0.5779284945,0.7212778882,0.7603469497
06/1964,0.5058195351,0.3923927864,0.3124548919,0.3572017372,0.489277493,0.5050698482,0.4453210946,0.5733174613,0.7258587833,0.7509694211
07/1964,0.444525598,0.3371460003,0.4407151678,0.3573316771,0.43479731,0.5027057358,0.5049260637,0.7706951124,0.6606024607,0.7561071154
08/1964,0.4379930656,0.327075688,0.4289949636,0.3425875619,0.4264866289,0.496864929,0.5043011373,0.7618372805,0.6503588953,0.7374612431
09/1964,0.2470519285,0.3304506108,0.4403958744,0.3432861775,0.4293845447,0.5070188715,0.5181842489,0.7819447126,0.6635465183,0.7571656258
10/1964,0.2432031253,0.316109425,0.4290190863,0.3319881517,0.4075126986,0.4900239904,0.5157232882,0.7658353007,0.6404500828,0.7299939356
11/1964,0.2462657403,0.3167951064,0.4209053878,0.3220242372,0.4099787967,0.4823637292,0.5100388085,0.7632003316,0.6358910759,0.7376587485
12/1964,0.2490874585,0.3433765477,0.4177336037,0.3244532605,0.4022302531,0.4899900621,0.5139281873,0.7583857858,0.6305994152,0.7674152871
01/1965,0.2453204924,0.335007906,0.4192428004,0.3199094807,0.3952311629,0.4909696913,0.4970771666,0.7772031363,0.6346264513,0.7699442975
02/1965,0.2274564729,0.3177701787,0.3956311955,0.310536936,0.3826347494,0.4861435908,0.4955626793,0.7470684789,0.6103866578,0.7484329605
03/1965,0.3795092146,0.3183549642,0.3960546554,0.3149542797,0.3785270609,0.4757659166,0.504602641,0.7215832784,0.5947526919,0.7533415477
04/1965,0.3823231318,0.3266819713,0.4036715557,0.3183496705,0.3820103388,0.4863629654,0.5144274998,0.7243793352,0.5964030804,0.7627924471
05/1965,0.3642747811,0.3175601082,0.3886828881,0.3016738323,0.3602642912,0.473770589,0.5056419045,0.7037695016,0.5742352199,0.7517867963
06/1965,0.3603886169,0.3099114209,0.3872654466,0.3101952236,0.3697533859,0.477384118,0.5008512605,0.7038802326,0.5771466179,0.7740911146
07/1965,0.2880648472,0.3534626847,0.3076601336,0.4617666305,0.458957077,0.5720507052,0.5634003707,0.5578920354,0.6994677521,0.7615881361
08/1965,0.2791724821,0.3461018307,0.306989552,0.4610389714,0.4533326417,0.5562324508,0.5632036452,0.5463399542,0.6896262104,0.7424888169
09/1965,0.2653593907,0.3359474704,0.3023921065,0.4380484734,0.4376434951,0.5484297755,0.5609722519,0.5333021037,0.68504699,0.7079141217
10/1965,0.255271045,0.3180552573,0.2959099471,0.4221334724,0.415002341,0.5292606049,0.5467922673,0.5136018327,0.6771374347,0.6940782619
11/1965,0.2438757732,0.3026314924,0.291154774,0.4041099781,0.4014554482,0.5197743342,0.5545163404,0.4997974497,0.6517654938,0.6636839893
12/1965,0.243628541,0.3191755547,0.2902394223,0.4038312119,0.4028851141,0.5170998127,0.5537928845,0.4949323567,0.6558218681,0.681921156
01/1966,0.2392235236,0.3125765635,0.2842515243,0.4929081042,0.3913203722,0.50878078,0.5629419944,0.4761961619,0.6375780903,0.6676901356
02/1966,0.2341548782,0.3087808882,0.2908116881,0.4859082555,0.3928217983,0.5003469405,0.5631217293,0.4697266535,0.6226268129,0.637439234
03/1966,0.2242254417,0.3168838294,0.2952339201,0.4985013184,0.4023670402,0.5112885348,0.5816205564,0.4836470453,0.6378129764,0.6534464224
04/1966,0.2289578438,0.3283581772,0.3049479307,0.506421116,0.4066023692,0.5314249327,0.6054324539,0.4969938646,0.6537800478,0.6789290413
05/1966,0.2188053416,0.3383233923,0.3046562425,0.5065951009,0.3868571655,0.5201649306,0.5929828327,0.4818856428,0.6472650496,0.6733184606
06/1966,0.2253253031,0.365699923,0.3152287334,0.5374749305,0.4159462514,0.5561583656,0.6234042334,0.5007032221,0.6866889932,0.7195677009
07/1966,0.2179807726,0.3464718021,0.4342231189,0.3978058068,0.4301219857,0.5623100806,0.5937533605,0.6611313566,0.7125349645,0.8766139899
08/1966,0.2208001873,0.353904705,0.4489215983,0.4776107834,0.4355592705,0.572343644,0.5956271317,0.6644231707,0.7140718207,0.8892321442
09/1966,0.2384904385,0.3924211596,0.4783308982,0.4165208856,0.4828642755,0.6229835433,0.6428403859,0.7055237766,0.7761968862,0.9797058246
10/1966,0.2418599,0.4012891402,0.4918519195,0.4393044719,0.4737917826,0.617190376,0.6230345296,0.7001438494,0.7865910467,0.981670879
11/1966,0.2398385737,0.3962841472,0.4862238688,0.4304208124,0.4685148806,0.5731678313,0.5869776099,0.6485233921,0.7366473124,0.942444717
12/1966,0.2119946741,0.4029083289,0.4795517481,0.4423327435,0.4620102332,0.5735665043,0.5795800795,0.666037987,0.7650004581,0.9374325082
01/1967,0.211831808,0.4048855204,0.474269888,0.4309951999,0.4638808057,0.5775389016,0.5662025505,0.6498031599,0.7741115038,0.9052421326
02/1967,0.1935938455,0.3664753554,0.4333006776,0.5070299125,0.4157609694,0.5422009157,0.5399946085,0.6084868388,0.7241256936,0.835643385
03/1967,0.1831647698,0.3693287894,0.4324858817,0.5421886731,0.4106438394,0.54139392,0.5630872121,0.6134129537,0.737671957,0.8329557805
04/1967,0.1771286198,0.3600850155,0.4157959785,0.5139859198,0.411264512,0.5241331423,0.557937751,0.5907076125,0.6987543301,0.7990081812
