date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
08/1963,0.8968859587,0.6811376748,0.770218167,0.6453064903,0.578777735,0.4927115818,0.5002782131,0.5467102614,0.6379773895,0.4405961134
09/1963,0.8181925962,0.6588466633,0.7097967611,0.5077419201,0.5308802198,0.4914256757,0.5196847724,0.5126134382,0.5658828732,0.4263678691
10/1963,0.9318247055,0.764890438,0.662904696,0.508897487,0.4903036638,0.5582614266,0.4901357577,0.4816421652,0.5796322559,0.432872644
11/1963,0.716029251,0.5920333399,0.5333207269,0.5034537437,0.4895728847,0.5263442359,0.4448800932,0.625057754,0.3794750754,0.4682423341
12/1963,0.7335679146,0.5605787417,0.5278713612,0.5235242219,0.450625401,0.4822040102,0.6708587738,0.4397266312,0.4304552424,0.4638844253
01/1964,0.8101916736,0.6253625078,0.4713723355,0.4679910981,0.5426331557,0.5199205672,0.4483396398,0.6235676454,0.480875592,0.4272694807
02/1964,0.7106506577,0.6825371162,0.6317685154,0.4092177706,0.4952814396,0.6039123461,0.4702340478,0.4636259122,0.4555571103,0.4440761897
03/1964,0.7708790996,0.6247562036,0.6122528553,0.5358450925,0.4083574108,0.5184321234,0.547693878,0.4952918232,0.4317165162,0.4342135295
04/1964,0.7431208634,0.5475282847,0.5385833944,0.4402913151,0.4646239379,0.4695274027,0.6123894623,0.4974181317,0.5053675561,0.3979327729
05/1964,0.7674467843,0.8137471924,0.5254375652,0.5679903641,0.38875604,0.5295263745,0.5332161005,0.4982693976,0.6090410227,0.3749333342
06/1964,0.824141775,0.7002151763,0.5399911406,0.437707322,0.6082688862,0.5401666152,0.4960680048,0.5229629721,0.5255126545,0.3652070304
07/1964,0.796772672,0.6809574117,0.5769043656,0.5590985768,0.5217101656,0.5929203982,0.5381616046,0.527465161,0.5614316181,0.3853663044
08/1964,0.7469722185,0.6635105279,0.6606338215,0.5482844737,0.4996666904,0.5281053561,0.5482934723,0.4836681546,0.4799351589,0.4094361913
09/1964,0.6715640695,0.6337261474,0.8178546009,0.5334148715,0.4440036318,0.4932239877,0.5175695007,0.4901741448,0.5015000283,0.4093746329
10/1964,0.6448214551,0.7835041157,0.7357931299,0.4877318089,0.4203565808,0.4914004403,0.4589936701,0.5461843144,0.4306956387,0.4019567638
11/1964,0.7136298914,0.841185138,0.5692914374,0.5623297479,0.4530217866,0.4684490612,0.5087932419,0.502830054,0.3945527161,0.4011527649
12/1964,0.791267942,0.8910419047,0.7592170217,0.5374949726,0.3911036286,0.4633114717,0.4986296461,0.4303007837,0.4454741093,0.4104678015
01/1965,0.7702044281,0.6828704317,0.6133533831,0.5502954074,0.4805670916,0.424735879,0.4562661263,0.4796676755,0.4329678306,0.3995174046
02/1965,0.6564168145,0.6072305108,0.665817305,0.5380176501,0.4539779351,0.4288523832,0.4586904714,0.4645545542,0.4251179528,0.3838151879
03/1965,0.6943390169,0.5763478014,0.5883093871,0.4915221104,0.5337478781,0.458116977,0.4007839995,0.4145349713,0.4128262047,0.4288208969
04/1965,0.6508586674,0.6061269733,0.6564149726,0.5173545636,0.4914631576,0.4270533044,0.4595237255,0.4361112769,0.4418190456,0.4231803621
05/1965,0.718301756,0.6659470366,0.5215366282,0.4775909164,0.3919065775,0.4738757481,0.40914037,0.530534462,0.4343105944,0.3946712236
06/1965,0.7477753083,0.6281201289,0.4948191078,0.4834530375,0.4258642021,0.4588522274,0.4397309256,0.4443723246,0.4394027661,0.4052579566
07/1965,0.7140151438,0.569547073,0.7114908052,0.4753875192,0.5502045904,0.4898751301,0.4581953498,0.4571685316,0.5220526907,0.4382734134
08/1965,0.6472421439,0.6527911741,0.6036686355,0.5745198457,0.4765066539,0.4965042644,0.5139756501,0.4195384047,0.4592237965,0.4576642197
09/1965,0.6315706503,0.5946253531,0.5979875177,0.5849284523,0.4155139871,0.3566223956,0.5313848405,0.4334738348,0.5040177048,0.4390233679
10/1965,0.602617041,0.6060035453,0.6150614143,0.4965210928,0.3911620831,0.4101892859,0.475055971,0.4754446398,0.4385074023,0.4271554372
