date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,0.2069942473,0.3621566216,0.5331135739,0.5622897888,0.6192576517,0.6552656545,0.7425146232,0.9874401403,1.0774130995,1.5275492328
08/1963,0.2088073041,0.3582009238,0.5347199901,0.5537725699,0.6176830564,0.6568326344,0.7439617769,0.9940835165,1.1090001394,1.5437642683
09/1963,0.1993023006,0.3413805265,0.5148374817,0.5312116803,0.5939558511,0.62549168,0.7046576067,0.9385896879,1.0484122238,1.4545744486
10/1963,0.2004228835,0.3490008482,0.515274008,0.5380902994,0.6048618454,0.6466029962,0.7228283632,0.9525960363,1.0490153045,1.5418950701
11/1963,0.1923590416,0.3290779998,0.5005240038,0.5328376004,0.6014209277,0.6500835417,0.721953398,0.9348556751,1.0312954301,1.4601706018
12/1963,0.1970967719,0.3457768121,0.4939151019,0.5440487978,0.6096729389,0.6533043004,0.729895456,0.9439911176,1.0595196485,1.4513423341
01/1964,0.2121262099,0.3370238645,0.480296218,0.529081299,0.5997642476,0.6280807957,0.7096013354,0.9215077343,1.0425664872,1.4017731464
02/1964,0.2057015132,0.32967475,0.4632518739,0.5140522795,0.5933439558,0.6251539236,0.693592507,0.9089302141,1.0376598254,1.340514411
03/1964,0.2021174665,0.3269010615,0.4555458701,0.5076865443,0.5828120577,0.6169675608,0.6862152412,0.9014522799,0.9802298903,1.2553712986
04/1964,0.2009700817,0.3228317974,0.4528470793,0.4961881459,0.5696279164,0.6052613261,0.6707108817,0.8676093817,0.9690072332,1.1873707593
05/1964,0.2069485111,0.3119096186,0.4479841508,0.492824541,0.5689074041,0.6013137509,0.6803413216,0.8732982823,0.9614869819,1.2198168684
06/1964,0.2051169497,0.3087620569,0.4483459894,0.4923286518,0.567290045,0.5942995428,0.6702723452,0.8429834136,0.9638662554,1.1889736554
07/1964,0.2153241137,0.3208571955,0.4707687558,0.5500327778,0.5937806064,0.6686671854,0.6732671006,0.8792054434,1.1129612643,1.1843033254
08/1964,0.2115551919,0.307300547,0.4692094139,0.5307406527,0.5707770427,0.6486634001,0.6643650128,0.8695676179,1.1007599982,1.1755114534
09/1964,0.1963862081,0.3101751374,0.4798337282,0.5379768515,0.5729702135,0.653376507,0.6711910197,0.8683839411,1.1201024347,1.211545496
10/1964,0.1914285344,0.3001119873,0.4746614676,0.5213746301,0.5593720857,0.6278031637,0.6496228411,0.8354086041,1.0583272147,1.1759006134
11/1964,0.1920935887,0.2948028945,0.4692631469,0.5243218397,0.5473145541,0.6257045161,0.6397183021,0.8483799449,1.0291270647,1.1501060834
12/1964,0.1948002985,0.2965432475,0.4742339908,0.5205294954,0.5448846331,0.6190558012,0.6461889029,0.8686385035,1.0499324863,1.1675513391
01/1965,0.190876474,0.293237234,0.4617480492,0.528140745,0.5330004687,0.6093652603,0.642134934,0.8773721347,1.0472531473,1.1908181621
02/1965,0.1803982458,0.2862906738,0.4589153304,0.510054915,0.5097033754,0.5927314385,0.6173019309,0.8472810977,0.9928231147,1.1359082159
03/1965,0.1953742251,0.2900744117,0.4634940485,0.5058257053,0.5018420539,0.6025229347,0.6016980452,0.8348850238,0.9798023989,1.1100883407
04/1965,0.2000066531,0.2914924416,0.4738678463,0.5148000771,0.5073265267,0.6029664354,0.6019033456,0.8372703856,0.9868925524,1.1132587292
05/1965,0.1915674223,0.2794388801,0.4640779349,0.5047335432,0.4934443696,0.5892257595,0.5803055064,0.8125743632,0.930641782,1.0843989018
06/1965,0.1922478023,0.2874352354,0.4613015741,0.5009562796,0.4985431079,0.5929896999,0.5856124003,0.8256991434,0.9486564105,1.1006712346
07/1965,0.2272413786,0.4100483341,0.4951854394,0.5398418368,0.6055453458,0.6092222864,0.7480084786,0.8350517729,1.1470396206,1.2766084367
08/1965,0.2243065911,0.4094465385,0.4903631889,0.5392734952,0.5911558173,0.5955970382,0.7261199108,0.8118947702,1.1071016758,1.2489738112
09/1965,0.2189681165,0.3998972995,0.4759772636,0.531756951,0.5846679029,0.5841903242,0.7069319165,0.7881091586,1.0839390812,1.18950756
10/1965,0.2106457065,0.382493625,0.4651471985,0.5210201036,0.5674048146,0.5775833054,0.6919696625,0.7621042587,1.0467576225,1.1776424419
