date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,0.588080852,0.4993103459,0.5656398723,0.4753463192,0.5008070402,0.5377453152,0.3736011098,0.6365179964,0.4799901674,0.7036815773
08/1963,0.6090600842,0.4601523445,0.4592841319,0.420257153,0.5895917794,0.4442345924,0.6029367945,0.4093670279,0.7547841166,0.7840246311
09/1963,0.7085953176,0.5477583986,0.4390687707,0.4807966903,0.4036884135,0.5724152501,0.43720558,0.4959335443,0.4985781105,0.544938688
10/1963,0.6785770599,0.5372790937,0.5316504645,0.5015282514,0.4780689958,0.3397492473,0.5888269604,0.460774123,0.5014744763,0.5294510616
11/1963,0.7622401335,0.6198894243,0.4696315863,0.3789721998,0.5005808217,0.4260745951,0.5853574782,0.5979808241,0.4032754406,0.3996345058
12/1963,0.6996044482,0.6537871841,0.4788898406,0.538905761,0.4979691522,0.5701523872,0.4574594079,0.5357383162,0.441080628,0.3394856545
01/1964,0.8168912255,0.8026128497,0.6326394296,0.5846097055,0.4619049039,0.5207907962,0.5004066469,0.4582921903,0.4068592215,0.3973384371
02/1964,0.8164966496,0.6628898459,0.6736246428,0.6875332557,0.4605024722,0.5576821851,0.5189214785,0.4097467184,0.4057002106,0.4003542428
03/1964,0.7090453282,0.5564542056,0.6084637587,0.6471385004,0.4750311422,0.6299089165,0.4722031661,0.3690703632,0.4196813691,0.395095189
04/1964,0.5576019455,0.5029895859,0.5705155077,0.5834647181,0.5408587578,0.4915202802,0.4537592661,0.3787120034,0.4108751679,0.4229280813
05/1964,0.5221199794,0.5214431855,0.5860662261,0.650825694,0.4566826279,0.3334857674,0.4847151633,0.3766547997,0.5206940881,0.4372617705
06/1964,0.4901341862,0.4571306319,0.3465925278,0.624287255,0.4289811171,0.4666213597,0.4858953386,0.4755935158,0.4269227126,0.4646419865
07/1964,0.5739240715,0.5375735467,0.4396555037,0.5060678376,0.5456922444,0.3774532456,0.4687076897,0.3959300011,0.5084985228,0.6063802494
08/1964,0.5504123728,0.4127454499,0.4879476314,0.4825452717,0.4452296713,0.5461904058,0.4001853065,0.4459983586,0.6230637131,0.5818670066
09/1964,0.4635036463,0.4343799523,0.4673240701,0.5823517181,0.3620388597,0.4908510397,0.4463677344,0.4329452106,0.5145934926,0.5760391645
10/1964,0.3769040721,0.4762595102,0.3859387133,0.4250133311,0.5194082398,0.4858563954,0.5343714678,0.4209313039,0.3372697949,0.5839155205
11/1964,0.5117869016,0.3206138539,0.4816416973,0.3946485059,0.4170898916,0.5887220691,0.4870628011,0.4048277286,0.5596229907,0.3593414014
12/1964,0.6035291758,0.399447297,0.5264852216,0.4385523543,0.4899358527,0.4127042693,0.4809609434,0.381349377,0.4289398479,0.6171216297
01/1965,0.3298922092,0.5355226423,0.4769530737,0.4360767731,0.5475456614,0.3833526268,0.3806233197,0.433152042,0.4266929058,0.4546322247
02/1965,0.3768050015,0.5172047331,0.5376949006,0.431669454,0.4776832541,0.4170881565,0.411253356,0.3501463331,0.3777638807,0.3830315967
03/1965,0.7049407529,0.4980088224,0.5406758609,0.4757191168,0.418616258,0.3708497665,0.4084302837,0.3458695755,0.3252986811,0.4847129102
04/1965,0.6514416727,0.5341778034,0.4806568817,0.4036198844,0.4810432627,0.3820285507,0.3731163731,0.330183127,0.3723883447,0.488874657
05/1965,0.5896389701,0.5253113254,0.4913026087,0.3647852778,0.3423314142,0.4207240315,0.3126044935,0.4103400607,0.3450292147,0.4562159449
