date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,0.6248599203,0.6924214575,0.6380514702,0.5633304714,0.5504506907,0.4971536751,0.6184463015,0.3980167189,0.4014070922,0.4855462324
08/1963,0.6009030943,0.7991813633,0.5657219488,0.4784782635,0.405724987,0.4582092862,0.6111903761,0.4528594621,0.511239869,0.5382862452
09/1963,0.6508689421,0.6231621445,0.5571443019,0.4702782827,0.4580591932,0.4345124876,0.5054808871,0.4379790416,0.4870883647,0.5257944199
10/1963,0.7465531104,0.6041390266,0.505318971,0.5419990261,0.3733893927,0.4581924187,0.5164396706,0.5217836228,0.4722717457,0.5132073505
11/1963,0.7236989577,0.5505157708,0.5168109141,0.4363328008,0.4662619477,0.4133657307,0.5568058098,0.4566043635,0.4594408751,0.5318686396
12/1963,0.7097163646,0.6678496058,0.4992591672,0.5298693289,0.4002938487,0.5722849382,0.4961710389,0.4527933751,0.4870297428,0.3391637808
01/1964,0.6680102628,0.5891628037,0.5326596894,0.3834658452,0.3947435158,0.556339815,0.5562840581,0.4999455604,0.4035332064,0.4077630787
02/1964,0.7741264054,0.7161534679,0.6192290193,0.4983290119,0.6089289589,0.3614343218,0.4243155401,0.5148930595,0.4245800631,0.4280385476
03/1964,0.6932239139,0.7147349173,0.5845680774,0.5439688702,0.5107386229,0.4563824656,0.4626565551,0.4567279752,0.4066576701,0.3658685243
04/1964,0.7070675962,0.6158228172,0.5537042926,0.5182356486,0.5114517779,0.4627371578,0.4439636382,0.4017738936,0.4337049151,0.3867252609
05/1964,0.6548226435,0.5656074499,0.5447548273,0.5308151092,0.4572982862,0.4682591322,0.4090850019,0.457783101,0.374883794,0.4405327899
06/1964,0.7077334073,0.617779265,0.5211922176,0.4584667224,0.4097657125,0.6080139232,0.4447925986,0.3729903168,0.4734747947,0.3943430203
07/1964,0.6818914442,0.6161275052,0.5710464293,0.4883717435,0.5536912118,0.4888614869,0.4491488061,0.4940092059,0.3951307355,0.4964709236
08/1964,0.577651882,0.5669115646,0.5390977692,0.5344200099,0.4557108391,0.435271209,0.4198099101,0.4477370504,0.4503850066,0.466995645
09/1964,0.4847801995,0.6636324152,0.6190598008,0.4155661761,0.4977796911,0.4980066611,0.4862387481,0.4246018448,0.3024401301,0.527449468
10/1964,0.5107233862,0.4566083401,0.6879055719,0.5426957332,0.4519111849,0.4826125614,0.4123262226,0.358678992,0.3732930759,0.4969717654
11/1964,0.4145958155,0.4931900926,0.5023562172,0.4517995431,0.4420406883,0.509316594,0.3173199216,0.431057833,0.6174478099,0.4529706232
12/1964,0.6739985256,0.4289029599,0.5091972076,0.3397480278,0.4785733075,0.4583280515,0.362307427,0.4457015431,0.5367509476,0.416491359
01/1965,0.5969292066,0.4768100314,0.3935299769,0.357376726,0.5314700153,0.4171158931,0.3838420436,0.4573981679,0.467477101,0.4624342798
02/1965,0.4752980628,0.3807088859,0.4659559916,0.4412329839,0.5313895035,0.4584606176,0.3654441259,0.3582770795,0.4624805936,0.4015267959
03/1965,0.6809975064,0.473084117,0.6685093365,0.5283059724,0.3998826807,0.419095134,0.3196131448,0.3739436123,0.4851495789,0.3723973181
04/1965,0.5476770641,0.5414284554,0.6005601093,0.4635666611,0.387172978,0.3728624632,0.4235797245,0.3225180204,0.4876121374,0.4736371244
05/1965,0.4893615042,0.5408156513,0.5033968005,0.5261736507,0.4212450707,0.3646636308,0.2688743897,0.4136187655,0.4194647995,0.430059919
06/1965,0.590893498,0.4811031251,0.5246760226,0.4384465099,0.4528756361,0.40967236,0.2725279074,0.4349271534,0.3746918632,0.4625585624
07/1965,0.7707896335,0.4917171146,0.5077119891,0.6001864595,0.5925133025,0.3416923986,0.3522056809,0.3661567661,0.4915818104,0.5252685214
08/1965,0.7500419131,0.6221986763,0.5691816278,0.3773240314,0.6025781151,0.3980767466,0.4088378978,0.3296960714,0.3606354499,0.4702088046
09/1965,0.572770395,0.6016194021,0.561542384,0.5611233229,0.4204817029,0.3232413594,0.5068026236,0.3947940304,0.3416241108,0.4100639858
10/1965,0.6761159482,0.6028858783,0.5309066372,0.3538304594,0.5110853337,0.4575862901,0.3037034875,0.4524617851,0.3524635316,0.2828977523
11/1965,0.7644778575,0.5359564591,0.5328178197,0.5479861359,0.319222782,0.5402283447,0.4334787988,0.2876665572,0.35615937,0.252994062
12/1965,0.6255762178,0.4933501324,0.5344398155,0.4474267645,0.5320737327,0.4506289872,0.3340340992,0.2865884964,0.3693456564,0.2818367001
01/1966,0.5158625107,0.5301654609,0.4382266669,0.456081044,0.4778082016,0.3631194143,0.2793104401,0.4208643696,0.4393134053,0.3412101731
02/1966,0.5455237871,0.4861898662,0.5391941872,0.3551310214,0.4141252214,0.3500109705,0.4254320514,0.4569302848,0.3842203137,0.289339964
03/1966,0.5206175383,0.4964036103,0.5059702364,0.4095079237,0.3512090523,0.4486722708,0.5296987354,0.4712390995,0.4187201775,0.2750096215
