date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,0.5751695549,0.8963492193,0.612095208,0.4699553782,0.705799124,0.6082419657,0.6735744152,0.2374897658,0.5020676673,0.342286454
08/1963,0.5775121476,0.9006743753,0.602885342,0.4717240566,0.7064773907,0.5977603242,0.6782746852,0.2363878606,0.5067582133,0.3406009206
09/1963,0.5548506076,0.8469414029,0.5828176216,0.4497531254,0.6671979482,0.581287713,0.6273446878,0.2267093774,0.4798155388,0.3196031962
10/1963,0.5441018577,0.8689795376,0.5999550249,0.4560405839,0.6757523039,0.6038423077,0.6517119204,0.2276905196,0.490983599,0.3176719224
11/1963,0.5231642424,0.86273814,0.6132155702,0.433144859,0.6798300422,0.5852488695,0.6255563775,0.2122302333,0.4795369621,0.279209174
12/1963,0.5021390732,0.8801070918,0.6209073704,0.4360748533,0.7055835389,0.5849338867,0.6350547437,0.2146828836,0.4861105684,0.3045972378
01/1964,0.4960058281,0.8231497852,0.5917899669,0.426297358,0.6751463191,0.5589762915,0.6230740769,0.3659710984,0.4709721565,0.3044299548
02/1964,0.4781306628,0.8160565996,0.5812169944,0.4178897731,0.6476102969,0.5234962467,0.6084800408,0.3496964115,0.4647222644,0.3008499547
03/1964,0.4691978166,0.7953130067,0.5656401022,0.4119632981,0.6454196761,0.5214160609,0.5943606438,0.3424312312,0.4580467463,0.2975591394
04/1964,0.4714948199,0.7925028116,0.5624357812,0.3911782828,0.623764334,0.5061623837,0.5629367433,0.3414651581,0.4499387702,0.295916495
05/1964,0.4679937493,0.71860563,0.5398667866,0.4008672587,0.6199292493,0.4986879001,0.574177592,0.3474737294,0.4581746702,0.2852458338
06/1964,0.4753992868,0.6945333954,0.5298775341,0.3991143418,0.6150853194,0.4938395685,0.5731072771,0.3474542532,0.4623473994,0.2786430805
07/1964,0.3905909445,0.5152891949,0.4682517996,0.4599987582,0.6063135486,0.6427846884,0.3288668524,0.4808121111,0.728492973,0.2842985309
08/1964,0.3850281794,0.5264325693,0.4579201091,0.4606654088,0.6000135453,0.6311244916,0.318845415,0.4730627505,0.7287341274,0.2689777629
