date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,0.5941381674,0.6460089869,0.6874627912,0.6016695726,0.717039282,0.5092879274,0.4132281138,0.3268245904,0.2547202796,0.2969550541
08/1963,0.5881616763,0.6474897556,0.6895114576,0.596546455,0.7219815625,0.5186661672,0.410952158,0.3291616658,0.2552257975,0.2985979714
09/1963,0.5667768477,0.6161881927,0.6606517294,0.5779285031,0.6809434423,0.4954591379,0.388800795,0.3128142574,0.2440932344,0.2795774195
10/1963,0.5840675406,0.62787843,0.6736558993,0.5832015897,0.6896451855,0.498780003,0.3924738186,0.3183434186,0.2442210655,0.2856924531
11/1963,0.5871269029,0.6255793439,0.6750767543,0.5716587069,0.6762250639,0.4863181929,0.3529913127,0.3046198519,0.2318035962,0.2820465552
12/1963,0.5914003876,0.6314099416,0.6885533813,0.5639743601,0.695187054,0.5027928271,0.3762104206,0.308200399,0.2363562852,0.287279935
01/1964,0.5739120475,0.6140666276,0.6768576828,0.5450957463,0.6784779983,0.4811400676,0.3738098153,0.3046533978,0.2898144534,0.2848559043
02/1964,0.5643611838,0.6021042438,0.6559433225,0.5228707561,0.6688809744,0.4712387121,0.3649315743,0.292580023,0.2792892814,0.2924075092
03/1964,0.5604189638,0.5971822271,0.6465288646,0.5158735958,0.6457588125,0.458433393,0.3611412217,0.2900744696,0.2770953344,0.2795501014
04/1964,0.5611922172,0.586591105,0.6330281371,0.5148221782,0.6223537269,0.444754045,0.3522890859,0.2852988538,0.2743891682,0.27977801
05/1964,0.5586164496,0.5935441311,0.6182705016,0.501949267,0.6273652085,0.4464531695,0.3457641027,0.3031512552,0.2746612425,0.2819111296
06/1964,0.5551297853,0.5914021358,0.6159937363,0.5008357205,0.6177132776,0.4432399797,0.341480108,0.302118347,0.2719832123,0.276536741
07/1964,0.6095146003,0.5282566954,0.6951546319,0.5137221869,0.7470256511,0.5338188288,0.4839286055,0.2839722022,0.2829813328,0.2873639537
08/1964,0.5948509654,0.5037417882,0.6768127726,0.5094294389,0.7391628802,0.5281898184,0.4723390129,0.2726929793,0.2781502031,0.2811063926
09/1964,0.6016024407,0.5025713682,0.6874517361,0.5235721978,0.7466897312,0.535228934,0.4765036402,0.2737417806,0.2278888416,0.2861990775
10/1964,0.5775413052,0.4949831169,0.6680743802,0.5174541238,0.7171749764,0.501631386,0.4619398027,0.2627586485,0.2239235969,0.2834303289
11/1964,0.5770556541,0.4870797056,0.6641181865,0.5091399519,0.6947107239,0.5007919688,0.4671320022,0.2622316799,0.2243569689,0.2797784686
12/1964,0.5751443167,0.4863185828,0.6647876498,0.5146227369,0.6949194416,0.4973115795,0.462520989,0.2724746447,0.2237804373,0.2773496062
01/1965,0.5671656342,0.4800644435,0.6659954024,0.5037771899,0.6951600776,0.4981315025,0.4620889803,0.2669464731,0.2188959657,0.2725371782
02/1965,0.5450876183,0.4623668577,0.6414169526,0.5044952214,0.6673111529,0.4825973114,0.4539820616,0.253874999,0.2070982124,0.2625364378
03/1965,0.5396837724,0.4602171586,0.6338092166,0.5157063565,0.6669014122,0.4761547376,0.446936715,0.2550304978,0.2502964901,0.2574178739
04/1965,0.540828814,0.4664242388,0.6424168108,0.529381628,0.6721659582,0.4825091074,0.449164185,0.256943677,0.2533299116,0.2616637769
05/1965,0.5306552937,0.459652203,0.6251672077,0.5184592426,0.6544532566,0.4638883086,0.4351414908,0.2429719458,0.2400295359,0.2557546546
06/1965,0.542260913,0.4627821513,0.6275744614,0.5157784629,0.652727532,0.4742007198,0.4376322054,0.2476096863,0.243786685,0.2558868686
07/1965,0.6266835099,0.4739490886,0.6024480154,0.6610763255,0.6577027827,0.6018367589,0.3804741527,0.256986955,0.3208374592,0.2261942465
08/1965,0.6125884032,0.4689452653,0.5935848183,0.651536612,0.6515550677,0.6004665011,0.3750481418,0.2532505026,0.3237620098,0.2218776358
09/1965,0.6079887108,0.4622056492,0.5898018958,0.6536004491,0.6276125947,0.5714467366,0.3634962781,0.2451410375,0.3132612688,0.214770581
10/1965,0.5997017721,0.4528817231,0.5760303501,0.6332427917,0.6035155889,0.5505973255,0.3436180174,0.2335716019,0.3067622303,0.2114366934
11/1965,0.5899266284,0.4440321888,0.5753672789,0.6144387064,0.5807579122,0.531479983,0.3257354474,0.2260500542,0.3139402355,0.2073336697
12/1965,0.5950911438,0.4489797622,0.5958568423,0.6111209133,0.5854248957,0.5238663473,0.3382542016,0.2280632605,0.2889766656,0.207189099
01/1966,0.5913213438,0.4475429944,0.5851247393,0.601248552,0.5671366756,0.50143662,0.3339455055,0.240356499,0.2973378519,0.2107706093
