date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
01/1972,,,,,0.845648376,,,,,0.27535389
02/1972,0.9421187477,0.8971171457,0.6048430372,0.5218124693,0.3815931291,0.4362804268,0.465028796,0.2646046279,0.5002352579,0.2863538027
03/1972,0.8633769701,0.7179972904,0.7632422445,0.4189030361,0.2428801278,0.5441638829,0.3510686543,0.3518044552,0.236625335,0.1773698531
04/1972,1.0891905273,0.966285365,0.7762447643,0.6032925356,0.259496842,0.5872068808,0.4338643551,0.2939779851,0.3247878505,0.1742172582
05/1972,1.4381268814,1.1922189728,0.7936809174,0.8601697204,0.7757295677,0.5962244394,0.7774593379,0.5838537766,0.4575225499,0.1399634782
06/1972,0.8220905678,1.3726071035,0.9615971517,0.6721137604,0.6611729978,0.5814122466,0.4159231095,0.5739357462,0.3884685833,0.2100169888
07/1972,0.9905259687,1.3920955787,1.086176901,0.8183769747,0.6180992448,0.4949865189,0.4560715196,0.6127763224,0.3695746549,0.2304323404
08/1972,0.9446398497,1.1810533478,0.8608780597,0.7946090942,0.3664101506,0.7175566952,0.350537699,0.3820133951,0.468383191,0.2820998061
09/1972,1.2526966723,0.8273430079,1.1484729512,0.8202171527,0.6568526585,0.4651656255,0.3737698572,0.2938853387,0.2570082468,0.3146443807
10/1972,1.0467316115,1.5158231054,1.3113563503,0.6619113079,0.5246478087,0.4315920523,0.8968432248,0.4734643152,0.3200536725,0.2595455355
11/1972,1.4451981369,1.6267798438,0.8725231784,0.6443904197,0.6107715314,0.5608712051,0.4934172225,0.2892628697,0.3140158934,0.2883794929
12/1972,0.9287731143,0.8745594965,0.6866599585,0.6412770824,0.7848954348,0.3432685948,0.2517527462,0.3569409802,0.2393031284,0.1724871921
01/1973,1.2288800893,0.9329536936,0.6894989298,0.4471892919,0.6101048657,0.335884261,0.2882168116,0.3468818485,0.2930897892,0.1636875723
02/1973,0.9497504153,0.994160191,0.7125989595,0.5579777711,0.7040225717,0.4638732832,0.4001050007,0.2489506685,0.2135724269,0.2866154892
03/1973,0.8118790543,1.192252571,0.3815375074,0.6222847627,0.833722491,0.5571264484,0.3981420763,0.2013985219,0.6052408828,0.2651157759
04/1973,1.1128100269,0.803087974,0.4750036184,0.8287645418,0.8302973537,0.5243331109,0.5014878947,0.4509720428,0.2584411819,0.1998641533
05/1973,1.2974251812,1.5485379336,1.1585415544,0.9658994157,0.6429187379,0.7829062944,0.6168969249,0.5472782711,0.5224575882,0.1721027065
06/1973,1.5073595979,1.331974446,1.2034306327,0.7177572436,0.6483385429,0.678650448,0.6245999722,0.5636199996,0.4086197429,0.2696035011
07/1973,1.7163975182,1.2216010177,1.2377638291,0.9906407809,0.5658595737,0.7347072484,0.6485994138,0.6361710562,0.4480668655,0.2808131009
08/1973,1.8048163127,1.2606828125,0.9248365083,0.4420432946,0.7647372827,0.4892052771,0.7114507761,0.5910600311,0.3759832357,0.3619940499
09/1973,1.7784919174,2.2658696446,1.3428675274,0.9375295578,0.6595516486,0.6653257643,0.3496410524,0.5954299904,0.2940237576,0.1972949356
10/1973,1.5674988071,1.6412142085,0.9999209385,1.4284802359,0.5104731176,0.7099130836,0.5757785124,0.3225066071,0.3658419184,0.2490051244
11/1973,1.2774161997,1.518519436,1.3527938019,0.8564700909,0.4784738812,0.6000851885,0.3467278798,0.355840358,0.2171645504,0.4272811648
12/1973,1.3738174027,1.7686578312,1.1138316848,0.8033126726,1.2457583729,0.7464301651,0.4017713459,0.3845282573,0.2309181797,0.3619120578
01/1974,2.3049715617,2.0758824325,1.0160643819,0.6832601499,1.0459520913,0.7479215272,0.6034053477,0.4072044039,0.333555117,0.2324264592
02/1974,1.8162803011,1.4743378978,0.9070952514,1.3031385134,1.2790815476,0.761560921,0.4057518535,0.6446340548,0.2929397705,0.3016038646
03/1974,1.2699280882,1.8154335724,0.9030196766,1.111246926,1.0708347337,0.8792846045,0.3257553114,0.7233485414,0.2907996518,0.271583411
04/1974,1.2719065128,1.368475626,0.9445275914,1.0540362364,1.1496376865,1.0034098205,0.6091190376,0.4697465395,0.3212656594,0.2437829228
05/1974,0.8157513901,0.8928745153,1.4405667575,1.3034531395,1.0553869066,0.6615794392,0.7697806073,0.5969133786,0.5996569956,0.339247359
06/1974,1.088242723,1.0578401728,1.4262935382,1.2034435844,1.326151132,0.8082221887,0.8403525486,0.532578462,0.5889913159,0.3538528412
07/1974,1.3826566647,1.5403270351,1.3181996617,1.4095784749,1.0105869131,0.9637169195,0.9185980418,0.5959945677,0.6843047587,0.3705179784
08/1974,1.4175579762,1.5107778067,1.6170667975,1.3737012669,0.9746926702,1.4517505049,1.0905151842,0.9037509083,0.5973717695,0.3803671813
09/1974,1.8353480379,1.3338055038,2.4211296716,1.8377342534,1.90353783,1.8353838063,1.4161939426,0.8531324556,0.7354832425,0.556692057
10/1974,1.9309198544,1.3633674103,2.6097680608,1.8078022438,1.9331757163,1.7332740346,2.0278600351,1.3736716827,1.297501478,0.771518097
11/1974,1.7867602574,1.0705976556,1.5809413773,1.9535988041,1.8133065295,1.6021447737,1.4301375464,1.3051042438,0.9575140318,0.5227244296
12/1974,1.8403446952,1.1014280475,1.8886852567,1.941911211,1.6774458162,1.4172122032,1.287244586,1.1390549675,0.7347995071,0.3793956101
01/1975,2.1095858518,1.1733727003,1.9918424881,1.9877007819,1.6369674773,1.4877301304,1.2456572055,1.2856389453,0.8089977436,0.4157296211
02/1975,1.8292213189,0.9982254101,1.4465721381,1.3797090972,1.3006644733,1.2862572789,1.1120725743,0.6449299795,0.4136367528,0.5752680208
03/1975,1.7929521645,1.0359137905,1.6804645923,1.2945128166,1.338596194,1.1913321125,1.1354590968,0.8982776122,0.4493864516,0.4442062624
04/1975,1.7313681968,1.0465454474,1.6559525923,1.3630844198,1.2251762908,1.1390977445,1.1817509376,0.9270788476,0.4369934079,0.3390041475
05/1975,1.8737866418,1.1317438228,0.9337783873,1.1490599973,1.1894226698,0.9680585401,1.0459173708,0.8315608606,0.5925503251,0.2701932884
06/1975,2.4417520133,1.1747559094,1.0816545965,0.9528480394,1.1407206192,0.8340666191,0.8171633018,0.6690058668,0.4160828843,0.2760054652
07/1975,2.3106701685,1.1734673783,0.9197610921,1.0501160262,1.0911261467,0.9150753842,0.8721600244,0.7557492601,0.4776608277,0.3237644339
08/1975,2.4959657778,1.1115394511,1.1140824278,1.4904587997,1.1574348293,1.0239657858,1.0124302535,0.762551396,0.5769376304,0.326739401
09/1975,2.6125094852,1.3502969735,1.2442783072,1.4937130505,1.1238498075,1.2942941783,1.0084315096,0.7909807869,0.5969307845,0.3334805192
10/1975,2.6519600586,1.3419418104,1.450568834,1.5574445275,1.1592642832,1.3236247672,0.993569823,0.7821979423,0.5903661071,0.344628134
11/1975,2.2367944555,1.497544573,1.3504503288,1.0236248867,1.1347665163,1.0062710192,1.0230116429,0.7096543531,0.6312617963,0.3226478154
12/1975,2.0287055053,1.4462869861,1.3456691337,1.2480026882,1.0003238893,0.9455856793,1.0009864507,0.6808533119,0.5495103535,0.307780741
01/1976,2.0624418822,1.3941734931,1.4441370238,1.2315816729,0.9028930138,0.9456208617,1.0071570233,0.6893664191,0.5492988819,0.3327554654
02/1976,1.6649375286,1.1956125853,1.1350380879,1.0944772493,0.7899471612,1.0876106082,0.6680604552,0.7311243194,0.435341508,0.2868587186
03/1976,1.4484677086,1.2033683186,1.2367970392,1.047340365,1.0794133303,1.0624193474,0.6434415579,0.6503530454,0.4557490818,0.2867329651
04/1976,1.5959561316,1.2146223716,1.1533480398,1.0738084323,1.0209184716,1.0002279235,0.6763538042,0.5929499945,0.4579210972,0.2794289522
05/1976,1.3447381526,1.2256153796,1.2319314839,1.0058418886,1.1108606944,1.0003375714,0.5508640409,0.6150584529,0.4643299323,0.3049572728
06/1976,1.5096233969,1.288087048,1.2404170954,1.0489542041,1.0642043915,0.9543471192,0.5894957284,0.5854849802,0.4478702517,0.3475923898
07/1976,1.3629327094,1.3155274052,1.1728837999,1.038294334,1.1344457758,0.9712718061,0.6175645036,0.5906479418,0.5709931213,0.3761470239
08/1976,1.0800173435,1.3038162003,1.0999445998,1.20279599,1.020494857,0.8819718779,0.7672512433,0.5827742197,0.4933774721,0.3619069545
09/1976,1.1853418507,1.2845773451,1.2495807371,1.0776852027,1.0866647363,0.9165853103,0.7684289946,0.5342342745,0.5212466614,0.3595715695
10/1976,1.2017394077,1.2460957643,1.1997405428,1.0571523993,1.0624056463,0.8842730959,0.7390305767,0.5168104194,0.5125405988,0.3494453602
11/1976,1.1631659963,1.3367789497,1.2971405898,0.9496397893,1.0827823244,0.8720972567,0.7447109836,0.5684992622,0.4835863075,0.3094282477
12/1976,1.2142892395,1.255834908,1.3073555476,1.1798451964,0.9813435421,0.844905092,0.7346219598,0.5358515814,0.5179600912,0.3188118716
01/1977,1.1149441758,1.1961413482,1.1686582703,1.0655693342,0.97508757,0.784686863,0.7195893065,0.5220155636,0.4762766191,0.3098382613
02/1977,1.1315208398,1.0575756169,1.2878340469,1.0714938293,0.9350882102,0.8143528293,0.7756874642,0.5921030729,0.4371884149,0.3189581775
03/1977,1.238279341,1.1397498794,1.2527072579,1.1325557464,0.9797607163,0.8761602095,0.7706602359,0.543120756,0.4341069213,0.378543687
04/1977,1.3689740537,1.0894599281,1.2765066286,1.0507025632,1.0481352877,0.8603543625,0.7619034771,0.5538396567,0.4484991271,0.394453596
05/1977,1.3649675038,1.0245704869,1.2385560017,1.1131170232,1.008054983,0.9208118331,0.6594347143,0.6530291055,0.38950904,0.4291859367
06/1977,1.3780793836,1.1255212851,1.267358385,1.0136602807,1.0497808469,0.8585313536,0.6708825025,0.6293891342,0.5418403938,0.4226276437
07/1977,1.4389741733,1.2028701663,1.287174697,1.1136664987,1.0690850535,0.930885096,0.7446325925,0.6937526073,0.5921887867,0.4487764954
08/1977,1.2215463441,1.2842254668,1.212512046,1.0619825735,1.0748719345,0.9728963026,0.8832662689,0.6269195135,0.6505451131,0.430040876
09/1977,1.2380712817,1.3731148661,1.2286948244,1.2464278919,1.1513531003,0.9807213791,0.8789848369,0.6227322402,0.6809344251,0.4259458413
10/1977,1.242396773,1.4090316772,1.2307149379,1.2430738178,1.1417341524,0.95842013,0.9036786642,0.627496351,0.660332234,0.4313906554
