date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,1.0999361294,0.9203919191,0.7417827053,0.588268286,0.5680752837,0.5957434318,0.6055054812,0.5675423599,0.3982336818,0.2524837138
08/1963,1.1181858929,0.927690409,0.7428994849,0.5923483755,0.5723225046,0.5963376814,0.6142362539,0.5620886267,0.3994824298,0.2513431782
09/1963,1.0630555295,0.878356132,0.7088040499,0.56466106,0.5472290214,0.5718243204,0.5776111363,0.5421232951,0.3789431979,0.2412922143
10/1963,1.105244656,0.8909062517,0.7225489473,0.5755457641,0.561297575,0.5698533187,0.5738664141,0.5622703506,0.382203626,0.2442963516
11/1963,1.082753623,0.8785445826,0.7232307302,0.566203319,0.5459298409,0.555567549,0.5625944095,0.5526911771,0.3742067718,0.2294038229
12/1963,1.0986831812,0.8732483525,0.7387880677,0.5771787363,0.5533473961,0.5441703216,0.5677879199,0.559301257,0.379466083,0.2412712821
01/1964,1.0725816498,0.8505000847,0.7209750856,0.5662175286,0.5387567596,0.5332720929,0.55185552,0.5351397992,0.3671753168,0.2618154658
02/1964,1.0604680502,0.8280590454,0.7087523637,0.5604202901,0.5315206799,0.5199081268,0.5497461225,0.5113531,0.3567517724,0.2542309311
03/1964,0.9975014345,0.8184059633,0.6985387751,0.5509637383,0.5285544096,0.5108347163,0.5346089264,0.5053735466,0.3548658677,0.2483972449
04/1964,0.9667838998,0.7860637684,0.6818072384,0.5478077454,0.5186871128,0.5129435785,0.5234236701,0.4922405053,0.3475590806,0.2470265746
05/1964,0.9815081847,0.8121587788,0.6864687987,0.5466801805,0.5252574643,0.5037210961,0.5229035664,0.4883867212,0.3460562753,0.2455153013
06/1964,0.9708450441,0.8005693264,0.6778236126,0.5442641013,0.5262797979,0.50305905,0.5162972982,0.4820417641,0.3449983986,0.2432231213
07/1964,1.0301826419,0.8437775407,0.6800333821,0.5470243184,0.4993472817,0.6165170212,0.5553174129,0.5321108664,0.3892438104,0.2500880851
08/1964,1.0346662865,0.8218043983,0.6706768903,0.5232870047,0.5004558568,0.6038556729,0.5400913911,0.5230012343,0.3815372983,0.2406740637
09/1964,1.066295482,0.8319650052,0.6768891504,0.524876964,0.5087351711,0.6174447336,0.5420994936,0.5258899069,0.3930614406,0.2230654563
10/1964,1.0417378752,0.7982585102,0.6528197741,0.511558019,0.5106554069,0.5946151851,0.5195319172,0.5034411443,0.3821751161,0.2174303159
11/1964,1.014660834,0.7852893833,0.6437590161,0.5134331635,0.5119455528,0.5902229663,0.5134099686,0.4981570275,0.3756009153,0.216357526
12/1964,1.0451899862,0.7839799063,0.6473951065,0.512923563,0.5249433117,0.5823205042,0.5214649612,0.4945994125,0.3673948593,0.2223937266
01/1965,1.0605647372,0.7728531734,0.6365511523,0.5163985492,0.5058756954,0.5704382461,0.5181328058,0.4932178647,0.3613258217,0.2197858097
02/1965,1.0112486242,0.7362268001,0.6103168997,0.4956346561,0.5004760836,0.5529145743,0.4951140133,0.4785921931,0.3552136068,0.2105237025
03/1965,0.9875916085,0.7168319527,0.5984840632,0.4919100297,0.4979217011,0.5589107382,0.4863846229,0.4768776646,0.3591560655,0.2322244083
04/1965,0.9930457786,0.7241459045,0.5992700747,0.4957450419,0.5057358573,0.561759566,0.4847461529,0.4885312258,0.3687020937,0.2353378049
05/1965,0.9641349975,0.6924428011,0.5794654007,0.4914154444,0.4937588379,0.54736231,0.4704580885,0.4598952257,0.3601538585,0.2259555794
06/1965,0.9816543126,0.68934028,0.5883633753,0.4956210581,0.487403167,0.5432955914,0.4776370905,0.4680360572,0.3619262735,0.2305899543
07/1965,1.0848420063,0.7874199511,0.6228357158,0.5612504489,0.5711595685,0.6865339141,0.4742267466,0.5144867381,0.347862591,0.221882046
08/1965,1.0652271173,0.7652673246,0.6111696213,0.5518190627,0.5686070714,0.6690012771,0.4690751608,0.5133214643,0.3418657406,0.2188350829
09/1965,1.0069649693,0.739088901,0.6037500075,0.5410492639,0.5656042595,0.6577558231,0.4563213764,0.5014527551,0.3364285252,0.2118482203
10/1965,0.9789801878,0.7270699351,0.5939923865,0.5271115808,0.5575794871,0.6414342194,0.4366965112,0.4808616746,0.3262950092,0.2035844209
11/1965,0.9392113112,0.6947823807,0.5778778092,0.5122724063,0.5636124015,0.6235212787,0.4276029463,0.4669473761,0.3225036701,0.196151246
12/1965,0.9084093023,0.6931507918,0.5797781853,0.5116207929,0.5845444569,0.6156723778,0.4352889688,0.4688951767,0.3191156762,0.1993519892
01/1966,0.8509117995,0.6712050919,0.570053283,0.4993678706,0.5769646583,0.5997601793,0.4214157927,0.4620237914,0.3127678637,0.2117305245
02/1966,0.8453397553,0.649903987,0.5786882324,0.4984332352,0.5808248632,0.58386482,0.4256742757,0.4593228136,0.3071122094,0.2116647558
03/1966,0.8387203361,0.6522160028,0.5976227553,0.5156126923,0.5810735156,0.5917714763,0.4332057347,0.4742337535,0.3140650383,0.2177313645
04/1966,0.8683625069,0.6632838575,0.6116143106,0.5230720195,0.6040864024,0.5960009256,0.4441265373,0.4864288576,0.327975948,0.2247929541
05/1966,0.8770503826,0.6449420299,0.5976322048,0.5086365982,0.5964802766,0.5890715144,0.4305731571,0.4737370694,0.3253247938,0.226202651
06/1966,0.9196466012,0.7007869372,0.6290987691,0.5356829018,0.6251290446,0.6178636076,0.4586129961,0.5061079403,0.3346918633,0.2364030357
07/1966,1.0024119746,0.6919067383,0.5879101633,0.6887882046,0.727564599,0.501690358,0.5743139433,0.5045275814,0.3899464285,0.2292795765
08/1966,1.0336238951,0.7075717142,0.5932466707,0.6950573715,0.7265845119,0.5153370581,0.5801405548,0.5194464941,0.3943649971,0.242982289
09/1966,1.1341983447,0.7762446826,0.6549378834,0.7470284701,0.7975899204,0.5516880208,0.6252726008,0.5732622502,0.4260843577,0.2480358567
10/1966,1.1624319259,0.7789937714,0.6515923254,0.7480262629,0.7748660298,0.5701033416,0.6252197447,0.5763813133,0.4294448167,0.2493284926
11/1966,1.108994814,0.7477024462,0.5984019793,0.6920905615,0.7341364537,0.562135487,0.5931898103,0.5467873363,0.404141798,0.2459469831
12/1966,1.0849573411,0.7338294981,0.5957900032,0.714265459,0.7281692069,0.5631167869,0.6037475508,0.5415208166,0.3944840563,0.2449106637
01/1967,1.0264887517,0.6999027085,0.5781117519,0.6866727159,0.7226290237,0.5607534122,0.6007821881,0.5446053221,0.3961291363,0.2451169184
02/1967,0.9126786711,0.6386937632,0.5436519731,0.6487849304,0.6774657037,0.5109832368,0.5688104798,0.5049624634,0.3668290642,0.2420137975
03/1967,0.9088201755,0.629349056,0.5532187517,0.6503313358,0.6854231258,0.5062558533,0.5736363551,0.5148630253,0.3635963774,0.2457306103
04/1967,0.877048615,0.6161414929,0.5327596775,0.628497271,0.6604462834,0.5088134459,0.5539304361,0.5070981292,0.3547044803,0.2376551444
05/1967,0.8758696569,0.6131776508,0.5183434342,0.6274439264,0.6350717036,0.4797370565,0.5344900463,0.4882326415,0.34131307,0.2710159248
06/1967,0.8921442618,0.6333525613,0.5487082452,0.6646543427,0.6702056178,0.4805716145,0.5533423296,0.5147271156,0.3539618166,0.2315722376
07/1967,0.9470822815,0.7034917488,0.6449751247,0.6327569898,0.6709150003,0.5077522748,0.6000868315,0.4912260921,0.287725054,0.2645673937
08/1967,0.8712741933,0.6660331136,0.6292462439,0.6485908252,0.623442732,0.4706374082,0.5880412934,0.4648843479,0.2764503277,0.2601781236
09/1967,0.8682818493,0.6665679144,0.6374833401,0.6607509431,0.6255107239,0.4773324326,0.5803048889,0.4709408641,0.2812021074,0.2636409274
10/1967,0.8486765598,0.6511502613,0.6302684657,0.6527885412,0.6040410304,0.4712314178,0.5826655818,0.4535690233,0.2637677017,0.2522210285
11/1967,0.8837176378,0.6703295962,0.6641992967,0.6748445258,0.631602375,0.4934051797,0.6090421367,0.4654195706,0.2608024905,0.2568974542
12/1967,0.8740867929,0.6677644801,0.6574001475,0.6765744533,0.6261037382,0.4946654772,0.6151853575,0.4679595712,0.3822824712,0.2677731572
01/1968,0.8200868847,0.6188389201,0.6240337071,0.6600686002,0.5906638162,0.4832105197,0.5850767061,0.4485354347,0.3540039897,0.2554735586
02/1968,0.8179402454,0.639841177,0.6368848581,0.664718833,0.6196124088,0.4936806494,0.5783027793,0.4720770204,0.2606000307,0.2640697409
03/1968,0.8435058934,0.672341164,0.6598844769,0.67463144,0.6376601795,0.5067493361,0.6009665184,0.4861476108,0.2683505212,0.274404914
04/1968,0.8494580387,0.6815933455,0.6793906269,0.7003489892,0.641418345,0.504596522,0.5880358852,0.4871400126,0.3892632952,0.2709303093
05/1968,0.7671994016,0.6279629587,0.6371318645,0.6748879527,0.5889536244,0.4630010171,0.5420661345,0.4578089327,0.364635531,0.2882071883
