date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
08/1971,,,,,,,,,,0.1309770711
09/1971,,,,,2.6027031986,,,,,0.1352021379
10/1971,1.9320586434,1.1729004349,0.8453546327,0.835244031,1.0832844663,0.4718394364,0.6530162677,0.6828265387,0.3031775283,0.2135284067
11/1971,1.8279310282,1.2741927572,0.9550656339,0.7837427724,0.6808588496,0.7257254314,0.5084011567,0.2585046035,0.2268643929,0.198529297
12/1971,1.7136678871,1.4783800805,0.9658920607,0.9491894613,0.5576353581,0.7429725867,0.4384103913,0.2641108317,0.2267743938,0.1906075619
01/1972,1.4554524316,1.2764130423,0.905353225,0.7491983153,0.5717204198,0.6780843529,0.3947502158,0.2298414468,0.2094132403,0.2030777526
02/1972,1.0253072738,1.2648800541,0.8839999059,0.9224585966,0.6843640985,0.633646086,0.4513758099,0.1853695903,0.2096862614,0.3306597695
03/1972,1.1164971832,1.0238781514,0.9541708292,0.6650518577,0.6277990553,0.593990772,0.3021763261,0.2288839206,0.2286528839,0.3762649998
04/1972,1.1894716166,1.0824408584,0.8947066257,0.8528274313,0.6230590427,0.5692489936,0.2725234745,0.2228320253,0.2680872857,0.4327881875
05/1972,0.9563180569,0.9048621004,0.7111202426,0.785796062,0.4253527422,0.3063705278,0.2962671331,0.6181377536,0.7882449302,0.35712381
06/1972,0.9568613637,0.7093263409,0.6067924085,0.3675021051,0.4556372837,1.0781178757,0.6155652801,0.6551846777,0.3909603434,0.2666348479
07/1972,1.0968110874,0.8783789301,0.4798258757,0.3272675993,1.2249864894,0.9297132481,0.5319541644,0.6908168078,0.338739067,0.2645429093
08/1972,1.0578603013,1.1090018751,0.6764471662,0.434253147,0.216248195,0.8646665186,0.6698647489,0.5778591,0.3484890709,0.3268986953
09/1972,1.1547895987,1.0217484518,0.9236967843,0.7296703005,0.4376227628,0.3641774012,0.2436734544,0.3160732958,0.5361359891,0.3337552033
10/1972,1.1188921907,0.9648738116,1.0428196891,0.8462098956,0.6184601692,0.466248042,0.2972148959,0.2422858494,0.3179009968,0.4066981792
11/1972,1.3520144024,0.877790586,0.8882816269,0.8261286894,0.6919953515,0.4740435283,0.3223141554,0.2321435967,0.1943474901,0.40466585
12/1972,1.182102337,0.8310105501,0.8564547941,0.7879932449,0.6456236059,0.4353324067,0.3071716429,0.2098518639,0.1732232127,0.3598216388
01/1973,1.1508484046,0.848211585,0.8471315403,0.7658357227,0.6483714076,0.4385435551,0.3067629108,0.1943138152,0.1701875368,0.3380189486
02/1973,1.0384492718,1.1464417276,0.8516071486,0.8411755278,0.577643371,0.4117754622,0.2009210956,0.2221675239,0.4654535581,0.3062204238
03/1973,1.523033868,1.0616823386,0.953122317,0.6922099151,0.5790046488,0.5306612764,0.2164190208,0.3043218091,0.2864348745,0.4185253238
04/1973,1.5050163705,1.2099565094,0.9036908888,0.8095447928,0.5640284762,0.5117108699,0.2117639743,0.3496259277,0.2097427615,0.5211895777
05/1973,1.4193384922,0.9562827079,0.9265782388,0.6522376218,0.50677328,0.2566474322,0.3612538808,1.0698466732,0.7248161699,0.2898079258
06/1973,1.421960372,1.0127515822,0.4729255923,0.3284973124,1.1745597662,0.8848589097,0.758707605,0.7227282315,0.4430105087,0.2748772091
07/1973,1.555537631,1.0002686991,0.6125547466,0.4452104081,1.2016315154,0.9188146725,0.6848570951,0.7486108838,0.411538656,0.3068871772
08/1973,1.6487787324,1.0441733099,0.8286385073,0.5809723488,0.2651163527,0.7864054193,0.6311707231,0.7587854861,0.5215921018,0.3675252235
09/1973,1.9091776025,1.2280804332,1.0108492004,0.8431702576,0.6705370131,0.5090228749,0.2671513712,0.4116522622,0.5491759115,0.3699281395
10/1973,1.7071102667,1.0869710698,1.0247769458,0.7950591228,0.7229107427,0.5002528817,0.3448522694,0.2626154969,0.4392612606,0.4812363286
11/1973,1.6984712645,1.2106565114,0.8711604528,0.8455241467,0.7417447169,0.6655828353,0.4382703758,0.2950962914,0.2840342328,0.4858473719
12/1973,2.1888831893,1.343266864,1.105470867,0.9098077084,0.8178570864,0.7017582316,0.6236282226,0.2691617541,0.2742525509,0.4899247084
01/1974,2.1867282811,1.2771223574,1.1238797766,0.8770491143,0.7591943469,0.6919039262,0.5971796465,0.2789058633,0.2317852947,0.5011849054
02/1974,1.247522684,1.3610866202,1.1104769014,0.9491070897,0.7277869192,0.6336592518,0.5688319374,0.3006299395,0.5249955361,0.4437574884
03/1974,1.5100307635,1.3563008396,1.0976407623,0.9659772861,0.7367253222,0.5799569347,0.5416349762,0.4427659932,0.2623193181,0.5924836168
04/1974,1.5905283172,1.4381874526,1.1436276668,1.0510912105,0.7720204471,0.5937724894,0.5806780775,0.4088209508,0.2850726907,0.6523685257
05/1974,1.7148980629,1.4041511789,1.1132272154,0.94848547,0.5868906785,0.5348740034,0.4043633685,0.9212997856,0.8397676595,0.4596585745
06/1974,1.7476615976,1.2652360471,0.8043680039,0.6303712718,0.661291156,1.2479628071,1.1168189208,0.880875237,0.5858785156,0.3725940378
07/1974,1.848588365,1.3973394305,1.1123480039,0.5974562501,1.3642682427,1.3190840609,1.0558416825,0.8292238333,0.620132166,0.4220327599
08/1974,2.0760620132,1.44631446,1.2994267769,0.9737749266,0.5803470674,0.7396234262,1.3491081107,1.1152847571,0.620488706,0.5833512063
09/1974,2.3862634549,2.11799346,1.3888613356,1.5325487797,0.9848990216,0.8031682695,0.6458719372,0.553417926,1.3112153972,0.8948763921
10/1974,2.6324094423,2.2472050334,1.5548743552,1.7613210734,0.9942684125,1.006656339,0.9316111572,0.7500711218,0.5674798085,1.3810580355
11/1974,2.018866605,2.1233501593,1.7395893416,1.2368184429,1.0591875856,0.9523599711,0.7023391238,0.666996109,0.5042614463,1.1190755567
12/1974,2.1280699349,2.2432866286,1.5502642393,1.3406029044,1.0882956349,0.9755608036,0.8478723542,0.6049582418,0.4813739136,0.9395344882
01/1975,2.1791415113,2.2221952515,1.6044497843,1.3551539319,1.1658378726,0.994625013,0.8564996945,0.6069410671,0.5542722392,0.9734778328
02/1975,1.884783267,1.5340322834,1.1150939303,1.189198081,1.0237187923,0.9194635855,0.5892254898,0.3935930754,1.2912270672,0.6591093839
03/1975,2.0917575837,1.6800859236,1.2524115109,1.1641341803,1.1179597216,0.7413416578,0.5148432511,0.5394044906,0.5119352462,0.7911217201
04/1975,2.2345988961,1.5839727911,1.2311231557,0.9448607319,1.0642313082,0.6926998318,0.5284118425,0.5319941823,0.5210289106,0.756491218
05/1975,2.3096112027,1.4087103125,1.377908966,0.8773038482,0.6189953774,0.6844576847,0.4626537687,0.807222561,0.9737032968,0.4910643263
06/1975,2.2615302893,0.9614219983,1.0710908504,0.7714636047,0.7549401627,1.1439837426,0.8576662505,0.7568338223,0.6109976159,0.2947819285
07/1975,2.2623303465,1.2121278159,1.0968132307,0.6346204235,1.021937009,0.9930777248,0.7984646465,0.8643846071,0.6634287018,0.3382994789
08/1975,2.5197535765,1.3654894375,0.9977693018,0.4894822989,1.0849074205,1.2373594795,1.1584127646,0.8946580692,0.5375433506,0.3845089415
09/1975,2.3986771947,1.4083694888,1.0278910001,0.6896008155,0.4887412177,1.5151374641,1.0749653881,1.0967651402,0.6509441375,0.3895091811
10/1975,2.3946157418,1.5149931537,1.0897250257,0.8051217577,0.4515960681,1.5501395763,1.2280585155,1.1114695787,0.6673762767,0.4043651773
11/1975,2.35391381,1.5980382857,0.92360323,0.6708332753,0.5780398875,1.662077213,1.0025197862,1.0956863195,0.7370431663,0.3593099621
12/1975,2.0937300629,1.4598285692,0.8770943925,0.6608390559,0.8809672674,1.1685996321,1.0811969276,0.9134484857,0.5590737164,0.3531612678
01/1976,2.0194794044,1.5072034803,0.8944015316,0.6927274953,0.8566272056,1.2073252475,1.0971476641,0.9635428747,0.5632921369,0.3613419816
02/1976,1.629296469,1.2414164049,0.9530459877,0.5990138813,0.6506510114,1.1212737251,1.0062026775,0.8508722444,0.6076165638,0.3033917578
03/1976,1.5654476194,1.2243501629,0.6946836048,0.4799797733,1.2028295649,1.1401355371,0.9615382576,0.8596718098,0.5182012319,0.3090330834
04/1976,1.6890309477,1.2107157463,0.8132540922,0.512715974,0.8343892587,1.1238996018,0.9874670796,0.7908615928,0.4953210221,0.3046865096
05/1976,1.7710879899,1.3476402102,0.9718510635,0.589061959,0.5664786647,0.5731580297,1.2044216231,0.9451486753,0.6064540063,0.369586482
06/1976,1.688187718,0.9106971125,0.6856117018,1.3938635001,1.0984431103,1.1225726749,0.811548838,0.635642445,0.4207123065,0.4030030921
07/1976,1.4699611067,0.9310717218,1.2262119779,0.9896272716,1.1840555039,0.9833026776,0.7736826122,0.6530722406,0.4277663939,0.4594445306
08/1976,1.4661793861,0.9375359701,1.2498416946,1.2821880398,1.0938830012,0.9402428747,0.67305728,0.626772999,0.3947269557,0.4920462311
09/1976,1.3823433821,1.0955797013,1.3504736245,1.1712504774,1.0441553548,0.8078181471,0.636367957,0.6137943181,0.4049860706,0.4661639528
10/1976,1.312891428,1.0834829554,1.2978149283,1.1119526296,0.9851794227,0.8020301363,0.6251856715,0.5886562002,0.3914540373,0.4494240239
11/1976,1.3656404768,0.8887520001,1.4548481353,1.2615363457,0.9849904867,0.8503577259,0.8492611558,0.5533006376,0.4305991717,0.357798719
12/1976,1.2445789622,1.1475042799,1.6071166477,1.222117277,0.8672816851,0.9423116777,0.7806420186,0.5332682837,0.4243695491,0.3551445982
01/1977,1.1668820562,1.0621631959,1.526749737,1.1519881461,0.8137402751,0.8674582162,0.7544461314,0.4974883738,0.3988893035,0.3420880711
02/1977,1.303509318,1.053972483,0.8656552238,1.4412784497,0.9579542017,0.9018288818,0.7645021485,0.6692219058,0.377981627,0.3623701662
03/1977,1.3380933479,1.0198721142,1.4546897816,1.1683036537,0.9712976237,0.8962106449,0.7440221549,0.5376511844,0.4243149866,0.3972336644
04/1977,1.3285307562,1.0238164184,1.4268297627,1.0842743691,1.0205264163,0.8669914138,0.7480341487,0.5248687172,0.4403445084,0.4387409781
05/1977,1.7318854479,0.9384256112,0.8664741264,0.613602114,0.8858375971,1.1955135931,0.9802279833,0.6839438413,0.4178042652,0.4891520759
06/1977,1.505610828,0.9005667624,1.0809714765,1.2135594865,1.0473849859,0.9713971844,0.7579314847,0.6038736253,0.4186796447,0.5522508891
07/1977,1.352043657,1.1748342224,1.3681826745,1.1913382524,1.0317827383,0.9530308597,0.7557003958,0.6610819021,0.4589608103,0.5896059943
08/1977,1.0773181025,1.7011491984,1.347521958,1.0930764313,1.0228436562,0.9518961249,0.8540952556,0.6512738956,0.4654066056,0.5986772959
09/1977,1.4480659427,1.4976310752,1.3406461837,1.1478871838,1.0260087127,0.910747594,0.786711203,0.6687853554,0.4799725273,0.5570191933
10/1977,1.3439874265,1.5613784038,1.331119803,1.1304749874,1.0209731281,0.9170585947,0.7867593355,0.6908164629,0.4778894032,0.5485705246
11/1977,1.3115252057,1.3380024815,1.4682077189,1.1062965939,1.1569896713,0.9982949246,0.882686472,0.6978832473,0.5157237242,0.5037172249
12/1977,1.4473440294,1.7546998373,1.3275671087,1.0533677251,1.050209958,0.9425957599,0.8084062694,0.6390266214,0.4633785179,0.4895631447
01/1978,1.4239408334,1.7560549953,1.2916579229,1.0359604194,1.0369187404,0.9332771646,0.7940774819,0.6253896509,0.4561712968,0.4920662196
02/1978,1.4698004066,1.2765707379,1.4442255409,1.2179836066,1.1036737238,1.0022196178,0.9338237123,0.8049224128,0.5454174408,0.4049252111
03/1978,1.500861609,1.7879507109,1.3847702403,1.148840761,1.0876378745,1.0638008713,0.8518198858,0.7809713989,0.5904293753,0.4947092094
04/1978,1.5265308609,1.6304372248,1.341872603,1.1054143468,1.0464316321,1.0051278032,0.8042062654,0.7123853806,0.564779772,0.5109127449
05/1978,1.6467973622,1.1196612434,0.7187430335,0.6155650623,1.4972922662,1.1107087618,0.9898088424,0.8101819305,0.4838792732,0.4985245135
06/1978,1.5774129826,0.7924613858,1.41719068,1.175382916,1.0593157004,0.9182970831,0.7900542611,0.614791926,0.4967399378,0.5471611281
07/1978,1.5088593746,1.5603151326,1.3356625877,1.1443161985,1.1784583381,1.0469280861,0.8737792906,0.6743885236,0.588862336,0.549944534
08/1978,1.1690592318,1.4745323377,1.288308727,1.2221058995,1.0605391054,0.9502717439,0.7880388758,0.7328011333,0.5110901964,0.5606288311
09/1978,1.2791465221,1.4764096848,1.2566485608,1.0751196161,1.0074491312,0.8714687085,0.7657499364,0.5045376383,0.5436382133,0.5246855488
10/1978,1.2445027409,1.4653378574,1.2273116453,1.1697069867,0.9928101098,0.8666900315,0.7708106829,0.5217105206,0.5712755661,0.5204240368
11/1978,1.1875958329,1.2431458484,1.519347736,1.2322866909,1.2508332711,1.1206760369,0.8831201777,0.7173784606,0.5424662951,0.4809492045
12/1978,1.4272399888,1.7274819826,1.394112174,1.1776932143,1.1669884273,0.9948119896,0.8247975376,0.6736721846,0.517786958,0.4509702842
01/1979,1.5525264029,1.6888245683,1.2993842682,1.1194733914,1.142207815,0.9879925102,0.7889590011,0.6391058642,0.4828891253,0.448163045
02/1979,1.4015424266,1.1129963912,1.4105300974,1.2032382502,1.2366000324,0.9202518181,0.9347642416,0.6889901231,0.5438568143,0.3444382829
03/1979,1.2746185804,1.6158583703,1.3186941815,1.3160781882,1.1319082775,0.9467608393,0.8735366421,0.6444017978,0.6820615389,0.3992329784
04/1979,1.2575857915,1.4756053863,1.2626323225,1.2209263865,1.0702131635,0.8819554477,0.7975625499,0.6205912706,0.6355047496,0.4057729266
05/1979,1.3257010659,1.142708213,0.7132875411,0.8554090572,1.3241022581,1.2368079905,0.9860276623,0.8367538703,0.4935974028,0.5584557454
06/1979,1.133559836,1.0615672343,1.4299760268,1.29280929,1.0585743985,0.9614400239,0.8739051633,0.6048125941,0.6688629167,0.5706328165
07/1979,1.2560420978,1.6177983249,1.2117039843,1.36810715,1.1393759604,0.9711207285,0.9049441469,0.6425272607,0.7707369469,0.6147961889
08/1979,1.1652277858,1.4100532141,1.3651564953,1.2770327615,1.0863624206,0.9942093732,0.7285174382,0.7769565281,0.6833922409,0.4829489026
09/1979,1.2854109485,1.3569941733,1.3977132599,1.1576549248,1.0883419953,0.9259527994,0.6236695084,0.7478807222,0.6304642528,0.4384694258
10/1979,1.1820501214,1.396082628,1.4515014153,1.1308656443,1.1110412983,0.926332464,0.6361475615,0.7527586885,0.6332304315,0.4359825125
