date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
08/1971,,,,,,,,,,0.1309770711
09/1971,,,,0.1352021379,,,,,,2.6027031986
10/1971,1.1471694913,0.5562392935,0.6470794548,0.6476204328,0.8659932745,0.5434057914,0.4730772516,1.0874962596,0.4331916261,1.0067105252
11/1971,1.7668322265,0.3092999845,0.3341058438,0.4621977849,0.4579625623,0.6865127628,0.730112136,0.8841427858,0.9073219122,0.869573393
12/1971,1.6657882676,0.4166749609,0.2830123205,0.4105021253,0.438653845,0.6116141199,0.7298227207,0.9049524369,0.776897464,0.9417297377
01/1972,1.4021869018,0.3053860433,0.3024048338,0.3705300393,0.4263922453,0.6143752826,0.6187662823,0.8387233928,0.7225565774,0.8419500402
02/1972,0.9771087395,0.2582585186,0.2238112663,0.3351758446,0.5968971028,0.59450312,0.6986477248,0.9112777428,0.717224395,1.0076659869
03/1972,0.7168370026,0.1873239139,0.3679707598,0.3911622942,0.5028321426,0.6434895528,0.7123405104,0.6636446784,0.8327994973,0.9078054349
04/1972,0.9953491779,0.3154714294,0.2152620467,0.3825558417,0.3697115514,0.6517369209,0.7096955543,0.6843241715,0.832227494,0.7524734128
05/1972,0.6831219183,0.2307652261,0.1874957772,0.4086400178,0.3456402098,0.5545874428,0.6923424437,0.7148020888,0.8343194863,0.7409252953
06/1972,0.6152181346,0.2177967565,0.1775796706,0.3685670119,0.4210306826,0.5825713512,0.7282642585,0.670551175,0.9639640094,0.7194395582
07/1972,0.7037564058,0.2105788029,0.2056010473,0.365438361,0.4731729934,0.6311378151,0.8428384803,0.7578188243,0.9332172387,0.7985730797
08/1972,0.4904771187,0.1811127072,0.3216165351,0.4453889845,0.438326187,0.6659688031,0.7951443647,0.8015073055,1.1144999728,0.8525997021
09/1972,0.4561837762,0.1907688596,0.2950287852,0.4091515355,0.4772973835,0.6896882171,0.7990832185,0.8158069393,0.8656954482,1.1889153457
10/1972,0.2954221602,0.205091994,0.2836190428,0.4613602921,0.424290073,0.7258752176,0.7902179183,0.8700417568,0.8546514931,1.2210278081
11/1972,0.4874438262,0.2348667696,0.3039479729,0.3757300413,0.5777286087,0.8257245799,0.7607673986,0.8407231568,0.8866580879,1.0537972245
12/1972,0.5169858261,0.2104387377,0.2798178597,0.367312205,0.5573725863,0.7341336719,0.7279050489,0.823058588,0.8526996625,0.9639500101
01/1973,0.3800311468,0.2150792393,0.2873563088,0.3710866952,0.5688295784,0.7312741402,0.7526289463,0.8708535631,0.6480943077,1.0044865479
02/1973,0.6543750109,0.168208152,0.2541249441,0.4721593632,0.6465249569,0.6182465827,0.8556598151,0.7246855413,0.8786924614,0.8356967733
03/1973,0.4171901566,0.1804528166,0.3603344346,0.4735943647,0.6560076393,0.7613282217,0.8396617262,0.6933238221,1.0523733152,0.9773958335
04/1973,0.3144633038,0.1731738476,0.3272567834,0.4131667774,0.6973992521,0.771460114,0.8214336023,0.693225537,1.0425467524,1.326406263
05/1973,0.2466299943,0.200401896,0.3548835027,0.4187740562,0.6671463452,0.7622482436,0.7817759597,0.9916014512,0.8620192119,1.2475332807
06/1973,0.2584082111,0.2075702749,0.3735326114,0.5150067411,0.7271198996,0.7687364532,0.8193995828,1.1186407053,0.8781145367,1.343209076
07/1973,0.2705306461,0.2320016598,0.4435517811,0.6113278596,0.7645095331,0.8007780648,1.0391077886,1.2579380261,0.89576603,1.5328701019
08/1973,0.2162121002,0.273825388,0.4329108642,0.6305999192,0.8731463801,0.8989969933,0.886572528,0.8797275665,1.3972484491,1.5586920291
09/1973,0.2096903808,0.3004686843,0.5123958547,0.7202393058,0.951279736,0.8726773102,1.1425412549,0.9054158566,1.4259444584,1.618900444
10/1973,0.2202397027,0.3024424976,0.44728565,0.7934209152,0.776153879,0.8276819806,0.8543365747,1.058959448,1.2268829579,1.4880172741
11/1973,0.2965127119,0.2268688227,0.4502375731,0.6307469312,0.8780494338,0.7551323442,0.9375024845,1.0122961095,1.2141592083,1.3957928072
12/1973,0.2962337228,0.2500492456,0.5034090492,0.7903548736,0.9149770535,0.9804792292,1.129524002,1.199475963,1.5308956692,1.532777807
01/1974,0.3102487367,0.2439589895,0.5133148445,0.6982122629,0.8007932309,1.0155640498,0.8826458092,1.203937693,1.4487972168,1.5909707633
