date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
01/1973,0.4860618823,0.3031671955,0.4236133277,0.4116898373,0.2969544597,0.524909891,0.2555641123,0.3707162516,0.2547111223,0.4513378717
02/1973,0.513750401,0.2198907922,0.5092357431,0.3952627754,0.4368054119,0.5441019481,0.5354353118,0.693715209,0.3096948185,0.5336752357
03/1973,0.5444052808,0.2896912265,0.5431751452,0.4898336413,0.383154038,0.3108337266,0.5445498932,0.7475359572,0.7903330501,0.3378677793
04/1973,0.4913200286,0.2932082065,0.4604031363,0.3225438706,0.4701414102,0.3051174652,0.4092480322,0.5754207459,0.4196168459,0.4812913172
05/1973,0.6334155714,0.2263288355,0.5752574614,0.3668118853,0.3744663048,0.3716672218,0.4363668448,0.74755545,0.4112037862,0.4535312896
06/1973,0.6458908225,0.2092235617,0.4163029616,0.3406480866,0.4459774308,0.3445055677,0.5584952121,0.5286460367,0.2548934706,0.5894106236
07/1973,0.7100904637,0.2930847383,0.3049695326,0.4988829406,0.3588963042,0.3651470278,0.4478651472,0.6859792884,0.2624588862,0.6515521107
08/1973,0.639995038,0.3106613379,0.278841421,0.4158866056,0.2928836107,0.3131713614,0.4743200293,0.4686286491,0.355031704,0.7460378782
09/1973,0.6336080448,0.2652073467,0.2995884274,0.4880678075,0.6086086015,0.2275434862,0.3009413235,0.621034407,0.2915638011,0.6771649215
10/1973,0.5477809568,0.2771071107,0.2373385104,0.3952739781,0.2405484791,0.541649037,0.3659686744,0.5614496287,0.358586894,0.6399384554
11/1973,0.5166105209,0.3019680358,0.278715268,0.309641774,0.4931621218,0.3285988178,0.3741382597,0.4687129034,0.3173076773,0.7340826273
12/1973,0.3339104214,0.4077616819,0.2570024554,0.5224911869,0.3663675577,0.3984190352,0.5056953883,0.3416351857,0.3702184347,0.8068386636
01/1974,0.6065295428,0.2984209176,0.278281485,0.4036925234,0.4074324427,0.2340471195,0.4389767822,0.4379793703,0.3082494511,0.736684936
02/1974,0.3621706088,0.3116464531,0.4443490701,0.3182781533,0.5707144348,0.6781539839,0.6781432682,0.4333884803,0.6807075626,1.014350852
03/1974,0.3439795264,0.3326711314,0.4167789551,0.3995541699,0.6313597918,0.6150759912,0.5104207363,0.4007134321,0.7240666128,0.9874683296
04/1974,0.3521183423,0.3261012555,0.3834660889,0.5042806404,0.431021644,0.5087702923,0.497988594,0.6057365008,0.7349328089,1.0004520592
05/1974,0.3722327795,0.3495406002,0.3943362893,0.505008432,0.5550967435,0.5301626591,0.5602710104,0.5819652942,0.6924493943,0.9689252098
06/1974,0.4810000672,0.5315399586,0.4136217488,0.3425650248,0.4552515525,0.4961904303,0.7802771427,0.8396345857,0.9953368277,1.1424039884
07/1974,0.3783028448,0.5194509974,0.472293068,0.4812626278,0.5652119435,0.5141641593,0.7967966286,0.5386994644,0.9623974423,1.1730253415
08/1974,0.4523913898,0.5226390867,0.45101557,0.4027927643,0.8390064834,0.5463788721,0.5688853144,1.1079936273,0.9914284751,1.286925779
09/1974,0.611864321,0.8585704716,0.5937222758,0.6274331621,0.4950676538,1.1103389644,1.059422098,0.6552428446,1.2221404227,1.4096824995
10/1974,0.6112793476,0.601844858,0.626203048,0.6261074701,0.6542093105,0.6731171695,1.1807829064,1.0525253148,1.2832945289,1.3653598879
11/1974,0.5178009881,0.5073717097,0.6537629496,0.5301892661,0.4546799385,0.9001297813,0.9891730366,1.1121071302,1.2492103101,1.4151752158
12/1974,0.4796493075,0.5353612447,0.666185351,0.4728555302,0.6767408674,0.6042295943,0.8120321267,0.9760934422,1.3002851926,1.5629072112
01/1975,0.7429129481,0.537013716,0.6352251194,0.6855135553,0.6458260822,0.5451562363,0.7757354286,1.1929175814,1.1923480453,1.5476149547
02/1975,0.5881067707,0.5845384325,0.4343102602,0.4541611877,0.6867166996,0.7603188148,0.8471181848,1.0632668487,1.1843720837,1.1667496207
03/1975,0.5277468346,0.6324029165,0.4538340443,0.4234349383,0.4865331295,0.8719246824,0.8322398039,0.9340168726,1.1771650458,1.2609271735
04/1975,0.5384797901,0.6420651711,0.3970799682,0.5277445046,0.4240936492,0.4594753553,0.9340111991,0.8951335962,1.1513598027,1.239641002
05/1975,0.4956447927,0.5415655744,0.481983239,0.3609714463,0.4811341033,0.6892058394,0.4759388626,0.9606240524,1.1285538019,1.1703099712
06/1975,0.4279363697,0.6490709845,0.4011142053,0.3401594395,0.574314286,0.4450168557,0.8382401074,0.847686523,1.121749991,1.0817552816
07/1975,0.4216504438,0.6384798324,0.4017020105,0.451338959,0.5115924322,0.7395059762,0.6545747852,0.7570182123,1.1754899966,1.028827187
08/1975,0.5095527132,0.7508190396,0.4899604279,0.5456132603,0.5037308478,0.7016837107,0.6467602288,0.8210157294,1.2045826992,1.1415292116
09/1975,0.50982446,0.7244065847,0.7946648355,0.5261440778,0.3924812948,0.6705508209,0.8174347085,0.6479826289,1.0144356687,1.195756913
10/1975,0.4811475907,0.7261128718,1.0409689693,0.3913611425,0.5288293674,0.6117411493,1.043366967,0.8470871092,1.1419980903,1.2344221579
11/1975,0.5040528993,0.7000175018,0.5903856905,0.3808183325,0.4395924596,0.6412822647,0.9416276402,0.670563672,1.2406957874,1.213469647
12/1975,0.4674865503,0.5964350385,0.6573652542,0.4052082447,0.6165501243,0.4973922954,0.922497405,0.88017224,1.0027510753,1.2016738522
01/1976,0.5150029079,0.7492105932,0.5535719815,0.4782421618,0.439871162,0.7819716385,1.0003609384,1.0562438413,1.1409495448,0.9089561529
02/1976,0.5383131389,0.6267642837,0.5704252087,0.652056999,0.4418548299,0.5115622184,0.6537899494,0.7787233064,0.7287228106,1.0492651407
03/1976,0.502608894,0.6191685999,0.6957225945,0.5683211616,0.4838266943,0.4486113776,0.7292764676,0.5789096449,0.7813908506,1.0404298862
04/1976,0.5522780929,0.6016307401,0.7335310428,0.5071429407,0.5278809267,0.4006607749,0.778556376,0.5113702742,0.8610322542,1.0923509378
05/1976,0.4730789783,0.5781375045,0.6072546358,0.6700995701,0.4628865407,0.5064799944,0.6361662902,0.6208218911,0.8611166564,0.9252703065
06/1976,0.509946109,0.6100080422,0.5482578083,0.8062325112,0.4793535835,0.5666648707,0.5965990986,0.5877194063,0.7249378683,1.0720212195
07/1976,0.5615454788,0.6854528762,0.6498817508,0.7061661491,0.524970973,0.6685523463,0.6459981995,0.5495780244,1.0160562291,0.9107172015
08/1976,0.5486482548,0.7209409791,0.5175166095,0.6382873085,0.6339419536,0.6415840013,0.8696155975,0.5622881445,0.7899902674,0.8115492299
09/1976,0.6012054172,0.6543014571,0.6935504821,0.5974698051,0.5468124568,0.5337405893,0.786532948,0.5796015656,1.0704572986,0.9620812423
10/1976,0.5914369609,0.5537142778,0.6948645303,0.6251152038,0.5562416461,0.5535742117,0.7461653316,0.5059066348,0.9590323636,1.0146864033
11/1976,0.524294681,0.6213602628,0.6152479279,0.5520364279,0.8310059365,0.6391549861,0.5932518391,0.5541220267,0.9806311911,0.8022808226
12/1976,0.6184264579,0.5804529325,0.6385742913,0.762745517,0.5971167416,0.6339263677,0.7174016074,0.7256625745,0.7693897679,0.9826436636
01/1977,0.6663306621,0.6162400037,0.5982643283,0.8688702477,0.5685673057,0.5778133965,0.7467186189,0.7471528564,0.5789411955,0.8625188035
02/1977,0.6982249743,0.6623428883,0.6951441686,0.7011577278,0.5969646239,0.6592976315,0.5799144563,0.534635553,0.8889424167,0.9389732005
03/1977,0.7707075157,0.5661097413,0.6548045678,0.7581100105,0.7077995371,0.5464599805,0.4922503089,0.7614278132,0.8814513406,0.9780500132
04/1977,0.7111188537,0.5979170055,0.8216488284,0.6334193859,0.5643370161,0.4441552248,0.9568384337,0.6723316229,0.9009253201,1.0059606572
05/1977,0.6506616052,0.6946303511,0.5999754741,0.6815654181,0.5643009617,0.6845767699,0.5526376465,0.6944626584,0.9173321524,0.9246217135
06/1977,0.6327754224,0.7434842869,0.7243344573,0.6009082836,0.5899560942,0.6025479198,0.7262485504,0.7924586779,0.8938570391,0.9666632376
07/1977,0.7125582357,0.8777080933,0.6590828599,0.7717874035,0.5739028569,0.6710820504,0.7396757529,0.8954951402,0.989756672,1.028226119
