date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,0.5939961071,0.6446047721,0.704207116,0.9772694859,0.7690967565,0.7279160173,0.6066579541,0.4189528884,0.5163877538,0.4110964153
08/1963,0.6365058203,0.6408056413,0.6832283369,0.9679349558,0.8252136556,0.6615552571,0.6481496957,0.4333869612,0.5119821206,0.4130977652
09/1963,0.6311775457,0.5647904828,0.596469817,0.7940498653,0.8603206172,0.5535479623,0.6062347067,0.4317137678,0.4838942098,0.402455469
10/1963,0.6335534946,0.6649536867,0.6707589194,0.7196013052,0.9447083419,0.6009622715,0.4500486647,0.5402264366,0.4981964879,0.4061959046
11/1963,0.5053387262,0.51146512,0.7722561856,0.760914554,0.8593286048,0.6471136965,0.4088299473,0.5468781783,0.4684767909,0.3995430045
12/1963,0.4445290165,0.7795498405,0.7125883305,0.8916779581,0.7256886878,0.7757975659,0.4324228252,0.4988889325,0.4648838941,0.4104096183
01/1964,0.4451697945,0.6475122946,0.61430285,0.8196999395,0.9489451835,0.7183660789,0.5336597927,0.4929790828,0.4782717779,0.398350632
02/1964,0.4773816366,0.5103167858,0.775831697,0.8089196926,0.8040768076,0.6955477036,0.5998284675,0.4629788863,0.5028314123,0.3790967074
03/1964,0.4955577493,0.6242335176,0.6015866595,0.749376199,0.6036156719,0.7709311696,0.5386747705,0.5028371127,0.4642191093,0.3799197494
04/1964,0.4901884189,0.489651983,0.6199026018,0.7125574832,0.790493314,0.6357556949,0.5657883034,0.4704395967,0.4483068692,0.3787824097
05/1964,0.4894369054,0.6626279863,0.7004387102,0.6784287906,0.7511740523,0.6709470561,0.5653617094,0.486595041,0.4708613526,0.3624878338
06/1964,0.5382350403,0.5462372514,0.6409658984,0.7071272687,0.791253124,0.6847580414,0.5865847102,0.4682552965,0.4641117602,0.361336335
07/1964,0.5459661584,0.7052457169,0.5794436013,0.812044408,0.7250387728,0.711086718,0.6415800575,0.5307858697,0.4964113763,0.3796330359
08/1964,0.5731576618,0.6779538979,0.5185216491,0.7896552386,0.6280752854,0.7630466739,0.6290750213,0.5203893624,0.413610559,0.3825942595
09/1964,0.560692764,0.6649150782,0.7630978146,0.5651992856,0.6842817469,0.7750133072,0.631104848,0.5176260996,0.3505280396,0.3894637782
10/1964,0.5385680353,0.6992517115,0.692944933,0.666400041,0.6965740178,0.7432655834,0.5202217903,0.485229365,0.3198148229,0.3878661869
11/1964,0.6322750165,0.6607033248,0.7210560352,0.7113241936,0.5749245959,0.7485408184,0.5278674149,0.4619255994,0.3325080733,0.3801069103
12/1964,0.6573332275,0.6501957453,0.7121506931,0.8360274434,0.6008535656,0.702551467,0.5455499786,0.4595840219,0.3221933606,0.3879545141
01/1965,0.6664098047,0.7692324071,0.6405506027,0.5951355178,0.7830113521,0.7141916881,0.5549576109,0.459629404,0.3943302112,0.3582516723
02/1965,0.6078270974,0.7644320083,0.5815290187,0.5304167722,0.6782730897,0.6757138037,0.5398822979,0.4795811999,0.3039210832,0.369314039
03/1965,0.5362563724,0.7087739392,0.5875379842,0.4637153477,0.6522002148,0.6390268405,0.5631418823,0.4795417634,0.3593678404,0.3815633307
04/1965,0.5288962669,0.6446402605,0.686415012,0.5287035246,0.5831459908,0.6226960556,0.5855677978,0.4978927571,0.3802189866,0.3849824197
05/1965,0.5672150041,0.5734271134,0.5718123273,0.5568573974,0.6808343136,0.5654829015,0.5497210784,0.4259763971,0.4454933317,0.3574676761
06/1965,0.5637231536,0.5377005268,0.6280450974,0.5167574852,0.735115286,0.5993579852,0.5643749147,0.4456637486,0.4433261993,0.358083103
07/1965,0.574229713,0.6682532712,0.7085019358,0.7685103912,0.7004606953,0.6605268895,0.6404095634,0.5672274254,0.3789222483,0.4009746725
08/1965,0.5606227145,0.5950450284,0.6886000014,0.7790876595,0.6695110224,0.6542209406,0.6046214707,0.5626697914,0.3509853374,0.4012223464
09/1965,0.4980136401,0.607709849,0.6017162123,0.5635188685,0.8815613911,0.6461984778,0.5497536882,0.5285525346,0.3112566545,0.410690322
10/1965,0.4512597637,0.5586376953,0.579905599,0.5862398804,0.7534766709,0.6364830502,0.5908712131,0.4617833116,0.300234617,0.4025749744
11/1965,0.4393443126,0.5344306864,0.5415475515,0.5686610156,0.6926455576,0.6183903122,0.5490451437,0.4799934199,0.3533292478,0.3748261447
12/1965,0.4225689458,0.6241052645,0.5679735825,0.4938020257,0.5458045006,0.7097088064,0.5617794582,0.4401649496,0.39950838,0.375871992
01/1966,0.4273308316,0.5150264342,0.549282857,0.6179721854,0.4650375667,0.7131575161,0.4814200922,0.4555715841,0.4069946116,0.3820552903
02/1966,0.3829995326,0.5565823034,0.4559433591,0.6164494012,0.5202158051,0.6868803159,0.4735907821,0.4440344479,0.398077478,0.3890483115
03/1966,0.3248184975,0.5587564466,0.4396595592,0.5898399733,0.6762217199,0.6235337515,0.5278157988,0.4656640755,0.3214823708,0.4242316982
04/1966,0.3246512907,0.4571564644,0.4961088798,0.6529106375,0.6257659878,0.5763239203,0.579009268,0.4841491896,0.4279179071,0.4099848298
05/1966,0.3116645126,0.4385612951,0.4482993533,0.6333616508,0.5551572644,0.5567768673,0.6017855531,0.4738322852,0.4515311054,0.4016508737
06/1966,0.3496965385,0.5092768654,0.5715226011,0.4410903423,0.6709798999,0.6295119649,0.6505739929,0.5326870546,0.4316445972,0.4224817409
07/1966,0.3561355324,0.4644988894,0.6203144428,0.4727302744,0.7249752993,0.6644251699,0.692386841,0.50656648,0.5067169554,0.4465904895
08/1966,0.3379141153,0.4794247451,0.7147738942,0.5120526448,0.5765241258,0.7726091189,0.6367293567,0.5594754378,0.3850420474,0.5047561451
09/1966,0.4279357351,0.4506752734,0.7856515249,0.7045288192,0.5846834345,0.7971602993,0.6396701187,0.6895487337,0.3906103908,0.5395674385
10/1966,0.3946072486,0.716188784,0.7067211845,0.634060284,0.6730605097,0.8071146202,0.5986737943,0.6943405046,0.4047324534,0.5105915694
11/1966,0.4224737373,0.7511846209,0.6811467849,0.6634916574,0.666367807,0.8282312122,0.5318965713,0.564212216,0.3447900883,0.5207114596
12/1966,0.3428611652,0.5763925977,0.7427724491,0.6854878369,0.8167017712,0.6529309243,0.5342181732,0.6210777512,0.3296717185,0.5328014999
01/1967,0.3392994646,0.5433812171,0.6831339502,0.6781327091,0.9373595616,0.6208263493,0.5549257246,0.58525782,0.403301311,0.4888000094
02/1967,0.2923137475,0.4106958257,0.5585806766,0.5984320088,0.7584400698,0.6281813547,0.5373002301,0.515317565,0.4547223131,0.4568433278
03/1967,0.2972353468,0.4179977767,0.466257259,0.6153635446,0.5721252308,0.7377776225,0.5988492147,0.5430378858,0.5163273296,0.4390477164
04/1967,0.3407140592,0.3691361198,0.4501932949,0.5786031357,0.5732549747,0.5308638089,0.6746679179,0.5687293726,0.5192973246,0.4236521195
05/1967,0.3780538255,0.3608412338,0.4343325898,0.5118713471,0.4872794921,0.5130181066,0.6167238856,0.5869774015,0.5010709099,0.4585161215
06/1967,0.3724834599,0.380848898,0.453312167,0.5073354571,0.4498202198,0.5291881101,0.6461023385,0.6070565181,0.5375682831,0.4289655811
07/1967,0.3479117997,0.390073347,0.4978951676,0.4824984879,0.5143560454,0.6449502392,0.6065046797,0.6702536361,0.456562629,0.4533952647
08/1967,0.3330340245,0.3753964268,0.4784295849,0.4880608104,0.5634269331,0.5572137089,0.529616558,0.7223651174,0.4455038624,0.4331468376
09/1967,0.369640682,0.480483624,0.4086249635,0.4841972594,0.5714510385,0.562647082,0.6083971035,0.6259873418,0.4792431369,0.4374832228
10/1967,0.3735263882,0.435160255,0.420039037,0.4675578585,0.5603772828,0.5551208273,0.5644719839,0.6158779841,0.5215208808,0.4085626076
11/1967,0.3596170599,0.4318360255,0.4819418894,0.4547674787,0.5552468317,0.6913618845,0.4592181481,0.6584483364,0.6388402079,0.4043137699
12/1967,0.3566125005,0.420867604,0.3907312853,0.5187963612,0.6375959836,0.6136619784,0.531007756,0.6890080663,0.5876910308,0.4653238147
01/1968,0.3676203315,0.3186798522,0.4328733327,0.5051663315,0.5331048768,0.5493062624,0.5805882368,0.6584641823,0.4485451325,0.470852136
02/1968,0.4040545259,0.3328158137,0.4648617943,0.6172135371,0.4886324762,0.4912896954,0.6592918554,0.6848372029,0.504791323,0.4128609888
03/1968,0.4043350449,0.4371011874,0.4389098368,0.5247873738,0.5546229259,0.514516739,0.7281020268,0.6421266291,0.5486525168,0.4256586245
04/1968,0.3762795782,0.3931131373,0.4744875044,0.5316162068,0.5956744311,0.5163574189,0.612059767,0.6433137946,0.6300372038,0.4792291247
05/1968,0.3064542521,0.3962472852,0.4342471441,0.4749028258,0.5503073505,0.5291619643,0.5948319229,0.554994989,0.5345959022,0.4933806681
06/1968,0.3560757655,0.3775638656,0.4029762457,0.4704637348,0.5088008131,0.5317038793,0.6052098673,0.5373065189,0.5011494448,0.5012939736
07/1968,0.3424657708,0.3899915678,0.4954244331,0.5034200962,0.5024798492,0.5109004927,0.6685836663,0.5590062753,0.4753238243,0.4909094229
08/1968,0.375423932,0.4350851911,0.4547992717,0.534923703,0.5673898906,0.5698053591,0.546899718,0.6737180881,0.4652212882,0.4286638421
09/1968,0.367150716,0.4537133103,0.454704707,0.520943168,0.4973373751,0.5535597109,0.5898660619,0.5837646192,0.5214902599,0.4161331926
10/1968,0.3836262885,0.3647731429,0.463921952,0.4323044439,0.5640927436,0.5616370565,0.5808570617,0.4845556517,0.503943371,0.399469668
11/1968,0.386063939,0.3640063117,0.532024002,0.4259406986,0.5551798741,0.5314090379,0.5093895328,0.5561054637,0.4435276128,0.412969181
12/1968,0.362627301,0.3757118597,0.489986895,0.5381416889,0.422957696,0.4808365701,0.537392016,0.5103451943,0.4407866499,0.3882673518
