date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,0.4552852205,0.5475276674,0.5780408215,0.667415221,0.7690898052,0.9072291848,0.8895395973,0.991372919,0.9244927222,1.1977870815
08/1963,0.4539609912,0.5508395219,0.5862756738,0.6763393545,0.7897813005,0.9130978069,0.8948920131,1.0052551838,0.9336835693,1.202540031
09/1963,0.4346373401,0.5231480638,0.5585862616,0.6447105055,0.7580477032,0.8632985415,0.8451242191,0.9684404026,0.9103673954,1.1685402336
10/1963,0.4386353861,0.5338476354,0.5727664958,0.6656480423,0.7763349299,0.8806452869,0.8666036313,0.9854179025,0.9274467961,1.1754991096
11/1963,0.4229154864,0.523401914,0.5682939907,0.6548137366,0.7516272551,0.8742993767,0.8411173746,0.9653700375,0.9226608266,1.1692622341
12/1963,0.4318127126,0.5290427701,0.5708678815,0.659253903,0.7714703198,0.8871709776,0.8484899273,0.9680042983,0.935274891,1.1912765943
01/1964,0.4389355456,0.516868107,0.561935755,0.6436329844,0.777214494,0.8453086869,0.8428638702,0.9564039608,0.8976706869,1.205280062
02/1964,0.4259486212,0.5125254907,0.552461808,0.6387114687,0.7550389672,0.8161175931,0.8208037462,0.9340891604,0.8580721602,1.1481847078
03/1964,0.4193867318,0.503114075,0.537006859,0.6291376955,0.7411717376,0.8002410055,0.8019524575,0.911131765,0.8497381054,1.1204240379
04/1964,0.415492169,0.4940715968,0.5183606599,0.6166422118,0.7133885173,0.7672047974,0.7635914823,0.8753938164,0.8299256356,1.0893483039
05/1964,0.4129598467,0.4965335646,0.5268729577,0.6060317209,0.7209245848,0.7829078859,0.7674517467,0.8910878451,0.8262533503,1.1046879785
06/1964,0.4100043723,0.4946497984,0.5203019708,0.5983978327,0.7172346409,0.775572953,0.7507090812,0.8756211533,0.8315444443,1.1088683875
07/1964,0.429615649,0.5035979107,0.5571587781,0.641848453,0.6621112074,0.9249715613,0.8137741939,0.8685218693,0.8775537962,1.0875648652
08/1964,0.420838554,0.4876176692,0.5461996169,0.6325800203,0.6413558286,0.9064175328,0.8067386177,0.8463750338,0.8573210355,1.0414530241
09/1964,0.4104275488,0.4966299712,0.5451493753,0.6352408283,0.648367697,0.9075923631,0.8155183034,0.8614730609,0.8581817364,1.0432217502
10/1964,0.3999503615,0.4830271027,0.525449053,0.6176023755,0.6354654961,0.8914147549,0.7908400329,0.8428539177,0.8306851194,1.0111873326
11/1964,0.3974331497,0.479864689,0.5176063198,0.6097965909,0.6189314969,0.8702873444,0.7758632175,0.8311694058,0.8086188419,0.9990406696
12/1964,0.4018340184,0.4767557569,0.5150896555,0.6156075938,0.6152281811,0.8729631747,0.7911811536,0.8275390482,0.8033048489,1.0003012785
