date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,0.3589947439,0.4060450601,0.3966243299,0.4541311442,0.7905500673,0.8140038296,0.7952504901,0.8296791599,1.0281318425,1.0666677128
08/1963,0.3593625033,0.3995538356,0.3965045366,0.4522740605,0.7937344711,0.8349828586,0.8060892091,0.8456273303,1.0526578132,1.0743039579
09/1963,0.3477070538,0.3856328964,0.3791395538,0.4294771806,0.745977881,0.7827150048,0.7652893544,0.8116259017,0.9743126965,1.0358557305
10/1963,0.3481901238,0.3983985194,0.3889730938,0.431686203,0.7598350973,0.7941246862,0.7712850388,0.8344724408,0.983912139,1.0754507805
11/1963,0.3362953668,0.402674488,0.3783781409,0.4073914807,0.7455509341,0.7680005425,0.7601602227,0.8199436302,0.9502886538,1.0690296786
12/1963,0.338546209,0.410123526,0.3835604021,0.4248328148,0.7574108049,0.7791272451,0.7631131258,0.8120722479,0.958970672,1.0744312842
01/1964,0.3690993634,0.4008389441,0.3686928136,0.4128973023,0.7198204679,0.7715385849,0.7563394685,0.8023028523,0.9449521536,1.08527824
02/1964,0.3566586591,0.389295424,0.3645032102,0.3989839733,0.7121540249,0.7520586744,0.7395770756,0.793097897,0.9437328672,1.0822466685
03/1964,0.3463864397,0.3891266585,0.3643361454,0.3963639563,0.6891896112,0.7403329621,0.7249888742,0.7770059179,0.8795162091,1.052676172
04/1964,0.3496496399,0.3905994306,0.3543676107,0.3884999214,0.6718325542,0.7073521862,0.6904715043,0.7383397821,0.8580115813,1.0317490132
05/1964,0.3531982742,0.3770674856,0.3605552714,0.3797837923,0.6645039558,0.7308085852,0.6908490857,0.7618430936,0.8680134603,1.0126016735
06/1964,0.3539656486,0.3771102325,0.3591418271,0.3753429274,0.6456292765,0.7274189093,0.6792806337,0.7534363898,0.8559291178,0.9679360124
07/1964,0.3654769146,0.3630190177,0.4223131542,0.4190245718,0.6658716516,0.7244681682,0.7212706457,0.73487922,1.0493112624,0.9525721669
08/1964,0.3602457487,0.351817671,0.4151666931,0.4007845343,0.6560494358,0.7138556459,0.7015432536,0.7225158767,1.0362398688,0.9358932969
09/1964,0.331368226,0.3583717254,0.4238254637,0.4014246224,0.669605329,0.7150514813,0.7143356507,0.7068191071,1.0448405261,0.9271470905
10/1964,0.3277649557,0.3494911885,0.4124009033,0.388481019,0.6399703647,0.6859079019,0.6887937999,0.681432378,0.9845728769,0.8941940053
11/1964,0.3278057316,0.3455839618,0.4077307063,0.3829677948,0.6426208246,0.676355116,0.67516062,0.6728789919,0.9656374019,0.877659547
12/1964,0.339227919,0.3398536571,0.4005915486,0.3904640172,0.6459551698,0.6806158538,0.6773375437,0.6697954661,0.9872234723,0.8767175043
01/1965,0.3302110387,0.3375130776,0.3966797442,0.3845626441,0.6402001442,0.6718853201,0.6791104801,0.6581533136,0.9918273493,0.8620469417
02/1965,0.3190502976,0.3316543234,0.3871690365,0.369938287,0.6225163177,0.640853695,0.6405053629,0.6365520528,0.9452908768,0.8339147426
03/1965,0.3572481095,0.3335498748,0.3909887297,0.3696334766,0.6206854804,0.6252527861,0.6317623087,0.6196713683,0.9273066307,0.8215104484
04/1965,0.3641255676,0.3403896957,0.3991063691,0.3733062681,0.6186350888,0.6203046604,0.6365603324,0.6252183886,0.9224022244,0.8339851092
05/1965,0.3553118259,0.3361325031,0.3856250363,0.3544589355,0.6064697795,0.5946172728,0.6092672795,0.5943799935,0.8687511397,0.787861135
06/1965,0.3527990751,0.3405388823,0.3887070408,0.3635509029,0.6087195691,0.6007305183,0.6081188664,0.6050782758,0.8818161334,0.7941721791
07/1965,0.3552960035,0.4248883307,0.3676665976,0.5489324159,0.6622342209,0.7108656881,0.7382702038,0.9204080863,0.9781699541,0.9965771079
08/1965,0.3531686054,0.417045346,0.3650758173,0.5393298785,0.6482853804,0.7009068423,0.7278959165,0.8822368881,0.9402922317,0.9641091896
09/1965,0.3482318818,0.4087277823,0.357755242,0.5236549791,0.6291713135,0.67604609,0.6958496411,0.8513805505,0.9129430709,0.9454843242
10/1965,0.3385051381,0.4031716267,0.3444985833,0.507858576,0.6098873427,0.6579923476,0.6728756979,0.8076676016,0.8568131719,0.9160230511
11/1965,0.3385589113,0.4009222217,0.3328621681,0.4936305659,0.5884996721,0.6369773713,0.6475026818,0.7530165947,0.796505495,0.8937197402
12/1965,0.3436850458,0.3989299882,0.3404570284,0.5040753836,0.5842392682,0.6319577061,0.6460696968,0.7204409419,0.7679196643,0.8615893569
01/1966,0.3651584391,0.3988678513,0.338257442,0.4943367434,0.5605440921,0.6031241896,0.6146529125,0.6770461162,0.7159888478,0.8515534303
02/1966,0.3690913801,0.4014755746,0.3430789386,0.4818733054,0.5441282609,0.5955058793,0.5793071768,0.6693056145,0.6879799453,0.8104415582
03/1966,0.3750619035,0.4189952605,0.3571140148,0.4856408153,0.5549296637,0.5994028146,0.5783604138,0.6529005849,0.687067148,0.8011352511
04/1966,0.3868224755,0.4317347895,0.367918466,0.4987754919,0.5617447712,0.613632016,0.5987096864,0.6745949194,0.7094962269,0.8152864516
05/1966,0.3810519601,0.4356079328,0.3653070856,0.4864272153,0.5515240021,0.5947160574,0.5821090842,0.6466699724,0.6996668033,0.809926701
06/1966,0.3952413822,0.44621387,0.386602166,0.5086564563,0.5907579932,0.6349298009,0.6346460422,0.6747657286,0.7649092042,0.8864993792
07/1966,0.2523557317,0.5425976652,0.4209935045,0.4928236911,0.5871721357,0.6611815455,0.8026928097,0.7188351956,0.7775391896,1.1743689889
08/1966,0.2715083671,0.5478905219,0.4361338693,0.4927528761,0.5929762147,0.666481377,0.8213865916,0.7350377526,0.798955418,1.1878063372
09/1966,0.2730618009,0.5926556093,0.4721212952,0.5354708029,0.6500538054,0.7342134102,0.8932461534,0.7936756331,0.8678383841,1.2885642522
10/1966,0.27315245,0.5865885659,0.4757304331,0.5302409413,0.6547607047,0.7636135746,0.9051732796,0.8232313182,0.9044424392,1.3143920923
11/1966,0.2603988051,0.5407970526,0.4564640219,0.5072748415,0.6329922355,0.7417537048,0.8888102293,0.8181827054,0.8840357256,1.3257334335
12/1966,0.2552780785,0.5453559197,0.4506803634,0.5306290808,0.6175414487,0.7310275707,0.8822969252,0.7842530714,0.8731224965,1.3522102092
01/1967,0.2512776274,0.5333136693,0.4579897081,0.5327387733,0.6064158978,0.705750064,0.8524279663,0.7662000765,0.8497085712,1.3265450986
02/1967,0.2590267537,0.5093521913,0.4263994943,0.4876594499,0.5603760419,0.6424721901,0.751354361,0.6931200492,0.7514682658,1.1500326655
03/1967,0.2628151792,0.5100344046,0.4307460651,0.4953552452,0.5656369566,0.6320439101,0.7594257862,0.6825862756,0.7409236637,1.1329029448
04/1967,0.2574430206,0.5053716416,0.4317011632,0.4756886951,0.5424360369,0.6037926777,0.7083228799,0.6505925824,0.696198218,1.0859760675
05/1967,0.3253903226,0.503063167,0.4058225182,0.450293178,0.5183074279,0.5869341536,0.678773757,0.6244801325,0.6743929283,1.0568700628
