date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,0.4695936479,0.5249824816,0.5342385988,0.5632140588,0.5159759978,0.5257882554,0.4858976457,0.4062385597,0.6935923391,0.3794414958
08/1963,0.5567676164,0.4731182293,0.4833758506,0.5014010995,0.430960235,0.4775519776,0.5286010816,0.6299184863,0.7085730411,0.7682952483
09/1963,0.4523401913,0.5405499061,0.5140423525,0.4328307062,0.5597522507,0.3875966303,0.4252822144,0.5689387819,0.6675488199,0.6717648778
10/1963,0.4962003387,0.5384141504,0.3286773197,0.596162014,0.4420291283,0.5419396589,0.5064079943,0.5389800248,0.5369846945,0.7170513126
11/1963,0.3087809156,0.3255583241,0.4951365699,0.4471091,0.5555499633,0.5899152856,0.5233933486,0.5975207175,0.5353907326,0.5321694574
12/1963,0.4836092913,0.4646425979,0.5357223196,0.4031860553,0.5172669255,0.3436610311,0.5867650309,0.6477880767,0.5878074903,0.3830272626
01/1964,0.4980477915,0.4583022461,0.5649518886,0.4091071043,0.4444913968,0.4461769568,0.5337035708,0.5348713535,0.7380089599,0.5680183517
02/1964,0.4444891975,0.5177301693,0.4688273373,0.4020380724,0.3747857482,0.5762041314,0.4921551871,0.621887422,0.5714879952,0.5342935324
03/1964,0.4900751126,0.5590191722,0.5971084715,0.3996544948,0.5029773544,0.4217050873,0.4792358012,0.4112746119,0.4139638929,0.5045736862
04/1964,0.6809664726,0.5741352291,0.5036772099,0.4993877416,0.4445510832,0.3894342737,0.3430339906,0.4976179809,0.5376231619,0.3982052256
05/1964,0.6218459351,0.3582409814,0.4690825067,0.4474105873,0.5007246538,0.3853705382,0.4112781512,0.4842113819,0.5151768466,0.6045260903
06/1964,0.5819661671,0.4629903522,0.4046745962,0.3898928564,0.3943650897,0.4877209514,0.4319520204,0.5847677295,0.5378963809,0.6169441211
07/1964,0.6297122272,0.4742698706,0.5765006692,0.3403249296,0.450507296,0.4934644579,0.4518252908,0.4369125458,0.5789592432,0.672530117
08/1964,0.4764620563,0.3317707996,0.4695606653,0.4167721665,0.4686180471,0.5627300683,0.5810195154,0.4396962396,0.4763108846,0.5753061885
09/1964,0.5670729732,0.5296963247,0.3876386058,0.3747522457,0.568601543,0.435277073,0.5367413617,0.3769590519,0.5572914446,0.5401880575
10/1964,0.7555064813,0.4924784159,0.5218859659,0.3776860232,0.3662990216,0.5167534552,0.4212537324,0.3558691789,0.4741704945,0.4859931177
11/1964,0.5455716389,0.4063782305,0.4812978745,0.5144917938,0.3638197938,0.3668016121,0.4657635879,0.4945904679,0.3453614707,0.5198619834
12/1964,0.4398208876,0.3662366849,0.3801705503,0.4589123801,0.4479409019,0.5181262306,0.3966029535,0.4163980008,0.6791169797,0.8263045909
01/1965,0.3597051144,0.3786952083,0.417848309,0.414394183,0.3232005219,0.6687407352,0.4680688907,0.5534216057,0.58180061,0.6651784288
02/1965,0.4534460942,0.3229619708,0.2817546003,0.4451282431,0.3668573876,0.5169723874,0.4496032526,0.4147415597,0.4866646001,0.434315443
03/1965,0.5223146294,0.3474191072,0.4748782193,0.5003656269,0.3678840898,0.4657937849,0.4379720159,0.374115668,0.4021509605,0.5381006835
04/1965,0.5108269094,0.4384480901,0.5608183621,0.4037801946,0.4285888511,0.4635855964,0.4956275347,0.3393970178,0.4967639151,0.4072072426
05/1965,0.4911481907,0.3941355913,0.3315981181,0.3426015733,0.4550650304,0.4426970444,0.500962507,0.432235601,0.5328848364,0.4433253593
06/1965,0.4498509631,0.456610929,0.4252927482,0.4168936602,0.3552194449,0.3754019017,0.4963967512,0.3386723437,0.5953435134,0.7610583106
07/1965,0.4930210264,0.46266817,0.4634153485,0.4281283881,0.3633890289,0.6404525862,0.5529921078,0.6450565233,0.706631872,0.6511933092
08/1965,0.5157599265,0.6612164288,0.4719317664,0.384506927,0.562947223,0.4161196108,0.4258653615,0.4796017926,0.4743359209,0.4765157438
09/1965,0.4582614593,0.3517272782,0.4540847201,0.5495283077,0.346841923,0.4288484245,0.5395391151,0.5789709909,0.3695067149,0.5710906994
10/1965,0.3766692319,0.4245646025,0.3514517769,0.4782203989,0.4022433452,0.5416388363,0.4725177559,0.6123797418,0.4103430151,0.5527547785
11/1965,0.4473569337,0.4304659617,0.481542039,0.3812783877,0.3265292578,0.5454499877,0.4040688194,0.4461334407,0.44517891,0.5147964439
12/1965,0.4200665621,0.381588691,0.3642020138,0.4310183397,0.4514185778,0.5302509178,0.3698008498,0.3992543608,0.514508907,0.4773389936
01/1966,0.5602207597,0.6559279194,0.4667670536,0.4053374138,0.381078994,0.373549495,0.4957447931,0.5291335591,0.3856382099,0.3737037301
02/1966,0.4590914757,0.4177734467,0.492775854,0.5058927497,0.4483257575,0.4338532391,0.3869255248,0.5067731871,0.4103552927,0.4089497028
