date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
10/1973,,0.326003732,1.2689237098,,0.9898578374,1.148987503,,0.216868126,1.3830341345,0.9905909146
11/1973,0.8606259104,1.0298264554,0.5502678099,0.3628192569,0.7973336168,0.7725659391,0.8520378236,0.4537528284,0.3631948572,0.4658194178
12/1973,0.7982527247,1.2065197327,0.7199658122,0.4339352913,0.5926586636,0.8382053386,0.9485390043,0.2886462349,0.4519724225,0.5056292827
01/1974,0.7848946387,1.1382553707,0.549741615,0.3771906445,0.7732143522,0.8100796615,0.8693362295,0.2450325868,0.4748738194,0.4975840112
02/1974,0.823647801,1.2229818995,0.3720121166,0.5605739762,0.3263174035,0.805192844,0.2432990594,0.7380930797,0.7356020358,0.475479517
03/1974,0.935057649,0.9521568369,0.3094873931,0.7176879066,0.4070557256,0.6946443759,0.3068620712,0.515162932,1.0131552081,0.5367593378
04/1974,0.9985239589,1.0758212922,0.408138553,0.5374875725,0.5620922709,0.3588380541,0.6145004711,0.4878984507,0.882416225,0.4895904658
05/1974,0.7326348863,0.6869536187,1.1582562361,0.3382774077,0.696977579,0.2751079671,0.8869316102,0.2808129176,0.9106220636,0.8302491912
06/1974,0.7456159545,0.679568892,0.7328182914,0.4155324473,0.4587255077,0.5613843798,1.0851375051,0.3893582159,0.666952829,0.8669212994
07/1974,0.8416759621,0.8406456706,0.7396558187,0.5750630366,0.7276857083,0.5552163641,0.99222039,0.4768266235,0.7239266729,0.9603318324
08/1974,0.8466902363,0.7608676445,1.1461268013,0.6547499343,0.4992168591,0.7217039131,0.963625762,0.5194204553,1.0676370386,0.8177849975
09/1974,0.9811104365,0.9909310103,1.3042492668,0.4506612124,0.5817750645,0.8122236721,1.0871344516,0.6394398397,1.2334742475,0.8648972285
10/1974,1.1380436137,1.1398438649,1.4734366522,1.0983580035,0.7052068908,0.8710938024,1.255732919,0.6981362267,1.3552568512,1.0891532894
11/1974,1.6884674374,0.8574696916,0.7355951142,0.6024582415,1.25025939,0.6666195099,0.4026846481,0.8012519106,0.8067556654,1.2903467632
12/1974,1.6284704065,0.8570886676,0.6744397187,0.9807459788,1.2103972312,0.3974985933,0.5734222711,0.9008987305,0.8184341108,1.2015246467
01/1975,1.6682061821,0.9404102376,0.8884685798,0.9655725185,1.0718281898,0.8881069116,0.6165343965,0.8304983684,0.7704990776,1.1078296277
02/1975,1.3126731348,1.0520206087,0.8850257838,0.4531021004,0.9200205724,0.7670237496,0.9755839349,0.4080613527,0.9275554724,0.8678067742
03/1975,1.1701663484,0.990282429,0.8808501595,0.3620174152,0.7884150571,0.7593890602,1.0247722679,0.4571958649,1.0197042922,0.7257080717
04/1975,1.1981676613,0.7810543977,1.0911544182,0.385919186,0.7587507919,0.7960721733,0.8042990987,0.4678768811,0.6321160597,0.6646775659
05/1975,1.0807608084,0.5867854475,1.0749884669,0.9001826791,0.793531777,0.3438779963,0.4850844047,0.7731902198,0.3930614277,0.5695786423
06/1975,1.0238996274,0.6850040407,1.0436626966,0.8083972352,0.7468716513,0.7625009563,0.3147519139,0.9633847995,0.3216024618,0.7295220809
07/1975,1.0787358229,0.6571362979,1.1859729448,1.0571833999,0.8238926541,0.8257777691,0.3670861859,0.9545931676,0.2528052843,0.7860312465
08/1975,1.0060353769,1.267034422,1.0012611617,0.8052190825,1.1246771954,0.4190270577,0.7613596592,0.477363339,0.3276931982,0.4968794299
09/1975,1.1222270761,1.1790307902,0.9983532456,0.8432300876,0.8556014791,0.9456353462,0.6169885636,0.6399343243,0.3974921067,0.3673632813
10/1975,1.2631595528,1.2280189449,1.0356391053,0.8139847421,0.6210232601,1.1111307254,0.6211425379,1.1934323259,0.4705547546,0.3842031224
11/1975,1.3055159729,0.9678381231,1.0700896576,1.1064415462,1.007297417,0.5334691341,0.9642807042,0.4020232154,0.5836363264,0.4499966957
12/1975,1.3528843744,1.001336747,1.241290707,1.0658380751,0.5720551645,0.6459342006,0.9420312385,0.3865406498,0.5402908878,0.4759593406
01/1976,1.2212465454,0.9919272519,1.2673412528,1.0474379154,0.6637476367,1.040673622,0.4597945899,0.3856139063,0.51703652,0.461739355
02/1976,0.9411318112,0.7614164839,1.2866415982,0.7140301882,1.0139341899,0.6565242518,0.6626443733,0.6051038678,0.7812980278,0.3714492796
03/1976,0.9339584819,0.9973761223,1.1889974514,0.7310347975,0.993502832,0.631250632,0.644541487,0.7501921195,0.638616555,0.385251262
04/1976,0.9036907742,0.9694795893,1.1438343028,0.6547350661,0.7118158488,0.6421127519,0.6097264142,0.6515764192,0.7351924157,0.6499500676
05/1976,1.1928484395,0.9930361729,0.9808543172,0.9880237982,0.8741329396,0.4471171908,0.7202522733,0.7557318253,0.702715619,0.6250275257
06/1976,1.2640136253,1.0008047666,0.8978879443,1.0089193037,0.7888861624,0.5396653724,0.733450245,0.6774030456,0.3469059135,0.9299969055
07/1976,1.2347339223,1.0381282103,0.8305702224,1.0521879892,0.8480685174,0.5150474273,0.7954377331,0.7613262691,0.37295577,1.012288582
08/1976,1.0527354078,0.8834073719,0.9621179017,1.0780252643,0.7252134391,0.7068619068,0.850253392,0.5894694425,0.3871800936,1.0265385268
09/1976,1.1060535135,0.9237513603,0.982796576,1.0520302921,0.6476230108,0.7989602414,0.8459473291,0.6031806698,0.413575124,1.0012641725
10/1976,1.193057715,0.8614388943,1.1214680721,0.9599820036,0.7146765668,0.7786887894,0.8600146084,0.6054272447,0.362308886,0.9718836058
11/1976,0.7534504,0.9527434045,0.6639527265,0.8641301994,1.1196003416,0.847888508,0.6553153401,0.4238149591,0.6041409278,0.9871880257
12/1976,0.9725266916,0.9820792004,0.6251933456,0.8383915628,1.0373574422,0.9032802839,0.620548174,0.4770652229,0.4946317486,0.9898977611
01/1977,0.8499681869,0.9648707032,0.5882805801,0.7632770205,0.9126597398,0.9083536076,0.6008684042,0.4281888723,0.6022002636,0.9225046079
02/1977,1.0012594733,0.8251205931,1.0710432678,0.9085013022,0.7487359543,0.75922749,0.4203631101,0.7497019974,0.8640381398,0.8034501761
03/1977,1.0908978476,0.8640250463,0.9778384545,0.9628445223,0.8247570225,0.6825547241,0.4471926998,0.7941494736,0.8960122777,0.8031349807
04/1977,1.060398749,0.8749019145,0.9910410648,0.9629307207,0.7702441724,0.8644451842,0.4475730257,0.9483275066,0.6938566074,0.90221778
05/1977,1.0161213021,0.9299208406,0.7010185694,0.9544529714,0.5379783411,0.7024597326,0.7312194228,0.8327294499,0.8807484843,0.7942360468
06/1977,1.0575733537,0.9309201422,0.7530623533,0.8750857346,0.5436891296,0.7681256896,0.7473929721,0.8999131686,0.8619879716,0.7529374911
07/1977,1.1292265065,1.0537249855,0.8505228403,0.9966611202,0.5592040113,0.8536182907,0.8576153517,0.7214420291,0.8736580358,1.0207704869
08/1977,1.2489411673,1.0386487331,1.194073828,1.235241124,1.0295623354,0.7704563347,0.5111532853,0.7679920534,0.97713656,0.8184502701
09/1977,1.3005695467,1.1029133617,1.2458307415,1.1535553808,1.1110190272,0.7265914969,0.4913509875,0.9838322393,0.9913686236,0.90761429
10/1977,1.3663368847,1.1235702459,1.3272586396,1.1786351432,1.1098506604,0.7616798493,0.472667363,1.0544585766,0.9554561712,0.8928497488
11/1977,1.5814634973,1.2805130421,1.3803712506,1.2403485561,1.0457339427,0.849493808,0.7476342835,1.0648563903,0.440370923,0.8973170955
12/1977,1.5181076302,1.3850688114,0.959313634,1.2033764598,1.0073019059,0.9193898912,0.7041381674,0.8471897465,0.7039341403,0.7568180785
01/1978,1.4548626109,1.2861413146,1.1004609354,1.1879142786,0.9699703392,0.876824723,0.9668338565,0.690869481,0.4751642009,0.7380919221
02/1978,1.1872524779,1.2022558935,1.3089100038,1.2758097224,1.1638281883,0.8369450828,0.984809678,0.7460923535,1.067195628,0.5213829877
03/1978,1.2632433764,1.2850789039,1.4954863085,1.2835784958,1.0879362632,0.9414348409,0.9595393199,0.7058377156,1.0284981365,0.5413162839
04/1978,1.2021101595,1.3052914165,1.4315056353,1.2641956503,1.1429017894,0.8640792223,0.703513766,0.6976772095,1.0561745179,0.5879044554
05/1978,1.4189081533,1.2998500705,1.1764755168,0.5785557449,0.8901224508,0.8428932156,0.8421127073,0.6486548336,0.943026334,0.7716231081
06/1978,1.4316802329,1.2593031329,1.1841657261,0.5883450212,0.8924086587,0.7806580052,0.9086925268,0.6402267012,0.8144167522,0.9193994108
07/1978,1.5729980734,1.5128028612,1.2787692441,0.6426545639,1.0543375816,0.8931767588,1.0357887878,1.0198135459,0.9608120136,0.7692298492
08/1978,1.527129265,1.192590862,1.2383428407,0.5989349652,0.7705883817,0.8791225567,0.6632996558,1.1517656042,0.9392152248,0.789860195
09/1978,1.4019339401,1.1743429695,1.1079575862,0.5451868623,0.8434394254,0.8523920927,0.6777932614,1.095889645,0.9164799661,0.7264063017
10/1978,1.4239179563,1.136367156,1.1706658934,0.5484646397,0.8537042676,0.8532761738,0.718787103,0.9094796679,1.0477215206,0.7352318003
11/1978,1.2051731198,1.1933891301,1.194506621,0.9918807171,1.0091788275,0.9291148431,0.6030160704,0.9029369419,1.1173067146,1.0707112496
12/1978,1.2626435392,1.1541076682,1.1017111513,1.0828197663,0.855457938,0.9344280993,1.0738554048,0.5636566716,1.1365664472,0.9635821046
01/1979,1.2603570117,1.1707568788,1.2465313905,0.9357941778,0.9203321003,0.8500556124,1.1237360628,0.7441081733,0.9977792263,0.9336040911
02/1979,1.1810862257,1.1781356287,1.1916696763,1.2747352032,0.8516786093,0.8051867748,1.0888452555,0.6757572025,1.0438906611,0.7664385679
03/1979,1.1516469078,1.2600162123,1.3015302681,1.1489057115,0.9336322023,0.8497817605,1.0754389847,0.7529261179,0.9564855725,0.7881001958
04/1979,1.0521170347,1.181122929,1.1253809766,1.1426645313,1.052127866,0.8746820618,0.8104704685,0.7072609668,0.5037535812,1.0373559629
05/1979,1.287713758,1.2937412492,0.9414425254,0.5224896151,1.1423450125,0.7787524244,0.7705804844,0.8790544902,0.845096391,1.0371486652
06/1979,1.3557103177,1.2766512512,0.9398154757,0.5149918375,1.1647594256,0.7860703841,0.8533591349,0.8728108403,0.9558462473,1.0408995225
07/1979,1.547295812,1.3499585938,1.0222007393,0.5950260148,0.9727618528,1.1383391148,0.8464335113,0.9465310257,0.9932610623,1.0843810343
08/1979,1.4037086059,0.6338802281,1.1990712337,1.1550765464,1.0339232334,0.9076284298,1.0876399502,0.7758082344,1.0217747787,1.0657191588
09/1979,1.3601219724,0.6031500799,1.4057813998,1.1322837768,0.9746270163,0.8624314795,1.014727459,0.7658242453,0.9850456639,0.9765015726
10/1979,1.4225490328,0.6028648659,1.3636395596,1.1918490602,1.3109759933,0.8434104582,0.6827872438,0.7752290637,1.0065274802,0.9354266901
11/1979,0.6043107675,1.47357407,1.1283287725,1.1881738912,1.3464628149,0.8781915465,1.0134427711,0.8502742325,0.7712852127,0.9184867958
12/1979,0.5625683167,1.3907748186,1.3643305022,0.9254036793,1.3314979075,0.8521895306,0.9583263686,0.8528183515,0.6648505537,0.8751224042
01/1980,0.5641951915,1.3475600901,1.3408377164,0.9067403023,1.1124067375,1.147199166,0.8058315087,0.8857776206,0.645571444,0.8736025371
02/1980,1.055702521,0.9698183272,0.6169449263,1.1454314775,0.7768026492,0.7815718085,1.2131746839,0.6852824737,0.9192093691,0.713162671
03/1980,1.3889068924,0.9506369927,0.6639538916,1.1658867439,0.9025957539,0.7920050461,1.10534539,0.8073884493,0.6819983014,0.7168115561
04/1980,1.4938561918,1.0877687659,0.7659499408,1.3365190052,1.0142771699,0.78105693,1.1438122718,0.9263587279,0.7736131938,0.8340157834
05/1980,1.4527201402,1.4120144698,0.7476033562,1.000290904,1.1323226121,0.761903714,1.1786644002,0.8003504391,0.8711037513,0.7336396926
06/1980,1.3604623787,1.2879244624,0.7813748097,0.9515994724,1.0175459357,1.0018500288,0.7284803896,1.0788407613,0.7564733626,0.7097926782
07/1980,1.4794079884,1.438809805,0.8413106935,1.0244191744,1.1341080061,1.4068820503,0.8205493854,0.9299939462,0.8219211732,0.7886717172
08/1980,1.0446644034,1.2650425059,1.1680943612,1.1716289256,0.9672337962,0.704614379,1.3338818388,0.7333999059,0.7522676778,0.7554617021
09/1980,1.0522923084,1.2015932685,1.046894917,1.2861572126,1.0696814963,0.843710106,0.973424346,0.7324785064,0.8168106241,0.70562133
10/1980,1.0679641406,1.1810741625,1.0763795336,1.1838040381,0.9409620786,0.8053275065,0.710666042,0.6870347607,0.9929244143,0.7038096051
11/1980,1.2021063895,1.1413561218,0.927095496,1.0155009369,0.7970251688,0.7784099945,0.7939019189,0.5801823403,1.0793926599,0.6804340193
12/1980,1.1745983295,1.0847271243,0.8733634304,0.6293776326,0.7617438622,0.7011538212,0.6951098471,0.5007898969,1.0418646651,0.6334802242
01/1981,1.0703409198,1.130357166,0.9714543478,0.6661896124,0.7805690227,0.751137012,0.7129990238,0.4919701272,0.5751881942,1.0809073827
02/1981,1.0213561017,1.3160586757,0.9529981128,0.7896192826,0.7562231283,0.7178165017,0.7065013052,0.5267740378,1.1888979953,0.661177771
03/1981,0.9810323712,1.3020927323,0.9455571767,0.843194349,0.7993468986,0.7398726235,0.651483244,0.5331198369,1.1030610272,0.6568314701
04/1981,0.9560253871,1.1544348692,0.9703377465,0.857887943,0.7656833664,1.04518495,0.6824026506,0.6586489333,0.5565265474,0.5988505437
05/1981,0.7496684131,0.9711643578,0.9053826505,0.9213594413,0.6966637387,0.8435541013,1.0903238168,0.6973027752,0.7481279476,0.53326662
06/1981,0.7698002735,1.0283011321,0.9933045605,0.8591962734,0.6818045924,0.8042951127,1.0933160582,0.6244410977,0.731864831,0.5969606604
07/1981,0.8443521412,1.1241062464,1.0647697629,0.9550251073,0.7682828271,0.9032016372,1.2414538262,0.7142585289,0.8725146959,0.7013312764
08/1981,1.2127985974,1.1458011878,1.0460704634,0.8307052577,0.7953231238,0.9699556798,1.1974027043,0.7999272641,0.7493464284,0.8694793225
09/1981,1.349193105,1.2257261395,0.9961523221,0.9436664324,0.9035852528,1.1450394843,1.172573174,0.8405879237,0.8393665632,0.8592633885
10/1981,1.3296129962,1.2684369791,1.217582736,1.060913766,0.9117130983,1.2732597438,0.9807756974,0.8439027136,0.7793583871,1.2105435957
11/1981,1.105297636,1.0059583278,1.0818793435,1.2731998046,1.0949233083,1.0150905856,0.9442225166,0.8952485489,0.745945019,1.1284660479
12/1981,1.0849704017,0.8548642407,1.2952426159,1.2358972992,0.9152297551,1.0950940495,0.9697074945,0.794366659,0.6673828651,1.1219825741
01/1982,1.1926760691,0.8484395345,1.3443132567,1.2462423308,0.9506998719,1.0712930379,1.0383659075,0.7842129218,0.741915496,1.1369511808
02/1982,1.6066511442,1.0751614932,0.9199116423,1.0404117753,1.5201700887,1.1189156943,0.9899664792,0.7181109583,0.7628265747,1.2026654438
03/1982,1.5240430319,1.1669273513,0.9428881258,1.1096033366,1.6085979727,1.2181785889,0.9534756265,0.7632107336,0.7578274953,1.3185214255
04/1982,1.5454990423,1.1233258232,0.9743384374,1.209844666,1.6156369841,1.2389132128,0.9420909205,0.7432988415,0.8321699294,1.303418138
05/1982,1.4628527185,1.3430055693,1.3739784141,1.3789325702,1.1353090923,1.100823472,0.6484448335,0.7754588532,0.8148322539,1.3073642344
06/1982,1.4339875491,1.3706079394,1.6312242025,1.4098618555,1.1663433498,1.1273211269,0.6942137471,0.821908693,0.8944221682,1.2415236335
07/1982,1.6715366575,1.5956017822,1.8602082757,1.5605703951,1.389106726,1.3269193756,0.8041859634,1.3744137564,1.0156203227,1.0067009874
08/1982,1.8384453133,1.5424680146,1.3498787229,1.7499299147,1.4183343363,1.3204077299,1.2111707773,1.3577436614,0.6180458227,1.0315282046
09/1982,1.517800211,1.6071177279,1.3724148344,1.7590007341,1.2592421897,1.2252999651,0.9951805222,1.4043678702,0.560041938,0.8332454757
10/1982,1.523842146,1.6228840525,1.1663644225,1.8153543546,1.1647669091,1.1368617454,1.0194526585,1.3940677363,0.5672862306,0.7691475606
11/1982,1.7953369929,1.4116699593,1.3193751749,1.1061439775,1.2438717642,1.0593653361,1.0832722423,1.1987389178,0.734917961,0.5647718334
12/1982,1.7404437859,1.376932638,1.2584435143,1.1338519374,1.2911554836,0.9442878883,1.3246490192,0.6603957336,0.5567689502,0.8296689467
01/1983,1.5887671514,1.3468898548,1.2639556413,1.0941181942,1.3286937998,0.9481704456,1.0280433431,0.6812479629,0.5294832181,0.8063255801
02/1983,1.2821529065,1.3448863682,1.1507882792,1.2628864606,1.1468761052,0.9814315147,0.9241970092,0.9679497574,0.5105614739,0.4469883304
03/1983,1.2515540175,1.3464629545,1.1276346843,1.1958721329,1.1733149706,1.0965059494,0.8913575403,0.6059635503,0.9967968563,0.4210633282
04/1983,1.2679173886,1.1992768455,1.1446537037,1.1386521544,0.9881997547,1.0290789972,0.865163863,0.597750563,0.9936511804,0.4110404358
05/1983,0.8986927096,1.0391967449,0.9797056299,1.2205673283,1.2079372077,0.8353659629,0.9296632225,0.4494304874,0.5703280921,0.5071345771
06/1983,0.8295434375,1.0456778172,0.974263353,1.2915266906,1.1562370164,0.7856384989,0.9666205353,0.4375703479,0.6811006291,0.5074422342
07/1983,0.9644663185,0.9435682795,1.0172598743,1.3139623379,1.1651758408,0.839745091,0.6900710149,0.6116467877,0.6992662781,0.5820691622
08/1983,0.90675843,0.9036814445,1.0802412151,1.3292225901,1.0083922519,1.1001570197,0.648101201,0.6074437042,0.639464807,0.6034261891
09/1983,0.8760052395,0.7719355303,0.9853908852,1.2384276162,0.9950402688,0.9557042484,0.7330979247,0.6172870834,0.6887658171,0.6336731844
10/1983,0.91912692,0.7432803448,1.0621574549,1.0946770703,0.9608758087,0.9758558492,0.7247455477,0.5730761234,0.7359226079,0.6267247834
