date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,0.2539663999,0.3291094052,0.4323421452,0.4219315166,0.4830798433,0.4583182381,0.6405159668,0.81603404,1.0677465562,1.1917672175
08/1963,0.273071773,0.29131005,0.514463359,0.4040749943,0.38673608,0.5662601275,0.6887318023,0.9515505274,1.1738370609,1.2362217442
09/1963,0.2599630094,0.2737099728,0.4734304835,0.3939436178,0.3925261965,0.4800703133,0.6840974323,0.6562740187,0.8628757067,1.0841436387
10/1963,0.2673486965,0.2795591699,0.4732212308,0.3958652387,0.415735609,0.4084982317,0.6159152863,0.7366270439,0.8838396886,1.0910566414
11/1963,0.2726651906,0.29917293,0.4221375887,0.401823988,0.3946597605,0.475589991,0.6284181727,0.7549106501,0.88118353,1.0935549213
12/1963,0.285301929,0.3196579523,0.373952827,0.4787008803,0.4254657193,0.4427518773,0.6501780366,0.9049789036,0.9554975512,1.0493687719
01/1964,0.3398058823,0.3155770542,0.369308929,0.357805664,0.3868107836,0.5492080182,0.5391347869,0.6704231007,1.0069806668,0.967454074
02/1964,0.3586931201,0.3920889481,0.3184974789,0.3386544305,0.3564531721,0.5507665161,0.4740843786,0.793389876,0.8005009717,0.9561049208
03/1964,0.326540773,0.4074725347,0.4340287552,0.3114684462,0.3244983318,0.4610786553,0.5030410966,0.7442961877,0.8990277208,0.9374174352
04/1964,0.3102609245,0.3908366473,0.3447461626,0.3288969424,0.3522451492,0.4617321916,0.5106281994,0.5767227513,0.9003390045,0.8909052879
05/1964,0.3113943624,0.3736698155,0.3203101875,0.3335735598,0.4332000017,0.5573001678,0.5240644872,0.8224011452,0.8858276357,0.9870945327
06/1964,0.2484549149,0.2975408135,0.3806162376,0.3694704432,0.452744571,0.4245611832,0.6819876032,0.564993534,0.8970638923,0.9104936219
07/1964,0.2587457733,0.3489202747,0.4066247138,0.3508260482,0.5244078346,0.4581729754,0.564582185,0.8270837399,0.768866582,1.0453857343
08/1964,0.2689464705,0.3115772312,0.335422492,0.4535255121,0.42503825,0.4784386438,0.5874457189,0.7980822463,0.8224566329,1.0529630274
09/1964,0.257818629,0.3424169122,0.4046580905,0.3860826495,0.4496120815,0.5003856212,0.6935956928,0.7974597685,0.8426546534,1.0958779364
10/1964,0.2041805811,0.3706085192,0.4359271804,0.4501335404,0.3571268895,0.4463249628,0.6752814585,0.77963327,0.8079946898,0.9097051641
11/1964,0.2302389011,0.372377131,0.4530489433,0.371254023,0.4144479898,0.3580500052,0.5728890931,0.716552243,0.7909895262,1.0521965683
12/1964,0.24121856,0.3739491755,0.3801820717,0.355719619,0.4379188832,0.543692705,0.5787599244,0.7584829496,0.8082171828,1.0969766381
01/1965,0.230699547,0.3850223627,0.3369570671,0.4156282555,0.516870724,0.4843685373,0.5833799954,0.6747150987,0.8031276799,1.0825665709
02/1965,0.3334803138,0.2961906664,0.3517978839,0.3542164989,0.4374217352,0.5056047229,0.562292317,0.5689837852,0.7628138375,0.9319285905
03/1965,0.3852190171,0.3395964262,0.3333496425,0.3723737168,0.4374815891,0.5345954397,0.5743146657,0.6833355441,0.7485186826,1.015127537
04/1965,0.3463083381,0.3687749279,0.3524168728,0.4813944814,0.4131844464,0.6146931627,0.6268993171,0.7228716427,0.6501835381,1.0647140079
05/1965,0.3530549791,0.2856251833,0.3834504917,0.405086766,0.5770028181,0.5555558165,0.6601629412,0.6056889505,0.655621009,0.8593191114
06/1965,0.3416172682,0.4306105465,0.3411081645,0.3284253749,0.4402826367,0.6572916394,0.6443923042,0.7423835884,0.6378166203,0.8537409445
07/1965,0.3436376107,0.3896436718,0.3011018095,0.554936521,0.5117367504,0.7899037941,0.7129416033,0.8899481535,0.8091110796,1.0658378545
08/1965,0.3375507955,0.3270399414,0.3814358255,0.4398748509,0.5149941039,0.5817706919,0.7003020694,0.9001231634,0.7606646114,1.0663203215
09/1965,0.2810209762,0.3628482113,0.3285066184,0.3392291891,0.5213119466,0.5773487539,0.6590803719,0.7487248594,0.8961789357,0.9687698099
10/1965,0.2781825237,0.3779405875,0.3028918803,0.3682723142,0.4714517493,0.4694529529,0.5723910907,0.7666960391,0.8109989151,1.0090365899
11/1965,0.2875260432,0.3204728031,0.2810137195,0.4438969134,0.4303436319,0.4527050223,0.651375169,0.6453412735,0.7126077237,1.0035371334
12/1965,0.2853588182,0.3050887855,0.3109706206,0.4543759742,0.3969650088,0.4358414773,0.5744380408,0.6727049725,0.6985808461,0.9503287658
01/1966,0.2770161794,0.3732243519,0.3558420526,0.4456093603,0.4537270378,0.4724176455,0.6685418948,0.7115570334,0.5880515157,0.9414249476
02/1966,0.2463663169,0.4130409775,0.3838855959,0.4802695973,0.4741262616,0.5252575491,0.6295480434,0.620280763,0.6595536975,0.801601549
03/1966,0.2599122791,0.4104595945,0.434945884,0.4424216412,0.6013820344,0.4867341105,0.6843657503,0.5813776086,0.5927514477,0.8388683223
04/1966,0.2425384104,0.352811523,0.549981013,0.4351585201,0.5498527644,0.6637769451,0.5941173905,0.6371314088,0.6384339879,0.7978059268
05/1966,0.2600334627,0.4924055427,0.4845302835,0.408820527,0.5554422781,0.7186170411,0.5873346844,0.6269975994,0.5055661279,0.7738857714
06/1966,0.2889436734,0.4456261681,0.4970126157,0.5134238194,0.582216122,0.676559339,0.6496856653,0.6194021675,0.5831562659,0.8863987643
07/1966,0.3122942196,0.4074080214,0.3608464667,0.51818482,0.5396787114,0.6234505042,0.7761150547,0.7155350566,0.8265500888,0.9215462484
08/1966,0.3204103059,0.4597528893,0.5210501056,0.3400476126,0.5382908534,0.6514045581,0.7483455366,0.709024859,0.7553915519,0.9567003923
09/1966,0.359887389,0.4519103067,0.5368531198,0.3729801321,0.458889742,0.6926925032,0.7227014675,0.7597490506,0.8920183776,0.9528725741
10/1966,0.3594424182,0.4250428398,0.3836450179,0.3955481613,0.4538630363,0.6326361282,0.5629633575,0.739333958,1.0443108239,0.8445816487
11/1966,0.3197289465,0.4281965065,0.2662118729,0.5751321846,0.4541061087,0.5636379761,0.5631802139,0.7876408512,0.7504983022,0.8570514189
12/1966,0.3330716114,0.2878869875,0.3246016812,0.36427769,0.4558570414,0.5091740351,0.6168164119,0.6891660918,0.7766299251,0.9761334457
01/1967,0.4014694864,0.3088460018,0.2802080319,0.4058155575,0.5393070728,0.4568027777,0.6258426212,0.9662268637,0.7139907634,0.8198367136
02/1967,0.3337985588,0.3830117506,0.2528686639,0.3875274418,0.4373588879,0.5164568573,0.6082018002,0.8630914354,0.6950258608,0.7690331148
03/1967,0.3442663613,0.4132108429,0.2675046513,0.4543706712,0.4420624447,0.4915982872,0.6041998532,0.689312126,0.8229075096,0.992116795
04/1967,0.3403332873,0.4307508255,0.4727794313,0.3364148196,0.4900975374,0.5720672737,0.5664561239,0.7629992443,0.7738645597,0.8405951746
05/1967,0.3015745259,0.4563779199,0.3966571618,0.4725620003,0.5726800495,0.5957903188,0.5299773887,0.6892687275,0.8692799776,0.7523102216
06/1967,0.3419662174,0.4450638281,0.4091300283,0.4399497086,0.5657027339,0.6396601284,0.5710140641,0.807007457,0.6212362395,0.9085700868
07/1967,0.3016458982,0.4651636396,0.4613338889,0.5098660334,0.512740877,0.5317663605,0.6387506282,0.8949884992,0.9152166851,0.9570679498
08/1967,0.3044219535,0.3844169636,0.3855367171,0.606612542,0.4990004649,0.5784946249,0.6669757342,0.7701454377,0.8797133883,0.9015966568
09/1967,0.2893500021,0.4241774464,0.4087922314,0.5190991595,0.5453565874,0.5560532064,0.6214791028,0.8134059571,0.8270386167,0.7686611324
10/1967,0.2815327029,0.3000732665,0.5445818347,0.4552015568,0.4673157471,0.5262646715,0.6536547464,0.753043244,0.9126699209,0.7439747589
11/1967,0.270871327,0.4325465647,0.4070406673,0.4482168262,0.5032435697,0.6003216597,0.6691020234,0.8472354241,0.7604964609,0.7827403671
12/1967,0.2999746019,0.3889356019,0.3824120935,0.5443558285,0.6064934759,0.6858704717,0.6121560593,0.7963541896,0.6605301835,0.7765545321
01/1968,0.3257869052,0.325370764,0.3680770967,0.5555885371,0.5241572667,0.6468433865,0.5844367095,0.6568849738,0.783413519,0.7061244353
02/1968,0.3212938976,0.3184868587,0.4949017461,0.323312038,0.592787364,0.5264791341,0.6788849508,0.6851301831,0.9066575948,0.7411034644
03/1968,0.2858616861,0.3554684914,0.3916816472,0.344312827,0.5120661733,0.7231994426,0.652588434,0.8970953503,0.792992242,0.7950072781
04/1968,0.2805824788,0.3783146702,0.367323595,0.4171705022,0.5675977474,0.6415197083,0.7613205626,0.7077173739,0.9035650219,0.7717932198
05/1968,0.2780642868,0.3348236146,0.4163954695,0.4836183503,0.4252746231,0.5774706688,0.7117649911,0.6848790389,0.8397019748,0.6385533304
06/1968,0.276638516,0.3854235916,0.3784362957,0.5115563917,0.5510850535,0.6073176301,0.6769889086,0.6397811938,0.7153590507,0.8050620305
07/1968,0.2297766614,0.3162903023,0.3931710694,0.4727666246,0.4969464509,0.7130365692,0.6290189115,0.7064554625,0.8500621683,0.9797319606
08/1968,0.2404955891,0.221750411,0.4308651105,0.5224664251,0.428089193,0.583304612,0.7154209876,0.7529817304,0.8073559152,1.0235547321
09/1968,0.23575055,0.2950478768,0.2760164374,0.4542682497,0.4612993643,0.5116574169,0.7191962866,0.7168147479,0.7489398655,0.8273938231
10/1968,0.260934465,0.2093298055,0.3817139341,0.4271605962,0.4862516958,0.5579894252,0.6895093237,0.6564996853,0.6964124967,0.7572793775
11/1968,0.1726343096,0.3102825222,0.3682238103,0.4283017239,0.5102663617,0.6219385248,0.5630939359,0.6652122585,0.7456566058,0.8310900939
12/1968,0.1471704596,0.2601346442,0.3363415844,0.4000304341,0.44974581,0.5029088986,0.5466693272,0.667648838,0.7560726641,0.7315457026
01/1969,0.1447863391,0.2646669837,0.3508121724,0.3995394737,0.4147771405,0.532576234,0.6472874855,0.6335302367,0.6703784788,0.7408411004
02/1969,0.1637082832,0.281456759,0.3571793647,0.4006537577,0.4575322748,0.4952757165,0.6462318784,0.6609623748,0.6940945433,0.7294438685
03/1969,0.1747394528,0.3300927135,0.3458679577,0.4919096907,0.498350004,0.5026972545,0.7514063464,0.6826815278,0.6782005473,0.9136990004
04/1969,0.1514600684,0.3118823667,0.2984489731,0.3975187439,0.4631100013,0.490189039,0.6142937584,0.7320257355,0.6423098595,0.8946902095
05/1969,0.1583106334,0.2866793541,0.3026156032,0.3971589728,0.3797478949,0.4608422894,0.658329267,0.6556890743,0.6383601321,0.7558147886
06/1969,0.2726083419,0.2537693867,0.2746354646,0.3856134151,0.3773751264,0.4146335377,0.6334670126,0.6079201178,0.6606289165,0.7135623153
