date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,0.4317975103,0.4574240278,0.4073129812,0.4452482477,0.5619830787,0.3591075846,0.4671432456,0.6919982113,1.114299928,0.7841271294
08/1963,0.4428789839,0.4389521304,0.4152667253,0.4252347553,0.4242365099,0.5232420829,0.5489911971,0.7586522119,0.9946071236,1.0069332078
09/1963,0.4265545544,0.4243204277,0.4712688278,0.3548891854,0.4701665563,0.5225195639,0.4288335487,0.7259790221,0.7009760776,0.8987507189
10/1963,0.439555753,0.4251201007,0.4962470658,0.4548058523,0.3779208697,0.5327066222,0.4173566213,0.6894399714,0.7092343472,0.9037881041
11/1963,0.4254331571,0.3695074468,0.4810179851,0.4679367764,0.3089820775,0.4034772696,0.6560625666,0.6689027042,0.4564151141,0.8622397246
12/1963,0.4194889839,0.4262598339,0.4243025652,0.5204188656,0.4264559703,0.5380692016,0.4224507208,0.5151477314,0.6479869296,0.9138531634
01/1964,0.4207280924,0.466369621,0.6184764135,0.3724621201,0.5089644103,0.4388986536,0.4612384623,0.4834637864,0.7442231706,0.7636142654
02/1964,0.4495367833,0.4377911094,0.5799124368,0.3924643201,0.4725639264,0.3869492,0.4846648863,0.6913566424,0.6015137098,0.7356865892
03/1964,0.4281949927,0.4388683386,0.5042447428,0.5738778495,0.4118699613,0.4027654285,0.4485987102,0.5879854995,0.6930039855,0.7231086593
04/1964,0.4475738358,0.4470527329,0.4159065372,0.5825987702,0.3896268734,0.4030463808,0.5117574533,0.5911848001,0.7350768699,0.7762345902
05/1964,0.4255478245,0.476742958,0.4191801873,0.32963928,0.4015273775,0.529569652,0.507681713,0.7078414169,0.7852506887,0.7686519193
06/1964,0.4312045512,0.4284248266,0.3666010546,0.3922526113,0.4887521358,0.4137781586,0.5739820586,0.5635907344,0.8549945651,0.7521323221
07/1964,0.4497531189,0.4574329618,0.3885841872,0.3951499377,0.4470278273,0.4094064532,0.4756690272,0.7587974321,0.7568058718,0.7870245267
08/1964,0.4053166461,0.3989654871,0.4180253228,0.4143554619,0.4154261178,0.4514010754,0.534027482,0.7565270074,0.7427963061,0.7786472109
09/1964,0.4486432644,0.4148857317,0.3570039937,0.3739293051,0.4929937903,0.3985973213,0.5607664323,0.7800414841,0.6829481785,0.8337146424
10/1964,0.3988823674,0.4023074792,0.3328398581,0.5013939676,0.5560563194,0.5199890087,0.3997146834,0.6391920618,0.6330551642,0.7575467803
11/1964,0.4644918679,0.3146548922,0.3912433723,0.3411763416,0.5004830692,0.5049364588,0.3892068097,0.6076422617,0.7401323048,0.766363051
