date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,0.4019797358,0.4649743351,0.4039114261,0.3355014215,0.5141507038,0.6087650847,0.8342141855,1.0221200023,0.7392932804,1.1691790731
08/1963,0.3988945395,0.4653763577,0.4026467894,0.3359573981,0.5130368863,0.6155666146,0.8467788837,1.0348248754,0.7349340527,1.1820524971
09/1963,0.3829062731,0.4507593309,0.384591846,0.3231200082,0.4819663306,0.5747746839,0.7993128817,0.9734448617,0.6983987995,1.1218910147
10/1963,0.3957394333,0.4524161139,0.3916687791,0.3267985062,0.4822886372,0.5814224358,0.8201446008,0.9813722801,0.7138505795,1.1357132636
11/1963,0.3996084154,0.443452079,0.3645940964,0.3097673483,0.4803482064,0.5711584291,0.8122092034,0.9425652559,0.7040883885,1.1275072803
12/1963,0.4041446358,0.4436693576,0.3778421738,0.3166899062,0.4885063906,0.5814240049,0.8287235064,0.9695300541,0.7129995142,1.1309848796
01/1964,0.3938113505,0.4326409998,0.3700414982,0.4007576468,0.4819009551,0.5723497184,0.7969585705,0.9407892892,0.6958667313,1.1161088088
02/1964,0.3873925936,0.4207330964,0.3523655785,0.3912249715,0.4754615312,0.5662364848,0.793909018,0.9397627966,0.7007225172,1.0956083192
03/1964,0.3833266832,0.4146167915,0.3512420178,0.3883954494,0.4576665915,0.555542462,0.7614263065,0.8997969506,0.6887205389,1.0449239957
04/1964,0.3885387019,0.414488987,0.3434905515,0.3779170982,0.4470627628,0.5406775359,0.7452447805,0.8830549384,0.6553574324,1.0191875658
05/1964,0.3858717618,0.4089409197,0.3436686002,0.3817389619,0.4507079496,0.5447233374,0.7522693096,0.8600131129,0.6616412358,0.996916771
06/1964,0.3851886827,0.4104968841,0.3401157566,0.3862874133,0.4382613451,0.5401087211,0.7395692831,0.8224707677,0.6492367626,0.999037597
07/1964,0.3803571132,0.4539852349,0.362659273,0.3850644582,0.5340519171,0.5287345744,0.7850814898,0.7651733401,0.9581059098,0.8946698841
08/1964,0.3600753083,0.4540861145,0.3505931446,0.3761176871,0.5198896881,0.5184858247,0.7684184775,0.7622659041,0.9428698195,0.8726542877
09/1964,0.3632092565,0.4624313326,0.3555034274,0.3103460371,0.5309598919,0.5263096254,0.7779282689,0.7581732466,0.9523929548,0.868017549
10/1964,0.3567849235,0.4565353494,0.3427453539,0.3037967103,0.5107172757,0.5129590777,0.7506292568,0.7473955763,0.9001972653,0.8407319454
11/1964,0.3556990957,0.4509923139,0.3371653654,0.3075702088,0.5121936259,0.4996573786,0.7456028865,0.7352992871,0.8843695944,0.8213866644
12/1964,0.3541546942,0.4533803987,0.343660378,0.3088140408,0.5149163595,0.4943762484,0.7519734501,0.7320854438,0.8964863413,0.8265251872
01/1965,0.3525467591,0.4406131528,0.3369884347,0.3059178133,0.5091755999,0.488166335,0.7577576205,0.7474152084,0.9047908023,0.8146503215
02/1965,0.3390888617,0.4353378267,0.327643966,0.2937228295,0.4938162072,0.4689789188,0.7199904508,0.7066402235,0.8582359334,0.777158987
03/1965,0.3388129736,0.4349234147,0.3320896975,0.3639035422,0.4885041648,0.464872617,0.7127591028,0.6815610962,0.8454161293,0.7611922471
04/1965,0.3419683887,0.4428237978,0.3376823019,0.3717505013,0.4958544048,0.4662528986,0.709882466,0.6950586355,0.8372670122,0.7677979613
05/1965,0.3409759208,0.4326609683,0.3230744216,0.3547993813,0.4789590268,0.4574571882,0.6897016918,0.6735334499,0.7896108474,0.7321960091
06/1965,0.3442904135,0.4299958001,0.3281635477,0.3606967655,0.4878687406,0.4502702328,0.6936732114,0.6826761907,0.8027239884,0.7301648415
07/1965,0.376736449,0.5240695795,0.3081049631,0.4618003276,0.3974469845,0.6986126998,0.7544869661,0.7880245111,0.9570968979,0.8983464888
08/1965,0.3714049836,0.5228268421,0.3050890984,0.4612347656,0.3854100793,0.6782614749,0.7308528019,0.7789115305,0.9307955802,0.8932781833
09/1965,0.3706402947,0.5208015958,0.2969100661,0.4420007829,0.3709600573,0.6596949541,0.7107563252,0.7578996727,0.9100857249,0.8679640229
10/1965,0.3606882445,0.507705219,0.2836863024,0.4305566943,0.3629927045,0.6444655058,0.6811138283,0.7269370129,0.8744146018,0.8373088353
11/1965,0.3594212681,0.5036617409,0.2736198958,0.4291820876,0.3517928577,0.6250828345,0.6538921674,0.7013846449,0.8279669333,0.8053830302
12/1965,0.364538152,0.5171235566,0.2835678614,0.4092433175,0.3452505707,0.6269001134,0.6379230001,0.687750588,0.8223332962,0.7866145346
01/1966,0.3618274241,0.5147683126,0.2911523747,0.4169808387,0.3461670735,0.624366275,0.6099159996,0.6577126779,0.7732645402,0.7460025598
02/1966,0.3673021601,0.518632833,0.2934953442,0.410709983,0.3423686385,0.6120631777,0.5781053697,0.6491329959,0.7497124138,0.736159665
03/1966,0.3818726999,0.5319763209,0.3035431561,0.4219198263,0.3453904601,0.6209748186,0.5763818448,0.6354157507,0.7439740896,0.7251889875
04/1966,0.3901832618,0.5519918094,0.3136956664,0.4385454283,0.347583102,0.6332504195,0.5909490214,0.6528095366,0.7649176996,0.7462754433
05/1966,0.3809353708,0.5449151469,0.3160881381,0.4287538678,0.3404836851,0.6187345445,0.5691707801,0.6315991832,0.7580732498,0.7131255063
06/1966,0.3991157582,0.5708294295,0.3368891977,0.4418398564,0.3520976967,0.6492351657,0.6165258821,0.6786680549,0.8190234555,0.7796904104
07/1966,0.39077087,0.4889136626,0.3807679481,0.5272630077,0.3918372192,0.4740477279,0.7532395004,0.7968549055,0.922811384,0.9221159408
08/1966,0.3968617888,0.491239282,0.4166564733,0.5233979646,0.3973338616,0.4742091964,0.7574816381,0.7910083196,0.9231535278,0.9301118375
09/1966,0.4402494368,0.5430468053,0.4266437348,0.5591538306,0.4249023682,0.5097010469,0.8227616992,0.8483444117,0.9948344402,1.0172689068
