date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,0.2029531385,0.3320833914,0.4056983469,0.5271800856,0.5854588324,0.6877359861,0.8241058195,0.9228186739,1.1701661906,1.6768651123
08/1963,0.2049383701,0.3297116136,0.4025210452,0.5272617388,0.5822332686,0.6893169341,0.813376726,0.9340233881,1.1862640488,1.7261649723
09/1963,0.1955492702,0.3117872937,0.3881837803,0.5076855275,0.562376519,0.6553038736,0.774554592,0.8726170417,1.1070985048,1.6383900819
10/1963,0.1970265066,0.3146922248,0.405746841,0.5063166538,0.5782320373,0.6570011365,0.7874045126,0.8697026798,1.1245820831,1.6838446043
11/1963,0.1893403348,0.2898150363,0.4026705394,0.4966974527,0.5653408402,0.6617894675,0.7841601637,0.8313533076,1.0985301326,1.6828249475
12/1963,0.1938679065,0.3061586847,0.4069829402,0.4921855668,0.5706781183,0.6648635096,0.802101067,0.8534754509,1.1067870491,1.6881200939
01/1964,0.2079866602,0.2999842294,0.3944476448,0.4826107372,0.5477526416,0.6426276272,0.7769981207,0.8442230299,1.0794709148,1.6424064904
02/1964,0.2015488813,0.2964666479,0.3838086401,0.4700895679,0.5254105864,0.6350685317,0.7650169426,0.8243435527,1.0378209114,1.6198485661
03/1964,0.1978156714,0.2940818475,0.3800475058,0.463774483,0.5205138017,0.6285788244,0.7451761099,0.790540658,1.0130571324,1.530655785
04/1964,0.197240432,0.29165911,0.374448977,0.4653159562,0.5058333312,0.6057190723,0.7174607083,0.7569257775,0.9565623866,1.5057791174
05/1964,0.203139728,0.2854600713,0.368298786,0.4570933108,0.5043225629,0.6099751624,0.701123131,0.760038268,0.9746612727,1.5005871618
06/1964,0.2012993015,0.2811412952,0.3678027168,0.4595140523,0.5013568926,0.6147183765,0.6826802083,0.7467946845,0.9439548652,1.4939270367
07/1964,0.2105233777,0.2978325336,0.3904078655,0.4781293085,0.5698643713,0.6453861573,0.7549603089,0.8977904833,1.0630926735,1.5533722857
08/1964,0.2065548495,0.2833272337,0.3765857815,0.4767740553,0.5612501048,0.6150095477,0.7466215132,0.8772451512,1.0456828882,1.5475688506
09/1964,0.1919396791,0.2843031243,0.3802470878,0.4888960018,0.5670792067,0.6154579246,0.7624441493,0.8848840853,1.0486366282,1.5727820101
10/1964,0.1872378694,0.2749261391,0.3719836874,0.4830426151,0.5519500535,0.5868621551,0.7353699474,0.8512203653,1.0057472613,1.4724793795
11/1964,0.1878036642,0.273057458,0.3632213619,0.4767937704,0.5468768468,0.5817787899,0.7295404547,0.8481566744,1.0026100129,1.4385700534
12/1964,0.1905668447,0.2761134955,0.358141513,0.4818005345,0.544633451,0.5762172529,0.7338484737,0.8562475306,1.0381722789,1.4926012338
01/1965,0.1867115038,0.2716904556,0.358873771,0.4666656046,0.5303359634,0.5842272391,0.7246144043,0.867955206,1.0711369125,1.5247171796
02/1965,0.176536518,0.2617872438,0.35262058,0.4645711295,0.5140758507,0.5625191609,0.699418848,0.8338112554,1.0071293238,1.44252906
03/1965,0.1916790762,0.2629931231,0.3553804914,0.4661225669,0.5114894189,0.5598103257,0.6995005509,0.8299360955,0.9882788052,1.4336347621
04/1965,0.1965167713,0.2627460143,0.3596733356,0.4748976042,0.5241624605,0.5683028146,0.7043362964,0.8322649112,0.9938208648,1.4232896006
05/1965,0.188315114,0.2505701513,0.354934394,0.4644605923,0.5134869876,0.5419210648,0.686385707,0.8075379296,0.9511485049,1.334059421
06/1965,0.1885354869,0.2582148919,0.3610716963,0.4607000025,0.5145279687,0.5440968112,0.6924538794,0.807493749,0.9786906369,1.3752459489
07/1965,0.2069542595,0.3449368619,0.3967444538,0.4883993475,0.5579857635,0.6518723033,0.7760972701,0.8964460013,1.1087980203,1.6498265025
08/1965,0.2038697866,0.3435238594,0.3934885582,0.4843327787,0.5556438516,0.6424150972,0.7543284088,0.856957717,1.0799729462,1.5825760164
09/1965,0.1983236996,0.3359994372,0.386835098,0.4783330937,0.5468353531,0.6156627025,0.7357715398,0.8544559132,1.0477070988,1.5569802441
10/1965,0.1905986009,0.3227778154,0.3767819931,0.4635578293,0.5355817188,0.6050707033,0.718234113,0.8188677147,1.0283328711,1.4785394425
11/1965,0.1851325226,0.3171731505,0.3701356872,0.4549426028,0.5337000122,0.583041368,0.6933774853,0.7884186363,0.9689267292,1.382044805
12/1965,0.1876816303,0.3199918669,0.3691081136,0.4577089001,0.5448930103,0.5805346569,0.6864917364,0.7737565895,0.9794814662,1.3875912325
01/1966,0.1945360386,0.3123297951,0.3658858165,0.4537776342,0.5375250473,0.5659176491,0.6626059295,0.7540766629,0.911055318,1.3053119527
02/1966,0.1967563005,0.3136706572,0.3648982982,0.4534544088,0.5407476858,0.553039282,0.6364751546,0.7361773136,0.8760705715,1.2430917326
03/1966,0.2022409954,0.3189844814,0.3778299974,0.4697320299,0.5462550178,0.5613861448,0.6480545463,0.7298924508,0.8818818751,1.256435194
04/1966,0.2079353938,0.3254384074,0.3869980073,0.4834136702,0.569034023,0.5637786061,0.6594052412,0.7498613956,0.9127521317,1.3068194332
05/1966,0.2076011947,0.3206179648,0.3785058879,0.4691715189,0.5601852252,0.5488917263,0.6513189781,0.7194758585,0.8957091446,1.2915303266
06/1966,0.2155565823,0.3379369147,0.3945384078,0.4965497147,0.5876020998,0.5951748152,0.6894011186,0.7783978997,0.9808089622,1.3947493471
07/1966,0.1677915305,0.3224237776,0.3987439923,0.4720605715,0.5881654091,0.6142524639,0.7287312721,0.8363577856,0.9694539963,1.6057871931
08/1966,0.1789284628,0.3257571138,0.4047203934,0.480506189,0.5914110991,0.6151766727,0.7411738309,0.8255510129,0.985481842,1.6423736568
09/1966,0.1843073723,0.3529326565,0.4471281347,0.5240072326,0.648328003,0.6720129441,0.7813952475,0.8993896073,1.0694011975,1.7879799973
10/1966,0.1883360429,0.3519425607,0.4471102141,0.5132857482,0.6538027136,0.6797158581,0.7817038006,0.8754177984,1.111214813,1.8355444813
11/1966,0.1823400225,0.3475236909,0.4223764483,0.4943612656,0.6091975596,0.6493115738,0.7258174237,0.8302195163,1.0639757987,1.7813810439
12/1966,0.1735509445,0.3529945715,0.4205682391,0.4932102497,0.6165123925,0.6580055782,0.7459550349,0.8372525686,1.0781788216,1.8422902381
01/1967,0.1752771243,0.354666581,0.4060423009,0.4847470338,0.608561952,0.6376227905,0.7243396379,0.8337540097,1.0742225845,1.8136103369
