date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,0.1994614594,0.3336232925,0.4154820779,0.5279706839,0.575615592,0.7166316263,0.8488267563,0.9854716121,1.1883157743,1.6991540485
08/1963,0.2028693388,0.3361745785,0.4286035742,0.5339500185,0.6002189027,0.717519949,0.8630289004,1.0270955545,1.2380151413,1.7545683261
09/1963,0.1922130997,0.3187887198,0.4025230522,0.512928905,0.5664093595,0.68166272,0.8242493268,0.9950993452,1.1487813506,1.6560665871
10/1963,0.1948424274,0.3255856608,0.4147372393,0.5073404894,0.5691673051,0.6930415391,0.8384457863,1.0124017716,1.2232878016,1.8922855456
11/1963,0.2011922418,0.3283448843,0.4078022771,0.5016679853,0.5754451079,0.6913653135,0.7925887906,0.9768544248,1.1560445411,1.7075146967
12/1963,0.2111162196,0.336669509,0.4151654195,0.4987046564,0.5924680524,0.708634207,0.8046813402,0.983216624,1.1854201741,1.7241009108
01/1964,0.2229485974,0.3208964684,0.4019495584,0.4844651692,0.5755306601,0.6848830491,0.8002646454,1.0104964493,1.2549441931,1.8926900608
02/1964,0.1974546672,0.3026492027,0.3983714527,0.4652541365,0.5651225546,0.6621356258,0.7836159491,0.9460292491,1.198544693,1.8705719837
03/1964,0.1922700061,0.299207189,0.3901470177,0.4577284608,0.5562848601,0.6558373314,0.7700387606,0.9238165039,1.13979069,1.7992371211
04/1964,0.1922662894,0.2914442208,0.3750828051,0.4554179418,0.5391632304,0.6203924554,0.7501263994,0.8961975887,1.1221510267,1.7803952555
05/1964,0.1992087493,0.2950791902,0.3863801758,0.4518557806,0.5470482584,0.642424868,0.7615953107,0.9164136489,1.1057465561,1.7764976878
06/1964,0.2101554374,0.3045476993,0.3768498038,0.4505578546,0.5419402075,0.6400493077,0.7501083641,0.9140787209,1.1671506296,1.7616875748
07/1964,0.224950021,0.3202819466,0.3900653697,0.4715834336,0.5655407312,0.6503846442,0.7697518663,0.923014859,1.1426951916,1.6142377525
08/1964,0.2165092345,0.3182263783,0.3871217693,0.4692748496,0.554011573,0.6414025782,0.7499444179,0.8960174959,1.1077189237,1.6116362613
09/1964,0.2018489753,0.3228356737,0.388573896,0.4806900096,0.5530948638,0.635974656,0.7676886043,0.9100858608,1.1380430194,1.6534822942
10/1964,0.1970202951,0.3157268684,0.382582823,0.4750841238,0.5471268242,0.6283939565,0.745949652,0.8744307151,1.0815952456,1.5464940616
11/1964,0.1956968218,0.3040893902,0.3699353646,0.458194581,0.5063065255,0.6066948751,0.7332572735,0.8550662338,1.0405726443,1.497798901
12/1964,0.2005405847,0.2997209569,0.3720838652,0.4587612292,0.5201355988,0.6107764086,0.7304184829,0.8487393393,1.0800324512,1.5636492818
01/1965,0.1960804683,0.3012964625,0.3685295136,0.4597714035,0.515526434,0.6102882931,0.7280499107,0.8694342445,1.0989332659,1.5977723556
02/1965,0.1854103207,0.2807742659,0.3441771774,0.4246290633,0.4887700769,0.5853276291,0.7023038565,0.8331744562,1.0389258704,1.5119704782
03/1965,0.180878967,0.2584960877,0.3411270838,0.4148932361,0.4918720944,0.5724681172,0.6657668803,0.8093421429,1.0267908473,1.5173451446
04/1965,0.1992095859,0.2756286435,0.3447845681,0.4132487288,0.5018423335,0.5727458427,0.6727459997,0.8065072921,1.012874743,1.4908408044
05/1965,0.1885786772,0.268339772,0.3401751267,0.4027513337,0.4780019258,0.5391507926,0.6459663915,0.7854223049,0.9838417685,1.4192023021
06/1965,0.1766361415,0.2548066035,0.3398206395,0.3992948433,0.4712955117,0.542450074,0.6427478827,0.7771943037,1.0025251072,1.4709276463
07/1965,0.2043624318,0.3286046793,0.3927596265,0.4676452053,0.5481855077,0.6424808658,0.7729310663,0.8998393835,1.1117240368,1.6573473363
08/1965,0.1997607105,0.3116145844,0.3836128716,0.4554496257,0.544584423,0.6231029103,0.740503136,0.8764971619,1.0754857701,1.5946928173
09/1965,0.1768866416,0.2867047151,0.3740150557,0.4434750736,0.5438522823,0.6129657184,0.723479113,0.8407322671,1.0787570287,1.6101071732
10/1965,0.1671464647,0.270833726,0.3633590951,0.4325595111,0.5097519354,0.5727238857,0.6998591015,0.8070892078,1.0517013503,1.5192871484
11/1965,0.1785874293,0.2808347759,0.3506919164,0.4185130887,0.4955461262,0.5684155132,0.6631884468,0.7716886418,0.955920584,1.3701857125
12/1965,0.1521816865,0.2585057719,0.3473883544,0.408258192,0.4907599205,0.5844005821,0.6559977242,0.7681655689,0.9665862459,1.4217790442
01/1966,0.1558724708,0.2492010732,0.3354508239,0.4019780028,0.4684201584,0.530618894,0.6182248635,0.7327141795,0.8964628276,1.3488168498
02/1966,0.1541811755,0.2518977658,0.329193166,0.3919469766,0.4582100603,0.5212821965,0.6132646286,0.6973475035,0.8628013125,1.3235712705
03/1966,0.1527278592,0.2530191767,0.3274895362,0.3862596157,0.4610107065,0.5327318001,0.614304408,0.7190914988,0.8741503174,1.3234569556
04/1966,0.1542514783,0.2593617248,0.3342085983,0.4018312439,0.4701256211,0.5491389679,0.644997884,0.7245566738,0.8856186038,1.3809082448
05/1966,0.1434548315,0.2513919012,0.326010557,0.3887925416,0.4600183549,0.5338129279,0.6362956326,0.7309669078,0.8960536071,1.4290247748
06/1966,0.1484832292,0.2669740049,0.3444610619,0.4211503999,0.5063551352,0.5756166091,0.6705481665,0.7671857366,0.9607586286,1.5144659339
07/1966,0.1622391162,0.2997280407,0.3760987906,0.4667047399,0.5458882416,0.6297411577,0.7166052401,0.8183877066,1.014980453,1.6096542784
08/1966,0.1628656477,0.311604332,0.3970359517,0.472182073,0.5615166373,0.6343511644,0.7293414604,0.8167210177,1.0177725569,1.635525747
09/1966,0.1680958179,0.3410018867,0.4404751943,0.521249728,0.6193712211,0.6919000916,0.7738862288,0.9131289767,1.1356960324,1.7897299036
10/1966,0.1603909875,0.3317236761,0.4457453427,0.5299301915,0.6443626389,0.7346117597,0.8115538196,0.9346973409,1.1532974446,1.8499422136
11/1966,0.1687388908,0.3179769391,0.4087665547,0.5148448729,0.604212108,0.6926039613,0.7820642407,0.9200775352,1.1443405823,1.8127075328
12/1966,0.1579872736,0.3112035801,0.4156919206,0.4991915213,0.5930103566,0.6968105746,0.780102674,0.9148011317,1.1925957878,1.8989783049
01/1967,0.1435592793,0.2964593393,0.4026048377,0.4845705376,0.5737851079,0.6785389195,0.761604104,0.8896413055,1.1880347687,1.8674662484
02/1967,0.1341724754,0.2676475545,0.3594240326,0.4306032218,0.5196871536,0.5918512458,0.6701604409,0.7849427903,1.0351113481,1.5987976184
03/1967,0.131267851,0.2658364311,0.3593530967,0.4291889944,0.5188893011,0.5998784448,0.6772832706,0.7882223836,1.0537586041,1.6075547949
04/1967,0.1266881687,0.2532442872,0.3439064119,0.4127457086,0.4967738109,0.5738933504,0.6473760619,0.7533564057,0.994454396,1.5064700458
05/1967,0.1398274559,0.2418736449,0.3225094866,0.4066966265,0.4796500676,0.5637455943,0.6459092286,0.7489412266,0.9826255061,1.4762267241
06/1967,0.1207149325,0.2465771805,0.3347534254,0.4154798102,0.5001785558,0.5729729525,0.6749841569,0.7510924901,0.9748991932,1.5653156472
07/1967,0.1339798316,0.2712822256,0.3665658174,0.4310952403,0.5008464696,0.5927295527,0.6969657899,0.7838614438,0.975127407,1.4967883216
08/1967,0.1329655604,0.2449536332,0.3375353062,0.4165602562,0.4722825761,0.5729876953,0.6582108347,0.761422794,0.9013320875,1.4015122615
09/1967,0.1342345463,0.2509862573,0.3447716213,0.414500239,0.4829527743,0.5794224779,0.6603695202,0.7613556024,0.9153538994,1.3932241098
10/1967,0.1268205237,0.2420970141,0.3307838692,0.4044384577,0.4649076624,0.5581112154,0.6407400181,0.7509862059,0.8698391562,1.3340169174
11/1967,0.1240638225,0.252281993,0.3447619914,0.413646042,0.4914923355,0.5775899511,0.660080502,0.7799479611,0.9092405161,1.4296155303
12/1967,0.1344035403,0.2424395108,0.3428504738,0.4175882271,0.4893751283,0.5740941455,0.6781661762,0.7947288525,0.9472026347,1.4708412825
01/1968,0.1251470931,0.2291835223,0.2996325738,0.3825555908,0.4570511056,0.5427507377,0.6381100601,0.768458995,0.88586864,1.3915191079
02/1968,0.1192875297,0.2330804744,0.3038368692,0.3938886265,0.4692493869,0.5564610337,0.6357954191,0.7580689102,0.8718407854,1.3911470053
03/1968,0.1234256074,0.2513273025,0.3261452567,0.4141104642,0.4918360397,0.5810817378,0.653555696,0.7840964437,0.926764584,1.4603727314
04/1968,0.1323129598,0.2408834728,0.3221379448,0.4209017663,0.4933560419,0.5994463919,0.6847287813,0.7998795531,0.9297855406,1.475301327
05/1968,0.1289295153,0.2118543917,0.2809248004,0.3685771068,0.4488413094,0.5548114594,0.6243880034,0.7336731179,0.8223122788,1.3398813964
06/1968,0.1218884454,0.1974067031,0.2712745648,0.3626229029,0.4402974189,0.5252965661,0.6185775955,0.71740207,0.8270772,1.2962933879
07/1968,0.1342341288,0.2284722084,0.3081453362,0.3937893872,0.4700858955,0.5463341008,0.6260838992,0.7058977545,0.8389025055,1.325273095
08/1968,0.1268473805,0.243943888,0.323735309,0.4055875444,0.4746447326,0.5705248271,0.6415485821,0.7431974049,0.8446128746,1.3486637889
09/1968,0.1244329657,0.2378167692,0.3190835923,0.406045968,0.4689850321,0.5581097335,0.6414228807,0.7251225873,0.8334978047,1.3428498005
10/1968,0.1221219553,0.2192189648,0.3050135429,0.3809507633,0.4496657631,0.5270200284,0.5977664361,0.6872948909,0.795777008,1.2320838943
11/1968,0.1253258883,0.2187515345,0.293974339,0.3691609883,0.4418810254,0.5204486933,0.589073522,0.6779703093,0.7813784473,1.1930077612
12/1968,0.1182030689,0.2057036019,0.274894787,0.345139954,0.4047500863,0.4802719995,0.5464686911,0.6334026811,0.7422296134,1.1739823552
01/1969,0.1198837766,0.1899465881,0.2706980831,0.3336124131,0.4083210308,0.4687806413,0.5544329519,0.6395346134,0.7621004589,1.1967784917
02/1969,0.124410974,0.1955598285,0.2755802716,0.3404878677,0.4097056371,0.4781037324,0.5596645145,0.6351525132,0.757241775,1.1954011807
03/1969,0.1289219806,0.2173662473,0.30370024,0.3742603983,0.4338803921,0.5191381625,0.5925485714,0.6868587352,0.8011331154,1.2527250649
04/1969,0.1229323652,0.2065890077,0.2900797622,0.3695824789,0.4322160462,0.5106345285,0.581095835,0.6766577482,0.8130536945,1.2434523763
05/1969,0.1194099598,0.1992026937,0.2780622083,0.3489366564,0.4190794488,0.501263943,0.5819885029,0.6818306469,0.785542746,1.2644434267
06/1969,0.1192145507,0.203084113,0.2796132242,0.3689909742,0.4326605014,0.5202825644,0.5864318018,0.6750973061,0.7855056682,1.2859268156
07/1969,0.1429646346,0.2797180173,0.3656118712,0.4392140319,0.5270695352,0.6175265903,0.7051287595,0.8002188757,0.9676801002,1.5043114974
08/1969,0.1489036033,0.2995009842,0.3940813336,0.4777038809,0.5760489456,0.6737678052,0.7393620838,0.84546016,1.0652118384,1.6119790531
09/1969,0.1390079498,0.2826566363,0.3735975456,0.465746684,0.5545037628,0.6646240532,0.7360019622,0.840539203,1.0492253489,1.5769960992
10/1969,0.1391727099,0.2835428936,0.3760399589,0.4693959279,0.5704338069,0.6762175836,0.7478513468,0.8742493109,1.1013339409,1.6866235788
11/1969,0.1316651812,0.2568155387,0.3458838813,0.4478252462,0.5301893706,0.6182320164,0.7305183702,0.8470210273,1.0222345591,1.5852221493
12/1969,0.1330494119,0.2629902264,0.3624544528,0.4726823269,0.5623604754,0.6592793966,0.77639067,0.8769713121,1.0989770942,1.7038296646
01/1970,0.1288362574,0.2547169627,0.359873494,0.4821532025,0.5659457443,0.6800924169,0.782956895,0.9183925162,1.1402384745,1.7663161148
02/1970,0.1357678319,0.2714308095,0.392862278,0.5203541855,0.6095221142,0.7280357816,0.8667339309,0.9381384376,1.1576410222,1.8655464899
03/1970,0.1340947391,0.2639865928,0.3825804372,0.4905725142,0.5844903663,0.6756034016,0.8211327971,0.9195481753,1.1155554331,1.7297145752
04/1970,0.1371529107,0.2673909673,0.4092506276,0.4996663997,0.5921271501,0.6789547421,0.8175817839,0.9422653781,1.1309967627,1.7321592957
05/1970,0.1562381737,0.3225021227,0.4649173365,0.5726422432,0.6748953714,0.7807678315,0.898652016,1.041673479,1.2706590429,1.9116625039
06/1970,0.1688280708,0.3626402138,0.5093759602,0.6299378218,0.739836398,0.8587554657,0.9652644066,1.1528602058,1.4415391983,2.080340171
07/1970,0.2024833984,0.4168706031,0.5887588585,0.7488365438,0.8916804861,0.9995648011,1.1254076182,1.3597233375,1.7344665382,2.574743529
08/1970,0.2000647924,0.3901503901,0.5441493101,0.694326367,0.8275284873,0.9614289816,1.1030933835,1.3280544587,1.6542814389,2.4505983712
09/1970,0.187594706,0.3661111391,0.5065933833,0.6546799207,0.7801855627,0.9007639841,1.0014927281,1.2009792173,1.5236672483,2.2862625529
10/1970,0.1763395373,0.3405482098,0.4934658922,0.6132166763,0.7300542235,0.8347763542,0.9780692153,1.1114270319,1.4013483234,2.1476865442
11/1970,0.1768664929,0.3410809804,0.5012958515,0.6650128511,0.7779669804,0.8844854057,1.027924525,1.1635302902,1.5184161166,2.3163609783
12/1970,0.1728935821,0.3324015121,0.4726247125,0.6150843184,0.7289269857,0.8502118889,0.9974353456,1.165056845,1.5019049492,2.3323798033
01/1971,0.1608849922,0.3051864519,0.4378319151,0.5558172298,0.6663551345,0.7647368178,0.9158110344,1.050875835,1.3502064791,2.065187025
02/1971,0.152638975,0.2847030415,0.4138091784,0.5087893622,0.6185684868,0.7156997076,0.8422203896,0.9523203172,1.2286992379,1.9263196301
03/1971,0.1484781569,0.2727493606,0.412120576,0.5025727682,0.5978953378,0.6928165382,0.8173999264,0.9356932381,1.1931167159,1.9007764142
04/1971,0.1407849418,0.2530087202,0.3943468777,0.4775223073,0.5878593494,0.6778554976,0.7843417822,0.9056383804,1.1197718104,1.8042847594
05/1971,0.1377051114,0.241190136,0.3701220797,0.4697783903,0.5663821475,0.6481097017,0.7693066374,0.9069410627,1.0948379211,1.7438178209
06/1971,0.1432068275,0.2505820891,0.3883500155,0.4895576987,0.5959160252,0.6883787886,0.8142129895,0.966463528,1.1741525863,1.8388985371
07/1971,0.1559867174,0.2744288243,0.4142807599,0.5343766382,0.6304439695,0.7329134873,0.8567232177,1.0093967449,1.2207274991,1.9458110397
08/1971,0.1617862908,0.2849217246,0.4336846837,0.5535789887,0.6727643263,0.7733627218,0.9002796276,1.0619161403,1.3175525498,2.1400339889
09/1971,0.1567455277,0.2691361854,0.4079213471,0.5368899017,0.6527636672,0.7532697798,0.8630850061,1.021680068,1.2181659778,1.9741674159
10/1971,0.1522155549,0.2646826618,0.4036771057,0.5471480132,0.6540681103,0.7624092738,0.8673946143,1.0327597949,1.2754799718,2.0470641969
11/1971,0.1577531717,0.2818613234,0.431012736,0.5704358055,0.6791636737,0.794102002,0.91630005,1.0935418053,1.4261208788,2.2459271899
12/1971,0.1630575956,0.2853880726,0.4330270159,0.5760432078,0.7058969846,0.8095473139,0.9519641213,1.1183414739,1.5096089298,2.3180527921
01/1972,0.1442093113,0.2462116695,0.3918333256,0.5112028726,0.6177000672,0.7315073459,0.8313736081,1.0120233855,1.2955127008,2.0302178046
02/1972,0.1429122932,0.2504134194,0.3819361249,0.4809364955,0.5972155926,0.7012814016,0.8071810416,0.9884183447,1.2027521736,1.8693349561
03/1972,0.1363260311,0.2311127227,0.3498949496,0.4535833279,0.5844314874,0.6946165691,0.7947729609,0.9333522509,1.1306234287,1.8663214533
04/1972,0.13632152,0.2342752419,0.3653039294,0.4825874281,0.6005691406,0.7019136555,0.801682969,0.9645249209,1.148808839,1.9211607012
05/1972,0.1352339844,0.2280562767,0.3678376421,0.4730238386,0.5937504386,0.7026551915,0.7991116157,0.9410165586,1.1049248568,1.8531218923
06/1972,0.1390950961,0.2275341617,0.3452437018,0.4706319833,0.6122357562,0.7169212777,0.8253697209,1.0049877562,1.15117378,1.920621512
07/1972,0.1445028918,0.2569935181,0.3885297779,0.5234179548,0.6659152262,0.7461258332,0.925830248,1.1095905328,1.2664617836,2.0240251217
08/1972,0.1485018244,0.2623691973,0.4010601733,0.5274378705,0.7133541086,0.7633316133,0.9362014386,1.1021321401,1.332671141,2.140797147
09/1972,0.145553357,0.2595151566,0.4175086915,0.5430067063,0.6602643056,0.8082233758,0.9074217679,1.0852390059,1.297972161,2.0656948485
10/1972,0.146361096,0.2606561138,0.4348468907,0.5653187183,0.700493552,0.8216630711,0.9383278396,1.0815590227,1.3767517875,2.1417851011
11/1972,0.1471706516,0.2590106989,0.4456243515,0.5681519729,0.6873152071,0.809527016,0.9340366982,1.0639207501,1.3540518643,2.2068537146
12/1972,0.1418383945,0.25126366,0.4185441737,0.5320375922,0.6513945531,0.7732561155,0.8640228985,1.0028127012,1.2486871592,2.0214305321
01/1973,0.1371032352,0.2407415905,0.4132848539,0.5343621761,0.6522664893,0.7578668336,0.890774924,1.0225605053,1.295182295,2.0686060904
02/1973,0.14142539,0.2617517534,0.4502263613,0.5807553348,0.6828418726,0.8010086794,0.9166135861,1.0666277789,1.3509956725,2.1202218117
03/1973,0.1508140437,0.2861718777,0.4871149216,0.6221524384,0.7567186684,0.8598177435,0.9810873961,1.1537879887,1.4254420981,2.2730856052
04/1973,0.1421175485,0.2834930457,0.504165255,0.6397510888,0.7621224359,0.8744892737,0.9799174233,1.1924512397,1.4539344872,2.3624760402
