date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/02/1963,47,25,69,47,47,47,47,47,47,48
07/03/1963,47,25,69,47,47,47,47,47,47,48
07/05/1963,47,25,69,47,47,47,47,47,47,48
07/08/1963,47,25,69,47,47,47,47,47,47,48
07/09/1963,47,25,69,47,47,47,47,47,47,48
07/10/1963,47,25,69,47,47,47,47,47,47,48
07/11/1963,47,25,69,47,47,47,47,47,47,48
07/12/1963,47,25,69,47,47,47,47,47,47,48
07/15/1963,47,25,69,47,47,46,47,47,47,48
07/16/1963,47,25,69,47,47,47,47,47,47,48
07/17/1963,47,25,69,47,47,47,47,47,47,48
07/18/1963,47,25,69,47,47,47,47,47,47,48
07/19/1963,47,25,69,47,47,47,47,47,47,48
07/22/1963,47,25,69,47,47,47,47,47,47,47
07/23/1963,47,25,69,47,47,47,47,47,47,48
07/24/1963,47,25,69,47,47,47,47,47,47,48
07/25/1963,47,25,68,47,47,47,47,47,47,48
07/26/1963,47,25,69,47,47,47,47,47,47,48
07/29/1963,47,25,69,47,47,47,47,47,47,48
07/30/1963,47,25,69,47,47,47,47,47,47,48
07/31/1963,47,25,69,47,47,47,47,47,47,48
08/01/1963,47,25,69,47,47,47,47,47,47,48
08/02/1963,47,25,69,47,47,47,47,47,47,48
08/05/1963,47,25,69,47,47,47,47,47,47,48
08/06/1963,47,25,69,46,47,47,47,47,47,48
08/07/1963,47,25,69,47,47,47,47,47,47,48
08/08/1963,47,25,69,47,47,47,47,47,47,48
08/09/1963,47,25,69,47,47,47,47,47,47,48
08/12/1963,47,25,69,47,47,47,47,47,47,48
08/13/1963,47,25,69,47,47,47,47,47,47,48
08/14/1963,47,25,68,47,47,47,47,47,47,48
08/15/1963,47,25,69,47,47,47,47,47,47,48
08/16/1963,47,25,69,47,47,47,47,47,47,48
08/19/1963,47,25,69,47,47,47,47,47,47,48
08/20/1963,47,25,69,47,47,47,47,47,47,48
08/21/1963,47,25,69,47,47,47,47,47,47,48
08/22/1963,47,25,69,47,47,47,47,47,47,48
08/23/1963,47,25,69,47,47,47,47,47,47,48
08/26/1963,47,25,69,47,47,47,47,47,47,48
08/27/1963,47,25,69,47,47,47,47,47,47,48
08/28/1963,47,25,69,47,47,47,47,47,47,48
08/29/1963,47,25,69,47,47,47,47,47,47,48
08/30/1963,47,25,69,47,47,47,47,47,47,48
09/03/1963,47,25,69,47,47,47,47,47,47,48
09/04/1963,47,25,69,47,47,47,47,47,47,48
09/05/1963,47,25,69,47,47,47,47,46,47,48
09/06/1963,47,25,69,47,47,47,47,47,47,48
