date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/02/1963,1843,,,,,,,,,129
07/03/1963,1847,,,,,,,,,129
07/05/1963,1845,,,,,,,,,129
07/08/1963,1842,,,,,,,,,129
07/09/1963,1846,,,,,,,,,129
07/10/1963,1846,,,,,,,,,129
07/11/1963,1846,,,,,,,,,129
07/12/1963,1846,,,,,,,,,129
07/15/1963,1846,,,,,,,,,129
07/16/1963,1846,,,,,,,,,129
07/17/1963,1844,,,,,,,,,129
07/18/1963,1846,,,,,,,,,129
07/19/1963,1842,,,,,,,,,129
07/22/1963,1844,,,,,,,,,129
07/23/1963,1847,,,,,,,,,129
07/24/1963,1846,,,,,,,,,129
07/25/1963,1845,,,,,,,,,128
07/26/1963,1847,,,,,,,,,129
07/29/1963,1841,,,,,,,,,129
07/30/1963,1845,,,,,,,,,129
07/31/1963,1845,,,,,,,,,129
08/01/1963,1846,,,,,,,,,129
08/02/1963,1844,,,,,,,,,129
08/05/1963,1844,,,,,,,,,129
08/06/1963,1845,,,,,,,,,129
08/07/1963,1842,,,,,,,,,129
08/08/1963,1846,,,,,,,,,129
08/09/1963,1846,,,,,,,,,128
08/12/1963,1843,,,,,,,,,129
08/13/1963,1847,,,,,,,,,129
08/14/1963,1847,,,,,,,,,129
08/15/1963,1848,,,,,,,,,129
08/16/1963,1848,,,,,,,,,129
08/19/1963,1845,,,,,,,,,129
08/20/1963,1849,,,,,,,,,129
08/21/1963,1849,,,,,,,,,129
08/22/1963,1848,,,,,,,,,129
08/23/1963,1849,,,,,,,,,129
08/26/1963,1848,,,,,,,,,129
08/27/1963,1849,,,,,,,,,129
08/28/1963,1849,,,,,,,,,129
08/29/1963,1848,,,,,,,,,129
08/30/1963,1848,,,,,,,,,129
09/03/1963,1846,,,,,,,,,129
09/04/1963,1849,,,,,,,,,129
09/05/1963,1847,,,,,,,,,129
09/06/1963,1847,,,,,,,,,129
09/09/1963,1844,,,,,,,,,129
09/10/1963,1847,,,,,,,,,129
09/11/1963,1847,,,,,,,,,129
09/12/1963,1849,,,,,,,,,129
09/13/1963,1848,,,,,,,,,129
09/16/1963,1848,,,,,,,,,129
09/17/1963,1847,,,,,,,,,129
09/18/1963,1848,,,,,,,,,129
09/19/1963,1847,,,,,,,,,129
09/20/1963,1848,,,,,,,,,129
09/23/1963,1849,,,,,,,,,129
09/24/1963,1847,,,,,,,,,129
09/25/1963,1849,,,,,,,,,129
09/26/1963,1849,,,,,,,,,129
09/27/1963,1849,,,,,,,,,129
09/30/1963,1848,,,,,,,,,129
10/01/1963,1845,,,,,,,,,129
10/02/1963,1848,,,,,,,,,129
10/03/1963,1849,,,,,,,,,129
10/04/1963,1846,,,,,,,,,129
10/07/1963,1844,,,,,,,,,129
10/08/1963,1839,,,,,,,,,129
10/09/1963,1843,,,,,,,,,129
10/10/1963,1847,,,,,,,,,129
10/11/1963,1842,,,,,,,,,129
10/14/1963,1845,,,,,,,,,129
10/15/1963,1848,,,,,,,,,129
10/16/1963,1844,,,,,,,,,129
10/17/1963,1850,,,,,,,,,129
10/18/1963,1844,,,,,,,,,129
10/21/1963,1848,,,,,,,,,129
10/22/1963,1848,,,,,,,,,129
10/23/1963,1843,,,,,,,,,129
10/24/1963,1850,,,,,,,,,129
10/25/1963,1846,,,,,,,,,129
10/28/1963,1847,,,,,,,,,129
10/29/1963,1849,,,,,,,,,129
10/30/1963,1846,,,,,,,,,129
10/31/1963,1846,,,,,,,,,129
11/01/1963,1845,,,,,,,,,129
11/04/1963,1843,,,,,,,,,129
11/06/1963,1847,,,,,,,,,129
11/07/1963,1847,,,,,,,,,129
11/08/1963,1843,,,,,,,,,129
11/11/1963,1842,,,,,,,,,129
11/12/1963,1845,,,,,,,,,129
11/13/1963,1847,,,,,,,,,129
11/14/1963,1845,,,,,,,,,129
11/15/1963,1847,,,,,,,,,128
11/18/1963,1852,,,,,,,,,129
11/19/1963,1851,,,,,,,,,129
11/20/1963,1854,,,,,,,,,129
11/21/1963,1855,,,,,,,,,129
11/22/1963,1850,,,,,,,,,129
11/26/1963,1822,,,,,,,,,126
11/27/1963,1854,,,,,,,,,129
11/29/1963,1856,,,,,,,,,129
12/02/1963,1851,,,,,,,,,129
12/03/1963,1838,,,,,,,,,129
12/04/1963,1851,,,,,,,,,129
12/05/1963,1839,,,,,,,,,129
12/06/1963,1847,,,,,,,,,129
12/09/1963,1848,,,,,,,,,129
12/10/1963,1846,,,,,,,,,129
12/11/1963,1850,,,,,,,,,129
12/12/1963,1848,,,,,,,,,129
12/13/1963,1850,,,,,,,,,129
12/16/1963,1847,,,,,,,,,129
12/17/1963,1852,,,,,,,,,129
12/18/1963,1850,,,,,,,,,129
12/19/1963,1852,,,,,,,,,129
12/20/1963,1853,,,,,,,,,129
12/23/1963,1849,,,,,,,,,129
12/24/1963,1856,,,,,,,,,129
12/26/1963,1851,,,,,,,,,129
12/27/1963,1850,,,,,,,,,129
12/30/1963,1852,,,,,,,,,129
12/31/1963,1853,,,,,,,,,129
01/02/1964,1841,,,,,,,,,129
01/03/1964,1847,,,,,,,,,128
01/06/1964,1849,,,,,,,,,129
01/07/1964,1853,,,,,,,,,129
01/08/1964,1848,,,,,,,,,129
01/09/1964,1851,,,,,,,,,129
01/10/1964,1853,,,,,,,,,129
01/13/1964,1851,,,,,,,,,129
01/14/1964,1854,,,,,,,,,129
01/15/1964,1851,,,,,,,,,129
01/16/1964,1858,,,,,,,,,129
01/17/1964,1852,,,,,,,,,129
01/20/1964,1856,,,,,,,,,129
01/21/1964,1855,,,,,,,,,129
01/22/1964,1856,,,,,,,,,129
01/23/1964,1857,,,,,,,,,129
01/24/1964,1858,,,,,,,,,129
01/27/1964,1861,,,,,,,,,129
01/28/1964,1855,,,,,,,,,129
01/29/1964,1855,,,,,,,,,129
01/30/1964,1860,,,,,,,,,129
01/31/1964,1859,,,,,,,,,129
02/03/1964,1857,,,,,,,,,129
02/04/1964,1859,,,,,,,,,129
02/05/1964,1859,,,,,,,,,129
02/06/1964,1862,,,,,,,,,129
02/07/1964,1865,,,,,,,,,129
02/10/1964,1863,,,,,,,,,129
02/11/1964,1859,,,,,,,,,129
02/12/1964,1866,,,,,,,,,129
02/13/1964,1865,,,,,,,,,129
02/14/1964,1866,,,,,,,,,129
02/17/1964,1867,,,,,,,,,129
02/18/1964,1864,,,,,,,,,129
02/19/1964,1862,,,,,,,,,129
02/20/1964,1864,,,,,,,,,129
02/24/1964,1865,,,,,,,,,129
02/25/1964,1869,,,,,,,,,129
02/26/1964,1871,,,,,,,,,129
02/27/1964,1870,,,,,,,,,129
02/28/1964,1863,,,,,,,,,129
03/02/1964,1858,,,,,,,,,129
03/03/1964,1867,,,,,,,,,129
03/04/1964,1863,,,,,,,,,129
