date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/02/1963,77,38,195,304,255,146,347,230,173,195
07/03/1963,77,38,196,304,256,145,349,231,173,195
07/05/1963,77,38,196,303,255,145,349,231,173,195
07/08/1963,77,38,196,304,254,145,349,231,170,195
07/09/1963,78,38,196,304,255,145,349,231,172,195
07/10/1963,78,38,196,304,255,145,349,231,172,195
07/11/1963,78,37,196,304,256,145,349,231,172,195
07/12/1963,78,38,195,304,256,145,349,231,172,195
07/15/1963,78,38,196,304,256,145,349,230,172,195
07/16/1963,77,38,196,304,256,145,349,231,172,195
07/17/1963,78,38,195,304,256,144,348,231,172,195
07/18/1963,78,38,196,304,255,145,349,231,172,195
07/19/1963,78,38,195,304,254,145,348,230,172,195
07/22/1963,78,38,196,304,256,145,348,229,172,195
07/23/1963,78,38,196,304,256,145,349,231,172,195
07/24/1963,78,38,196,304,256,145,348,231,172,195
07/25/1963,78,38,195,303,256,145,348,231,172,195
07/26/1963,78,38,196,304,256,145,349,231,172,195
07/29/1963,77,38,196,304,255,145,349,231,171,193
07/30/1963,78,38,196,304,255,145,350,231,172,194
07/31/1963,78,38,196,305,255,145,351,231,170,194
08/01/1963,81,120,151,177,340,254,134,332,87,288
08/02/1963,81,120,150,178,340,254,134,330,87,288
08/05/1963,81,120,150,178,339,254,134,330,87,289
08/06/1963,81,120,150,178,340,254,134,331,86,289
08/07/1963,80,120,150,177,340,254,134,330,87,288
08/08/1963,81,120,150,178,340,254,134,331,87,289
08/09/1963,80,120,149,178,340,254,135,331,87,289
08/12/1963,80,120,149,178,340,253,135,330,87,289
08/13/1963,81,121,149,178,340,254,135,331,87,289
08/14/1963,81,121,150,178,338,254,135,332,87,289
08/15/1963,80,121,150,178,340,254,135,332,87,289
08/16/1963,81,121,150,178,340,253,135,332,87,289
08/19/1963,81,121,150,178,340,254,135,332,87,285
08/20/1963,81,122,150,178,340,254,135,332,87,288
08/21/1963,81,122,150,178,340,254,135,332,87,288
08/22/1963,81,122,150,178,339,254,135,332,87,288
08/23/1963,81,122,150,178,340,254,135,332,87,288
08/26/1963,81,122,150,178,340,254,135,332,86,288
08/27/1963,81,122,150,178,340,254,135,332,87,288
08/28/1963,81,122,150,178,340,254,135,332,87,288
08/29/1963,81,122,150,178,340,254,135,332,87,287
08/30/1963,81,122,150,178,340,254,135,332,86,288
09/03/1963,86,40,98,247,152,332,203,297,248,260
09/04/1963,86,40,98,248,152,332,203,297,250,260
09/05/1963,86,40,98,247,151,332,203,297,250,260
09/06/1963,86,40,98,246,152,332,203,297,251,260
09/09/1963,86,39,98,245,152,331,203,297,251,260
09/10/1963,86,39,99,245,152,332,204,297,251,259
09/11/1963,86,40,98,245,152,332,204,297,251,259
09/12/1963,86,40,99,245,152,332,204,297,251,260
09/13/1963,86,40,99,245,152,332,204,296,251,260
09/16/1963,86,40,99,245,152,332,204,297,251,260
09/17/1963,87,40,99,245,151,332,203,297,251,260
09/18/1963,87,40,99,245,152,331,204,297,251,260
09/19/1963,87,40,98,245,152,332,204,297,250,260
09/20/1963,87,40,99,245,152,332,204,297,250,260
