date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/02/1963,633,226,182,146,141,137,131,122,121,129
07/03/1963,635,227,182,146,140,137,132,122,121,129
07/05/1963,634,227,182,146,139,137,132,122,121,129
07/08/1963,633,227,182,146,140,137,131,122,120,128
07/09/1963,633,227,182,146,140,137,132,122,121,129
07/10/1963,633,227,182,146,140,137,132,122,121,129
07/11/1963,632,227,182,146,140,137,132,122,121,129
07/12/1963,633,227,182,146,140,137,132,122,121,128
07/15/1963,633,227,182,146,140,137,132,121,121,129
07/16/1963,633,226,182,146,140,137,132,122,121,129
07/17/1963,632,226,182,146,140,137,131,122,121,129
07/18/1963,632,227,182,146,140,137,132,122,121,129
07/19/1963,630,226,181,146,140,137,132,122,121,129
07/22/1963,630,227,182,146,140,137,132,122,121,129
07/23/1963,632,227,182,146,140,137,132,122,121,129
07/24/1963,632,226,182,146,140,137,132,122,121,129
07/25/1963,631,225,182,146,140,137,132,122,121,129
07/26/1963,632,227,182,146,140,137,132,122,121,129
07/29/1963,629,226,182,145,140,137,132,122,121,128
07/30/1963,630,227,182,146,140,136,132,122,121,128
07/31/1963,629,226,182,146,140,137,132,122,121,128
08/01/1963,632,236,171,148,140,139,136,122,121,130
08/02/1963,628,236,171,148,140,139,136,122,121,130
08/05/1963,627,236,171,148,140,139,136,122,121,130
08/06/1963,628,236,171,148,140,139,136,122,120,130
08/07/1963,627,236,169,148,140,138,136,122,121,130
08/08/1963,628,235,171,148,140,139,136,122,121,130
08/09/1963,627,235,171,148,140,139,136,122,121,130
08/12/1963,626,235,170,148,140,139,136,122,121,130
08/13/1963,628,235,171,148,139,139,136,122,121,130
08/14/1963,628,234,171,148,140,139,136,121,121,130
08/15/1963,628,234,171,148,140,139,136,122,121,130
08/16/1963,628,234,171,148,140,139,136,122,121,130
08/19/1963,626,235,170,148,140,139,136,122,120,130
08/20/1963,628,235,171,148,140,139,136,122,120,130
08/21/1963,628,235,171,148,140,139,136,122,120,130
08/22/1963,627,235,171,148,140,139,136,122,120,130
08/23/1963,628,235,171,148,140,139,136,122,120,130
08/26/1963,627,235,171,148,140,139,136,122,120,130
08/27/1963,628,235,171,148,140,139,136,122,120,130
08/28/1963,628,235,171,148,140,139,136,122,120,130
08/29/1963,628,234,171,148,140,139,136,122,120,130
08/30/1963,627,235,171,148,140,139,136,122,120,130
09/03/1963,635,234,170,139,147,142,132,125,120,131
09/04/1963,635,234,170,139,147,142,132,125,120,131
09/05/1963,635,234,170,139,147,142,132,124,120,131
09/06/1963,634,234,170,139,146,141,132,125,120,131
09/09/1963,632,234,170,139,146,140,132,125,120,131
09/10/1963,634,234,169,139,146,140,132,125,120,131
09/11/1963,634,234,169,139,146,140,132,125,120,131
09/12/1963,635,234,170,139,146,140,132,125,120,131
09/13/1963,635,233,170,139,146,140,132,125,120,131
09/16/1963,634,234,170,139,146,140,132,125,120,131
09/17/1963,633,234,170,138,146,140,132,125,120,131
