date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/02/1963,71,77,80,70,73,85,82,76,77,82
07/03/1963,71,77,80,70,73,85,82,76,77,82
07/05/1963,71,77,80,70,73,85,82,76,77,82
07/08/1963,71,77,80,70,73,85,82,76,76,82
07/09/1963,71,77,80,70,73,85,82,76,77,82
07/10/1963,71,77,80,70,73,85,82,76,77,82
07/11/1963,71,77,80,70,73,85,82,76,77,82
07/12/1963,71,77,80,70,73,85,82,76,77,82
07/15/1963,71,77,80,69,73,85,82,76,77,82
07/16/1963,71,77,80,70,73,85,82,76,77,82
07/17/1963,71,77,80,70,73,85,82,76,77,82
07/18/1963,71,77,80,70,73,85,82,76,77,82
07/19/1963,71,77,80,70,73,85,82,76,77,82
07/22/1963,71,77,80,70,72,85,82,76,77,82
07/23/1963,71,77,80,70,73,85,82,76,77,82
07/24/1963,71,77,80,69,73,85,82,76,77,82
07/25/1963,71,77,80,70,73,85,82,75,77,82
07/26/1963,71,77,80,70,73,85,82,76,77,82
07/29/1963,71,77,80,70,73,85,82,76,77,82
07/30/1963,71,77,80,70,73,85,82,76,77,82
07/31/1963,71,77,80,70,73,85,82,76,77,82
08/01/1963,73,66,81,74,81,82,78,74,81,83
08/02/1963,73,66,81,74,81,82,78,74,81,83
08/05/1963,73,66,81,74,81,82,78,74,81,83
08/06/1963,73,66,81,74,80,82,78,74,81,83
08/07/1963,73,66,81,74,81,82,78,74,81,83
08/08/1963,73,66,81,74,81,82,78,74,81,83
08/09/1963,73,66,81,74,80,82,78,74,81,83
08/12/1963,73,66,81,74,81,82,78,74,81,83
08/13/1963,73,66,81,74,81,82,78,74,81,83
08/14/1963,73,66,80,74,81,82,78,74,80,83
08/15/1963,73,66,81,74,81,82,78,74,81,83
08/16/1963,73,66,80,74,81,82,78,74,81,83
08/19/1963,73,66,81,74,81,82,78,73,81,82
08/20/1963,73,66,81,74,81,82,78,74,81,83
08/21/1963,73,66,81,74,81,82,78,74,81,83
08/22/1963,73,66,81,74,81,82,78,74,81,83
08/23/1963,73,66,81,74,81,82,78,74,81,83
08/26/1963,73,66,81,74,81,82,78,74,81,83
08/27/1963,73,66,81,74,81,82,78,74,81,83
08/28/1963,73,66,81,74,81,82,78,74,81,83
08/29/1963,73,66,81,74,81,82,78,74,81,83
08/30/1963,73,66,81,74,81,82,78,74,81,83
09/03/1963,71,69,82,78,78,82,71,75,79,87
09/04/1963,71,69,82,78,78,82,71,75,79,87
09/05/1963,71,69,82,78,77,82,71,75,79,87
09/06/1963,71,69,82,78,78,82,71,75,79,87
09/09/1963,71,69,82,78,78,82,71,75,79,87
09/10/1963,71,69,82,78,78,82,71,75,79,87
09/11/1963,71,69,82,78,78,82,71,75,79,87
09/12/1963,71,69,82,78,78,82,71,75,79,87
09/13/1963,71,69,82,77,78,82,71,75,79,87
09/16/1963,71,69,82,78,78,82,71,75,79,87
09/17/1963,71,69,82,78,78,82,71,75,79,87
09/18/1963,71,69,82,78,78,82,71,75,79,87
09/19/1963,71,69,82,78,78,82,71,75,79,87
09/20/1963,71,69,82,78,78,82,71,75,79,87
09/23/1963,71,69,82,78,78,82,71,75,79,87
09/24/1963,71,69,82,78,78,82,71,75,79,87
09/25/1963,71,69,82,78,78,82,71,75,79,87
09/26/1963,71,69,82,78,78,82,71,75,79,86
09/27/1963,71,69,82,78,78,82,71,75,79,87
09/30/1963,71,68,82,78,78,82,71,75,79,87
10/01/1963,77,74,76,79,78,77,75,76,76,83
10/02/1963,77,74,76,79,78,77,75,76,76,83
10/03/1963,77,74,76,79,78,77,75,76,76,83
10/04/1963,77,74,76,79,78,77,74,76,76,83
10/07/1963,77,74,76,79,78,77,75,76,76,83
10/08/1963,77,74,76,79,77,77,75,76,76,83
10/09/1963,77,74,76,79,78,77,75,76,76,83
10/10/1963,77,74,76,79,78,77,75,76,76,83
10/11/1963,77,74,76,79,78,77,75,76,76,83
10/14/1963,77,74,76,79,78,77,75,76,76,83
10/15/1963,77,74,76,79,78,77,75,76,76,83
10/16/1963,77,74,76,79,78,77,75,76,76,83
10/17/1963,77,74,76,79,78,77,75,76,76,83
10/18/1963,77,74,76,79,78,77,75,76,76,83
10/21/1963,77,73,76,79,78,77,75,76,76,83
10/22/1963,76,74,76,79,78,77,75,76,76,83
10/23/1963,77,74,76,79,78,77,75,76,76,83
10/24/1963,77,74,76,79,78,77,75,76,76,83
10/25/1963,77,74,76,79,78,77,75,76,76,83
10/28/1963,77,74,76,79,78,77,75,76,76,83
10/29/1963,77,74,76,79,78,77,75,76,76,83
10/30/1963,77,74,76,79,78,77,75,76,76,83
10/31/1963,77,74,76,79,78,77,75,76,76,83
11/01/1963,74,76,73,72,73,84,77,74,72,92
11/04/1963,74,76,73,72,73,84,77,75,71,92
11/06/1963,74,76,73,72,73,84,77,75,72,92
11/07/1963,74,76,73,72,73,84,77,75,72,92
11/08/1963,74,76,73,72,73,84,77,75,72,92
11/11/1963,73,75,73,72,73,84,77,75,72,92
11/12/1963,74,76,73,72,73,84,77,75,72,92
11/13/1963,74,76,73,72,73,84,77,75,72,92
11/14/1963,74,75,73,72,73,84,77,75,71,91
11/15/1963,74,76,73,72,73,83,77,75,72,92
11/18/1963,74,76,73,72,73,84,77,75,72,92
11/19/1963,74,76,73,72,73,84,77,75,72,92
11/20/1963,74,76,73,72,73,84,77,75,72,92
11/21/1963,74,75,73,72,73,84,77,75,72,92
11/22/1963,74,76,73,72,73,84,77,75,72,92
11/26/1963,74,75,73,71,71,81,77,74,71,90
11/27/1963,74,76,73,72,73,84,77,75,72,91
11/29/1963,74,75,73,72,73,84,77,75,72,92
12/02/1963,71,67,88,63,74,82,84,69,82,85
12/03/1963,71,67,88,63,75,81,84,70,82,84
12/04/1963,71,67,88,63,75,82,84,70,82,85
12/05/1963,71,67,88,63,74,80,84,70,82,84
12/06/1963,71,67,88,63,75,82,83,70,82,85
12/09/1963,71,67,88,63,74,82,84,70,82,85
12/10/1963,71,67,88,63,75,82,82,70,81,85
12/11/1963,71,67,88,63,75,82,84,70,82,84
12/12/1963,71,67,88,63,75,81,84,70,82,84
12/13/1963,71,67,88,63,75,82,84,70,82,85
12/16/1963,71,67,88,63,75,82,84,70,82,84
12/17/1963,71,67,87,63,75,81,84,70,82,85
12/18/1963,71,67,88,63,75,82,83,70,82,85
12/19/1963,71,67,88,63,75,82,84,70,81,85
12/20/1963,71,67,88,63,75,82,84,70,82,85
12/23/1963,70,67,87,63,75,82,84,70,82,85
12/24/1963,71,67,88,63,75,82,84,70,82,85
12/26/1963,71,67,87,63,75,82,84,70,82,85
12/27/1963,71,67,88,63,75,82,84,70,82,85
12/30/1963,71,67,87,63,75,82,84,70,82,84
12/31/1963,71,67,88,63,75,82,84,70,82,85
01/02/1964,71,71,87,74,67,85,78,76,77,82
01/03/1964,72,71,87,74,68,85,78,75,77,83
01/06/1964,72,71,87,73,68,85,78,76,77,83
01/07/1964,72,71,87,73,68,85,78,76,77,83
01/08/1964,72,71,87,74,68,85,78,76,77,83
01/09/1964,72,70,87,74,68,85,78,76,77,83
01/10/1964,72,71,87,74,68,85,78,76,77,83
01/13/1964,72,71,87,74,67,85,78,75,77,83
01/14/1964,72,71,87,74,68,85,78,76,77,83
01/15/1964,72,71,87,74,68,85,78,76,77,83
01/16/1964,72,71,87,74,68,85,78,76,76,83
01/17/1964,72,71,86,74,68,85,78,76,77,83
01/20/1964,72,71,87,74,68,85,78,76,77,82
01/21/1964,72,71,87,74,68,85,78,76,77,82
01/22/1964,72,71,87,74,68,85,78,76,77,82
01/23/1964,72,71,87,74,68,84,78,76,77,83
01/24/1964,72,71,87,74,68,85,78,76,76,83
01/27/1964,72,71,87,74,68,85,78,76,77,83
01/28/1964,72,71,86,74,68,85,78,76,77,83
01/29/1964,72,71,87,73,68,85,78,76,77,83
01/30/1964,72,71,87,74,68,85,78,76,77,83
01/31/1964,72,71,87,74,68,85,78,76,77,83
02/03/1964,78,71,85,77,76,75,76,77,68,87
02/04/1964,78,71,85,77,76,75,76,77,68,87
02/05/1964,78,71,85,77,76,75,76,77,68,87
02/06/1964,78,71,85,77,76,75,76,77,68,87
02/07/1964,78,71,85,77,76,75,76,77,68,87
02/10/1964,78,71,85,77,76,75,76,77,68,87
02/11/1964,78,71,85,77,76,75,76,77,68,86
02/12/1964,78,71,85,77,76,75,76,77,68,87
02/13/1964,78,71,85,77,76,75,76,77,68,87
02/14/1964,78,71,85,77,76,75,76,77,68,87
02/17/1964,78,71,85,77,76,75,76,77,68,87
02/18/1964,78,71,85,77,76,75,76,77,68,87
02/19/1964,77,71,85,77,76,75,76,77,68,85
02/20/1964,78,71,85,77,76,75,76,77,68,87
02/24/1964,78,71,85,77,76,75,76,77,68,87
02/25/1964,78,71,85,77,76,75,76,77,68,87
02/26/1964,78,71,85,77,76,75,76,77,68,87
02/27/1964,78,71,85,77,76,75,76,77,68,87
02/28/1964,78,71,85,77,76,75,76,77,68,87
03/02/1964,80,79,77,72,78,68,80,76,78,83
03/03/1964,80,79,77,72,78,68,81,77,78,82
03/04/1964,80,79,77,72,78,68,81,77,78,83
03/05/1964,80,79,77,72,78,68,81,77,78,83
03/06/1964,80,79,77,72,77,68,81,77,78,83
03/09/1964,80,79,77,72,78,68,81,77,78,83
03/10/1964,80,79,77,72,78,68,81,77,78,83
03/11/1964,80,79,77,72,78,68,81,77,78,83
03/12/1964,80,79,77,72,78,68,81,77,78,83
03/13/1964,80,79,77,72,78,68,81,77,78,83
03/16/1964,80,79,77,71,78,68,81,77,78,83
03/17/1964,80,79,77,72,78,68,81,77,78,83
03/18/1964,80,79,77,72,78,68,81,77,77,83
03/19/1964,80,79,77,72,78,68,81,77,78,83
03/20/1964,80,79,77,72,78,68,81,77,78,83
03/23/1964,80,79,77,72,78,68,81,77,78,83
03/24/1964,80,79,77,72,78,68,81,77,78,83
03/25/1964,80,79,77,72,78,68,80,77,78,83
03/26/1964,80,79,77,72,77,68,81,77,77,83
03/30/1964,80,79,77,72,78,68,81,77,78,82
03/31/1964,80,78,77,72,78,68,81,77,78,83
04/01/1964,75,81,74,70,77,72,76,82,85,82
04/02/1964,75,81,74,70,77,72,77,82,85,82
04/03/1964,75,81,74,70,77,72,77,82,85,82
04/06/1964,75,81,74,70,77,72,77,82,85,82
04/07/1964,75,81,74,70,77,72,77,82,85,82
04/08/1964,75,81,74,70,77,72,77,82,85,82
04/09/1964,75,81,74,70,77,72,77,82,85,82
04/10/1964,75,81,74,70,77,72,77,82,85,82
04/13/1964,75,81,74,70,77,72,77,82,85,82
04/14/1964,75,81,74,70,77,72,77,82,85,82
04/15/1964,75,81,74,70,77,72,77,82,85,82
04/16/1964,75,81,74,70,77,72,77,82,85,82
04/17/1964,75,81,74,70,77,72,77,82,85,82
04/20/1964,75,81,74,70,77,72,77,82,85,82
04/21/1964,74,81,74,70,77,72,77,82,85,82
04/22/1964,75,81,74,70,77,72,77,82,85,82
04/23/1964,75,81,74,70,77,72,77,82,85,82
04/24/1964,75,81,74,70,77,72,77,82,85,82
04/27/1964,75,81,74,70,77,72,77,82,85,82
04/28/1964,75,81,74,70,77,72,77,82,85,82
04/29/1964,75,81,74,70,77,72,77,82,85,82
04/30/1964,75,81,74,70,77,72,77,82,85,82
05/01/1964,79,69,81,77,76,77,77,77,86,76
05/04/1964,79,69,81,77,76,77,77,77,86,76
05/05/1964,79,69,81,77,76,77,77,77,86,76
05/06/1964,79,69,81,77,76,77,77,77,86,76
05/07/1964,79,69,81,77,76,77,77,77,86,76
05/08/1964,79,69,81,77,76,77,77,77,86,76
05/11/1964,79,69,81,77,76,77,77,77,86,76
05/12/1964,79,69,81,77,76,77,77,77,86,76
05/13/1964,79,69,81,77,76,77,77,77,86,76
05/14/1964,79,69,81,77,76,77,77,77,86,76
05/15/1964,79,69,81,77,76,77,77,77,86,76
05/18/1964,79,69,81,77,76,77,77,76,86,76
05/19/1964,79,69,80,77,75,77,77,76,86,76
05/20/1964,79,69,81,77,76,77,77,77,86,76
05/21/1964,79,69,81,77,76,77,77,77,86,76
05/22/1964,79,69,81,77,76,77,77,77,86,76
05/25/1964,79,69,81,77,76,77,77,77,86,76
05/26/1964,79,69,81,77,76,77,77,77,86,76
05/27/1964,79,69,81,77,76,77,77,77,86,76
05/28/1964,79,69,81,77,76,77,77,77,86,76
06/01/1964,76,76,73,79,72,77,78,79,85,79
06/02/1964,76,76,73,79,71,77,78,79,85,79
06/03/1964,76,76,73,79,72,77,78,78,85,79
06/04/1964,76,76,73,79,72,77,78,79,85,79
06/05/1964,76,76,73,79,72,77,78,79,85,79
06/08/1964,76,76,73,79,72,76,77,79,85,79
06/09/1964,76,76,73,79,72,77,78,79,85,79
06/10/1964,76,76,73,79,72,77,78,79,85,79
06/11/1964,76,76,73,79,72,77,78,79,85,79
06/12/1964,76,76,73,79,72,77,78,79,85,79
06/15/1964,76,76,73,79,72,77,78,79,85,79
06/16/1964,76,76,73,79,72,77,78,79,85,79
06/17/1964,76,76,73,79,72,77,78,79,85,79
06/18/1964,76,76,73,79,72,77,78,79,85,79
06/19/1964,76,76,73,79,72,77,78,79,85,79
06/22/1964,76,76,72,79,72,77,78,79,85,79
06/23/1964,76,76,73,79,72,77,78,79,85,79
06/24/1964,76,76,73,79,72,77,78,79,85,79
06/25/1964,76,76,72,79,72,76,77,79,85,79
06/26/1964,76,75,73,79,72,75,78,79,85,79
06/29/1964,76,76,73,78,72,77,78,79,85,79
06/30/1964,76,76,73,79,72,77,78,79,84,79
07/01/1964,87,95,79,80,94,81,82,91,82,105
07/02/1964,87,95,79,79,94,81,82,92,82,106
07/06/1964,87,95,79,80,94,81,82,92,82,106
07/07/1964,86,95,79,80,94,81,82,92,82,106
07/08/1964,87,95,79,80,94,81,82,92,82,106
07/09/1964,87,95,79,80,94,81,82,92,82,106
07/10/1964,87,95,79,80,94,81,82,92,82,106
07/13/1964,87,95,78,80,94,81,82,92,81,106
07/14/1964,87,95,79,80,94,81,82,92,82,106
07/15/1964,87,95,79,80,94,81,82,92,82,106
07/16/1964,87,95,79,80,94,81,82,92,82,106
07/17/1964,87,95,79,80,94,81,82,91,82,106
07/20/1964,87,95,79,80,94,81,82,92,82,106
07/21/1964,87,95,79,80,94,80,82,92,82,106
07/22/1964,87,95,79,80,94,81,82,92,82,106
