date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/02/1963,73,72,71,76,68,78,78,76,75,86
07/03/1963,73,72,71,76,68,78,78,76,75,86
07/05/1963,73,72,71,76,68,78,78,76,75,86
07/08/1963,73,72,71,76,68,78,78,76,75,85
07/09/1963,73,72,71,76,68,78,78,76,75,86
07/10/1963,73,72,71,76,68,78,78,76,75,86
07/11/1963,73,72,71,76,68,78,78,76,75,86
07/12/1963,73,72,71,76,68,78,78,76,75,86
07/15/1963,73,72,70,76,68,78,78,76,75,86
07/16/1963,73,72,71,76,68,78,78,76,75,86
07/17/1963,73,72,71,76,68,78,78,76,75,86
07/18/1963,73,72,71,76,68,78,78,76,75,86
07/19/1963,73,72,71,76,68,78,78,76,75,86
07/22/1963,73,72,71,75,68,78,78,76,75,86
07/23/1963,73,72,71,76,68,78,78,76,75,86
07/24/1963,73,72,70,76,68,78,78,76,75,86
07/25/1963,73,72,71,76,68,78,78,75,75,86
07/26/1963,73,72,71,76,68,78,78,76,75,86
07/29/1963,73,72,71,76,68,78,78,76,75,86
07/30/1963,73,72,71,76,68,78,78,76,75,86
07/31/1963,73,72,71,76,68,78,78,76,75,86
08/01/1963,70,71,72,72,78,69,86,74,75,86
08/02/1963,70,71,72,72,78,69,86,74,75,86
08/05/1963,70,71,72,72,78,69,86,74,75,86
08/06/1963,70,70,72,72,78,69,86,74,75,86
08/07/1963,70,71,72,72,78,69,86,74,75,86
08/08/1963,70,71,72,72,78,69,86,74,75,86
08/09/1963,70,71,72,72,78,69,85,74,75,86
08/12/1963,70,71,72,72,78,69,86,74,75,86
08/13/1963,70,71,72,72,78,69,86,74,75,86
08/14/1963,70,70,72,72,78,69,86,74,75,85
08/15/1963,70,71,72,72,78,69,86,74,75,86
08/16/1963,70,70,72,72,78,69,86,74,75,86
08/19/1963,70,71,72,72,78,69,86,74,74,85
08/20/1963,70,71,72,72,78,69,86,74,75,86
08/21/1963,70,71,72,72,78,69,86,74,75,86
08/22/1963,70,71,72,72,78,69,86,74,75,86
08/23/1963,70,71,72,72,78,69,86,74,75,86
08/26/1963,70,71,72,72,78,69,86,74,75,86
08/27/1963,70,71,72,72,78,69,86,74,75,86
08/28/1963,70,71,72,72,78,69,86,74,75,86
08/29/1963,70,71,72,72,78,69,86,74,75,86
08/30/1963,70,71,72,72,78,69,86,74,75,86
09/03/1963,71,69,73,72,75,79,82,75,74,83
09/04/1963,71,69,73,72,75,79,82,75,74,83
09/05/1963,71,69,73,72,74,79,82,75,74,83
09/06/1963,71,69,73,72,75,79,82,75,74,83
09/09/1963,71,69,73,72,75,79,82,75,74,83
09/10/1963,71,69,73,72,75,79,82,75,74,83
09/11/1963,71,69,73,72,75,79,82,75,74,83
09/12/1963,71,69,73,72,75,79,82,75,74,83
09/13/1963,71,69,72,72,75,79,82,75,74,83
09/16/1963,71,69,73,72,75,79,82,75,74,83
09/17/1963,71,69,73,72,75,79,82,75,74,83
09/18/1963,71,69,73,72,75,79,82,75,74,83
09/19/1963,71,69,73,72,75,79,82,75,74,83
09/20/1963,71,69,73,72,75,79,82,75,74,83
09/23/1963,71,69,73,72,75,79,82,75,74,83
09/24/1963,71,69,73,72,75,79,82,75,74,83
09/25/1963,71,69,73,72,75,79,82,75,74,83
09/26/1963,71,69,73,72,75,79,82,75,74,83
09/27/1963,71,69,73,72,75,79,82,75,74,83
09/30/1963,71,69,73,72,74,79,82,75,74,83
10/01/1963,70,71,74,83,76,66,85,71,77,79
10/02/1963,70,71,74,83,76,66,85,71,77,79
10/03/1963,70,71,74,83,76,66,85,71,77,79
10/04/1963,70,71,74,82,76,66,85,71,77,79
10/07/1963,70,71,74,83,76,66,85,71,77,79
10/08/1963,70,71,74,83,76,66,84,71,77,79
10/09/1963,70,71,74,83,76,66,85,71,77,79
10/10/1963,70,71,74,83,76,66,85,71,77,79
10/11/1963,70,71,74,83,76,66,85,71,77,79
10/14/1963,70,71,74,83,76,66,85,71,77,79
10/15/1963,70,71,74,83,76,66,85,71,77,79
10/16/1963,70,71,74,83,76,66,85,71,77,79
10/17/1963,70,71,74,83,76,66,85,71,77,79
10/18/1963,70,71,74,83,76,66,85,71,77,79
10/21/1963,70,71,74,82,76,66,85,71,77,79
10/22/1963,70,70,74,83,76,66,85,71,77,79
10/23/1963,70,71,74,83,76,66,85,71,77,79
10/24/1963,70,71,74,83,76,66,85,71,77,79
10/25/1963,70,71,74,83,76,66,85,71,77,79
10/28/1963,70,71,74,83,76,66,85,71,77,79
10/29/1963,70,71,74,83,76,66,85,71,77,79
10/30/1963,70,71,74,83,76,66,85,71,77,79
10/31/1963,70,71,74,83,76,66,85,71,77,79
11/01/1963,70,66,82,72,76,73,78,72,77,82
11/04/1963,70,66,82,72,76,73,77,72,78,82
11/06/1963,70,66,82,72,76,73,78,72,78,82
11/07/1963,70,66,82,72,76,73,78,72,78,82
11/08/1963,70,66,82,72,76,73,78,72,78,82
11/11/1963,70,66,82,72,74,73,78,72,78,82
11/12/1963,70,66,82,72,76,73,78,72,78,82
11/13/1963,70,66,82,72,76,73,78,72,78,82
11/14/1963,70,66,82,71,76,73,77,72,78,81
11/15/1963,70,66,82,72,76,73,78,71,78,82
11/18/1963,70,66,82,72,76,73,78,72,78,82
11/19/1963,70,66,82,72,76,73,78,72,78,82
11/20/1963,70,66,82,72,76,73,78,72,78,82
11/21/1963,70,66,82,72,75,73,78,72,78,82
11/22/1963,70,66,82,72,76,73,78,72,78,82
11/26/1963,69,66,81,71,75,68,78,71,78,81
11/27/1963,70,66,82,72,76,73,78,71,78,82
11/29/1963,69,66,82,72,76,73,78,72,78,82
12/02/1963,70,72,75,72,75,73,81,70,76,83
12/03/1963,70,72,75,72,75,72,81,69,77,84
12/04/1963,70,72,75,72,75,73,81,70,77,84
12/05/1963,70,71,75,72,75,73,80,69,76,84
12/06/1963,70,72,75,72,75,73,81,70,77,83
12/09/1963,70,72,75,72,75,73,81,70,76,84
12/10/1963,70,72,75,72,74,73,81,70,76,83
12/11/1963,70,72,75,72,75,73,81,70,77,84
12/12/1963,70,72,75,71,75,73,81,70,77,84
12/13/1963,70,72,75,72,75,73,81,70,77,84
12/16/1963,70,72,75,72,75,73,81,70,77,83
12/17/1963,70,71,75,71,75,73,81,70,77,84
12/18/1963,70,72,75,72,75,73,81,70,77,83
12/19/1963,70,72,75,72,75,73,81,70,76,84
12/20/1963,70,72,75,72,75,73,81,70,77,84
12/23/1963,69,72,75,72,75,73,81,70,77,84
12/24/1963,70,72,75,72,75,73,81,70,77,84
12/26/1963,70,72,75,72,75,73,81,70,77,84
12/27/1963,70,72,75,72,75,73,81,70,77,84
12/30/1963,70,72,75,72,75,73,81,69,77,84
12/31/1963,70,72,75,72,75,73,81,70,77,84
01/02/1964,70,72,77,78,75,79,67,70,76,85
01/03/1964,70,72,78,78,75,79,68,69,76,85
01/06/1964,70,72,78,78,75,78,68,70,76,85
01/07/1964,70,72,78,78,75,78,68,70,76,85
01/08/1964,70,72,78,78,75,79,68,70,76,85
01/09/1964,70,72,78,77,75,79,68,70,76,85
01/10/1964,70,72,78,78,75,79,68,70,76,85
01/13/1964,70,72,77,78,74,79,68,70,76,85
01/14/1964,70,72,78,78,75,79,68,70,76,85
01/15/1964,70,72,78,78,75,79,68,70,76,85
01/16/1964,70,72,78,78,75,79,68,70,76,84
01/17/1964,70,72,78,78,74,79,68,70,76,85
01/20/1964,70,72,78,78,75,79,68,70,76,84
01/21/1964,70,72,78,78,75,79,68,70,76,84
01/22/1964,70,72,78,78,75,79,68,70,76,84
01/23/1964,70,72,78,78,75,79,67,70,76,85
01/24/1964,70,72,78,78,75,79,67,70,76,85
01/27/1964,70,72,78,78,75,79,68,70,76,85
01/28/1964,70,72,78,78,75,78,68,70,76,85
01/29/1964,70,72,78,78,75,78,68,70,76,85
01/30/1964,70,72,78,78,75,79,68,70,76,85
01/31/1964,70,72,78,78,75,79,68,70,76,85
02/03/1964,69,77,79,82,72,72,74,72,73,80
02/04/1964,69,77,79,82,72,72,74,72,73,80
02/05/1964,69,77,79,82,72,72,74,72,73,80
02/06/1964,69,77,79,82,72,72,74,72,73,80
02/07/1964,69,77,79,82,72,72,74,72,73,80
02/10/1964,69,77,79,82,72,72,74,72,73,80
02/11/1964,69,77,79,82,72,72,74,72,73,80
02/12/1964,69,77,79,82,72,72,74,72,73,80
02/13/1964,69,77,79,82,72,72,74,72,73,80
02/14/1964,69,77,79,82,72,72,74,72,73,80
02/17/1964,69,77,79,82,72,72,74,72,73,80
02/18/1964,69,77,79,82,72,72,74,72,73,80
02/19/1964,68,77,79,82,72,72,74,72,73,79
02/20/1964,69,77,79,82,72,72,74,72,73,80
02/24/1964,69,77,79,82,72,72,74,72,73,80
02/25/1964,69,77,79,82,72,72,74,72,73,80
02/26/1964,69,77,79,82,72,72,74,72,73,80
02/27/1964,69,77,79,82,72,72,74,72,73,80
02/28/1964,69,77,79,82,72,72,74,72,73,80
03/02/1964,71,80,80,73,73,69,78,72,68,87
03/03/1964,71,80,80,73,74,69,78,72,69,86
03/04/1964,71,80,80,73,74,69,78,72,69,87
03/05/1964,71,80,80,73,74,69,78,72,69,87
03/06/1964,71,80,80,73,73,69,78,72,69,87
03/09/1964,71,80,80,73,74,69,78,72,69,87
03/10/1964,71,80,80,73,74,69,78,72,69,87
03/11/1964,71,80,80,73,74,69,78,72,69,87
03/12/1964,71,80,80,73,74,69,78,72,69,87
03/13/1964,71,80,80,73,74,69,78,72,69,87
03/16/1964,71,80,80,73,74,68,78,72,69,87
03/17/1964,71,80,80,73,74,69,78,72,69,87
03/18/1964,71,80,80,73,73,69,78,72,69,87
03/19/1964,71,80,80,73,74,69,78,72,69,87
03/20/1964,71,80,80,73,74,69,78,72,69,87
03/23/1964,71,80,80,73,74,69,78,72,69,87
03/24/1964,71,80,80,73,74,69,78,72,69,87
03/25/1964,71,80,80,73,74,68,78,72,69,87
03/26/1964,71,80,80,73,74,69,77,72,68,87
03/30/1964,71,80,80,73,74,69,78,72,69,87
03/31/1964,71,79,80,73,74,69,78,72,69,87
04/01/1964,77,74,76,62,92,72,66,74,71,90
04/02/1964,77,74,76,62,92,72,66,74,71,91
04/03/1964,77,74,76,62,92,72,66,74,71,91
04/06/1964,77,74,76,62,92,72,66,74,71,91
04/07/1964,77,74,76,62,92,72,66,74,71,91
04/08/1964,77,74,76,62,92,72,66,74,71,91
04/09/1964,77,74,76,62,92,72,66,74,71,91
04/10/1964,77,74,76,62,92,72,66,74,71,91
04/13/1964,77,74,76,62,92,72,66,74,71,91
04/14/1964,77,74,76,62,92,72,66,74,71,91
04/15/1964,77,74,76,62,92,72,66,74,71,91
04/16/1964,77,74,76,62,92,72,66,74,71,91
04/17/1964,77,74,76,62,92,72,66,74,71,91
04/20/1964,77,74,76,62,92,72,66,74,71,91
04/21/1964,76,74,76,62,92,72,66,74,71,91
04/22/1964,77,74,76,62,92,72,66,74,71,91
