date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/02/1963,79,79,78,76,75,74,90,73,85,86
07/03/1963,79,79,78,76,75,74,90,73,85,86
07/05/1963,79,79,78,76,75,74,90,73,85,86
07/08/1963,79,79,78,76,75,74,90,72,85,86
07/09/1963,79,79,78,76,75,74,90,73,85,86
07/10/1963,79,79,78,76,75,74,90,73,85,86
07/11/1963,79,79,78,76,75,74,90,73,85,86
07/12/1963,79,79,78,76,75,74,90,73,85,86
07/15/1963,79,79,78,76,75,73,90,73,85,86
07/16/1963,79,79,78,76,75,74,90,73,85,86
07/17/1963,79,79,78,76,75,74,90,73,85,86
07/18/1963,79,79,78,76,75,74,90,73,85,86
07/19/1963,79,79,78,76,75,74,90,73,85,86
07/22/1963,79,79,78,76,75,74,90,73,84,86
07/23/1963,79,79,78,76,75,74,90,73,85,86
07/24/1963,79,79,78,76,74,74,90,73,85,86
07/25/1963,79,79,78,76,75,74,90,73,85,85
07/26/1963,79,79,78,76,75,74,90,73,85,86
07/29/1963,79,79,78,76,75,74,90,73,85,86
07/30/1963,79,79,78,76,75,74,90,73,85,86
07/31/1963,79,79,78,76,75,74,90,73,85,86
08/01/1963,79,79,78,76,75,74,90,73,85,86
08/02/1963,79,79,78,76,75,74,90,73,85,86
08/05/1963,79,79,78,76,75,74,90,73,85,86
08/06/1963,79,79,77,76,75,74,90,73,85,86
08/07/1963,79,79,78,76,75,74,90,73,85,86
08/08/1963,79,79,78,76,75,74,90,73,85,86
08/09/1963,79,79,78,76,75,74,90,73,84,86
08/12/1963,79,79,78,76,75,74,90,73,85,86
08/13/1963,79,79,78,76,75,74,90,73,85,86
08/14/1963,78,79,78,76,75,74,90,73,84,86
08/15/1963,79,79,78,76,75,74,90,73,85,86
08/16/1963,79,79,78,76,75,73,90,73,85,86
08/19/1963,79,79,78,76,75,74,90,73,84,85
08/20/1963,79,79,78,76,75,74,90,73,85,86
08/21/1963,79,79,78,76,75,74,90,73,85,86
08/22/1963,79,79,78,76,75,74,90,73,85,86
08/23/1963,79,79,78,76,75,74,90,73,85,86
08/26/1963,79,79,78,76,75,74,90,73,85,86
08/27/1963,79,79,78,76,75,74,90,73,85,86
08/28/1963,79,79,78,76,75,74,90,73,85,86
08/29/1963,79,79,78,76,75,74,90,73,85,86
08/30/1963,79,79,78,76,75,74,90,73,85,86
09/03/1963,79,79,78,76,75,74,90,73,85,86
09/04/1963,79,79,78,76,75,74,90,73,85,86
09/05/1963,79,79,78,75,75,74,90,73,85,86
09/06/1963,79,79,78,76,75,74,90,73,85,86
09/09/1963,79,79,78,76,75,74,90,73,85,86
09/10/1963,79,79,78,76,75,74,90,73,85,86
09/11/1963,79,79,78,76,75,74,90,73,85,86
09/12/1963,79,79,78,76,75,74,90,73,85,86
09/13/1963,79,79,78,76,75,73,90,73,85,86
09/16/1963,79,79,78,76,75,74,90,73,85,86
09/17/1963,79,79,78,76,75,74,90,73,85,86
09/18/1963,79,79,78,76,75,74,90,73,85,86
09/19/1963,79,79,78,76,75,74,90,73,85,86
09/20/1963,79,79,78,76,75,74,90,73,85,86
09/23/1963,79,79,78,76,75,74,90,73,85,86
09/24/1963,79,79,78,76,75,74,90,73,85,86
09/25/1963,79,79,78,76,75,74,90,73,85,86
09/26/1963,79,79,78,76,75,74,90,73,85,85
