date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/02/1963,84,75,78,77,74,78,81,77,80,91
07/03/1963,84,75,78,77,74,78,81,77,80,91
07/05/1963,84,75,78,77,74,78,81,77,80,91
07/08/1963,84,75,78,77,74,78,81,76,80,91
07/09/1963,84,75,78,77,74,78,81,77,80,91
07/10/1963,84,75,78,77,74,78,81,77,80,91
07/11/1963,84,75,78,77,74,78,81,77,80,91
07/12/1963,84,75,78,77,74,78,81,77,80,91
07/15/1963,84,75,78,77,74,78,80,77,80,91
07/16/1963,84,75,78,77,74,78,81,77,80,91
07/17/1963,84,75,78,77,74,78,81,77,80,91
07/18/1963,84,75,78,77,74,78,81,77,80,91
07/19/1963,84,75,78,77,74,78,81,77,80,91
07/22/1963,84,75,78,77,74,78,81,77,80,90
07/23/1963,84,75,78,77,74,78,81,77,80,91
07/24/1963,84,75,78,77,73,78,81,77,80,91
07/25/1963,84,75,78,77,74,78,81,77,80,90
07/26/1963,84,75,78,77,74,78,81,77,80,91
07/29/1963,84,75,78,77,74,78,81,77,80,91
07/30/1963,84,75,78,77,74,78,81,77,80,91
07/31/1963,84,75,78,77,74,78,81,77,80,91
08/01/1963,84,79,74,77,76,79,81,76,85,86
08/02/1963,84,79,74,77,76,79,81,76,85,86
08/05/1963,84,79,74,77,76,79,81,76,85,86
08/06/1963,84,78,74,77,76,79,81,76,85,86
08/07/1963,84,79,74,77,76,79,81,76,85,86
08/08/1963,84,79,74,77,76,79,81,76,85,86
08/09/1963,84,79,74,77,76,79,81,76,85,85
08/12/1963,84,79,74,77,76,79,81,76,85,86
08/13/1963,84,79,74,77,76,79,81,76,85,86
08/14/1963,83,79,74,77,76,79,81,76,84,86
08/15/1963,84,79,74,77,76,79,81,76,85,86
08/16/1963,84,79,74,77,76,78,81,76,85,86
08/19/1963,84,79,74,77,76,79,81,76,84,85
08/20/1963,84,79,74,77,76,79,81,76,85,86
08/21/1963,84,79,74,77,76,79,81,76,85,86
08/22/1963,84,79,74,77,76,79,81,76,85,86
08/23/1963,84,79,74,77,76,79,81,76,85,86
