date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,-0.012825691,-0.035746674,-0.001864376,-0.002781976,0.0123506198,0.0041105724,0.0033457889,-0.003902845,-0.006540655,0.0079655331
08/1963,0.0671884838,0.0760364107,0.0650924196,0.0596270001,0.0501313243,0.0438074554,0.0520634776,0.0973214572,0.0470739284,0.0692051547
09/1963,0.0272541733,-0.036162458,-0.02525286,-0.021094863,-0.031034502,-0.020265815,0.0067035342,0.0012513604,-0.000523146,-0.001218134
10/1963,0.0008349528,0.0186703211,0.0515918611,0.0287471037,0.0228787218,-0.002549711,0.0337855826,0.0168761646,0.0704869265,0.1389223984
11/1963,-0.007417414,0.007426874,-0.0066382,-0.013159929,0.0005359697,-0.012780168,0.0200394726,-0.002969091,-0.008859372,-0.065160148
12/1963,0.0073150442,-0.008920976,-0.003438349,0.0406348299,0.0567604518,0.0342265163,0.0132322178,0.0120863504,0.0317212675,-0.002145961
01/1964,0.0478996381,-0.016555318,0.031840939,0.0193468951,0.04105356,0.0311318877,0.0358244406,0.0236791608,0.0485805215,0.0153925479
02/1964,0.020824887,0.0418525462,0.0202510598,0.0037757876,0.0179605915,0.0140463109,0.0035577738,0.0417016287,0.0377092668,0.0126177303
03/1964,0.012370827,0.0344552278,0.0075805374,0.0269511136,0.0131214792,0.0153757408,0.0120331296,0.0348074285,0.0473625307,0.0106887453
04/1964,0.0140555463,-0.023003876,-0.027497298,-0.010370402,0.0239558495,0.025427635,0.0167429535,-0.011192574,-0.029043326,0.0389537617
05/1964,0.04974527,-0.01267801,-0.015206491,0.00712195,0.0209004783,-0.002878289,0.0074146533,0.0140284845,0.0376816808,0.0313839344
06/1964,0.0337094762,0.0232835926,0.0250276039,0.0075793546,0.0015719298,0.029501359,0.0360267217,0.0101969527,0.0031291319,0.0153730741
07/1964,0.0250690787,0.0060193128,0.0224947603,0.0273309959,0.0147584426,0.0239988738,0.0229890409,-0.011191834,0.0207336797,0.0331505289
08/1964,-0.005545525,-0.013548017,-0.028350354,-0.006469353,-0.016471197,-0.019992864,-0.008372198,-0.015581868,-0.012626583,0.0190947132
09/1964,0.0393514738,0.0463268634,0.0339344209,0.0273371431,0.0348786039,0.0376486674,0.0317209627,0.0097781224,0.0390945653,0.04934891
10/1964,0.0143717705,0.0105886916,0.0187937392,-0.00546104,0.0317494017,0.0086828796,0.0027462911,0.0025230196,0.0110688384,-0.002510834
11/1964,0.021667217,-0.000732767,0.0082153392,-0.015037425,0.0104728656,0.0174826015,0.0241605658,-0.01442418,0.0016221437,0.00803355
12/1964,0.0227200473,0.0041772267,0.0009892659,0.0115928458,-0.005781131,0.0034327063,-0.008254126,0.0145268082,-0.011818577,0.0041736698
01/1965,0.0452782566,0.0504759943,0.0709491918,0.0528789236,0.0117884833,0.0176174166,0.0526468293,0.0218557322,0.0473836263,0.024623972
02/1965,0.0034986545,0.0411777584,0.0159303288,0.0033626183,-0.007383995,-0.01092627,0.0155602507,0.009016146,0.0265707553,0.0198722691
03/1965,-0.019490012,-0.009551151,-0.014472822,0.0010800343,-0.018543384,-0.022709157,-0.011932349,-0.013493429,-0.011147535,-0.004674747
04/1965,0.0577805877,0.0544947525,0.0366526853,0.0630366894,0.0335395728,0.0217487914,0.0222094028,0.0364841553,0.028899307,0.0474330824
05/1965,0.0123560384,-0.008120591,-0.009059923,-0.026547196,-0.003250416,0.0041591411,0.0011546459,0.0175217452,0.011879245,-0.017493957
