date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,0.013134555,-0.00393678,0.0128858415,-0.000828724,-0.018218769,0.0024575501,0.0000162347,-0.007565841,-0.014648238,-0.020843411
08/1963,0.0425103205,0.0443556892,0.0419924269,0.0549489089,0.0692685131,0.0659998803,0.0718078962,0.0684972563,0.061467221,0.0579920018
09/1963,-0.027911148,0.0069284692,-0.025157432,-0.009573775,-0.014998818,-0.013919329,-0.002803331,-0.008003926,0.0043633459,-0.027316199
10/1963,-0.004983642,0.0265876726,0.0156886182,0.0382530386,0.0070413373,0.0403992541,0.0924835654,0.0623573856,0.0236854469,0.0144213595
11/1963,-0.009048561,0.029760661,-0.001035547,-0.009232229,-0.001813506,-0.011552693,-0.045934788,-0.011743191,-0.003224845,0.0028026043
12/1963,0.0296648628,0.0092826502,0.0412227762,0.0525439932,-0.003601761,0.0130372416,0.0008248455,0.022754299,0.0046709862,-0.013058459
01/1964,0.015868575,0.0307690805,0.0450841512,0.0335956437,0.0128816535,0.0181026927,0.0123449153,0.0241784821,0.0272278114,-0.005217348
02/1964,0.0124409786,0.0013162098,0.0199604376,0.0331438973,0.0227729019,0.010265403,0.0219649429,0.0023751159,0.0264923553,0.0255239232
03/1964,-0.007540772,-0.002597079,0.0289767945,0.0338103865,0.0392442109,0.0281824859,0.004992837,0.0280052462,0.0177473909,0.0289474295
04/1964,0.0098724853,0.0103069704,0.0247427303,-0.016568702,-0.004102903,-0.021745967,0.0283568566,-0.027733133,-0.008310894,0.0022850866
05/1964,0.0063717457,-0.00349438,0.0239937881,0.0330543826,-0.007488489,-0.002791707,0.0218925432,0.0028675298,0.0249313429,0.0288474931
06/1964,0.0252691743,0.0439142511,-0.001639326,0.0077643757,0.0228738422,0.0238537344,0.0172189936,0.0063605382,0.0257859776,0.034253204
07/1964,0.0493876253,-0.001314115,0.0136767198,0.0145618169,0.0139341751,0.0255157492,0.011795259,0.0472770446,0.0206019881,0.0239230024
08/1964,-0.006513192,-0.010430488,-0.024932464,-0.023095688,-0.012480704,-0.015131025,-0.001222327,0.0100946984,-0.006518746,0.0057458654
09/1964,0.0240061813,0.0018269942,0.0248691095,0.0532909851,0.0448068826,0.0219905261,0.040150824,0.04270717,0.0280438065,0.03645978
10/1964,0.0125098846,-0.001284336,0.0077696347,0.0129823127,0.0170483917,0.0127667164,0.0111269389,0.0022359545,-0.00314387,0.0270166631
11/1964,0.0047516198,-0.013432327,0.0113495118,0.0129617341,-0.017327643,0.0097241086,0.0047252167,0.0013391596,0.0074022579,0.0117654136
12/1964,0.0028138902,0.0205724124,-0.005644872,0.0036444833,-0.013483828,-0.009272027,-0.0005118,0.02528354,0.0028839934,0.0090150441
01/1965,0.039075759,0.0169426015,0.022300504,0.0563247272,0.0470990618,0.0719892863,0.0313202636,0.0385637614,0.0482593912,0.0392156111
02/1965,0.0018099521,0.0115129437,-0.011539447,0.0013577087,0.0299900364,0.0325904513,0.0206785824,0.0008080539,0.038736911,0.0145381679
03/1965,-0.005309494,-0.013307421,-0.023935563,-0.019694544,0.0001737055,-0.014110626,-0.012854585,0.0034844966,0.0008666315,0.0032203277
04/1965,0.0116462832,0.0262210847,0.0260408433,0.0330511896,0.0362027815,0.0422428166,0.0643011462,0.0592653001,0.0291906707,0.0494011036
05/1965,-0.010789299,0.0171915657,0.0021330832,0.006638464,-0.005768508,-0.009203111,-0.014846571,-0.021562105,0.0083300059,-0.004469662
06/1965,-0.036827321,-0.043490676,-0.023649381,-0.056985041,-0.075077591,-0.058644541,-0.058117271,-0.065886258,-0.065725359,-0.059138088
07/1965,0.0180046929,0.0106564001,0.0112502423,0.0282075372,0.0073330764,0.0061026077,0.0034213878,0.0246940871,0.0302986031,0.0183001021
08/1965,0.0103575735,0.0184086021,0.0134954678,0.0498918427,0.0280296374,0.0465371794,0.0279811478,0.0357528792,0.0544005307,0.0337996658
09/1965,0.0169145943,0.0151605452,0.0424723024,0.0262995999,0.044166921,0.0327950067,0.0148836298,0.0787467652,0.0301069922,0.0263937336
10/1965,0.0140106855,-0.00068457,0.0220987455,0.0490286147,0.036143297,0.050328666,0.0185331053,0.0458640067,0.0489712581,0.0249360888
11/1965,-0.004408844,-0.029879552,-0.001882244,-0.001131469,0.0296103751,0.0335088634,0.0225623629,-0.021179131,0.0379743732,0.0343063311
12/1965,-0.001576909,-0.000070124,0.0141990456,0.0197887465,0.0180610345,0.0199843613,0.0127804431,0.0131392636,0.0147260648,-0.009007438
01/1966,-0.021352323,0.0003034757,0.017108272,0.0078760274,0.0175957126,0.011298094,-0.016278779,0.006190915,0.0486561205,0.0401233558
02/1966,-0.040121351,-0.003089602,-0.018978589,-0.000490196,-0.012337035,-0.005097003,-0.007902092,-0.012604773,0.0090336969,-0.007253291
03/1966,-0.009371347,-0.040217513,-0.022225024,-0.00040801,-0.029144606,-0.017496461,-0.016234056,-0.033483764,-0.015530658,-0.008463692
04/1966,0.0154236975,0.0105496823,0.0342396328,0.0412807043,0.025404271,0.033999393,0.0132861667,0.00344884,0.0264151775,0.0363534602
05/1966,-0.032527209,-0.039362095,-0.057132059,-0.039691448,-0.051148301,-0.052091749,-0.036519676,-0.076154592,-0.073631796,-0.06429676
06/1966,-0.014327109,-0.011470226,-0.012232429,-0.013943096,-0.002585824,0.0078382343,-0.011602509,-0.012382715,-0.02133298,-0.010669769
07/1966,-0.004889153,-0.008141937,-0.014305832,-0.006961727,0.0025127325,-0.022281384,-0.045719056,-0.001919711,-0.013082011,-0.020517315
08/1966,-0.094689542,-0.062473647,-0.08532772,-0.074150816,-0.063309988,-0.064816676,-0.079330836,-0.073191075,-0.047024762,-0.073170567
09/1966,0.0482852146,-0.000814881,0.0126496378,-0.010732056,-0.039148135,-0.026486953,-0.014642842,0.001134685,-0.032187127,-0.027216156
10/1966,0.103458172,0.0783870904,0.0542234369,0.0525224418,-0.002382253,0.0189829013,0.0471463148,0.0053152591,0.0170774586,-0.002526883
11/1966,-0.007215388,-0.016666549,0.0273922837,0.031544441,0.0376106941,0.0016022923,0.050451572,-0.019030259,0.0446081057,0.0502224619
12/1966,0.0272361393,0.0226501353,0.004390321,0.0020735569,-0.002080751,-0.009549326,-0.023067233,-0.003647559,-0.012046108,-0.013483068
01/1967,0.0247632909,0.064129312,0.0921384003,0.0653030823,0.1009955911,0.1017584612,0.0771609976,0.1275496822,0.0840302993,0.1229416999
02/1967,-0.014365297,0.0033397329,0.0023172924,0.0204835087,0.0189526522,0.010496233,0.0171981429,-0.002106298,0.0364689652,0.0235307273
