date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,-0.006106749,0.0027401861,-0.002008267,0.0077046042,0.0150451328,0.0052447705,0.0071828801,-0.014750059,-0.020268755,0.0117040544
08/1963,0.0586076362,0.0521112125,0.0510624281,0.0385538718,0.0314590352,0.0626815696,0.0510587411,0.0644610202,0.098205804,0.0574759579
09/1963,-0.007483181,-0.017137113,0.0055807317,-0.030698782,-0.025892327,-0.003137223,-0.026981731,-0.023953459,0.0146255257,-0.028813422
10/1963,0.0385606572,0.0225889956,0.0396685855,-0.004924745,0.0216781561,0.0813082369,0.0040646665,-0.001297865,0.0243814625,0.0274650584
11/1963,0.0030981602,-0.014954101,0.0227792176,-0.00549531,-0.001836788,-0.045231109,-0.014092768,-0.013082261,-0.014021892,-0.002291779
12/1963,0.0266854007,0.0247767658,0.0110644305,0.0311166045,0.0370958782,0.0108557758,0.0153760573,0.0515424638,0.0048601957,0.0121541853
01/1964,0.032494948,0.014193398,0.0292188702,0.0172573722,0.0426019702,0.0200366813,0.0251798406,0.0153386414,0.028238719,0.0284064544
02/1964,0.0214518527,0.0242189399,-0.00344552,0.0197358301,0.01049725,0.0172221035,0.0359313392,0.0172231049,0.028683585,0.0531039322
03/1964,0.0130635957,0.0027773432,0.0033148898,0.0135209868,0.0165792755,0.024328313,0.0424834655,0.03086055,0.0621988513,0.0235817134
04/1964,-0.015779068,-0.006606183,0.0072876041,0.0168817213,0.0250922901,0.0266466141,0.0106011488,0.0036906577,-0.02806137,0.0234589329
05/1964,0.022584183,0.0111291263,-0.003395775,0.0124603488,0.01047641,0.0212159603,0.0166173382,0.0198137838,0.0359046087,0.0270679384
06/1964,0.0057954476,0.0248105864,0.0433162887,0.0170722659,0.0069356943,0.0158122204,0.0182081988,0.0288017656,0.0093717822,0.0051839613
07/1964,0.0042846356,0.0340055498,0.0017017539,0.0382413451,0.0221059786,0.0266111013,0.0260738438,0.0270886824,0.0217709754,0.0204978257
08/1964,-0.021461705,-0.011840778,-0.014213494,-0.005295441,0.0066064345,-0.01880622,-0.021612649,0.0047885642,0.0013012883,-0.019533159
09/1964,0.0293760013,0.0327815651,0.0066257744,0.0311296455,0.0342277186,0.0327415461,0.0286144175,0.0457896589,0.0553490689,0.0562782594
10/1964,-0.008231633,0.0048406326,0.0017497239,0.0271898163,0.014003682,-0.004242489,0.0127270884,0.0129230656,0.0009224681,0.0281026015
11/1964,0.0081466474,0.0185483275,-0.012550523,0.0058505273,0.0015876203,0.0133389401,0.0239004448,0.0153662066,-0.02814645,-0.004334437
12/1964,0.010374023,0.0097525459,0.0195850978,0.0037193809,0.0006629477,-0.000760244,-0.007068064,0.006582839,-0.018074222,-0.015037454
01/1965,0.0691997285,0.0545545473,0.0165186657,0.0135559602,0.0459119772,0.0323807762,0.0288510643,0.0291907006,0.0475392919,0.0499069128
02/1965,0.0151042963,-0.000213695,0.0131906383,-0.011340532,0.0184529853,0.0142896062,0.0005012392,-0.005257557,0.0211738937,0.0172594358
03/1965,-0.012193314,-0.012783008,-0.01614648,-0.014213737,-0.003537125,0.0033805486,-0.027164157,-0.013371735,-0.00402524,0.003249139
04/1965,0.0559266974,0.0174592311,0.0274955322,0.0401560449,0.0215718579,0.0298777338,0.0299712764,0.0181083226,0.0444763729,0.0416552145
05/1965,-0.00482758,0.0092991048,0.0142652086,-0.013583908,-0.017512153,-0.008143054,0.0107231461,0.004429774,-0.006697541,0.0021707306
06/1965,-0.046789586,-0.050531124,-0.046208506,-0.040382324,-0.048560043,-0.06575306,-0.046689203,-0.051951154,-0.059299248,-0.059441414
07/1965,0.0228158829,0.019680262,0.0063497213,-0.002291965,0.0115034031,0.0223958907,0.0477269262,0.0306456163,0.0450815492,0.0323761561
08/1965,0.0440018911,0.0297864956,0.0142370452,0.0256398682,0.0294893519,0.0388715438,0.0404284879,0.0302128228,0.0154598628,0.0329942802
09/1965,0.0303178346,0.036236192,0.0509950422,0.0200739891,0.0122658942,0.0204807644,0.0368768725,0.0477829165,0.0538591271,0.040183078
10/1965,0.026096035,0.0255918267,0.0335133715,0.0082332195,0.0214763033,0.0191813386,0.0491437726,0.0513253493,0.0551505519,0.0667745927
11/1965,0.0256253289,0.0011651399,-0.020855557,-0.027714599,-0.000461977,0.0208847226,0.0144909456,0.0304430404,0.0404710768,0.0074742376
12/1965,0.0276425124,-0.005971976,0.004810394,-0.002314589,0.0147650333,0.0201924927,0.0190817532,0.0218396399,0.014107511,0.0396748348
01/1966,0.0017253999,0.0013671098,0.0016705168,-0.013875085,-0.002058331,0.0215376662,0.0581169076,0.0702405004,0.0410347943,0.0241840713
02/1966,-0.007821701,-0.001602407,-0.026168653,-0.003047688,-0.024207059,-0.034098586,-0.009210843,0.015083503,0.0131103572,0.0080750882
03/1966,0.0057305563,-0.014444962,-0.038594692,-0.038927704,-0.015725462,-0.024154622,-0.032128744,-0.00707333,-0.002775778,-0.018515952
04/1966,0.0360974067,0.0286406575,0.0111212744,0.0131823205,0.0238715751,0.0135582275,0.0329532215,0.0049956357,0.0483571257,0.0337881191
05/1966,-0.043425398,-0.039894802,-0.056213793,-0.03687278,-0.053544453,-0.05469724,-0.057765662,-0.065503224,-0.080506568,-0.074057155
06/1966,-0.002553697,-0.021102836,-0.02605636,-0.014202812,-0.015796472,-0.020401379,0.0059665955,-0.008795003,0.0373326182,0.0115603163
07/1966,-0.017537579,-0.020963148,-0.018491283,-0.008642361,-0.010987211,-0.004151458,-0.000797156,-0.012186089,-0.003652517,-0.002799486
08/1966,-0.068846684,-0.0699218,-0.08700684,-0.083938308,-0.076716337,-0.060048948,-0.066030116,-0.069933598,-0.089424122,-0.078658343
09/1966,-0.020971984,-0.020464602,0.0207051431,0.0210214188,-0.016209577,-0.009025012,0.0242584017,-0.01763009,0.0142342204,-0.019522324
10/1966,0.0216559383,0.037822907,0.0694859763,0.0360466286,0.062334929,0.0827620753,0.0461300842,0.0248192857,0.0374755668,0.0341187792
11/1966,0.073817708,0.0493149544,0.0006130414,-0.018730612,-0.020203984,-0.023241093,0.0119898676,0.020236601,0.0215708918,-0.004586773
12/1966,-0.011984022,-0.004447283,0.0067731799,-0.005561014,0.0232600305,0.0265665022,-0.005911973,0.0172906756,-0.004081384,0.0020088426
01/1967,0.0729081083,0.0789852221,0.0678819081,0.1029154635,0.0579377578,0.063509337,0.075834382,0.1107101342,0.1122085598,0.137215162
02/1967,0.035672687,0.0276565434,0.0098985071,-0.010867627,-0.002989904,0.0042038523,-0.002749143,-0.00076756,-0.008213833,-0.001931754
03/1967,0.0491214194,0.0376847731,0.0335091638,0.0390260303,0.0521057275,0.0429209547,0.0332293086,0.0588922502,0.0367566794,0.0659800017
04/1967,0.0639526357,0.0709348745,0.0351129669,0.0599908902,0.024888845,0.0015599811,0.03393253,0.0432785599,0.0363139614,0.035515922
05/1967,-0.056049911,-0.039855961,-0.046845837,-0.047377424,-0.034044001,-0.0518288,-0.032078419,-0.025830482,-0.027098754,-0.03509692
06/1967,0.0257138011,0.0290710683,0.0113322502,-0.003843334,0.0083090881,0.0346363641,0.0194724957,0.0330431682,0.0479200906,0.038403377
07/1967,0.033563538,0.0700342393,0.0366793903,0.0554695596,0.0272432888,0.0695537512,0.0504683395,0.0839627412,0.0782247573,0.078816704
08/1967,-0.010471433,-0.002689396,0.0039022867,-0.008057381,-0.013606435,-0.012562126,-0.006874878,-0.024738489,0.0293688357,0.002052658
09/1967,0.0450910227,0.0353690946,0.0310233738,0.03481449,0.0377322669,0.0197278825,0.0181075161,0.0078705372,0.0370620725,0.0291619503
10/1967,0.0157689024,-0.036037746,-0.049998819,-0.023691695,-0.02380358,-0.053758168,-0.050041572,-0.051451854,-0.047362133,-0.055844778
11/1967,0.0263191719,-0.000719532,0.0066833172,-0.001887972,0.0009467214,0.005887783,-0.012164761,-0.00346436,0.0040848684,-0.004485391
12/1967,0.0210855699,0.0115747825,0.0275163452,0.0451099722,0.0305190296,0.0264263843,0.0500487064,0.0545182295,0.0535469804,0.048826506
01/1968,-0.078472479,-0.047116187,-0.037610364,-0.044283735,-0.010405471,-0.02292193,-0.016565273,-0.014906265,-0.028921952,0.0039047779
02/1968,-0.033557143,-0.034228522,-0.033805849,-0.030982741,-0.027404278,-0.031720807,-0.030950345,-0.034921096,-0.036677323,-0.034001327
03/1968,0.0404821743,0.0049849067,-0.004194328,-0.021462578,0.0004010875,-0.011294393,-0.020558363,-0.01186682,0.0122741992,-0.000765226
04/1968,0.1148534515,0.1173268166,0.0946040703,0.0726470994,0.0473079072,0.0763377839,0.0932899119,0.0920639011,0.1070110057,0.1238774997
05/1968,0.0433381667,0.0139418198,0.0026514103,0.0318834685,-0.004700259,0.0204785837,0.0242839121,0.0339038035,0.0367054185,0.0521853116
06/1968,-0.013107711,0.0124044214,0.0224629343,0.0141217974,0.0273356746,0.018883604,0.0390547825,0.0237937582,0.0062814662,-0.016486655
07/1968,-0.061815364,-0.056091656,-0.038414431,-0.028855752,-0.009933926,-0.025024569,-0.016419988,0.0459970875,0.0173682475,0.0090112409
08/1968,0.0175726281,0.003282973,0.0256366739,0.0174322249,0.0152450551,0.0156657524,0.0258955539,0.0263614864,0.0165159916,0.0114752967
09/1968,0.0250570077,0.0343281235,0.0324605288,0.0541396138,0.0562832661,0.0516222435,0.048701905,0.0195154151,0.0482461022,0.0847824276
10/1968,-0.009505443,-0.037438045,0.020232936,0.0110453282,0.0312017304,0.013368977,0.0134933029,0.029042963,0.0265154458,0.0238203875
11/1968,0.0724188026,0.0705432768,0.0469126388,0.0655200088,0.0202397511,0.0590867111,0.0585769942,0.047771327,0.072227725,0.0714835322
12/1968,-0.044878235,-0.048079154,-0.035184285,-0.037164452,-0.03619262,-0.02762511,-0.017967689,-0.038957099,-0.047356868,0.0004941448
01/1969,-0.013184964,-0.031161599,-0.01358763,-0.00692935,-0.004416979,0.0085835404,0.0012926055,-0.005367317,-0.002115122,-0.003681598
02/1969,-0.062946045,-0.030088548,-0.056346483,-0.063803538,-0.036309116,-0.059942016,-0.051099643,-0.045442294,-0.050669926,-0.070388502
03/1969,0.028285809,0.0578518754,0.0368678199,0.0039383469,0.0418843528,0.0166233998,0.0254915807,0.0433681771,0.027843609,0.0264726834
04/1969,0.0353766233,0.0427336873,0.0267186189,0.0104683445,-0.000604059,0.0248758917,0.0113930047,-0.011845025,0.0456370339,0.0027175125
05/1969,0.0079260813,-0.010430773,-0.010810403,-0.012218628,0.0084752285,-0.006452015,-0.018387087,0.0353997426,0.0137214712,0.0357485608
06/1969,-0.043978378,-0.013351984,-0.065275606,-0.080655821,-0.078842249,-0.068935858,-0.086689868,-0.080532176,-0.069360789,-0.097721978
07/1969,-0.052035705,-0.051132345,-0.052885121,-0.056730975,-0.076901419,-0.074903329,-0.075958946,-0.061293306,-0.065464,-0.077837164
08/1969,0.0871779686,0.0686720518,0.0698263674,0.0557334882,0.0375167874,0.0399634877,0.0336834742,0.0316533526,0.0323321833,0.0242969952
