date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,-0.017932807,0.0124311061,-0.007450208,-0.008026753,0.0068774747,0.0072433844,-0.001458049,-0.000335076,0.0050140897,0.0017040011
08/1963,0.1129956542,0.0233195029,0.0600216667,0.0764020338,0.0469099266,0.0751748508,0.0510906265,0.0473633501,0.04525048,0.0636765999
09/1963,0.0165072462,-0.031165858,-0.011159328,0.0021514507,-0.027578404,-0.027161128,0.0080186405,-0.016096645,-0.005600849,-0.00796887
10/1963,0.0521204464,0.0003219934,0.0135470948,0.0204880891,0.0285248041,0.015813322,0.0135307275,0.014936693,0.0323128887,0.1169528738
11/1963,-0.025381939,-0.030666249,-0.011505907,-0.008956904,-0.005086709,-0.002650528,-0.004972821,-0.007105957,0.0116509268,-0.060608045
12/1963,0.0056502332,0.0026601013,0.0256931438,0.0145223591,0.0438424867,0.030145754,0.0370295169,0.0255202818,0.0231290455,-0.003802774
01/1964,0.0060663087,0.0415056331,0.0196823575,0.0421014969,0.0353065262,0.017239306,0.0174432191,0.0224399748,0.0390325195,0.0139150281
02/1964,0.0554242199,-0.004967519,0.0268938065,0.0257990766,0.0103567579,0.0155701227,0.0265782963,0.0022967429,0.0152616581,0.0147405603
03/1964,0.0217528001,0.0148196232,0.0292643229,0.0246435855,0.0301162662,0.0218976181,0.0228515123,0.0123539661,0.0073793923,0.0045515359
04/1964,-0.026111759,0.0502210063,0.008351459,0.0003943229,0.0039982132,-0.007276379,0.0073225,-0.005242847,0.0069742818,0.0391259728
05/1964,0.0318523198,-0.013142945,0.0028306086,0.0225709842,0.0156589673,0.0129758073,0.02121115,-0.000398016,0.0106307595,0.0346375658
06/1964,0.0078756429,0.034929515,0.0313770727,0.0255672357,-0.000048563,0.024384571,0.0161962762,0.0215506969,0.0245104267,0.0161537346
07/1964,0.0168157972,0.0423501218,0.0180041133,0.0367384461,0.0136645276,-0.008490271,0.0286837409,0.0174010133,0.0549952842,0.0126359047
08/1964,-0.009732545,-0.03493433,-0.013832071,0.0121896668,-0.017043847,-0.016126872,-0.00146168,-0.02214242,0.0124586078,-0.028479459
09/1964,0.0729990826,0.0479981178,0.0417840257,0.0532818469,0.0366751898,0.0013325105,0.0296051003,0.0202582492,0.0360983639,0.0175044782
10/1964,-0.022774166,0.0405008013,0.0148319485,-0.001746001,0.0103981405,0.0020744103,0.0074827677,0.0206919994,-0.000671797,0.0141175254
11/1964,-0.05653569,0.0073545229,0.0264193976,0.025209888,0.0132480146,-0.009972333,0.0150554884,0.008383763,-0.011543159,0.0100366853
12/1964,-0.008695787,0.0206055315,-0.018170828,0.0039595758,0.0151463952,0.028859844,-0.001510071,0.0022288314,0.0127077819,-0.017063057
