date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,-0.011393845,0.008868973,0.004123983,0.0067919346,0.0009287315,0.0105401836,0.0065777661,0.00351778,-0.015280857,-0.021576643
08/1963,0.0649458475,0.0446410295,0.0447728719,0.061305471,0.0636189786,0.0470337888,0.0635572639,0.0586643125,0.0712472228,0.0710283521
09/1963,-0.000273019,-0.02254192,0.0013739093,-0.028267952,-0.026718522,-0.025438337,-0.003465015,-0.020284907,-0.017335532,0.0134200872
10/1963,0.0621579904,-0.001686421,0.027290482,0.0030527767,0.0136312863,0.0172340398,0.1042818678,0.0084859951,0.029531127,0.0046969376
11/1963,-0.01057889,-0.004576484,0.0104531218,0.0020180123,-0.012797419,-0.00117147,-0.052817329,-0.009744147,-0.007280374,-0.006426853
12/1963,0.015218718,0.051383772,0.0194965275,0.0264325088,0.0286579825,0.045147526,0.0054569944,0.0022605787,0.0203531572,-0.00872596
01/1964,0.046001864,0.0259730381,0.037213252,0.0211715867,0.0030945734,0.0380654806,0.0083947164,0.030751971,0.0177278607,0.0378911959
02/1964,0.0232114903,0.0218978322,0.0010304668,0.0192304934,0.0218756623,0.018205108,0.0147802181,0.0235821896,0.0533128565,0.0384530474
03/1964,0.0218067641,0.0068347342,0.0047189488,0.0193449324,0.0240564336,0.0168150851,0.0149849011,0.0441521959,0.0495988209,0.0507564051
04/1964,-0.021998175,0.0196241086,0.0057857097,-0.000062341,0.0244503356,0.0167044038,0.0350022488,-0.002029131,-0.00782193,0.000142421
05/1964,0.0213267155,0.0190023735,-0.001543751,0.0179768521,0.0137470047,0.0231711654,0.0326811585,0.0092548881,-0.014714225,0.0102649958
06/1964,0.0139185239,0.013058899,0.0400567566,0.0170896488,0.0238761914,0.0030922128,0.0115747949,0.0204198689,0.0248678206,0.0023613893
07/1964,-0.006163389,0.0120121605,0.0041824242,0.0330283083,0.0357433217,0.0279571633,0.0478170744,0.0200611042,0.0178617808,0.0314642277
08/1964,-0.025850028,-0.015075309,-0.013137254,-0.013762561,-0.016293118,-0.016590181,0.011358475,-0.003380784,0.0087314542,0.0009616135
09/1964,0.0268179317,0.0285362533,0.0137818904,0.030944409,0.0436596649,0.0263267786,0.0307691512,0.0222912756,0.0338509514,0.066613352
10/1964,-0.009323032,0.0015434182,-0.001325133,0.0379899059,0.0178803433,0.0250088625,0.0008513931,0.0172564919,-0.006108147,-0.011245289
11/1964,-0.010556359,0.0198446575,-0.000687283,0.0164592778,0.0261865116,0.0027901366,-0.01432105,0.0115494709,-0.010552474,-0.012915736
12/1964,0.0040710404,0.005834092,0.0198566801,-0.00266379,0.006071236,-0.004005897,0.0160805675,-0.019857373,-0.022257647,-0.005915717
01/1965,0.0745006798,0.040861708,0.0267394651,0.024078302,0.0347403887,0.0112987473,0.0411913994,0.0434661887,0.0453055693,0.0320058384
02/1965,0.0279952032,0.0187947648,0.0111407141,-0.004815393,-0.014358741,-0.016236089,-0.001078831,0.030058154,0.0222184534,-0.004720305
03/1965,-0.007445621,-0.024350003,-0.008368583,-0.016419035,-0.020502862,-0.02406639,0.0096495932,-0.008110707,0.0044479988,0.0042993539
04/1965,0.0514816604,0.0609920299,0.0219659507,0.0228270323,0.0200513878,0.0172636345,0.0569012229,0.0331461287,0.0350619298,0.0383548551
05/1965,0.0046928914,-0.00917485,0.0166499958,-0.005260427,0.0119342097,-0.005474185,-0.030701796,-0.011847814,-0.010373013,-0.017255153
06/1965,-0.059139779,-0.03965445,-0.046313183,-0.030925377,-0.042245638,-0.028315585,-0.062132715,-0.053151583,-0.06305543,-0.064526737
07/1965,0.0305419975,0.0139058463,0.0230266837,0.0085633596,0.0149022802,-0.005852839,0.0242686675,0.019813043,0.0220228314,0.0088884198
