date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,-0.006173613,0.0113329302,0.0029289828,-0.0176589,0.0218545985,-0.007534551,-0.007448972,-0.010805792,-0.000503553,-0.01506856
08/1963,0.0593593752,0.0591801542,0.0397543612,0.0770997053,0.0451640494,0.0779077923,0.0770448008,0.0797522454,0.0592151575,0.0637282402
09/1963,-0.002904065,-0.02008345,-0.000117825,-0.017050289,-0.009049838,-0.001976512,-0.000297699,-0.009959707,-0.02631239,-0.01832628
10/1963,0.044653762,0.0859500509,0.033528302,0.0126095122,-0.011889506,0.0294237727,0.0250663886,0.0221607445,0.0026606542,0.0152439372
11/1963,-0.010872166,-0.035694185,0.0222396398,-0.003786842,-0.023981079,0.0061431811,-0.029400012,0.0052234836,-0.00015253,-0.021665718
12/1963,0.0281645416,0.0172820768,0.02210308,0.0372338114,0.0232651084,-0.001665338,0.0369584077,0.0053385563,0.0090566271,0.0344346864
01/1964,0.0421948447,0.0225580866,0.0459797958,0.0100688116,0.0293737762,-0.001469805,0.0098078157,0.0467804158,0.019091633,0.0282339034
02/1964,0.017801453,0.0164600939,0.0040435415,0.0265493398,0.0240955182,0.0313710647,0.0505498636,0.0317438476,0.0412798983,0.0485969606
03/1964,0.0203012365,0.0139293892,0.0046298828,0.0293709334,0.0432355398,0.0525922346,0.0289260308,0.069565041,0.0172638342,0.0559212283
04/1964,-0.019440402,0.0320536616,0.0231700318,-0.017445531,0.0044807837,0.0219563883,0.0161181665,-0.044276017,0.0350376916,0.0011194225
05/1964,0.019880743,0.022227486,0.00379949,-0.001822992,0.0162305187,0.0169334494,0.0353103973,0.030472856,0.012663065,0.0223506336
06/1964,0.0090071887,0.0130851947,0.0354015995,0.0328064856,0.0110314121,0.0033120503,0.010725442,0.0156366673,0.0030601788,0.0352235038
07/1964,0.0046599389,0.0449647381,-0.001675365,0.014732364,0.0186937012,0.0510355179,0.0094117736,0.0236409394,0.0132306724,0.0125086614
08/1964,-0.02120357,-0.00131978,-0.014699124,-0.018005055,-0.000672968,-0.010688375,-0.008008318,-0.002688799,0.0016246797,-0.020610462
09/1964,0.0324603479,0.0345196802,0.0072958238,0.0288566282,0.0339329803,0.0448830533,0.0401450652,0.0454771278,0.0663958007,0.0483033688
10/1964,-0.006767563,0.0236822504,-0.001276567,0.0166252208,0.0149713193,0.0120029254,0.0116854329,0.0052473092,0.0251294756,0.0260123334
