date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,-0.00021642,-0.013125053,0.0017679362,-0.004379983,0.0124400863,-0.005132987,-0.007312975,0.016725114,0.0077759436,-0.003854403
08/1963,0.0603287016,0.0504810673,0.0530375744,0.0511841124,0.0395194402,0.0513228768,0.0619921247,0.0475367063,0.0695292105,0.0609101803
09/1963,0.0014537635,-0.017864764,0.0010561803,-0.010968776,-0.029492889,-0.014025264,-0.014904382,-0.031505233,-0.004087974,-0.021486119
10/1963,0.0474127205,0.032028018,0.0382885508,-0.004947524,0.002228657,0.0066438156,0.0184542681,0.0062314393,0.1184483036,0.0140956311
11/1963,-0.003127171,0.0060881746,0.0240225145,-0.011235793,-0.000778523,-0.022224217,-0.007049397,-0.023631157,-0.059228489,0.0034615047
12/1963,0.0271068853,0.0366052834,0.0087439543,0.036122036,0.0367916033,0.011143213,0.0093594917,0.0390000593,0.0036347977,0.000821379
01/1964,0.036679734,0.0215100078,0.0314848707,0.0032430985,0.0401063929,0.0297317985,0.0038101105,0.0281483419,0.0180451906,0.020123546
02/1964,0.024458283,0.0102711195,0.0054846497,0.0188160423,0.0213253921,0.0067928536,0.0239432848,0.0305361215,0.0206620415,0.0577838101
03/1964,0.0172626495,0.009978671,0.0025087519,0.0122972384,0.0189736937,0.0349596163,0.0557344619,0.0480222668,0.0093611961,0.0229977364
04/1964,-0.015565425,-0.016894906,0.0006030633,0.0143508096,0.0169769033,0.0002102184,0.0085122757,0.0334523939,0.04711036,-0.016530907
05/1964,0.0338751181,0.0069916925,-0.000278453,0.0136515191,0.0121722876,0.0060212576,0.010044676,0.0290236762,0.0388577217,-0.002501357
06/1964,0.0102451547,0.0060036842,0.0427665782,0.0090977008,0.0131257805,0.0338515985,0.0117284529,-0.001090468,0.0119648628,0.012411427
07/1964,-0.000244897,0.0108500175,0.0208123272,0.0231656166,0.0229104929,0.0239816757,0.0524657623,0.0303837344,0.0209914616,0.0261767319
08/1964,-0.020515172,-0.015185783,-0.024159846,-0.004438693,-0.01580188,-0.011696084,0.0059722653,-0.007194529,0.0037791233,0.0178033339
09/1964,0.0295441354,0.0171627134,0.0379737479,0.0334212114,0.0232071065,0.038348204,0.0397333865,0.0307363667,0.0380957708,0.0667776039
10/1964,-0.010635025,0.003938546,0.0237390146,0.002290173,0.0345632081,0.0250248309,0.0008899635,0.0064011084,0.0059633375,0.0096159976
11/1964,0.003869261,0.0015256269,-0.002739633,0.0034809239,0.0243925402,0.0129517268,-0.012014649,0.0228233783,-0.010848487,-0.020682021
12/1964,0.0115828594,0.0174197594,0.0000583187,-0.000599762,-0.006114276,0.0042359533,0.0058930998,-0.006261049,-0.022960509,-0.000010249
