date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,-0.01754386,,,,,,,,,
08/1963,0.1547619104,,,,,,,,,
09/1963,-0.005181347,,,,,,,,,
10/1963,0.0572916679,,,,,,,,,
11/1963,0.0147783253,,,,,,,,,
12/1963,-0.082926832,,,,,,,,,
01/1964,0.1914893687,,,,,,,,,
02/1964,-0.047321428,,,,,,,,,
03/1964,0.047169812,,,,,,,,,
04/1964,0.0292792786,,,,,,,,,
05/1964,0.0542669594,,,,,,,,,
06/1964,-0.106471814,,,,,,,,,
07/1964,0.0077946146,0.0516655705,0.0175432336,0.0091427189,-0.010842842,0.0056849226,0.0034427852,0.0153713582,0.0441728412,0.0421450758
08/1964,0.0141042677,-0.008473927,0.0091230234,-0.022173139,-0.028738057,-0.044917103,-0.003847663,-0.044819566,0.0507580622,0.0075720647
09/1964,0.0286716786,0.0358772397,0.1159992168,0.0164381806,0.0179694523,0.0490766609,0.081359853,0.0645251188,0.0055660009,0.0728082259
10/1964,-0.007921224,0.049630566,0.0275457256,0.0300952512,-0.023328455,0.0275448446,0.0251411709,0.1148398921,-0.013990897,-0.020647115
11/1964,0.003860269,0.0465071192,-0.057067464,0.0590439687,-0.062053175,-0.043420509,-0.046487894,0.0374720498,0.0321818919,0.0565586623
12/1964,-0.02092521,0.0390758659,-0.051896565,0.001529315,-0.033375813,-0.042684237,-0.008303011,-0.004852817,0.0320126921,0.0113730584
01/1965,0.0828619412,0.0671822483,0.0280739553,0.0489716381,0.1140281823,0.0313269948,0.039924908,0.0362243557,0.1019860871,0.0651455218
02/1965,0.0788086539,0.031271898,-0.013995604,0.1075150069,-0.035868884,-0.003382853,-0.023641885,0.0568146333,-0.058313909,0.0053189432
03/1965,-0.008431898,-0.029158848,0.0039309621,-0.012927693,-0.069130508,-0.005742827,0.0289375075,-0.001398275,0.0065892659,0.0015131269
04/1965,0.0248669016,0.015746393,0.0524013948,0.0511486082,0.0492908234,0.0335560124,0.0825103312,0.0365266515,0.0831569073,0.04789226
05/1965,-0.051825011,0.0025665905,-0.023516341,0.0236336856,-0.078289646,-0.024873421,-0.081814244,0.0488466075,0.0050959811,-0.009076915
06/1965,-0.06870469,-0.064445252,-0.096896655,-0.099340916,-0.008306749,-0.054176382,-0.068441159,-0.091369638,-0.062987167,-0.067421413
07/1965,-0.030542366,0.0219122606,0.0428638785,0.0041243134,0.0304333503,0.0362078365,0.0759270933,0.0414742892,0.0497654078,-0.027537099
08/1965,0.0927152715,0.025384893,0.0446175417,0.0249606396,0.016474309,0.0404958978,0.0457338812,0.0240385276,0.0312360458,0.0118155957
09/1965,0.0728873826,0.0523411168,-0.001351103,-0.000585443,0.006378563,0.1100708693,0.0598890807,0.0231798409,0.0019964418,-0.031929042
10/1965,0.0742908278,0.0711027877,0.0194969641,0.0074600804,0.0450757676,0.0062889226,0.0607942613,0.0188594704,0.0445327092,0.0611736598
11/1965,0.1373686549,-0.056548178,0.0278963259,-0.014184776,-0.009602254,-0.03028763,0.0722806434,-0.008974724,0.0211525559,-0.013183518
12/1965,0.0364399835,0.0112007475,-0.006465653,0.0052079192,0.0145361599,0.0442003964,0.0097650343,0.0681884864,-0.020893779,-0.01423847
01/1966,0.0431210405,-0.001817474,0.0703167355,0.0326639317,0.0406089381,-0.025946277,0.0925159224,0.0630725646,0.0643930525,-0.079913674
02/1966,0.097277811,-0.021170166,-0.006778469,-0.012348878,-0.011553577,-0.043651084,-0.003230551,0.0042029746,-0.058762455,-0.038728612
03/1966,0.0382603203,-0.045685017,-0.019355817,-0.050662226,-0.048887779,-0.001325797,0.0000466098,-0.045692396,-0.033786457,0.018201661
04/1966,0.0912665075,-0.03156799,0.0389317802,0.0419038329,0.0199885629,0.04607162,0.0047531044,0.00711293,0.0105929545,0.0648142442
05/1966,-0.110461988,-0.06689609,-0.05775288,-0.071355855,-0.045714886,-0.090040475,-0.074370138,-0.080933383,-0.029723538,-0.046595654
06/1966,0.09960836,-0.016579886,0.0022921068,-0.008665936,-0.003881425,0.0143655451,-0.067006324,0.0234111168,0.0089804066,0.0212345574
07/1966,-0.021489061,-0.008291435,-0.014518363,0.0009551979,-0.071939907,-0.009381948,-0.036378668,-0.005310568,-0.005438799,-0.059962124
08/1966,-0.061889371,-0.110447401,-0.094902375,-0.090734003,-0.095698494,-0.099266648,-0.082101544,-0.069054144,-0.088839703,-0.0890816
09/1966,-0.009099663,-0.022237372,-0.055401541,0.015460738,0.0050197216,0.0059587063,-0.030399391,0.019631237,0.0115812361,-0.123509007
10/1966,0.0429920263,-0.022261793,0.0292371693,-0.012380641,0.09856438,0.0824680087,0.0366514902,-0.059614815,0.0129055279,0.0074012198
11/1966,0.1226826989,0.1569573005,0.0241073201,-0.044241683,0.016181474,0.0748555163,0.005259945,0.0948566836,0.0437068286,0.1284319981
12/1966,-0.013958886,0.0142211805,0.0224657291,-0.004371115,-0.06318804,-0.000452704,-0.002116262,0.0051744177,0.0237078298,-0.000989479
01/1967,0.0781365424,0.0654476303,0.1601966676,0.1257053638,0.0262565811,0.095581886,0.1708756846,0.180531646,0.1314512437,0.149021163
02/1967,0.0731015956,0.0224971121,-0.024120504,-0.017414635,-0.020621135,0.0285675991,0.0112808357,0.0445352064,0.0367460604,0.0147148007
03/1967,0.0476948558,0.0517840831,0.0387250901,0.0626265298,0.0031817392,0.0562553284,0.0533859826,0.0744967215,0.056728548,0.0454359384
04/1967,0.0993943102,0.0240939306,0.0377262977,0.1126347575,0.0833250189,0.0331913457,0.0186001768,0.1816139521,0.0776689648,0.0830159246
05/1967,-0.036339725,-0.060672909,-0.028941902,-0.075766935,-0.071903383,0.0015317897,-0.032467814,0.0330871247,-0.003423321,-0.03772083
06/1967,0.0706126746,-0.028819727,0.0145113067,-0.01878097,0.0200212321,0.0538563797,0.0109531879,0.088000585,0.1085497598,0.116524298
07/1967,0.0281672027,0.1336420165,0.0390527337,0.038666317,0.0372230439,0.0633686264,0.0740015542,0.057559015,0.054872059,0.0829534616
08/1967,-0.012441763,0.0015639238,-0.024871577,-0.0169047,0.0034088108,-0.02127985,-0.012489193,0.0158134421,-0.004889843,0.0274958137
09/1967,0.0904702494,0.0433998305,0.0241554192,-0.037817056,-0.021205318,0.051645494,0.0204151607,0.0075214819,0.0376618111,0.008104203
10/1967,0.0665040677,-0.051830685,-0.033236683,-0.042164641,-0.03135978,-0.072094753,-0.055365334,-0.063748843,0.0124564498,-0.007505957
11/1967,0.0266643975,-0.011272741,-0.068430494,-0.006790469,-0.019817818,-0.013094609,0.0314871842,0.0012331424,-0.010895436,-0.003011425
12/1967,0.0247911204,-0.011515876,0.0226177537,0.0594310207,0.0657816386,0.0530613574,0.0642037323,0.0362950288,0.0223126853,0.0395936326
01/1968,-0.053053768,-0.06512824,-0.038715548,-0.038705693,0.0026337944,-0.012815599,-0.071164191,-0.026919429,-0.063470825,-0.058623255
02/1968,-0.023224206,-0.021206754,-0.032129453,-0.008664661,-0.02550366,-0.041503824,-0.080287923,-0.035898357,-0.03612344,-0.074563991
03/1968,0.0519144304,0.0004638212,-0.005239532,-0.023598338,-0.004491478,-0.011450316,0.0054107086,0.0061825964,-0.017833986,0.0176094769
04/1968,0.1093304238,0.1007298743,0.1092342481,0.0404269425,0.0680472064,0.0673516858,0.083584538,0.0633432838,0.0857293379,0.1674806512
05/1968,0.0553153337,-0.013944778,0.015555673,0.0438406337,0.0348636403,0.027224374,0.0543074303,0.0933579944,0.0016816782,0.0990029638
06/1968,-0.013441525,-0.002615945,0.0136002638,0.0563660553,0.0335769646,0.1124700298,0.0194174161,-0.011780973,0.0248551511,0.019624522
07/1968,-0.031367268,-0.046115692,-0.030920409,-0.05345079,-0.006477937,-0.040369367,-0.053241879,-0.038944276,-0.010054979,-0.078754269
08/1968,-0.003870566,0.0352473016,0.0091989061,0.0445259088,0.0113219544,-0.008616928,-0.0113492,0.0208053483,0.0340262934,0.0121416869
