date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,-0.024023737,-0.021662043,-0.01831534,-0.017843928,0.0083369057,0.0019554636,0.0041703297,0.0083231572,0.0007742377,0.0034127075
08/1963,0.0542595663,0.0727397163,0.0764288857,0.0670947391,0.0552855122,0.0375321727,0.0600705063,0.0525628231,0.0422782185,0.0536600199
09/1963,-0.034313518,0.0070721049,-0.00503586,-0.023658997,-0.018382157,-0.017320288,-0.003607351,-0.024671003,-0.014952147,-0.001098814
10/1963,0.0283287165,0.020348985,0.0278501982,0.0328859348,0.0758158574,-0.00225446,0.0200254492,0.0116201528,0.0188782891,0.0375759464
11/1963,0.0253792984,-0.017326607,0.0030530011,-0.011454005,-0.028231597,-0.015368678,-0.010991523,-0.017784481,0.0150963796,0.0135819662
12/1963,-0.017302453,-0.006830184,-0.002968085,0.0066566741,0.0334551638,0.0352289695,0.034490431,0.0269571743,0.0178793718,0.0206834883
01/1964,0.0203439681,-0.009449337,0.0390314011,0.0058924946,0.0285186081,0.0306616005,0.0175970539,0.0287073445,0.024781213,0.0364864681
02/1964,0.0356885229,0.0397800307,0.0326490913,0.0241178109,0.0117584348,0.0090841322,0.0162239002,0.0159583266,0.0249211308,0.0134440588
03/1964,0.0400114504,0.048264769,0.0384335328,0.0418478192,0.0227196377,0.0206936291,0.0185968018,0.0324718525,-0.001502489,0.0025619334
04/1964,-0.019043764,-0.015249575,-0.015744629,-0.021923319,0.0179123156,0.0181410922,0.0237604754,0.0096482788,-0.00634232,0.0004877405
05/1964,0.0113735267,0.0385677657,0.0248192844,-0.003253939,0.018927486,-0.000594026,0.025579731,0.0108840735,0.0149370049,0.0148288522
06/1964,0.02683655,0.0084603186,0.0195074074,0.0227775007,0.013088858,0.0210752288,0.0176127749,-0.002638187,0.0025277647,0.0326319623
07/1964,0.0249230732,0.0239291788,0.0145363102,0.0072798245,0.0504295968,0.0179396942,0.01402657,0.0328184577,0.0285586384,0.0015569186
