date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,-0.018680091,0.0056830036,-0.001961899,0.0088434661,0.0017969894,0.0160447343,-0.005116535,-0.007776539,-0.007609966,-0.013674921
08/1963,0.0763768872,0.0542491167,0.0531251737,0.0418272482,0.058519868,0.0564987161,0.0545840258,0.0527561729,0.0925828376,0.0846446002
09/1963,-0.031309033,-0.00555232,0.0069867169,-0.026735303,-0.024447021,-0.024465517,0.0015844331,-0.024902826,0.0051362933,-0.017154337
10/1963,0.040196319,0.1012202981,0.0323315441,0.0029733648,0.0143835889,0.015907771,-0.00186996,0.0174222195,0.0227556977,0.0213619493
11/1963,-0.009170191,-0.037691261,0.0218964313,-0.002415529,-0.009150288,-0.015960641,-0.021346475,-0.002143922,0.002196819,-0.021766548
12/1963,0.0088874046,0.0194718076,0.0207772775,0.0290178518,0.0235776799,0.0300262058,0.0328374477,0.0207605155,0.004231505,0.0260124864
01/1964,-0.006380126,0.0336579391,0.0444611867,0.0313141868,0.0153947995,0.0306905171,0.007301749,0.0224182031,0.0216199823,0.0336802787
02/1964,0.025740937,0.0205707891,0.0053253257,0.0224569798,0.0132441413,0.020521471,0.0191038793,0.0241883573,0.0318069122,0.0202814059
03/1964,0.0291659735,0.0171941259,0.0007081341,0.0093722448,0.0079674841,0.0285663383,0.0333758967,0.0533623999,0.0580232734,0.0459971101
04/1964,0.0136032478,0.0113077584,0.0121006594,0.0209026027,0.00102071,0.0052767225,0.0263420847,-0.014827166,-0.049123663,-0.031089853
05/1964,-0.007055476,0.0333740776,0.0115021081,0.007680892,-0.000326404,0.0215394471,0.0101659944,0.0060232694,0.0109545274,0.0177973295
06/1964,0.0139046279,0.0067374797,0.0371235846,0.0173959245,0.0170931892,0.0117637516,0.0176293921,0.019315574,0.0124240047,0.0293688709
07/1964,-0.000566441,0.0024847317,0.0135943666,0.0353186326,0.0180144575,0.023015431,0.0214209887,0.048699985,0.0206410314,0.0320560002
08/1964,0.0089717031,-0.032791727,-0.015555778,-0.012643867,-0.008058765,-0.019878238,-0.005773888,0.0052741282,-0.002621059,-0.008740017
09/1964,0.0585995458,0.0205162247,0.0360852303,0.03455066,0.0186489665,0.0268663402,0.0401189744,0.0270724455,0.0158761697,0.0444552917
10/1964,-0.008321833,0.0063826869,0.0002001224,0.0298299766,0.000264681,0.0156684501,0.0080209474,0.0085224248,0.0226830768,-0.001210022
11/1964,0.0036573447,0.0032957627,0.0063562705,0.0320721701,-0.008989737,0.005131172,-0.00099669,-0.004545677,0.0092155133,0.0210778988
12/1964,0.0182502626,0.0020965742,-0.004563431,-0.004648655,0.0264873468,-0.000147074,-0.014534292,-0.012343946,-0.021990343,0.0069377372
01/1965,0.0404649671,0.0706245587,0.0496767242,0.019203514,0.0257835421,0.0168773054,0.04291623,0.0481112971,0.0557097441,0.0502684267
02/1965,0.0321364093,0.0123491781,0.0168627592,-0.007103979,0.0029659377,-0.014132787,0.0135646278,0.0230365319,0.0207757623,-0.001779387
03/1965,-0.021299424,-0.009398773,0.0035867605,-0.017584861,-0.010577173,-0.019469002,-0.01302158,-0.000827584,0.0007428336,-0.017435442
04/1965,0.0754792904,0.0480845205,0.0343940385,0.0288560715,0.0446434765,0.0100156006,0.0244469363,0.014937115,0.0360269816,0.0247840047
05/1965,-0.000383161,-0.004160169,0.0021122802,0.000698319,-0.004027281,-0.007676738,-0.000450462,-0.009902287,-0.003972884,0.016689942
06/1965,-0.064233767,-0.049709317,-0.063794662,-0.031254681,-0.048033446,-0.025357818,-0.046089335,-0.056125427,-0.065420357,-0.060718613
