date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,-0.004042923,-0.018376259,0.0065665995,0.01110225,0.000165111,-0.010036021,0.0102699486,-0.006775394,-0.006698773,0.0028481427
08/1963,0.0699957051,0.0656825804,0.0740193171,0.0580887523,0.0465104419,0.0472908183,0.0680920527,0.0537080127,0.0805765358,0.0829733044
09/1963,-0.032602291,-0.039797971,-0.015356661,-0.013399901,-0.000330219,0.0020328988,-0.01792901,0.0039511512,-0.010551849,-0.035286084
10/1963,0.0733266933,0.0325753682,0.0088898963,0.0782576998,0.0218400568,0.0473960083,0.0430216224,0.0189099482,0.013057667,0.0215295782
11/1963,-0.005497031,-0.001671581,-0.01684348,-0.035687237,0.0301834374,-0.007583797,-0.011102153,-0.020583652,-0.010163878,0.0107070252
12/1963,0.0077849661,0.0194135617,0.0125058967,0.0330213396,0.0166041022,0.0296679044,0.0220043458,0.022089287,0.009506003,0.0223172917
01/1964,0.0299050781,0.0035603675,0.0199664428,0.0342393202,0.0353836411,0.0409884777,0.0169965009,0.0384064254,0.0047282816,0.0405628127
02/1964,0.0442396055,0.0189467977,0.042513255,0.015143218,0.0062874772,0.0381882041,0.0100467256,-0.003443523,0.0307824125,0.0360556173
03/1964,0.0628613739,0.0337844672,0.0115450904,0.0208439608,0.0035482977,0.0313974239,0.0290936268,0.0062195292,0.0424112801,0.0683062447
04/1964,0.0047078909,0.0099821904,0.0079083164,0.028998612,0.0141345573,-0.014682603,-0.015689334,0.0073354262,-0.001756162,-0.030781824
05/1964,-0.000586198,0.0106755777,0.0283410965,0.0285850815,-0.004138329,0.0262220402,-0.00387367,0.0141028395,0.0327093317,0.0247798974
06/1964,0.0060962307,0.0160573214,-0.002123404,0.0053592116,0.047227922,0.010660363,0.0181793532,0.0232825904,0.0096160907,0.0098091638
07/1964,0.02571823,0.0303851456,0.0168533237,0.0176918823,0.0170959216,0.019914379,0.0073056091,0.0164662476,0.0084264777,0.0247024707
08/1964,0.0215496295,-0.008780244,-0.024651758,-0.006280571,-0.020368534,-0.002989765,-0.023297984,-0.02314581,-0.008036139,-0.01217473
09/1964,0.0401157215,0.0400305387,0.0440474476,0.048665759,0.0466047947,0.0084075956,0.0255064128,0.025372675,0.0423167146,0.0275105979
10/1964,0.0047309592,0.0017876005,0.0022255711,0.017878631,0.0086860508,0.0038568725,-0.000681522,0.0274641157,-0.005902528,0.0145472008
11/1964,0.0027848272,-0.007833658,0.0111937795,0.002812453,0.0248379288,-0.017548409,0.0188356663,0.0062665578,0.0102663121,0.0098578302
12/1964,0.0001725164,0.0063350088,0.0083485092,-0.003795038,-0.012803869,0.025081969,0.0039835467,0.0018703865,-0.006313835,-0.004357679
01/1965,0.0419890468,0.0644945221,0.0655953089,0.0133611065,0.0564320321,0.0198892996,0.0540790843,0.0050017599,0.0472235683,0.0475126232
02/1965,0.018498665,0.0212906283,0.0147985632,0.0040749275,-0.000165057,-0.000983859,0.0144460629,-0.019028991,0.0216285378,0.0277226769
03/1965,-0.011772523,-0.008577997,-0.027578442,-0.015575918,-0.021555637,-0.000404326,-0.014908717,-0.022047815,0.0078133892,-0.01736516
04/1965,0.0520492866,0.0451773368,0.0391140195,0.0433850374,0.0458960508,0.042972666,0.0343479993,0.0212711075,0.0357747517,0.0403255085
05/1965,-0.013616456,0.0100881429,0.0176496256,-0.013563237,0.0066543086,0.000743528,0.0026547745,-0.009443807,-0.01492029,0.0020728254
06/1965,-0.078528761,-0.063452938,-0.055439787,-0.040651687,-0.047866743,-0.045519859,-0.050667152,-0.028607582,-0.058672425,-0.066308738
07/1965,0.0009295237,0.0089785748,0.0212255768,0.0193196222,0.0229616893,0.0069695562,0.0190322944,0.0175179322,0.0143767634,0.0461522587
08/1965,0.0554727646,0.0364376235,0.0346600128,0.0245249063,0.0230287463,0.0262687903,0.0382365937,0.0416650417,0.0215186386,0.0636016323
