date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,-0.027875996,-0.021124619,-0.005357501,0.0034502594,-0.006625126,-0.009708227,-0.013930816,-0.008177575,0.0205102274,-0.007345337
08/1963,0.0557304654,0.0372999629,0.0537127366,0.0481160736,0.044786899,0.0598285692,0.0576955914,0.0668908687,0.0703829784,0.0520132458
09/1963,-0.042277794,-0.035143609,-0.015157141,-0.003581474,-0.017932053,-0.01877254,-0.002793419,0.0063994573,-0.020028519,-0.023334105
10/1963,0.0082850414,0.048455717,0.0353932546,0.0315120539,-0.005043502,0.0333306857,0.0611109584,0.0057152511,0.0311062556,0.0842662885
11/1963,0.0129725173,-0.010015511,-0.020010715,-0.010526904,-0.000373245,0.0232823348,-0.003804957,-0.006624166,-0.022509396,-0.04693735
12/1963,0.0009897348,0.019221878,0.0159548946,0.0235280239,0.0344131489,0.0235943231,0.0249445187,0.0185897446,0.0058120432,0.0043810219
01/1964,-0.024530815,0.0047826696,0.0013052021,-0.003860958,0.0150582287,0.038663498,0.0254745382,0.0176659753,0.0241935792,0.0455882087
02/1964,0.0500562929,0.0253956367,0.02909989,0.0108432262,0.0387391717,0.010963613,0.0188095032,0.0191302717,0.0316231593,0.0147472509
03/1964,0.0053324962,0.0181814174,-0.003174548,0.0112514488,0.0378432813,0.0187953882,0.0139261143,0.0246548074,0.0121901045,0.0359613236
04/1964,-0.026789371,-0.022879887,0.0085662898,-0.008298076,0.019272589,0.0114925789,0.0177410485,-0.024070117,-0.018448575,-0.011587573
05/1964,-0.007793018,-0.010801334,-0.011701879,0.0142692914,0.0068187966,0.0132402298,0.0138749812,0.0096755322,0.0275037789,0.0445201756
06/1964,0.0070159479,0.0122935209,0.0418704177,-0.001484294,0.0205209896,0.0086042008,0.0165545185,0.0106355718,0.0093943103,0.0099250011
07/1964,0.0136366704,0.0109984814,0.0070205036,0.0210927806,0.0198542575,0.0150226753,0.0395252149,0.0303610854,-0.003377125,0.0156321789
