date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
08/1963,0.0532487549,0.0416739804,0.0522988519,0.0462220182,0.0426009141,0.0478768009,0.0641681772,0.0438844876,0.0564706152,0.0793393524
09/1963,-0.034861499,0.009871884,-0.020804715,-0.006249619,-0.006619058,-0.024827783,-0.00211582,-0.017249256,-0.012498332,-0.011769629
10/1963,0.0134521567,0.0168012362,-0.013073924,0.0086271852,0.0276199527,0.0122777911,0.0422458038,0.0159626091,0.0891801267,0.0271939559
11/1963,-0.02368888,-0.001634421,-0.009459168,0.0104949648,0.0190054184,-0.039199818,-0.00929823,-0.001793665,-0.007529648,-0.008727704
12/1963,0.0099776179,0.0074230541,0.0355808863,0.0348040793,0.0233598717,0.0329989594,0.038232436,0.0182428812,0.0315168947,-0.000988109
01/1964,-0.005546916,0.0418740026,0.0157541606,0.0346409163,0.011994505,0.0209739868,0.0432310185,0.0319435111,0.0262436736,0.0040287929
02/1964,0.0110935413,0.0099099481,0.0098912471,0.0110587326,0.0274266255,0.0154214778,0.0141106902,0.0204916831,0.0215984742,0.0233767989
03/1964,-0.006444677,0.0162897061,0.0357002987,0.0158955132,0.0130394981,0.0105259779,0.0270779511,0.0111661036,0.0150889037,0.0315524377
04/1964,0.0037858186,0.0086499325,-0.001536647,-0.008340931,-0.01603107,0.0313200061,0.0054225197,0.0117202847,0.0003511906,0.0205649776
05/1964,-0.002137524,0.0269914137,-0.001917117,0.0036949995,0.0032723507,0.0262581498,0.0204487025,0.0172702019,0.0209394208,0.0317604241
06/1964,0.0103689023,0.0442355229,0.0069046447,0.0083176342,0.0167225721,0.0032311179,0.0220653531,0.0064016675,0.0212021389,0.0433432503
07/1964,0.0268050597,0.0339092602,-0.004045186,0.0124924267,0.0267579607,0.0334749428,0.0265943309,0.0321864829,0.013635795,0.0422195002
08/1964,-0.022064869,-0.009236278,-0.015980452,-0.004712423,-0.018599781,-0.008747667,-0.003924139,-0.022122046,-0.005482029,0.0051792946
09/1964,0.0167428288,0.011141712,0.0221833435,0.0007411172,0.0331384929,0.047744372,0.023711491,0.0340170915,0.0302378195,0.0556824922
10/1964,-0.000461305,0.0042173226,-0.001872256,0.011092658,0.0054670554,0.0301759238,0.0058477489,0.0211601414,0.0099198967,0.0233487297
