date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,-0.007707399,0.0027983655,-0.008393159,-0.011016733,-0.001799396,0.0053285433,0.0017395368,-0.00273251,-0.000453888,-0.000758068
08/1963,0.0723823066,0.0507095838,0.0488684442,0.0529889088,0.041316435,0.0518565413,0.0434737603,0.0738450947,0.0762264322,0.0724466113
09/1963,-0.017416894,-0.033300904,-0.035877151,-0.009039734,0.0042736232,-0.013611074,-0.027569709,-0.009358022,-0.000496265,-0.003569947
10/1963,0.0231401516,-0.003522784,0.0052068345,0.0284060469,0.0684156625,0.0188526978,0.0067184436,0.0156267887,0.0299930441,0.0241780454
11/1963,-0.015387452,-0.030761217,-0.010534637,0.0066692215,0.010505835,-0.001262414,-0.007690645,-0.000887851,-0.005939646,0.0098828473
12/1963,0.0115801899,0.0082651097,0.038540488,0.0165726294,0.0152887823,0.0295185271,0.0226468676,0.0238143412,0.0211278385,-0.011095766
01/1964,-0.003237711,0.0123321199,0.0334041332,0.0333615898,0.0210014539,0.0235873119,0.0272176873,0.0331087619,0.0227955467,0.0153649213
02/1964,0.0146211971,0.0162976327,0.0091422338,0.0187269768,0.0197257941,0.0160623799,0.0255801574,0.0142786781,0.0232854886,0.0337921789
03/1964,0.0133586879,0.0148562343,0.0244955738,0.0151423104,0.0174747702,0.008285959,0.0196242371,0.0265181301,0.0225133015,0.0310046381
04/1964,-0.022906317,-0.000059578,-0.01708251,-0.002754792,-0.010912632,0.0184824586,0.0194213553,0.0063681396,0.0145990385,-0.002965127
05/1964,0.0402840168,0.0160743224,0.0149644731,0.0303756292,0.0004892591,0.0236388758,0.0179316001,0.0003107166,0.0109581774,0.0136387535
06/1964,0.0076593341,0.0101405451,0.0094111302,0.0089575962,0.0176055374,0.0171055077,0.0135431904,0.0238060976,0.0328337826,0.0263309479
07/1964,0.0120092853,0.0267479033,0.0227350874,-0.004906076,0.0094104779,0.030392908,0.0354843319,0.0297376293,0.0253251858,0.0289560461
