date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
08/1963,0.0453134429,0.0461770853,0.0593712362,0.0439936389,0.0373137361,0.0516483327,0.0481527325,0.0561432439,0.0806862505,0.081363643
09/1963,-0.027444436,-0.029110281,-0.031661326,0.0132141907,0.0005458652,-0.021454902,-0.026956886,-0.015033103,0.0044619437,0.0048230707
10/1963,-0.008797863,-0.001018434,0.0095706094,0.0166501982,0.0477825503,0.0599776036,0.0121349435,0.0029618034,0.0176882562,0.0333196894
11/1963,-0.051202388,-0.000702639,0.0151026616,-0.026731211,0.0152608055,0.0001348848,-0.014883889,0.0033553281,-0.009122323,-0.002804284
12/1963,0.0023362758,0.0152111511,0.0424041377,0.0144765414,0.0232206613,0.0357849438,0.0089318873,0.0425303985,0.0280712284,0.0037440075
01/1964,0.0020243031,0.0429345915,0.0146135869,0.035901542,0.0180293401,0.0221480233,0.033594558,0.0208904759,0.0319652312,0.0248508057
02/1964,0.007643372,0.0071257792,0.0110985126,0.0164712362,0.0262385598,0.0101555224,0.0255118653,0.0211571155,0.0165809632,0.0324968689
03/1964,0.022396504,0.021035671,0.0255164699,0.0022073683,0.0246031623,-0.003229449,0.0154577755,0.0271706897,0.020144191,0.0259751144
04/1964,0.001587784,-0.017335968,-0.011941746,-0.008103325,-0.005252906,0.0224466321,0.0221846315,0.0084568993,0.0222389808,0.0220265168
05/1964,0.0183087028,0.0334212988,0.0227837768,0.0270608647,-0.002885387,0.0112516802,0.0288060128,0.0122642203,-0.002246119,0.0240881392
06/1964,0.0040465765,0.0064516939,0.0254951264,-0.002922828,0.030143328,0.0181600368,0.017351314,0.0174088837,0.034171583,0.0299036669
07/1964,0.0250539493,0.0301368893,-0.005491763,0.015313822,0.0102719277,0.0356904694,0.0318501656,0.0371079279,0.0348440993,0.0294192734
08/1964,-0.009571281,-0.011238989,-0.012682848,0.0019244405,-0.005962924,-0.019634433,-0.016214975,-0.015471886,-0.012923923,0.0073861262
09/1964,0.0060088448,0.0165805155,0.0273112734,0.0317628367,0.0340554803,0.0106768088,0.018714392,0.0383384822,0.0467346651,0.0486844649
10/1964,0.0156351698,-0.000211459,0.0063491359,0.0310471302,-0.002565929,0.0040405089,0.027149466,0.0175938527,-0.008329622,0.0171478506
11/1964,0.0188117814,0.0002424362,-0.001917177,0.0246724123,-0.002575244,0.0019620132,-0.012062413,0.0139124924,0.0154566276,0.0103490103
12/1964,-0.031327288,0.0005878151,-0.010365063,-0.000717543,-0.003104182,0.0137095968,0.0185620049,0.0070103568,0.0011205886,0.0009218837
01/1965,0.0325086706,0.027052908,0.0154774921,0.0216568922,0.0570756991,0.0665276719,0.0299275842,0.0540018049,0.0488705843,0.0462203228
02/1965,0.0060460496,0.0031193871,-0.007140933,2.4945439E-6,-0.001586457,0.0219462332,0.0107028993,-0.009691751,-0.001876656,0.0175419222
03/1965,-0.030468634,-0.02421977,-0.000480496,-0.002525444,-0.012513372,-0.002134781,-0.019479526,-0.011354134,-0.011184545,-0.007017943
04/1965,0.0288518428,0.0210192481,0.0279246648,0.0139896182,0.059466792,0.0384135057,0.0107570793,0.0362979951,0.0264026311,0.0453019428
05/1965,-0.017041338,-0.004151735,-0.017601543,0.0156060345,0.0056654001,0.0023444417,-0.008526604,-0.006133275,-0.001903178,-0.01733989
06/1965,-0.073846254,-0.058397155,-0.04116901,-0.037667169,-0.050963539,-0.031749088,-0.042261063,-0.04537314,-0.034677015,-0.054758364
07/1965,0.0200985901,0.0027618652,0.0031099338,0.0238675955,0.0001305801,0.0153505675,0.0247410946,0.0213575364,0.0299562159,0.0302006578
08/1965,0.0226986323,0.0263518698,0.0472897675,0.0184102338,0.0256974319,0.0099493292,0.0322309149,0.0210699405,0.0206373,0.0386883993
09/1965,0.0150554395,0.0289360241,0.0203703866,0.0376425747,0.0446153142,0.0157941719,0.0184967914,0.0461128425,0.0354055642,0.0222955934
10/1965,0.0165606892,0.0102286899,0.0211400468,0.0393798872,0.0053874468,0.0188801953,0.017512337,0.0223397003,0.0289273016,0.0469371572
11/1965,-0.002899149,-0.011839935,0.0089050132,-0.017895904,-0.025106901,0.0219709793,0.0019265987,-0.005617591,0.020055517,0.0139730913
12/1965,0.0012483805,0.0066705453,0.0070486299,0.0047749094,0.0001268082,-0.00192053,-0.003968843,0.0088872558,0.0532540509,0.0464981787
01/1966,0.0155721576,-0.011473029,0.0000449806,-0.017375648,-0.004576909,-0.008119603,0.0042784786,0.019388546,0.0340347136,0.0350370832
02/1966,-0.008878222,-0.018657694,-0.010317484,-0.015416733,-0.032393337,-0.014213353,-0.017311933,-0.034186787,-0.010109206,-0.0070219
03/1966,-0.015470982,-0.007622741,-0.025902281,-0.028692048,-0.036145627,-0.04278684,-0.03565389,-0.00229782,0.0129338626,-0.021631169
04/1966,0.0027333813,0.0290113576,0.0363277864,0.029201683,0.0082384084,0.0164063879,-0.000131213,0.0130844569,0.022749471,0.0348599773
05/1966,-0.060271828,-0.044978358,-0.063873437,-0.040983574,-0.028633968,-0.039053377,-0.041620185,-0.05165633,-0.046433351,-0.011880866
06/1966,-0.023370503,-0.01650357,-0.021146748,-0.024603406,0.0003758208,-0.023192899,-0.018903266,-0.001525201,-0.009385925,-0.024664386
07/1966,-0.005356892,-0.010753262,0.0003822784,-0.027156305,-0.020348483,-0.00487998,-0.007519369,-0.008165328,-0.007053434,-0.001545334
08/1966,-0.085793742,-0.075656239,-0.076543841,-0.074403639,-0.073102825,-0.061727701,-0.065616099,-0.082891754,-0.03547166,-0.107013344
09/1966,-0.008292799,-0.011626909,-0.016819295,-0.029656066,-0.000031508,-0.006833752,0.0184208143,0.0294669369,-0.001818865,0.034349547
10/1966,0.0440504169,0.0546193276,0.0674947376,0.0212292852,0.0687393414,0.0811320917,0.0456016122,0.0462336625,0.0751499066,0.0487081113
11/1966,-0.004126517,0.0156062673,-0.002512467,0.0016038032,0.0123684509,-0.019347603,0.0060956502,-0.004096023,0.0080473917,0.0605407998
12/1966,0.0023188647,0.0088137538,-0.012746369,-0.021176127,-0.011890707,0.0193132895,0.0271182794,0.0163962358,0.0333552093,0.0116447038
01/1967,0.0780855936,0.0467585905,0.0649935922,0.078337166,0.0645122835,0.0755963789,0.081784981,0.0818800969,0.0737182573,0.0949097757
02/1967,-0.015257541,0.0069016624,0.0044567968,-0.008571807,0.0074233193,-0.006342567,0.0209651423,0.0161601895,-0.002804746,0.0227026996
