date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,-0.007900254,-0.006388912,0.0248096609,0.0029849857,-0.008210168,-0.006877304,-0.014903998,-0.007751503,-0.008709718,-0.036145933
08/1963,0.0711645133,0.05533522,0.0384918596,0.0492598028,0.0697209073,0.0643972091,0.0793572412,0.0625352564,0.0834782597,0.1155734833
09/1963,-0.045827817,-0.019741392,-0.03090566,0.0038454716,-0.003063212,0.0045033245,-0.022342542,-0.021272395,-0.001808519,0.0184002295
10/1963,-0.002561352,0.0042966624,0.0287318866,0.0694610838,0.0213791553,0.0077494624,0.0153927054,0.0656586155,0.0232657149,0.045502569
11/1963,-0.004895399,-0.00067763,-0.006854616,-0.005840485,-0.005378435,-0.012945234,-0.010374661,-0.012652527,0.0019212982,-0.025036861
12/1963,0.0415160695,0.0165048106,0.0398517933,0.0148179875,0.017539804,0.0271211699,0.0251609682,0.0276873887,0.0090951538,-0.000310599
01/1964,-0.00182433,0.0094983489,0.0587110964,0.0358249451,0.0079977714,0.0306840824,0.0196717722,0.0329948731,0.0310106656,0.0065418865
02/1964,0.0295317728,0.0423395894,0.0080721869,0.0130704312,0.036388146,0.0189507908,0.0204230646,-0.005148737,0.0273489796,0.0694157764
03/1964,0.012874099,0.0262281634,0.0215691339,0.0045805705,0.0213364217,0.025295083,0.0373691329,0.0576882111,0.0551853068,0.038443848
04/1964,0.0345048485,0.0395820988,0.0120031851,0.0177429904,-0.006602407,0.0148424598,-0.013964721,-0.038444063,-0.029334786,0.0066858245
05/1964,0.0283617406,0.0112165105,0.0123454733,0.0157139396,0.0083340668,0.0249954624,0.0008462536,-0.000773877,0.037646566,0.0330195798
06/1964,0.0109018571,0.0076531038,0.0063640117,0.0278148091,0.0139485875,0.0248455702,0.0198519499,0.0150640634,0.0198331181,0.0117197771
07/1964,0.0062224438,0.0334360129,0.0257538288,-0.00401618,0.0188926699,0.0118465838,0.0243946894,0.0310707504,0.0232114602,0.0359951997
08/1964,0.000979577,-0.020743266,-0.019845297,-0.015528544,-0.011644378,0.0012194035,-0.013468277,-0.025128712,0.0005690339,0.0122962027
09/1964,0.0647600355,0.0423763045,0.043095118,0.0095561571,0.0261918746,0.026194109,0.0399593346,0.0356796628,0.0613710152,0.0228682873
10/1964,-0.009363427,0.0178854486,0.0269036569,0.0048064899,0.005841304,0.000501765,0.0021159552,0.0115414878,-0.005676333,0.0000556534
11/1964,-0.013560935,0.0096830744,0.0325834572,-0.005979849,-0.008575406,0.012354192,0.0186358122,0.012687184,-0.018266395,0.0155863224
12/1964,0.0170989426,-0.019815557,0.0034687528,0.0267519732,0.0072982382,-0.000220072,-0.001674914,-0.000270442,-0.026526636,-0.015531768
01/1965,0.0579871297,0.0773306725,0.0215492019,0.0124540777,0.0354622873,0.0326582478,0.0542429783,0.0462544008,0.0539478364,0.0551069022
02/1965,0.0197775503,0.0009547838,0.0009266312,0.0078486768,-0.010664148,0.0311407539,0.0200240312,0.0048116583,0.0248972972,0.0223397904
03/1965,-0.017747109,-0.01796464,-0.0266928,-0.018322213,-0.005901371,-0.013513945,-0.007764225,-0.006604644,0.0006565935,0.0028738706
04/1965,0.0504624301,0.0409945068,0.0302994069,0.0218680991,0.0585971335,0.0574549264,0.0270421941,0.0214520157,0.0230209478,0.0541363883
05/1965,0.0098845436,0.0088688652,0.0070774585,0.0240081093,-0.01940032,-0.015072445,-0.004201486,0.0102178183,-0.023200023,-0.022768363
06/1965,-0.069108881,-0.05891436,-0.038490126,-0.043396835,-0.045794908,-0.054264412,-0.060624994,-0.042982035,-0.068527308,-0.050087905
07/1965,0.0334409194,0.0129142088,0.0203907337,0.0118150326,0.0145450683,-0.011102998,0.0141429539,0.039486561,0.017335564,0.0701377198
08/1965,0.0534729875,0.0442306134,0.0196684829,0.0211946241,0.0361487352,0.004529024,0.0275540819,0.0558980075,0.0571652015,0.052971993
09/1965,0.0287648627,0.0428641156,0.0483254247,0.0305139484,0.0225738813,0.0457176923,0.0509921885,0.026490032,0.0251270862,0.0537533584
10/1965,0.0447358788,0.0356995435,0.039246738,0.0056558075,0.0305154247,0.0192115754,0.0303779944,0.0524992407,0.0411813885,0.0741056199
11/1965,0.0150652331,0.0344730448,-0.025547986,-0.029523317,0.0124436758,0.0163683097,0.0119858004,0.0305189541,-0.00679326,0.0867653749
12/1965,-0.008196545,0.0090562962,0.0164374568,0.0036561251,0.029671,0.0040213382,0.0103085334,0.0387887675,0.0208595788,-0.000264056
01/1966,0.0193319859,0.0112905073,0.0038317288,-0.000595901,-0.003623396,0.0113209253,0.0347586579,0.0394863443,0.0144846365,0.088583736
02/1966,0.0292876158,0.0037911864,-0.018261698,-0.012799548,-0.022927524,-0.021796043,-0.01305302,0.0145350295,0.0027099376,0.0058877714
03/1966,-0.010031096,-0.01021416,-0.034853643,-0.035774464,-0.005426743,-0.028901309,-0.028049864,-0.007091315,-0.02590646,-0.035524376
04/1966,0.0555251659,0.0295033673,0.0047115987,0.0178935152,0.0316409295,0.0305564637,0.0267261262,0.0178667018,0.0110932788,0.04652068
05/1966,-0.044846968,-0.046226996,-0.057218246,-0.052371036,-0.039800838,-0.056625514,-0.061753043,-0.075849014,-0.048354288,-0.089017125
06/1966,-0.012827994,-0.011714447,-0.012704687,-0.001372889,-0.022866552,-0.014573892,-0.007188401,0.011791675,-0.014404219,0.0082825031
07/1966,-0.041063637,-0.012059646,-0.016928596,-0.010868529,-0.002413607,-0.007957966,-0.006853908,-0.013127428,-0.026475508,-0.009000019
08/1966,-0.121435279,-0.079280281,-0.033576806,-0.074109835,-0.077790721,-0.062400508,-0.060366679,-0.061231945,-0.06901377,-0.087691445
09/1966,-0.02242382,-0.026385341,-0.014434957,-0.0126511,-0.016599727,0.0025255678,-0.002638096,-0.001176822,-0.006976322,-0.006655595
10/1966,0.0356961221,0.0317166954,0.025725402,0.0154042735,0.0418717775,0.0666945738,0.056774805,0.0519346298,0.0126707228,0.0277436101
11/1966,0.1042998633,0.0942474495,0.0267422426,-0.015967852,0.0209522751,-0.008680237,-0.010558578,0.0099222327,0.0592889655,0.0277955353
12/1966,-0.031041187,0.0089714501,-0.011089701,0.0046267724,0.0063337609,0.0184046506,-0.021376063,0.0077130948,0.0186347366,0.0088613022
01/1967,0.0942711607,0.0830728049,0.1066244667,0.0978912323,0.0849643612,0.0657661436,0.0566951217,0.1211804143,0.1048539158,0.1246792443
02/1967,0.0238035609,0.0477809142,0.0092992079,-0.004143415,0.0285616651,0.0084039714,-0.000114087,-0.000454422,0.0225401167,-0.007587604
03/1967,0.0548368026,0.0605112151,0.053360139,0.042782639,0.0497037987,0.0345097596,0.0399933815,0.0552405357,0.0401682846,0.0577106182
04/1967,0.0649483124,0.0791507444,0.0597206296,0.0664304233,0.0246528858,0.0216138192,0.0381990247,0.0366426226,0.023183445,0.0465971944
05/1967,-0.053370663,-0.039353084,-0.046644268,-0.056272141,-0.03990213,-0.054540405,-0.039720509,-0.032803263,0.008977942,-0.012193876
06/1967,0.0358835833,0.0524556854,0.0327231395,0.0019249529,0.0045705964,0.02791007,0.0254606556,0.036875829,0.0403414021,0.0672659132
07/1967,0.0348126282,0.0476239947,0.054424403,0.0663834764,0.0646740754,0.0580405272,0.0275728791,0.0630270378,0.0752167092,0.0827333162
08/1967,-0.017696343,-0.005700444,0.001398422,0.0038436373,-0.008759679,-0.006870765,-0.01584771,0.0097916962,-0.000019876,-0.013537653
09/1967,0.0659336688,0.042367802,0.0409165784,0.0311549183,0.0518823258,0.0209588978,0.0366044966,0.0096820755,0.0254300228,0.0282781597
10/1967,0.0405448897,-0.002511647,-0.060654782,-0.037570062,-0.045402392,-0.024104877,-0.036730094,-0.02277362,-0.012821855,-0.035762027
11/1967,0.0237427641,-0.012516921,-0.00030729,0.0144002704,0.0087352743,-0.008200581,0.0028206009,-0.000574838,0.0016573986,0.0132807083
12/1967,0.0319628055,0.0197005111,0.0262445057,0.0265585142,0.0373580823,0.0353021025,0.018461612,0.032741432,0.0687848712,0.0431194337
01/1968,-0.071471328,-0.076878813,-0.042983404,-0.07081632,-0.047064815,-0.0651238,-0.004386416,-0.00893246,-0.040396043,0.0336921629
02/1968,-0.033087726,-0.04839129,-0.044876512,-0.028561765,-0.036562246,-0.033122482,-0.023204966,-0.021031089,-0.034054752,-0.040215742
03/1968,0.0307823171,0.0088303075,0.0013908778,0.0221943648,0.0097638509,0.0011971078,0.0028632573,0.0104175086,0.0082844241,-0.002554119
04/1968,0.1247787612,0.1027702625,0.12061489,0.1084725725,0.1171881259,0.0725357981,0.0508397143,0.1086732984,0.1087868722,0.1034858798
05/1968,0.0547805773,0.0286186499,-0.002112385,0.011415646,0.0414351618,0.0275364214,-0.002852508,0.0194329877,0.0437540741,0.0626175754
06/1968,-0.006245194,-0.019548303,0.0007953481,-0.004801847,-0.001354923,0.0269516161,0.0163229816,0.0093221587,0.0017935679,0.0129964137
