date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,-0.000358543,-0.013573796,0.0005147175,0.0070967201,0.0083449008,0.0061973541,-0.004114692,-0.011257596,-0.010240844,-0.011610527
08/1963,0.0482369592,0.0666326811,0.059459281,0.0560713786,0.0379674215,0.051448686,0.050210384,0.0595468034,0.0741098766,0.0806914894
09/1963,-0.002142264,-0.020773389,-0.00911644,-0.030944264,-0.018487965,-0.022260617,0.0177215787,-0.015566762,-0.008850208,-0.014608922
10/1963,0.0626581933,0.0369343814,0.0785139311,0.0219745532,0.0182818841,0.0227177826,0.0318071618,0.0178350569,0.0150659674,0.0148882007
11/1963,-0.00049146,0.0006175757,-0.02803849,-0.003450247,-0.015881774,0.000240259,0.0241120459,-0.00415174,-0.016278944,-0.006428682
12/1963,0.029349829,0.0160960605,0.0196757804,0.030670466,0.0311039115,0.0402364992,0.0091219304,0.0176909348,0.0184151095,0.0087358976
01/1964,0.0316271273,-0.00722908,0.0284238369,0.0290601749,0.0154897801,0.0475992009,0.0341374914,0.0046032829,0.0326960925,0.0288301779
02/1964,0.0412351422,0.0294023219,0.0142372258,0.0292102953,0.0071109742,0.0176891206,0.0021923588,0.0462733215,0.0217628826,0.0309180621
03/1964,0.0361885812,0.0240424279,0.0192848802,0.0077775672,0.0158726609,0.029081968,0.0016561856,0.0371154978,0.0492580124,0.0540926953
04/1964,-0.0179041,-0.002612164,0.0122975426,0.0136296201,0.0129075568,0.0043586967,0.0121319795,0.0034806126,-0.014316421,-0.010224689
05/1964,0.0455507255,0.0188250481,0.020948709,0.0137269132,0.0099855339,0.0126535468,0.0091434151,0.0131562105,0.0003574912,0.0216586234
06/1964,0.0030822253,0.0138217195,0.0069171267,0.0159660091,0.0138895393,0.0091632817,0.0409283691,0.0132144005,0.0238100681,0.0107459726
07/1964,-0.019147143,0.0309201709,0.024486705,0.0440552738,0.0210132774,0.0129064378,0.0016785993,0.0128270973,0.0178000415,0.0245709734
08/1964,-0.029151426,-0.005386791,-0.02172402,0.0036314964,-0.003716252,-0.015328686,-0.02031417,-0.021558486,-0.015078341,-0.017686115
09/1964,0.0326426328,0.0450357623,0.0299613013,0.0346666164,0.0554219703,0.0361488407,0.0051913543,0.0236935464,0.0387926334,0.0402139269
10/1964,-0.022747465,-0.00268329,0.0186587757,0.0313482703,-0.004286494,0.0177326639,0.0120457222,0.0051020035,0.0084785747,-0.009843256
11/1964,-0.017111576,0.013601386,0.0138875034,0.0043807849,0.0229933199,-0.010330116,-0.000645249,0.0098879862,0.013169187,-0.02709457
12/1964,0.0021579994,0.022227265,-0.006449545,0.0074865462,0.0066864344,-0.010337788,0.0195003251,-0.024247996,-0.008577274,-0.015369196
01/1965,0.082047471,0.0610580525,0.0599517546,0.031228241,0.0342621677,0.0482539896,0.0036502282,0.042289105,0.043553271,0.0317487758
02/1965,0.0408059769,0.0019194633,0.0022318555,-0.008490118,0.0142763022,0.0258626362,-0.011136682,0.0328147431,0.0293402325,0.0031547644
03/1965,-0.007184656,-0.022762018,-0.018432929,-0.008895846,-0.00730976,-0.019393981,-0.018649927,-0.001224432,0.0022223307,-0.010708612
04/1965,0.0663412655,0.0291070054,0.0374573566,0.0554267918,0.0573050353,0.0290811688,0.0179998582,0.0307588088,0.0398507982,0.014412358
05/1965,0.0063263843,0.0280691637,0.009645772,-0.019113892,-0.022460289,-0.001482511,0.0163201206,0.0035223465,-0.001520277,-0.021179391
06/1965,-0.060042066,-0.065866197,-0.052551671,-0.049202975,-0.050915479,-0.05921167,-0.027355782,-0.063910398,-0.076730126,-0.05015484
07/1965,0.0356683495,0.0208978491,0.002538697,0.0302039559,0.0141767311,0.0279427993,0.0009159468,0.0222723213,0.0169987479,0.0260956471
08/1965,0.0632963287,0.0365728998,0.0198809755,0.0616211795,0.0383714401,0.0201166993,0.0113497292,0.0286963824,0.012284719,0.0584432071
09/1965,0.0350282285,0.0569741063,0.0226417696,0.0389938321,0.0576922477,0.0374439523,0.0262418195,0.040555293,0.0132507873,0.0207078418
10/1965,0.04809788,0.0498041242,0.0168959734,0.0502999823,0.0334025918,0.0183772862,0.0098270664,0.0293308067,0.0399134889,0.0468513625
11/1965,0.0243881769,-0.020903216,0.0097928159,0.014756219,-3.917174E-7,0.011102338,-0.011523137,0.0145787785,-0.000450055,-0.013481978
