date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
08/1963,0.057746521,0.0732675887,0.0822033514,0.0623602272,0.0558361137,0.05916977,0.0674832687,0.0625058197,0.0621767306,0.0427952781
09/1963,-0.024727233,-0.005410917,-0.024778179,-0.027845735,-0.028114591,-0.016888175,-0.018001492,-0.017272274,-0.020084261,-0.004676497
10/1963,0.015091893,0.045719204,0.0298855618,0.0248908447,0.013305632,0.0183768505,0.03108032,0.0186469579,0.0007979078,0.043141197
11/1963,-0.022628866,0.0007596188,-0.013173461,-0.011449839,0.0049611127,-0.009445969,-0.011857476,-0.007477563,-0.028254902,0.0128128089
12/1963,0.0037281171,-0.010532821,0.0074913309,0.0136543093,0.0099971414,0.0198056378,0.0165075504,0.0132895869,0.0422560485,0.0218586378
01/1964,-0.013414472,0.002704252,0.0188572206,0.01677722,0.0339082829,0.0125086291,0.0235051877,0.0083482304,0.0386778036,0.0300984229
02/1964,0.0158695593,0.0246119902,0.0489143201,0.0349851927,0.025205052,0.0236007148,0.0320063923,0.0107119503,0.0160966682,0.0120246471
03/1964,0.0200219203,0.0076647605,0.0326008591,0.0370535466,0.0198516345,0.0263686245,0.0217636716,0.0237363752,0.0200272801,0.0070136543
04/1964,-0.001620486,-0.016367752,-0.013791365,-0.034034241,-0.006227992,-0.002599293,0.0087339071,-0.011237014,0.0067200976,0.0158797421
05/1964,0.0159062853,0.0567084176,0.0191277318,0.0068822077,0.0097172608,0.010461136,0.0118191933,0.006028418,0.0200104909,0.0181505957
06/1964,-0.016359986,0.0074856178,0.010462484,0.0225935522,0.0140568021,0.0206272182,0.0191745472,0.0126000464,0.0136151408,0.0181780851
07/1964,0.0122934047,-0.008465934,0.0319840948,0.0096581742,0.0096276903,0.0158682504,0.0304233733,0.0310865727,0.0320306948,0.016102341
08/1964,-0.014263681,-0.023445222,-0.020254513,-0.000824523,-0.01538612,-0.00197186,-0.001842812,-0.015311752,-0.009947,-0.012858443
09/1964,0.0526734766,0.0684313662,0.048222014,0.0615726922,0.0425533504,0.0312110081,0.0272844258,0.0184719621,0.0318883164,0.0244325615
10/1964,-0.004697059,-0.013395437,0.0079218686,0.0228599452,0.0093256261,0.0229283417,0.0128653891,0.0137707588,-0.000676674,0.0091797543
11/1964,-0.029932642,-0.029631953,-0.011831761,0.0226794643,0.0045077897,0.0103897728,-0.00193612,0.0040593914,0.0037767966,0.00376364
12/1964,-0.018884585,0.000264953,-0.00130537,-0.004297666,0.0093656001,-0.008764321,-0.003075909,-0.007394871,0.0064042203,0.0106772783
01/1965,0.097787189,0.052156752,0.0614283892,0.0252763722,0.0597764718,0.0516432549,0.0395842366,0.0538986134,0.0514822264,0.0203931993
02/1965,0.0411205939,0.0572416848,0.0291621185,0.0210584442,0.0296355225,0.0259068952,0.019984259,0.0307313044,-0.002749631,-0.008542267
03/1965,0.0077113062,0.0066705271,-0.008411967,-0.008784361,-0.012428465,-0.006348994,-0.004750207,-0.010794738,-0.002879859,-0.014295482
04/1965,0.0349523157,0.0289094177,0.0648086375,0.0493617557,0.0348014765,0.0413388602,0.0373592708,0.0141930637,0.0315084846,0.0355069107
05/1965,-0.024258996,-0.002106216,-0.021153007,-0.002317573,-0.009359973,0.0045592572,-0.005343775,0.0070689231,-0.009041471,-0.003688846
06/1965,-0.126403028,-0.08936607,-0.09543627,-0.075733299,-0.069986787,-0.06375551,-0.059528878,-0.043896512,-0.04456581,-0.039096664
07/1965,0.0328800413,0.0805473931,0.0208737393,0.0335032067,0.0278175152,0.0143515428,0.0156486302,0.0101200088,0.0146444258,0.0151763841
08/1965,0.0679689534,0.0761874118,0.0556280282,0.0696968825,0.0426698694,0.0436763973,0.0367992557,0.0412478088,0.0205261918,0.0175769371
09/1965,0.0368296981,0.049721909,0.0423907264,0.0315412713,0.0474627391,0.040599111,0.0292927879,0.028557953,0.0166693135,0.0324544003
10/1965,0.0800319783,0.0680174388,0.0686243698,0.0551478354,0.0597957408,0.0472603243,0.0240764335,0.0290553132,0.0195952745,0.0148811303
11/1965,0.1043078484,0.0353842779,0.0647868914,0.0482257902,0.030175902,0.02761624,0.0107681203,-0.008928608,0.0060978209,-0.020524235
12/1965,0.0446061976,0.0385834054,0.0464384621,0.044818437,0.0249114243,0.0293173318,0.0095139688,0.0262664038,0.0173387992,-0.005910201
01/1966,0.0604611599,0.0583423566,0.0467672528,0.0621378609,0.0453255145,0.0262662243,0.0205334883,0.012598449,0.0041225238,-0.011577889
02/1966,0.0683338302,0.0518766653,0.0326385138,0.0204342665,0.0159415114,0.0181680978,-0.014108706,-0.02437724,-0.013085224,-0.026948574
03/1966,-0.017426099,-0.033751948,-0.020229055,0.0074200932,0.0065706096,-0.026016405,-0.018105473,-0.012004529,-0.012106361,-0.034811006
04/1966,0.0608899796,0.0474976228,0.0526617769,0.0441040682,0.0468097718,0.0353454671,0.0197862845,0.0236015913,0.0144600555,0.0153092964
05/1966,-0.135974882,-0.104728295,-0.084434865,-0.080773084,-0.066247778,-0.065786874,-0.04121157,-0.031409024,-0.044421304,-0.041122529
06/1966,0.0248360358,0.0296770892,0.003876692,-0.003988587,-0.004501868,-0.01335639,-0.002600713,-0.01147516,-0.005493304,-0.022952265
07/1966,-0.031033051,-0.026915545,0.0026597867,-0.033338272,-0.023036161,-0.018652363,-0.02328185,-0.015876191,-0.008204192,-0.004325065
08/1966,-0.112680194,-0.107023254,-0.079367418,-0.091213243,-0.080168776,-0.081462872,-0.091172318,-0.082664364,-0.06981734,-0.058019776
09/1966,-0.030056403,-0.057820602,-0.037267434,-0.0153772,-0.02410809,0.0017607152,0.0208710612,-0.002428177,-0.013023605,0.0019665023
10/1966,-0.094024276,-0.040018762,-0.020931496,0.050870673,0.0523383157,0.0624114338,0.0344939444,0.0606839493,0.048305394,0.0622693041
11/1966,0.1350445619,0.1462646755,0.0747065417,0.0434509355,0.0221328584,0.0334409105,0.0026707638,0.0200643869,0.0003956509,-0.014173122
12/1966,0.0037492562,0.017621228,0.0248275173,0.0002265975,0.0056428827,0.0152965146,0.0156908399,0.0030850074,0.0074232014,-0.004862891
01/1967,0.2340755512,0.1534045626,0.1238670613,0.1158996606,0.0972177285,0.0986411733,0.0701205074,0.0711424344,0.0682132223,0.0710133979
02/1967,0.0603724227,0.0243824387,0.0121958404,0.0204125063,0.0209047544,0.0090654716,0.0197708232,0.0013177236,0.0055002657,0.0074245841
03/1967,0.0627427201,0.0377237134,0.075649833,0.0628127506,0.0678256212,0.0515089904,0.0296202182,0.0590801973,0.0398081004,0.0341703178
04/1967,0.0378335692,0.0622876452,0.0453067864,0.0571670144,0.0792630759,0.0386028342,0.0442595523,0.0236520969,0.0570126266,0.0327867735
05/1967,-0.025903791,-0.014416345,-0.018701788,-0.02867153,-0.03669169,-0.050440747,-0.045894645,-0.032359811,-0.052978736,-0.038476298
06/1967,0.1198307023,0.0789082078,0.0787857904,0.0621958413,0.0303394296,0.0430902977,0.0157332757,0.0125423117,0.0163874029,0.0140835555
07/1967,0.1017830041,0.0609468804,0.0727534549,0.072656668,0.062782756,0.0543228431,0.0458326585,0.0617592534,0.0597038729,0.025441626
08/1967,-0.018419824,-0.005764329,-0.024019505,-0.003732079,-0.011170153,0.0081805869,-0.01325924,0.0082140133,-0.006576814,-0.008885028
09/1967,0.0627785933,0.0510526528,0.0310674086,0.0336661441,0.026247631,0.0360490764,0.027951204,0.0223322157,0.0274404765,0.0456107908
10/1967,-0.027944459,-0.024608601,-0.002715009,0.0009348729,-0.045826148,-0.051703108,-0.052677852,-0.036384371,-0.039095494,0.0016454659
11/1967,0.0012064158,0.0161545462,0.0127609274,0.0134786151,0.0080131527,0.0134698543,0.0031517504,-0.011507106,0.0097693979,0.0093009874
12/1967,0.1214534202,0.0611729049,0.0706857929,0.0419609251,0.0228895429,0.0263260609,0.0348257291,0.0160520212,0.0373415339,0.021834824
01/1968,-0.026844811,-0.056154424,-0.051360845,-0.058239466,-0.062551025,-0.035348974,-0.055193172,-0.04731482,-0.038436672,-0.016842564
02/1968,-0.102779628,-0.074226093,-0.043166037,-0.074435244,-0.033953923,-0.036071662,-0.040273267,-0.034376789,-0.020118453,-0.017560351
03/1968,-0.02518876,0.027722298,0.0259032813,0.0173045144,0.0027246082,0.0156624288,-0.003737072,-0.004750525,-0.000447813,0.0113036343
04/1968,0.1776326687,0.1878314367,0.1236682016,0.1258775877,0.1162202038,0.0906643631,0.1048009161,0.093765981,0.087665605,0.0684911001
05/1968,0.0910960803,0.0834868459,0.0486321138,0.0434146051,0.0419042064,0.0366906924,0.0355678504,0.0273346503,0.0166615593,0.0065734447
06/1968,-0.02498221,-0.015669407,0.0112832094,-0.002688984,0.0026021581,0.0112628869,0.0118372332,0.0204488943,0.0243558804,0.0133930335
07/1968,-0.038734945,-0.059723688,-0.057468986,-0.066712126,-0.030302101,-0.029766208,-0.015855907,-0.027394373,-0.016311495,-0.006049906
08/1968,0.0343217772,0.02837614,0.020597384,0.0122035231,0.0279270426,0.0276156305,0.0288553207,0.0146766322,0.0176021624,0.0107195202
09/1968,0.1040783587,0.0836090008,0.0738291236,0.0749543773,0.0565042096,0.041989603,0.0431263897,0.0488355356,0.0317583683,0.0280311286
10/1968,-0.024402608,-0.022155374,0.0023699614,0.0004375229,0.0113768421,0.022899999,0.0297619356,0.0078124915,0.0055561238,0.0134288546
11/1968,0.0958762451,0.099859524,0.0877501607,0.066134835,0.0744669348,0.0788855132,0.0593036358,0.0704582241,0.0461463661,0.0414036008
12/1968,0.0065243539,-0.028122027,-0.021420867,-0.019784284,-0.03295097,-0.029481627,-0.03739407,-0.019735897,-0.034616598,-0.049504494
01/1969,-0.014410882,-0.030099577,-0.025067213,-0.00517707,-0.021506014,0.0098872566,-0.005622174,0.0071986053,-0.006488565,-0.008581738
02/1969,-0.113507481,-0.113198769,-0.094720945,-0.072723307,-0.074304038,-0.063152447,-0.063700741,-0.058168274,-0.046600391,-0.023747557
03/1969,0.0255047126,0.0242017082,0.0264069919,0.0141671757,0.0376066055,0.0158174792,0.0420743285,0.0465866569,0.0283114055,0.0334504573
04/1969,0.0171348633,0.0067210815,0.0251875549,0.0140788406,0.0175771807,0.0039835156,0.014334308,0.0198184277,0.0175434215,0.0280375496
05/1969,0.0138519092,-0.01255159,-0.020588672,0.0222227689,-0.004640171,-0.004451633,-0.002341682,0.0110613059,0.0150517591,0.0032603054
06/1969,-0.152400521,-0.132043095,-0.120318804,-0.099162967,-0.098592307,-0.072169474,-0.062136284,-0.079809864,-0.047682229,-0.03330071
07/1969,-0.120414447,-0.107729043,-0.102770925,-0.078711352,-0.070664987,-0.066698781,-0.072188896,-0.06844869,-0.041597126,-0.052592875
08/1969,0.0875765835,0.0698117835,0.0868170163,0.0683462937,0.0689495894,0.0671419562,0.0503728368,0.0383672754,0.0503522049,0.0369729008
09/1969,-0.04482674,-0.015684618,-0.007437476,-0.050952988,-0.037281372,-0.028679818,-0.003190269,-0.017172263,-0.017056712,-0.02565003
10/1969,0.0816497163,0.0770149855,0.082661473,0.091819249,0.0783996812,0.043835827,0.0628931557,0.041481494,0.0724232791,0.0391059352
11/1969,-0.073511447,-0.061441318,-0.039319027,-0.038276698,-0.046735081,-0.029517951,-0.021867308,-0.034439485,-0.030027097,-0.027050784
12/1969,-0.083018797,-0.05208823,-0.035659905,-0.029385929,-0.01991818,-0.021096472,-0.021589973,-0.026984071,-0.012593952,-0.006195393
01/1970,-0.09103869,-0.107212908,-0.107310322,-0.102785609,-0.101706521,-0.083992428,-0.081719066,-0.071235868,-0.059624989,-0.06291954
02/1970,0.0087772887,0.037019923,0.0824251915,0.0690031102,0.0566908389,0.0709323649,0.0598878631,0.066508097,0.0537079851,0.0557337289
03/1970,-0.054231246,-0.03946462,-0.040978373,-0.021802355,-0.003825418,-0.004663714,-0.007914975,0.0094922753,-0.015685783,0.0124512369
04/1970,-0.232857511,-0.169510026,-0.169037497,-0.125646881,-0.142050484,-0.130656867,-0.099659804,-0.079955248,-0.080150474,-0.083287356
05/1970,-0.136541257,-0.102276763,-0.096125527,-0.077718588,-0.060890584,-0.074381576,-0.059249027,-0.055018212,-0.060028692,-0.051842022
06/1970,-0.115074101,-0.121953799,-0.096834504,-0.075608068,-0.070127762,-0.045894211,-0.063666489,-0.035127582,-0.036060654,-0.042799364
07/1970,0.044029695,0.0738383893,0.0782125055,0.0748689812,0.082261761,0.1043972684,0.0812376845,0.0635901768,0.0706791927,0.0739883515
08/1970,0.0851381974,0.1047191327,0.0964613635,0.0763103281,0.070697693,0.0551186649,0.0380693797,0.0412735146,0.0325882573,0.0466055802
09/1970,0.2019405288,0.1621685858,0.1039400734,0.0925109194,0.0757359547,0.068855699,0.040322849,0.0428639082,0.0305929967,0.0204461909
10/1970,-0.111282591,-0.09176314,-0.083672696,-0.053503532,-0.027256427,-0.029351773,-0.022282982,0.0085299905,-0.002895836,-0.006800895
11/1970,-0.021373082,0.0044625482,0.042305919,0.0260377791,0.0539544783,0.0544724859,0.0469655881,0.0390061812,0.0560031206,0.0618289035
12/1970,0.0363891062,0.0793714658,0.1039252927,0.0808813779,0.0710991649,0.068120464,0.0761761636,0.0642302978,0.0574611161,0.0531653288
01/1971,0.1548571669,0.1333804068,0.1085172267,0.1094442072,0.0939155045,0.0507788423,0.0533018516,0.0569021415,0.0541899888,0.0290406021
02/1971,0.0410626763,0.0309223055,0.0316555555,0.0264861631,0.0425062451,0.0217067167,0.0186456929,0.0204694472,0.012136491,0.0104224296
03/1971,0.0567236912,0.0627413964,0.072459476,0.0485991222,0.0609754344,0.0559542352,0.0375382116,0.0314207589,0.0429369242,0.041449629
04/1971,0.034274674,0.0349144663,0.0562039246,0.0453858874,0.0569919284,0.0413082344,0.0417389304,0.0277650313,0.0435642812,0.0247907708
05/1971,-0.069188843,-0.048288288,-0.052790242,-0.043343129,-0.013319428,-0.031525425,-0.030753149,-0.025052034,-0.0311263,-0.042357556
06/1971,-0.037761936,-0.032287446,-0.022142261,-0.015906201,-0.000551521,0.0130217735,0.0135110593,0.0027910616,0.0208869989,0.0038450401
07/1971,-0.096849475,-0.094076849,-0.069450185,-0.049681176,-0.046813759,-0.04263078,-0.035354647,-0.032985506,-0.037647539,-0.031683022
08/1971,0.0372679313,0.0873435535,0.05993625,0.0727009567,0.0611000099,0.0405659962,0.0276789276,0.0356179221,0.0412390243,0.0384877053
09/1971,-0.023550254,0.0002930153,-0.008569239,-0.012641043,-0.001953923,-0.007043639,-0.004288247,-0.016036625,-0.015514421,0.0063293784
10/1971,-0.095231031,-0.0679746,-0.06665691,-0.070248849,-0.063425062,-0.057142368,-0.042210898,-0.035795288,-0.042184764,-0.018269342
