date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,-0.005432383,0.0108300517,-0.002371794,0.0174867449,0.0042524224,0.0010290695,0.0006359659,-0.006500952,-0.026311538,-0.007641135
08/1963,0.0571401428,0.0572667423,0.0456393497,0.0435666281,0.0448941591,0.0537558035,0.0589740485,0.0648601913,0.0611650671,0.0650094387
09/1963,-0.005715981,-0.021774764,-0.000217818,-0.010469362,-0.016242385,-0.031077914,-0.024001714,-0.012770403,0.0009945717,-0.050383387
10/1963,0.0403548391,0.0605574057,0.0298955714,0.0123436901,0.0085556668,-0.001526502,-0.000219819,0.0220904276,0.0192696087,0.0565486796
11/1963,0.0016056803,-0.034673913,0.0202372314,-0.017154623,-0.00960241,-0.001019182,-0.006217506,-0.00507077,-0.022843585,-0.000091701
12/1963,0.0267999542,0.0210549862,0.0254870558,0.0266019654,0.0100800153,0.0316056213,0.0202783398,0.0194373778,-0.006777901,0.0123473076
01/1964,0.0330141003,0.0219129445,0.0371774122,0.030036431,0.0118674584,0.0088609617,0.0231602557,0.0134593761,0.0071522035,0.0449047333
02/1964,0.0197484972,0.0149733216,0.0086736294,0.0166977166,0.0224482648,0.0174575767,0.0083795352,0.0143213435,0.0614625915,0.0598676007
03/1964,0.014689772,0.0130778269,0.0069024966,0.0258247107,0.0257254005,0.0205244161,0.0331328306,0.0414477723,0.0151638368,0.0498813771
04/1964,-0.017256481,0.034708522,0.0111819808,0.0068406207,0.0035610886,0.0101316456,-0.012812158,-0.004924079,0.0093086467,-0.010841092
05/1964,0.0232055233,0.0180798884,0.0053204269,0.006157477,0.006268934,0.0151193411,0.0173699593,0.0409026539,0.0005700896,0.0284144207
06/1964,0.0060348801,0.0136650472,0.0346703728,0.0132029801,0.0146298228,0.0174005938,0.0100864881,0.0243183013,0.0172044916,0.014767414
07/1964,0.0063915512,0.0446861015,0.0035114088,0.0375955654,0.0431002388,0.0304587954,0.0164634282,0.0124642623,0.0138764805,0.0098502952
08/1964,-0.021177526,-0.00343134,-0.015967184,-0.009037433,-0.00050089,-0.004997761,-0.007072788,0.0069548404,-0.013554549,-0.025389199
09/1964,0.0315024795,0.0342616585,0.0121505762,0.0334887687,0.0264356944,0.0430375981,0.0364067672,0.0428166498,0.0602957491,0.0343430519
10/1964,-0.006671185,0.0184569729,0.0119327691,-0.003818564,0.0237129714,0.0077173589,0.0172004952,-0.014986083,0.0300070162,0.0160192327
