date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,0.0133005295,-0.000751972,-0.002734852,0.0090093376,-0.004622427,-0.016568071,0.0060242487,-0.007531814,0.0034573261,-0.003565712
08/1963,0.0411347734,0.0555427328,0.0471223348,0.0393534556,0.0646833667,0.0522702208,0.063199715,0.0553841306,0.0655872755,0.0681986136
09/1963,-0.027698592,-0.016384271,-0.019607883,-0.009466397,-0.011661456,-0.005703713,-0.008338353,-0.015359275,-0.001837576,-0.019803764
10/1963,-0.001550292,0.0044335594,-0.001979427,0.0208538618,0.0223708683,0.0270679822,0.1116763424,0.0455413921,0.0501388104,0.0130399943
11/1963,-0.003478193,-0.004772722,-0.012221229,0.0204495143,-0.02261314,0.0128902439,-0.04453854,-0.008185521,-0.00570716,-0.014899595
12/1963,0.0228703392,0.0244656262,0.0169998461,0.0307151211,0.0236452838,0.0309231687,0.0044003808,0.0353575865,0.0222762925,0.0063227949
01/1964,0.0185770832,0.021375297,0.0319821441,0.043323759,0.014674662,0.0222412888,0.0245357601,0.0039793857,0.0415248884,0.0093422832
02/1964,0.0108504865,0.0124107408,0.0172049629,0.0053151875,0.0410603906,0.0330680365,0.0173543497,0.0104545845,0.0234250848,0.0170394032
03/1964,0.001269454,0.0214050834,0.0263161827,0.0026159176,0.0396490069,0.0309727397,0.0261062868,0.0201855212,0.0251216972,-0.0020503
04/1964,0.0077916606,-0.010358849,0.0220061162,0.0265890131,-0.007124584,-0.001930356,0.0194307125,-0.02199555,-0.009872972,-0.002245013
05/1964,0.0095219539,0.0079442043,0.0089905484,0.0086035803,0.021013662,0.0119331283,0.0220951532,0.0049973849,0.0337231971,0.0199344145
06/1964,0.0259697012,0.025217546,0.0175836971,0.0290730852,0.0112905928,-0.002266424,0.0143095819,0.0059533843,0.0129571137,0.0243600506
07/1964,0.0269413318,0.0513858895,0.0272058663,0.0082102919,0.0150077756,0.0115809535,0.0252416458,0.0409467036,-0.001717448,0.0236177164
08/1964,-0.00761739,0.004508082,-0.008804331,-0.020332078,-0.006911483,-0.008841103,-0.003624272,0.0006040431,-0.025910974,-0.015139959
09/1964,0.0443223327,0.0174727437,0.0311110554,0.0128685499,0.0433109001,0.0691530233,0.033785761,0.0433534939,0.026117069,0.012152673
10/1964,0.002379673,0.0183791062,0.0059290398,0.0168053245,0.0354416069,0.0026671293,-0.010114045,0.0016161201,-0.0069868,0.0143864047
