date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,-0.017962401,-0.007701976,0.001609148,-0.00548553,-0.004364351,-0.000310065,-0.01315567,0.0110386388,0.002625533,0.0047024576
08/1963,0.053186112,0.0625557584,0.0515266345,0.053217089,0.0500124241,0.0472776367,0.0685932258,0.0424803276,0.0613722912,0.0522315035
09/1963,-0.03434796,-0.015548001,-0.015671605,-0.016739651,-0.02214058,0.0034725934,0.005684327,-0.03456,-0.007188787,-0.012717062
10/1963,0.0254377736,0.0142667398,0.0014358851,0.0168748234,0.0306276792,0.0275903001,0.0212918674,0.0185691071,0.0287999898,0.0591107902
11/1963,-0.015299273,0.011929009,-0.01686209,-0.015468008,-0.00962926,0.0259691372,-0.006340976,-0.005198006,-0.008282671,-0.019438059
12/1963,0.0162272912,0.0226346461,0.0117149251,0.0192213403,0.021719123,0.0134895238,0.0220814558,0.0459727157,0.0282488762,0.0195098227
01/1964,0.0041953803,0.0275919021,0.0182200945,0.0104179714,0.0162306378,0.0264599013,0.0025989387,0.0468526004,0.0279433552,0.0326596145
02/1964,0.0613187109,0.0128838473,0.0181037939,0.020898234,0.0090662963,0.0038057961,0.0310710021,0.0176465857,0.0085710049,0.0265339431
03/1964,0.0389046955,0.0449186347,0.026735164,0.009933785,0.0220737716,-0.003209113,0.0251202247,0.0285144068,0.0228823333,0.0119542705
04/1964,-0.012473937,-0.029226167,-0.005269599,0.003249396,-0.010155887,0.0190499207,0.0032337584,0.0082966511,0.0088307376,0.0088281407
05/1964,0.0109379151,0.0200372487,0.0160395279,0.0080315177,0.0017105092,0.0070578691,0.0153187069,0.0186822098,0.0141859396,0.0220048953
06/1964,0.0111929265,0.0285493019,0.0193774886,0.0174614319,0.0355418543,0.0395469461,0.0210663643,0.0069567646,0.0165656661,0.0026175822
07/1964,-0.003849589,0.0280928835,0.0141880622,0.0450328739,-0.00121869,0.0244686847,0.0293074072,0.0185460014,0.0171689478,0.0277918209
08/1964,-0.025207811,-0.006399935,-0.006650608,-0.000924114,-0.011157289,-0.01807325,0.0013353074,-0.00160248,-0.025455302,-0.010457737
09/1964,0.0277400709,0.0449475186,0.0390283888,0.0303788135,-0.002763026,0.0403144922,0.0453467585,0.0464124133,0.036002382,0.0263815295
10/1964,0.0227560465,0.0155421936,0.0155173798,-0.004358079,-0.001863455,0.0124203411,0.0123505321,0.0120797763,0.0134252536,0.0048535301
