date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
08/1971,,,,,,,,,,-0.03125
09/1971,,,,,-0.012048192,,,,,-0.043988269
10/1971,-0.149544721,-0.064591858,-0.033572336,-0.041252544,-0.016892376,-0.010493657,-0.048570967,-0.08307405,-0.003612125,-0.050196908
11/1971,-0.030957705,-0.040432659,-0.015074195,0.0034370813,-0.009194064,-0.008044877,-0.004184337,0.0157999532,0.0153514817,0.0128131428
12/1971,0.1557730763,0.1263327072,0.0783893041,0.0880349386,0.0679323568,0.0936314859,0.0782120748,0.0970343186,0.0962669624,0.0920790162
01/1972,0.0800996721,0.0590482549,0.0478724956,0.0129570804,0.0167476405,0.004433881,0.0106081466,0.0567192781,0.0163704988,0.0390316539
02/1972,0.0478695699,0.0581069937,0.0250583404,0.0064037404,0.015238795,0.0239583835,0.0537956457,0.0266031949,0.0589297887,0.0558316118
03/1972,-0.025042984,0.0059023093,-0.023360431,0.0190579629,-0.009329568,-0.020101226,0.0130730235,0.0373696397,0.0045217054,0.0038212882
04/1972,0.0163759774,0.0162587283,0.0140239367,0.0058581084,0.0120377559,-0.003664168,0.0270588517,0.0000591804,0.0130325687,0.0045991692
05/1972,-0.003423894,0.0018422061,-0.024269357,0.0012477358,0.0068356657,0.0158755004,0.0106591362,0.0241731736,0.0121659995,0.0497798256
06/1972,-0.091972302,-0.0269039,-0.031203852,-0.017374063,-0.037599609,-0.055037852,-0.039688517,-0.034438542,-0.00165325,-0.004992684
07/1972,-0.073345589,-0.01771485,-0.029785306,-0.006776094,-0.035595234,-0.026980766,-0.007743038,0.0002408153,-0.004220112,0.0211864597
08/1972,0.0462981868,0.0874699986,0.0665044783,0.0349915227,0.0147123358,0.0093753176,0.03896495,0.0199820172,0.0378788556,0.0126192613
09/1972,-0.04642115,-0.047556082,0.0194369294,-0.008943414,-0.019668076,-0.012431838,0.0015317537,-0.00967964,-0.008724542,-0.005244163
10/1972,0.0057142595,0.0048525516,-0.001564306,0.0263099806,0.005638699,0.0104837403,0.0025741275,-0.006838733,0.0153141468,-0.015279175
11/1972,0.0875197367,0.1005311808,0.0789742521,0.0691202107,0.0689766263,0.0638780864,0.040880883,0.0185002842,0.0190430276,0.0446505226
12/1972,-0.033052356,-0.010787498,0.0026133717,0.0065578024,0.0025885281,0.0113084606,0.018434524,0.0258665819,0.0372056466,0.0027997432
01/1973,-0.071871602,-0.034018776,-0.036603804,-0.003053814,0.0026325415,-0.038366918,-0.029230403,-0.001448865,-0.048172373,-0.036072395
02/1973,-0.077104332,-0.046102057,-0.055982173,-0.048921984,-0.048479144,-0.043705791,-0.014285053,-0.025020489,-0.051622836,-0.054753244
03/1973,0.0218177412,0.0182202792,0.0063987695,0.0373671492,-0.008206749,0.0067102377,-0.001304766,-0.007318231,-0.016539067,-0.031622228
04/1973,-0.074951577,-0.021857042,-0.013890493,-0.051772488,-0.026861951,-0.029371861,-0.050938416,-0.057707187,-0.075192644,-0.074160163
05/1973,-0.102215034,-0.040127123,-0.006296784,-0.055514604,-0.027993179,-0.011264335,-0.013929489,-0.028055402,-0.038891214,-0.002285274
06/1973,-0.052184685,-0.014700169,-0.036052668,-0.022637005,-0.033390045,-0.014483475,0.0005486065,-0.020678429,-0.003159198,0.0015561177
07/1973,0.0912068472,0.0429286496,0.1245896612,0.1071411228,0.0577604498,0.0819087027,0.0678913713,0.0374142874,0.0527131345,0.0400324563
08/1973,-0.025535911,-0.026747694,-0.032164012,-0.042026593,-0.027841063,-0.066381663,-0.043302935,-0.026018289,-0.039255999,-0.02244351
09/1973,0.1091670465,0.0795595771,0.0918167791,0.0806960911,0.0635035882,0.0752971036,-0.034470314,0.065223271,0.0377721494,0.0709534849
10/1973,-0.000629511,0.0052795999,-0.007225329,0.0030201277,0.0015611675,0.004286616,0.0408713938,0.0011547582,-0.025915599,-0.001924562
11/1973,-0.151278155,-0.133621732,-0.161932096,-0.067908209,-0.134334891,-0.143852026,-0.121118405,-0.099616252,-0.12124823,-0.181465935
12/1973,-0.010610053,0.0437563633,-0.013338428,0.0453456686,0.0508079491,0.0282991681,0.0357148958,-0.016594795,-0.002522864,-0.013019567
01/1974,0.0817928595,0.0285809147,0.0581434812,-0.021610551,0.0045388489,0.0234016925,-0.032772986,-0.004286589,-0.02323747,0.0129958309
02/1974,0.0329860868,0.017058403,0.0429721594,0.014206766,0.0186244676,-0.000849387,-0.008367193,-0.015225873,-0.023982763,0.0077794356
03/1974,-0.043906372,-0.022881527,-0.040156598,-0.02513061,-0.037406208,-0.002111678,-0.015840811,-0.012926604,-0.01513646,0.009716937
04/1974,-0.07775046,-0.042496637,-0.055743534,-0.066588758,-0.046459188,-0.01942042,-0.032174155,-0.039815256,-0.030432633,-0.057159375
05/1974,-0.042865299,-0.098528591,-0.033671974,-0.062415297,-0.019759302,-0.025394049,-0.004434381,-0.029270148,-0.070281161,-0.030425613
06/1974,-0.048521694,-0.014372899,-0.038188844,-0.011445644,-0.041991779,-0.033336888,-0.012717163,-0.017010184,-0.0230956,-0.009884553
07/1974,-0.050841394,-0.066491731,-0.043848785,-0.0821217,-0.101729941,-0.088900533,-0.078435444,-0.074409458,-0.076341002,-0.074780439
08/1974,-0.070327571,-0.073670378,-0.035971371,-0.096640286,-0.079525853,-0.070096639,-0.122756599,-0.095868434,-0.115188424,-0.082677201
09/1974,-0.077420658,-0.062661379,-0.066875353,-0.07905155,-0.097139468,-0.127378408,-0.146212478,-0.137860033,-0.08077163,-0.126452587
10/1974,0.0592933615,0.1166241875,0.0826480273,0.1357165694,0.1602283884,0.1706828432,0.1957523328,0.1978920564,0.234039451,0.1951125348
11/1974,-0.062528746,-0.008987813,-0.033239246,-0.035150037,-0.038404033,-0.028006329,-0.043655352,-0.060955686,-0.028650614,-0.022744158
12/1974,-0.019656078,-0.003193423,-0.026852301,-0.007521866,-0.019702998,-0.034186457,-0.016845266,-0.027360613,-0.044218271,-0.050909915
01/1975,0.2666129662,0.1870536852,0.2075315022,0.1276881598,0.1586838833,0.1584040247,0.1280107584,0.0832573962,0.0752937625,0.2078556166
02/1975,0.0428112394,0.0458936149,0.0368262313,0.0395278981,0.0334654826,0.0463286579,0.0931530463,0.1021529537,0.0573985142,0.0150762701
03/1975,0.0784930423,0.0395895566,0.0266046607,-0.002648041,0.006374491,0.0175140216,0.0093337394,0.0387446734,0.0648565942,0.0300205157
04/1975,0.0291740984,0.0401607265,0.0420786772,0.0059484131,0.038138178,0.0395033571,0.0472851313,0.0657944906,0.065342408,0.0807098902
05/1975,0.0452079747,0.059275291,0.067193124,0.0427960884,0.0456229271,0.0639677414,0.0403936703,0.0419738146,0.0924193107,0.0471366843
06/1975,0.0788532362,0.0798500583,0.0632086485,0.0685447685,0.0691746552,0.073270988,0.0656911993,0.0425379324,0.0516451943,0.0219155002
07/1975,-0.018526003,-0.063378108,-0.044406241,-0.060851562,-0.029869604,-0.06693912,-0.066109298,-0.057824231,-0.069363268,-0.082100352
08/1975,-0.064861678,-0.019005314,-0.017025431,-0.043043058,-0.005764705,-0.01522717,-0.030093229,-0.013925601,-0.018822001,-0.018415367
09/1975,-0.035882735,-0.041057624,-0.030933585,-0.037206892,-0.035905323,-0.061651674,-0.045051568,-0.022882642,-0.036473752,-0.03406197
10/1975,0.0155924279,0.0499588618,0.0703811525,0.0860532446,0.0405160338,0.0652649507,0.0616035449,0.0647293684,0.0545806039,0.0707338972
11/1975,0.0167577988,0.0466585848,0.0353306755,0.0299414577,0.0354300913,0.0552011127,0.0326396606,0.0236629648,0.0045418093,0.0516294046
12/1975,0.0106770812,-0.004271817,0.0002280401,-0.017465908,-0.02251646,0.0036087757,-0.014843652,-0.000294467,-0.013882896,-0.021983262
01/1976,0.1785633327,0.168566038,0.1159356432,0.1040253167,0.1315346249,0.142584709,0.1355615434,0.1506282989,0.1090089749,0.1131360574
02/1976,0.052556286,0.0262898111,-0.014593029,-0.000624759,-0.005162576,0.0337901923,0.0114955846,0.002988063,-0.000443865,0.0038659418
03/1976,-0.005894481,0.0116293252,0.0178653885,0.0266757529,0.0055748914,0.0369137468,0.0336974627,0.0456060886,0.0231048222,0.0250769813
04/1976,-0.016130992,-0.00221555,-0.023410395,-0.01701136,-0.011936021,-0.015286296,0.0026017711,0.0077867579,-0.015736284,-0.025994781
05/1976,-0.014662408,-0.023206973,-0.022725095,-0.017600406,-0.020959295,-0.014442333,-0.011269782,-0.008850792,0.0134781768,-0.002835371
06/1976,0.0466468894,0.0374120262,0.0432221749,0.0486790159,0.060054239,0.0572758119,0.0342919988,0.040892254,0.0658600475,0.0348105695
07/1976,0.0164000006,0.0094887798,-0.015034056,-0.026017048,-0.000163651,-0.004584554,-0.004211574,0.0036919642,-0.01522349,-0.018480179
08/1976,0.0238508691,0.024186484,0.0250257734,-0.0079982,-0.001915447,0.0043247978,-0.015180909,-0.009110454,0.0023827417,-0.009873532
09/1976,0.0282769431,0.0366227592,0.0137102102,0.0151170792,0.0274255194,0.0330971532,0.0136654624,0.0226947769,0.0240018817,0.039164758
10/1976,-0.009809846,-0.021911347,-0.028209213,-0.006720499,-0.021327129,-0.020881763,-0.023595104,-0.018095945,-0.029080659,-0.023563641
11/1976,0.0350421548,0.0236247533,0.0433189807,0.0282430642,0.0140957973,0.0218207618,0.0040644468,-0.015146337,0.0053600611,-0.026056268
12/1976,0.0662794962,0.0638256562,0.0756682586,0.0696854528,0.0579582939,0.0868190005,0.0651507214,0.0428002421,0.0457669595,0.0563444075
01/1977,-0.005224521,-0.006199143,-0.014129182,-0.020411914,-0.038603556,-0.020755677,-0.033328998,-0.073670745,-0.039879027,-0.067959088
02/1977,-0.044011024,-0.025631219,-0.015100759,-0.007342566,-0.003613325,-0.011467368,-0.020811779,-0.02289715,-0.012643304,-0.022283295
03/1977,-0.004683576,0.0127952837,-0.002935026,-0.01138885,-0.013889776,-0.015848233,-0.003539611,-0.009392833,-0.020083036,-0.011277533
