date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,-0.01855602,-0.026001587,-0.00032005,-0.005092567,0.0192692173,0.0109832201,0.0008344951,-0.012768496,0.001937866,0.0033769348
08/1963,0.0748862497,0.0814382342,0.06007439,0.0509249073,0.0411749059,0.043956623,0.0515921563,0.050091829,0.0525982452,0.0572638646
09/1963,-0.048762603,0.0037979695,0.0036686093,0.0114470426,-0.009602964,-0.031149083,-0.01064274,-0.025673365,-0.030603305,-0.006997178
10/1963,0.029240278,0.019337518,0.0144136946,0.0280876321,0.019902033,0.0196864174,0.0130893063,0.0029307859,0.0141792824,0.077590029
11/1963,0.0199494708,-0.013613894,-0.00420038,0.0216619287,-0.014305768,-0.003633838,-0.012905443,-0.002273157,-0.00424586,-0.021233541
12/1963,0.0166613732,0.0021576234,0.0362538329,0.0118125406,0.0253202412,0.0469111256,0.0190368551,-0.001218695,0.0416064299,0.0149371793
01/1964,0.0331091175,0.0315094907,0.016800454,0.0247725854,0.0252216396,0.0346248151,0.0359633417,0.0118599543,0.0134502398,0.0335438425
02/1964,0.0620040957,0.035447192,0.0097327669,0.0085515635,0.0319022915,0.0102435495,0.0077708787,0.02596383,0.0092155551,0.0277533041
03/1964,0.0441665693,0.066930412,0.0416674351,0.0003058202,0.0338128554,0.0131033431,0.0142731736,0.0074063291,0.0186812861,0.0135561323
04/1964,-0.020731483,-0.045075287,0.0088873305,0.018487631,-0.003288733,0.0164254371,0.015976657,0.0050475388,-0.007663759,0.0063327615
05/1964,0.037930902,0.0186238666,0.0196850075,0.0034821428,0.0206961381,0.0174843958,0.0100574662,0.0076486918,-0.001182809,0.0311870405
06/1964,0.0309975925,0.0197084213,0.0077743924,0.0430299529,0.0106427338,0.0169114292,0.0241485136,0.0102428394,0.0179908657,0.0001165954
07/1964,-0.002515213,0.0276381461,0.0129788406,-0.006566477,0.0310624125,0.0272480272,0.024992304,0.022468056,0.0313767399,0.0256407004
08/1964,-0.025663434,-0.008215287,-0.004057681,-0.013500188,-0.001445481,-0.020947961,-0.002107755,-0.021188521,-0.007951022,-0.010618258
09/1964,0.0349284209,0.055129333,0.0445837258,0.0047961026,0.0414442762,0.0307915956,0.0236560989,0.0400249559,0.0366655145,0.028583787
10/1964,0.0413113334,0.0097438843,0.007927025,0.0031714218,0.0040800106,0.0200186083,0.0139863373,0.0157165558,0.0126226254,-0.005827678
11/1964,-0.029644003,-0.022514509,-0.010203477,-0.016424604,0.0140929522,0.007056196,0.0310095996,0.0018227633,0.0264465882,-0.003408587
12/1964,-0.014406853,-0.011992543,-0.031644545,0.0206210196,0.0044835249,0.0007290795,0.0076478762,0.0077794498,0.0007038161,0.0132299855
01/1965,0.0739992822,0.072260432,0.0380013997,0.0100196392,0.0397527478,0.0168614571,0.0318807143,0.0340254454,0.0370921465,0.0600768211
02/1965,0.0336820884,0.0460013266,0.0062482492,0.0046121144,0.0166989915,-0.012729811,0.0176456619,0.0090594939,-0.002354167,0.0065501125
03/1965,-0.014736179,0.0032917932,-0.006015592,-0.01278982,-0.004569382,-0.016173408,-0.018603446,-0.008758058,-0.01606464,-0.008440835
04/1965,0.0377905806,0.0574570463,0.0314480879,0.0267695926,0.0257929566,0.011069467,0.0412617633,0.0361466914,0.0401931141,0.0509100679
05/1965,-0.012407131,0.0062695674,-0.002979324,0.0201582382,-0.007421097,-0.003016946,-0.002954946,-0.013443817,-0.004873054,-0.009261944
06/1965,-0.085090673,-0.084779825,-0.044760106,-0.042280698,-0.051363502,-0.034371038,-0.043455327,-0.056618511,-0.036521102,-0.056481677
07/1965,0.0633482367,0.0331343453,0.0092029071,0.0199706648,0.0001889963,0.005868393,0.0116401797,0.0174831264,0.0242811413,0.0232578771
08/1965,0.04890302,0.0133548859,0.0217448136,0.027277792,0.0307512774,0.0104228085,0.0404780389,0.0249980131,0.0438848767,0.04437567
09/1965,0.0694617881,0.0186871983,0.0159001109,0.0245401834,0.0275227234,0.0416843054,0.0179892154,0.0427207974,0.024580829,0.0430197007
10/1965,0.0652965035,0.0488325385,0.0027542808,0.0348360842,0.0220446502,0.0086590065,0.0241265478,0.024758488,0.0518938241,0.0465636283
11/1965,0.0510680855,0.0049930277,-0.025476645,-0.000927912,0.0010756703,0.0010261197,0.0062726905,0.0094793529,0.041517669,-0.005398204
12/1965,0.0323036403,0.0448931462,0.0010043731,0.0230610335,0.0021643482,0.0167133913,0.0139301498,-0.001447381,0.0074019732,0.0093074592
01/1966,0.0793902653,0.0304593895,0.0096669108,0.0086280787,-0.007338168,-0.021986869,0.0000615166,0.0175665526,0.0368135389,0.0087547136
02/1966,0.0168240859,0.0060336686,-0.000753441,-0.002148443,-0.034164656,-0.029174923,-0.015986201,-0.018908808,0.0111773755,-0.006249631
03/1966,-0.038810017,-0.027511418,-0.036664701,-0.02287723,-0.006536981,-0.022358762,-0.018780702,-0.022706332,-0.014892877,-0.010546445
04/1966,0.0389700353,0.0341590418,0.0093910128,0.0159370893,0.0434926316,0.0275275363,0.0234880838,0.0250446593,0.0253791913,0.0191580661
05/1966,-0.106493131,-0.077877942,-0.039456218,-0.053830366,-0.057903099,-0.045198693,-0.04711546,-0.052241726,-0.066901702,-0.040228427
06/1966,0.0086669045,0.0283886946,-0.003964779,-0.006620435,0.0048561151,-0.026136808,-0.005104599,-0.019635911,-0.017056105,-0.016501038
07/1966,-0.020099746,-0.016809987,-0.0045591,-0.009728014,-0.003029465,-0.022455263,-0.014644954,-0.018967959,-0.00828414,-0.012778204
08/1966,-0.090872385,-0.077324182,-0.055958721,-0.071042403,-0.0748319,-0.062722953,-0.062580239,-0.09272479,-0.065730296,-0.083648191
09/1966,-0.009931624,0.0003239287,-0.008209928,0.0324904959,-0.011427411,-0.004189218,-0.008924063,0.0035337008,-0.019512829,-0.01783097
10/1966,-0.034221545,0.0673847186,0.0790699622,0.0615940903,0.0742795249,0.0369394253,0.0335563747,0.0731718067,0.0230814816,0.0090035411
11/1966,0.036306784,-0.000749244,-0.014201308,0.0171055624,-0.030598556,0.012848766,0.0074020097,0.0080654236,0.0959449543,0.0330476567
12/1966,0.0179773185,-0.005619549,0.0169313094,0.0071868243,0.0151047522,0.0002630651,0.0164886841,-0.020634904,0.0025464919,-0.000132759
01/1967,0.1620042323,0.1303298753,0.0627128056,0.0745638827,0.0427271204,0.0720023118,0.0908223291,0.0736272529,0.0884981818,0.0953914242
02/1967,0.0242453295,-0.021187125,0.0083454396,0.006354644,-0.011501767,0.00147215,0.0022701088,0.0011675373,0.0439428605,0.0219375979
03/1967,0.0353712926,0.0397444112,0.0438350673,0.0300165748,0.0472876806,0.033075048,0.0426428837,0.0320713348,0.0584128977,0.0507506048
04/1967,0.0245005755,0.0442084076,0.0039376642,0.0507412044,0.0162692023,0.046087266,0.0353749639,0.0474486769,0.0621864104,0.0716362537
05/1967,-0.01574176,-0.029162903,-0.044230518,-0.046911566,-0.030691344,-0.040242077,-0.027886768,-0.051175425,-0.04084818,-0.055139881
06/1967,0.0711319554,0.0298763767,0.0305366735,0.0218976972,0.0167552076,0.004790135,0.0167563735,0.0066265655,0.0372922428,0.0188405502
07/1967,0.0988735064,-0.007657195,0.0640019272,0.0562705843,0.0300385351,0.0628279631,0.0793828477,0.0408057131,0.0698469844,0.0298458851
08/1967,0.0185984766,-0.010873499,-0.00351184,-0.007607742,-0.010630814,-0.004689707,-0.003728636,-0.013209227,-0.003990217,-0.009898546
09/1967,0.0471668274,0.0157010341,0.0246848203,0.0354874268,0.0185432018,0.0250521943,0.0104280622,0.0747902944,0.0537833596,0.0245803271
10/1967,-0.013691923,-0.033867157,-0.047135137,-0.02106001,-0.054829034,-0.061754227,-0.034853486,0.0206523715,-0.040002754,0.0010797533
11/1967,0.0130980579,-0.001415388,-0.010410078,0.0143779605,0.0280405456,0.0143341988,-0.002081967,0.0112159693,-0.011120295,0.021248386
12/1967,0.0479888507,0.0206661796,0.0479311515,0.0245821196,0.0389858066,0.0301617203,0.0202517117,0.0326596992,0.0229091817,0.0382029382
01/1968,-0.015750852,0.0053793942,-0.02825443,-0.025148809,-0.027347636,-0.033241183,-0.035388646,-0.048691105,-0.047815809,-0.092089805
02/1968,-0.057075238,-0.027383041,-0.034796355,-0.024334597,-0.026245313,-0.039525445,-0.023226968,-0.028407287,-0.030340844,-0.043218891
03/1968,0.0184568952,-0.008952514,-0.006010197,-0.001376503,-0.019411245,-0.002604458,0.0047676208,0.0219811075,0.0042620935,0.0339646793
04/1968,0.1521105964,0.0464311376,0.0863063292,0.0593814825,0.0957695188,0.0828933891,0.0910583123,0.0986566195,0.1137007936,0.1179987453
05/1968,0.0651970512,0.0044174084,0.0197827755,-0.00743936,0.016353985,0.0171655358,0.0048688475,0.0564653095,0.0148585633,0.0445259759
06/1968,-0.004546881,0.0267548755,0.0117143165,0.0296075108,0.0174276594,0.0244228442,0.0066155001,0.0041237057,-0.001802986,-0.004365592
07/1968,-0.028284689,-0.022390735,0.0099895634,-0.018556431,0.0257999566,-0.007314952,-0.036468789,-0.023920286,-0.044974465,-0.051881088
08/1968,0.0168837666,0.0271449222,0.0246953954,0.0289325359,0.0112969214,0.0105274981,0.0149598679,-0.000964645,0.0212161466,0.0192502065
09/1968,0.0854480755,0.0672119389,0.0496698127,0.0516276234,0.0223598917,0.0393020736,0.0518670213,0.0268808945,0.0468558763,0.0250870881
10/1968,0.0180050003,0.0232259789,0.0248692745,0.0138086286,0.0202900734,0.0137320725,-0.001387042,-0.015533175,0.0126453614,-0.000674967
11/1968,0.038062375,0.064797581,0.0630465915,0.0484881314,0.0566194467,0.0817809907,0.0449733907,0.0716618144,0.0288849981,0.0713454179
12/1968,-0.010236698,-0.01754897,-0.050281187,-0.028620593,-0.033559422,-0.029310548,-0.032906839,-0.048837859,-0.040875535,-0.039749934
01/1969,0.0062427758,-0.002606156,-0.000546341,-0.007100106,0.0002129449,-0.003396966,0.0068304215,-0.027820396,-0.016702773,-0.016547648
02/1969,-0.082611426,-0.073403836,-0.050430579,-0.060559441,-0.045876539,-0.059708937,-0.046614084,-0.030256179,-0.038959684,-0.060854086
03/1969,0.0195380994,0.0405664151,0.0376111294,0.0313632871,0.0331614255,0.0305919277,0.0299486055,0.0486898192,0.0257120312,0.023270517
04/1969,0.0124514631,0.0198475513,0.0474156443,0.0043086927,-0.002086985,0.0100006781,0.0141933303,0.0279850581,0.0269376371,0.0249261936
05/1969,-0.005050385,0.0034590229,0.0102343758,0.0085374303,0.021322139,-0.007138252,-0.007460969,-0.011592538,0.006810978,0.0156139744
06/1969,-0.104237601,-0.089415192,-0.076377429,-0.071295507,-0.074190945,-0.090072537,-0.057358049,-0.015598104,-0.049618163,-0.061547653
07/1969,-0.10658474,-0.072681047,-0.051960919,-0.066006969,-0.079835611,-0.071669515,-0.071105775,-0.042555937,-0.054757809,-0.053533806
08/1969,0.0407804643,0.0559788924,0.0303307732,0.0467292032,0.0444578232,0.0364613898,0.0499651739,0.0666147849,0.0515061937,0.0693919305
09/1969,-0.021292199,-0.04782759,-0.044852447,-0.039903788,-0.023602031,-0.045498985,-0.022422549,-0.028684793,-0.002300977,-0.00427503
10/1969,0.0655277099,0.0550087121,0.0410942712,0.0418917336,0.0573390082,0.0368644832,0.053295899,0.0724161747,0.0515029167,0.0788195388
11/1969,-0.064326857,-0.050482721,-0.015840898,-0.046873907,-0.039312121,-0.041768995,-0.035752534,-0.020378865,-0.026942446,-0.021181007
12/1969,-0.07808438,-0.025266654,-0.047274936,-0.026187627,-0.026194853,-0.012294525,-0.002755431,-0.022116175,0.005045921,-0.010507488
01/1970,-0.041209641,-0.091712155,-0.054663308,-0.071739058,-0.06699019,-0.086677665,-0.092758127,-0.07824145,-0.071790509,-0.084171744
02/1970,0.0723080331,0.0825552125,0.0778360184,0.0933114914,0.0695987506,0.0514241239,0.0580843324,0.048459026,0.0419580157,0.0415541048
03/1970,-0.024850392,-0.011961069,0.0087626676,0.0029610278,-0.006998136,0.0193836972,0.0017050149,-0.007804328,-0.001782284,-0.022979911
04/1970,-0.140302335,-0.109145404,-0.089724641,-0.108823144,-0.090307819,-0.092686697,-0.085416735,-0.091782344,-0.102524745,-0.117472202
05/1970,-0.10126696,-0.053932795,-0.046766615,-0.05488241,-0.069648946,-0.016746241,-0.065635777,-0.058520795,-0.074959053,-0.074242805
06/1970,-0.112527747,-0.070250126,-0.071179069,-0.048614863,-0.037656704,-0.045725245,-0.027384596,-0.042470068,-0.056998142,-0.052597857
07/1970,0.0919982727,0.0687133826,0.0941161014,0.0848501309,0.0979387426,0.0813273458,0.0925894693,0.0698231862,0.0509747431,0.0426312991
08/1970,0.0781441381,0.0502466211,0.0336486029,0.0626675016,0.0542034919,0.0587222992,0.0402973299,0.0298608561,0.0621682045,0.0388910923
09/1970,0.1319324345,0.0625142736,0.0087999216,0.0156054443,0.0284218976,0.012717627,0.042058898,0.0531443603,0.0553681397,0.0851778989
10/1970,-0.073884362,-0.058266472,-0.038997829,-0.015663931,0.0104556412,-0.016839947,-0.014140104,-0.023060182,-0.009177962,-0.005937408
11/1970,0.0446303116,0.0398606308,0.0501098289,0.0484124758,0.0508753207,0.0578352521,0.0555150114,0.058437101,0.0595834767,0.0388261829
12/1970,0.0518132935,0.0655425649,0.0764100503,0.0693157041,0.0539366824,0.0847789112,0.0594476644,0.0570705357,0.0513771234,0.0638038718
