date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
08/1971,,,,,0.162499994,,,,,-0.03125
09/1971,,,,-0.043988269,,,-0.010752688,,,-0.012048192
10/1971,-0.1267081,-0.059508547,-0.091085637,0.0070389986,-0.024434928,-0.014331949,-0.030535992,-0.017517673,-0.050770128,-0.108157865
11/1971,-0.01639224,0.0091875885,0.007865652,0.0057983713,-0.004793162,-0.011049157,-0.011314348,0.0024163567,-0.003868249,-0.003494879
12/1971,0.1538397268,0.0873949937,0.0948348977,0.0855208995,0.0955905968,0.0958198701,0.0807841979,0.0774828223,0.0948691119,0.092511265
01/1972,0.0797225443,0.0579167022,0.0132970415,0.0128882724,0.0265417358,0.0179852439,0.0370649724,0.0095780418,0.0197477299,0.071114231
02/1972,0.0344415122,0.0620280796,0.0388889805,0.051658071,0.0398654966,0.0336462052,0.0464808324,0.0037762953,0.0143437097,0.0404570308
03/1972,0.0022966849,0.0329878515,0.0099272573,0.0183774585,0.000328006,-0.025445716,0.0183827429,-0.027144659,-0.039998101,0.0176000985
04/1972,0.0067999216,0.0232887592,0.0134376405,0.0085949332,0.0134377903,0.007538775,0.0015954137,-0.013328843,-0.00226723,-0.016125366
05/1972,0.005043466,0.0535634642,0.0343179468,0.0208428735,0.0174060269,0.0078386683,-0.007312582,0.0223163449,0.0037200965,-0.010668969
06/1972,-0.070498111,0.0002135695,-0.0077926,-0.026349223,-0.026171208,-0.019579882,-0.031592681,-0.03283687,-0.021659724,-0.034324206
07/1972,-0.035836035,0.0135963293,0.0219223011,-0.014142798,-0.01174085,-0.017104762,-0.015157493,-0.026827894,-0.007889976,-0.008801774
08/1972,0.0037666502,-0.005156963,0.0270715121,0.0414183868,0.033361896,0.065826487,0.0673807517,0.0775483382,0.0762788775,0.0659540293
09/1972,-0.011028494,0.0060248358,-0.013889073,-0.020245662,-0.029432637,-0.01753347,-0.019145874,-0.01318753,0.0119033768,-0.028495565
10/1972,0.0221457363,-0.002172934,-0.000547266,-0.003543293,0.0043385839,0.0201880693,0.0063247387,0.0183567584,-0.003227046,0.0135917286
11/1972,-0.005568809,0.0269229371,0.0462276285,0.041228971,0.065219546,0.1023289641,0.08195749,0.0752962341,0.0752565672,0.0696571472
12/1972,0.0368739241,0.0344096487,0.0182710964,0.0160495876,-0.009285552,-0.003520085,-0.009174441,-0.014062417,0.012053829,-0.044922461
01/1973,-0.031234433,-0.003029418,-0.028884116,-0.053678854,-0.05437821,0.0081528439,-0.033046617,-0.014448052,-0.062817051,-0.082151356
02/1973,-0.075039063,-0.014943634,-0.030096464,-0.0401506,-0.057423679,-0.06507301,-0.056208142,-0.04922891,-0.057937693,-0.062304604
03/1973,-0.004497375,0.0015797752,0.0043590243,-0.001770713,-0.005102784,0.0052493629,0.0146867649,-0.009359713,0.0075354025,-0.048316086
04/1973,-0.063835633,-0.059329297,-0.065330615,-0.061671679,-0.048574953,-0.034922275,-0.00003717,-0.035471853,-0.038717945,-0.041540394
05/1973,-0.002590658,-0.016217673,-0.008565519,0.0021656252,-0.036628344,-0.031526988,-0.026547244,-0.057876072,-0.048091116,-0.062131191
06/1973,-0.0077774,-0.006457489,-0.000599708,-0.023524817,-0.033056358,-0.022161357,0.0065525723,-0.020773465,-0.0286624,-0.026284142
07/1973,0.0386861458,0.0586382784,0.1040689905,0.0602745482,0.05770349,0.0285785508,0.0259511125,0.0896270623,0.0606966994,0.1031241257
08/1973,-0.038921259,-0.040642595,-0.009359412,-0.029384116,-0.039967348,-0.015188146,-0.027907572,-0.034672005,-0.000802174,-0.01602612
09/1973,-0.030415395,0.0522868045,0.0982389055,0.0785813035,0.095189293,0.097392609,0.1165442688,0.0837504996,0.1453692177,0.1108907094
10/1973,0.0083261005,0.0127833545,0.0092350791,-0.012956349,0.0009847449,0.015281781,-0.040240277,-0.009276951,0.0202155596,-0.048879835
11/1973,-0.116656066,-0.104776306,-0.125229472,-0.135833238,-0.091699276,-0.113046959,-0.149818021,-0.155458514,-0.146285317,-0.16963604
12/1973,-0.031434299,-0.023668648,0.0111541156,0.0431395957,0.0503794957,0.052128977,0.0640646978,0.0725083001,0.0639928718,0.0266666612
01/1974,-0.011408543,-0.020747953,-0.011430993,0.0146319962,-0.004916437,0.0103082908,-0.001828533,0.0136897981,0.0681093128,0.11695967
02/1974,-0.014088066,-0.006137472,0.0058625865,0.0326385577,0.0059209877,0.0250283954,0.0054417093,-0.009250018,-0.015775988,0.0211963591
03/1974,-0.012153438,-0.011519482,-0.022460564,-0.028916989,-0.04138273,-0.028231869,-0.02105132,-0.014378009,0.0013834907,-0.013876943
04/1974,-0.027416733,-0.032312635,-0.045165365,-0.060948817,-0.056052365,-0.061986043,-0.038088662,-0.023080849,-0.051147784,-0.025951494
05/1974,0.0050300222,-0.022742978,-0.040629009,-0.070015262,-0.04401799,-0.049406279,-0.065872483,-0.0542046,-0.048253976,-0.05839308
06/1974,-0.019999268,-0.012351249,-0.035029704,-0.013315635,-0.012812861,-0.029134866,-0.027499869,-0.031808101,-0.022904291,-0.019653007
07/1974,-0.145782563,-0.121475929,-0.057415024,-0.049003734,-0.045068495,-0.063410099,0.0091260163,-0.023112518,0.001448519,0.0017042373
08/1974,-0.090853599,-0.106690644,-0.085038697,-0.084732587,-0.041720619,-0.083917009,-0.088450324,-0.066697908,-0.079232588,-0.061730105
09/1974,-0.186821606,-0.141495187,-0.098769579,-0.058682234,-0.078068668,-0.065454426,-0.075619853,-0.070740075,-0.086551509,-0.072174913
10/1974,0.1852517115,0.2132003677,0.1594241068,0.1509357113,0.1315017748,0.1516007492,0.1604625977,0.1282589944,0.1284131182,0.1429074051
11/1974,-0.062381164,-0.045475964,-0.017471815,-0.038733653,-0.04146972,-0.026177535,-0.028301748,-0.048046928,-0.028847593,-0.010819306
12/1974,-0.042092988,-0.045367897,-0.028867786,-0.006429932,-0.021477228,-0.019386772,-0.004243568,-0.010789923,0.0031996926,-0.04212675
01/1975,0.1423663089,0.1248134354,0.1208192463,0.1423351011,0.119853341,0.1528910811,0.1364016201,0.1665627924,0.1578686562,0.229503368
02/1975,0.0394001985,0.1082932383,0.0572931598,0.0310650502,0.0184689401,0.0152124608,0.0467163309,0.027554464,0.0177867895,0.0379499734
03/1975,0.0216011308,0.0182394293,0.0470229839,0.0073753166,0.0287123729,0.0285833716,0.0142104311,0.012188653,0.0586353498,0.0823426232
04/1975,0.0274306255,0.0426807126,0.050150116,0.0545973995,0.0455565878,0.0204082741,0.0638842902,0.0366753536,0.0715064885,0.0876267808
05/1975,0.0425401578,0.0409152708,0.0580118305,0.0452702245,0.0610684035,0.086061974,0.0773702135,0.0592995869,0.0348875725,0.058532921
06/1975,0.0830719401,0.050738697,0.0201998648,0.0553238429,0.0572577376,0.0652389745,0.0673781435,0.0888092572,0.0906895701,0.06718393
07/1975,-0.021929079,-0.080066337,-0.085133717,-0.067629846,-0.049596295,-0.047077473,-0.046657674,-0.042991436,-0.043621073,-0.032625
08/1975,-0.047547722,-0.027379648,-0.021796258,-0.018962395,-0.025020929,-0.003378305,-0.017266181,-0.019865199,-0.014955334,-0.035839051
09/1975,-0.084006443,-0.062169476,-0.03704187,-0.036382027,-0.017669753,-0.019968467,-0.00860144,-0.042541088,-0.025213018,-0.025984577
10/1975,0.068139302,0.0870187228,0.0798934369,0.0603361271,0.0520927101,0.0416295048,0.0307051742,0.0346786615,0.027294705,0.0288097098
11/1975,0.0070832661,0.0419967202,0.0379172629,0.0230705703,0.0352201449,0.0075878016,0.0266465095,0.0310329067,0.0205880353,0.0607441581
12/1975,0.0038556031,-0.046206798,-0.008029052,-0.006643745,-0.00034623,0.000488449,0.0077211778,0.0088267218,0.0088724806,-0.00074361
01/1976,0.1946504834,0.1099884085,0.1240780063,0.1450487715,0.096108607,0.1538241901,0.1254425619,0.1262856356,0.1397225803,0.2206974342
02/1976,0.0553076901,-0.015512029,-0.007521888,0.0185277147,-0.01231336,0.0045953327,0.0179423306,0.0294363772,0.0594097878,0.1030439425
03/1976,0.0539440049,0.0253806469,0.0107779453,0.0209805247,0.0295169274,0.0303509059,0.0478699525,0.0209531398,0.023564753,0.0327056013
04/1976,-0.018759422,-0.037060767,-0.023688644,0.0076757665,-0.00294748,0.0087845899,-0.006761889,0.0045297902,-0.00430462,-0.008478849
05/1976,-0.039807337,-0.017242708,-0.007902969,-0.009957603,-0.016961955,0.0144659833,-0.004950957,-0.004540963,0.0118651465,-0.012317097
06/1976,0.0192177762,0.0433575117,0.0451389873,0.0577222118,0.0468106781,0.058532969,0.0404316538,0.0474018618,0.0582948209,0.0458166002
07/1976,-0.036580277,-0.012743378,-0.008916661,-0.010299797,0.0013380413,0.0032334711,-0.002953341,-0.001675392,0.0100695852,0.0027254795
