date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,0.0093841765,-0.009726638,0.0066872732,0.011386059,0.002043751,-0.001855863,-0.004873548,0.0093584183,-0.004917572,-0.032483634
08/1963,0.0692903807,0.0596527369,0.0493004183,0.0625316006,0.0544304911,0.0445576367,0.0659720023,0.0525218198,0.0600684179,0.0587494707
09/1963,-0.008576035,-0.031704591,-0.014103574,-0.027266221,-0.025925055,0.013113327,-0.012339375,-0.001917301,-0.004379977,-0.030461747
10/1963,0.1332363722,0.0097857919,0.0624117436,0.0074675424,0.0102378507,0.0314495279,0.0152881,-0.000544465,0.0005917688,0.0033452179
11/1963,-0.062955547,-0.000968075,-0.004571285,-0.003870047,-0.008786662,0.0336543762,-0.017455856,-0.018536905,-0.002906896,-0.003643022
12/1963,0.00237374,0.0234985924,0.0416508395,0.0120166866,0.0415129808,0.0145710855,0.0177155577,0.0254159929,0.0035827432,0.007309486
01/1964,0.0102076791,0.0151816619,0.0606092303,0.020058481,0.0197362391,0.0332620236,0.0208875421,0.0346816591,0.0173525097,0.0143539667
02/1964,0.0119886307,0.0330211282,0.0245248398,0.0320241874,0.0156781917,0.0077902894,0.0026893264,0.0166397855,0.0305531855,0.016978016
03/1964,0.0069827095,0.0129399065,0.0288874132,0.0166835699,0.0134416143,-0.002619321,0.0267060427,0.0281924208,0.0341040016,0.0336445857
04/1964,0.0396052011,0.0177297536,-0.006574899,-0.002428305,-0.002321259,0.0097797229,0.0185147979,0.0010776727,0.0023584557,0.0138361856
05/1964,0.0297597894,0.0128989632,0.0245386204,0.0250817016,0.0074075424,-0.001156144,0.0009626362,0.026420676,0.0184725651,0.0060083706
06/1964,0.0142066846,0.0074169643,0.0039894541,0.0238608627,0.0098552549,0.0504464484,0.016610293,0.0252450783,0.0139290219,0.0225603259
07/1964,0.0098564592,0.0572709847,0.0241876111,0.0225855345,-0.00411847,0.0260405768,0.0291265724,0.0215713319,0.0208148417,0.0102592477
08/1964,0.000339755,0.0096915677,-0.029582355,-0.012876446,-0.017773388,-0.014738692,-0.00407223,-0.011731055,0.0035080371,-0.004425187
09/1964,0.0709318353,0.0333007476,0.0370401185,0.0315530235,0.0060493919,0.0439397261,0.0236359897,0.0398340888,0.0313769914,0.0472596717
10/1964,-0.007742652,0.0113645564,0.0212953632,0.0181747369,-0.009099077,0.0116749442,0.0202752661,-0.002871685,0.0144187595,0.0105598246
11/1964,-0.020927158,-0.006604702,0.0085711695,0.0168004954,-0.006975746,0.0122972028,0.0139293778,0.0167722872,0.0048109021,-0.003539112
12/1964,0.0170916471,0.0210354753,0.0065452227,0.0020999428,0.0165571996,-0.008170894,-0.010285012,0.0083451305,-0.021915822,-0.017455409
01/1965,0.0616892766,0.0429425283,0.0584670885,0.014145499,0.0340720724,0.0479203572,0.0166934683,0.033632012,0.0541178113,0.0611547753
02/1965,0.0315694106,0.0071198013,0.0002844614,-0.003397857,0.0089714501,0.0078593764,-0.007967779,0.0073314143,0.0196042607,0.046922374
