date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
01/1973,-0.10964815,-0.09595745,-0.035619186,-0.059019252,-0.002555097,-0.019174215,0.0018231159,-0.040504241,0.071011854,0.0136227161
02/1973,-0.056115195,-0.019532577,-0.11316629,-0.079559171,-0.038472571,-0.011679895,-0.030662637,-0.047425455,-0.035159242,-0.051070314
03/1973,-0.038622799,-0.01064188,-0.030577856,0.0060509597,-0.014126328,-0.016668094,-0.026899999,-0.01317023,0.0172275708,0.0051949824
04/1973,-0.125506633,-0.057506977,-0.107605236,-0.045835477,-0.049647053,-0.079873945,-0.061564497,-0.041615703,-0.032154312,-0.022486671
05/1973,-0.149380422,0.0072246871,-0.036754518,-0.061404335,0.002782707,0.0008054003,-0.011065896,-0.000751522,-0.000580453,-0.023290368
06/1973,-0.034769611,-0.030319905,-0.019719007,-0.011712861,-0.02523759,-0.004259502,-0.026669177,-0.005367854,0.0039251126,0.0105340524
07/1973,0.2112390053,0.078659885,0.1046598631,0.1134840254,0.0572996224,0.0491706135,0.0556654118,0.058569144,0.0279102745,0.0210666338
08/1973,-0.015353662,-0.028231042,-0.02408216,-0.042024858,-0.026437401,-0.024808041,-0.009573043,-0.047697506,-0.044185838,-0.029030904
09/1973,0.1276431959,0.0167076832,0.0909865089,0.1186192705,0.109375708,0.0151340205,0.0438118164,0.0672810067,-0.045309204,0.0450443224
10/1973,-0.009499446,-0.073284222,0.0101166286,-0.01653991,0.0006070589,-0.009993741,0.0152143104,0.0169453535,0.0238526838,-0.02110962
11/1973,-0.231440829,-0.233658399,-0.169577097,-0.135248457,-0.122011389,-0.136096324,-0.062441102,-0.121775977,-0.082025028,-0.082102508
12/1973,0.0118958355,0.0140354367,0.0560333816,-0.039717083,-0.00020644,-0.00006341,0.0177091667,0.0057164346,-0.00957985,0.0239845344
01/1974,-0.030488891,0.0484431436,-0.011444507,0.0209381694,-0.031186386,-0.017920518,-0.029775961,-0.032679846,-0.006202488,-0.012978329
02/1974,-0.014834454,0.0006749624,-0.012111105,0.0014255826,-0.007170906,0.012354754,0.015546951,-0.003700523,-0.005748685,-0.025427911
03/1974,-0.034423706,-0.0479706,0.0041473566,-0.009830597,-0.029460527,-0.017264905,-0.008506038,-0.028100279,-0.026479168,-0.026186666
04/1974,-0.042691848,-0.051711893,-0.017897342,-0.019944514,-0.028208584,-0.049250804,-0.013084044,-0.052279992,-0.048190481,-0.048135699
05/1974,-0.014470067,0.0012195283,0.003367161,0.0012100611,-0.059882651,0.006637853,-0.055108964,-0.044720179,-0.038240489,-0.018659709
06/1974,-0.051943158,-0.022415452,-0.008071063,-0.012521107,-0.006301002,-0.002610038,-0.01908528,-0.031065957,-0.021707447,-0.011346139
