date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,0.0021029033,-0.033178504,-0.009285216,-0.016979879,-0.011576809,-0.013877869,0.0033779645,-0.014078315,0.0115428322,0.0040693892
08/1963,0.1197502599,0.0608985992,0.0645497043,0.058722382,0.0737347164,0.0685479121,0.0611307947,0.0494171447,0.0537047372,0.0435669299
09/1963,-0.016323838,-0.026166765,-0.039100004,-0.023604004,-0.022974798,-0.026375306,-0.014191323,-0.007912018,-0.016498408,-0.005980468
10/1963,0.0605040064,0.0337305272,0.0323055774,0.0373286342,0.0176717161,0.0153806471,0.0404104962,0.0153889052,0.0192732784,0.0297703746
11/1963,-0.010447346,-0.000884454,-0.007680975,0.000051586,-0.011217549,-0.010916206,-0.010042287,-0.011726549,-0.003649098,-0.003885217
12/1963,-0.003100411,0.0174347094,0.0021764868,-0.005766711,0.0062417745,0.0274259824,0.0288414793,0.0270120202,0.0254732239,0.0238965365
01/1964,0.0011985481,0.0114006848,0.0034247743,-0.001029416,0.0245862407,0.0302888185,0.0115426093,0.0346528954,0.0223008,0.0318999557
02/1964,0.0212681977,0.0289220996,0.0437164042,0.0383396823,0.0391401195,0.0206068849,0.0182919435,0.0342405829,0.0132440836,0.0095970964
03/1964,0.0077301195,0.0219449724,0.0457115133,0.0348232709,0.0340802578,0.0422823888,0.022545371,0.0294330822,0.0313774013,0.0028614363
04/1964,-0.020668009,-0.018445194,-0.04088617,-0.02413323,0.001317612,-0.006360355,0.0084405981,-0.016325983,0.0094303824,0.0167010514
05/1964,0.0654758131,0.0210104976,0.000673424,0.0021645355,0.0107332393,0.01629691,0.0139788628,0.0090212401,0.0230911609,0.0148077332
06/1964,0.0052119891,0.0123813993,0.0173674399,0.0179334675,0.0124165483,0.014530867,0.0234492853,0.0073048322,0.0143916097,0.0172824284
07/1964,0.0261970308,-0.011311485,0.0155043164,0.0273748758,0.0172682279,0.0181563505,0.0223680123,0.0197886663,0.005175675,0.0270747804
08/1964,0.0028176271,-0.026021738,-0.016516538,-0.005496763,-0.013975243,-0.000133773,-0.008158503,-0.007586846,-0.023293831,-0.00978981
09/1964,0.0612181159,0.0803113504,0.0455511557,0.0444481098,0.0416425541,0.0385865739,0.0335428004,0.0346434969,0.0259118851,0.0202107313
