date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,0.001319214,0.0168920839,0.0031885041,0.0043704613,-0.00202916,-0.021705662,-0.01317458,-0.018800319,-0.020490407,-0.006043233
08/1963,0.0457099503,0.0402434322,0.0489133645,0.0597083291,0.06947005,0.0716120023,0.0574549,0.0468951258,0.0835007056,0.0431303433
09/1963,-0.002206205,-0.029551174,-0.023925497,-0.004787137,-0.016822251,-0.015336681,-0.004769834,-0.020888585,-0.009190829,-0.033984103
10/1963,0.0325320779,-0.009172916,0.0307368042,0.0604482997,0.0219991955,0.0337497284,0.0157712115,0.0177035814,0.0387641692,0.0096021224
11/1963,0.0176572931,-0.012733171,-0.011362898,-0.029285906,-0.01117039,-0.007587467,-0.000327727,0.0113045195,-0.004998215,-0.003218087
12/1963,0.0213250204,0.0213179978,0.0368609972,0.0264160796,0.0377673048,0.0044379786,0.006859035,0.0141234895,-0.014320174,-0.008943267
01/1964,0.0345925583,0.0303534935,0.0134935096,0.0348898551,0.0125694376,0.0272774964,0.0224433882,0.0008719528,0.0052657961,0.0049742302
02/1964,0.01930896,0.0049046016,0.004242046,0.0128911248,0.0375614074,0.0165299596,0.0240077135,0.0213887667,0.0756853117,0.0321765453
03/1964,0.0002454105,-0.003948158,0.0312117375,0.0218651325,0.0275484931,0.0499573086,0.0528372951,0.0554530815,0.0268973628,0.0230954753
04/1964,-0.000957751,0.0366900649,-0.015207687,0.0230154686,0.0123447858,-0.029956849,0.0013482529,-0.030699021,-0.008596895,0.0284042407
05/1964,0.0136784996,0.0042014855,0.0077970959,0.0189921915,0.0336490725,0.0095967837,0.0194834366,0.0142213961,0.0190219093,0.0449090424
06/1964,0.0234668289,0.012225143,0.0021481091,0.0143685761,0.0187117344,0.022209479,0.0275557259,0.0351414541,0.0209032916,0.018715938
07/1964,0.0060738986,0.0318632987,0.0179175628,0.0458036255,0.0168981161,0.013250021,0.0290653596,0.0177452822,0.0162337343,0.022555386
08/1964,-0.02073881,-0.013444216,-0.014909344,0.0033359277,-0.015558207,0.0011989257,-0.013797099,0.0249629276,-0.005026636,0.0116537319
09/1964,0.0159032977,0.0271178633,0.0288732917,0.0346056012,0.0473440679,0.0465976817,0.0404974071,0.0421190052,0.0613701711,0.0413312595
10/1964,-0.002666155,0.0124361367,0.0121426712,0.0149773491,-0.000983408,0.0141578752,0.019897939,0.0138128186,0.024055112,0.0181108304
11/1964,-0.009341662,0.0226969693,0.0237939558,-0.007647393,-0.00202485,-0.000083514,0.0013961947,0.0065109929,-0.018648728,0.0078077663
12/1964,0.016519705,-0.001076369,0.0033820906,0.0086346733,-0.007973647,0.0043710422,-0.012125506,-0.007418017,-0.009965418,0.0139034963
01/1965,0.0459563442,0.0194078549,0.0250878765,0.0405224379,0.0301814266,0.0521042086,0.0609387342,0.0333363016,0.0512759725,0.044320305
02/1965,0.0062113525,-0.001168948,-0.004411872,0.0061089855,0.0081834991,0.0255136751,0.017496692,0.0328542678,0.0223066181,0.0197149699
03/1965,-0.016327347,-0.017959136,-0.01860384,-0.008232151,0.0044731854,0.0086257165,-0.003825146,-0.005347129,0.0085737502,-0.010131366
04/1965,0.0343701211,0.0135434099,0.0350757192,0.0538119603,0.0219078268,0.0419343658,0.0446699142,0.0338664144,0.0655378216,0.0632519307
05/1965,0.0100626334,-0.008988799,-0.002467018,-0.016397906,0.0007939011,-0.00439623,0.0063956435,-0.01403425,-0.012364632,-0.000389885
06/1965,-0.041052835,-0.033788789,-0.035876157,-0.061248566,-0.042091322,-0.073584513,-0.074411311,-0.078945083,-0.082728864,-0.078060163
