date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
10/1973,,-0.030534351,-0.110091746,,-0.012096774,0.0675675645,,-0.005536062,0.2173912972,-0.067307696
11/1973,-0.113981019,-0.123548156,-0.136919928,-0.092317975,-0.162881801,-0.141685189,-0.058460843,-0.133097349,-0.099478315,-0.070035726
12/1973,-0.007249947,-0.117271096,0.0386953679,0.0075209602,-0.001998285,0.0290987308,0.0578256785,0.0270649733,0.0478791793,0.0107818296
01/1974,-0.001171687,0.0315743698,0.0083354323,-0.064689791,0.0587990789,0.0437087905,0.0081409715,-0.022021062,-0.048192699,-0.037621414
02/1974,0.0016634054,0.0176064843,-0.022525708,0.0036357509,-0.010351375,0.0408379213,-0.002559963,0.0233630464,-0.003771084,-0.0240633
03/1974,-0.059191688,-0.028639708,-0.001256883,-0.01774828,-0.030079332,-0.015182509,-0.005199693,-0.023610881,-0.036525864,-0.02145886
04/1974,-0.033004841,-0.08140198,0.0184975901,-0.028338022,-0.050657094,-0.005562526,-0.039793093,-0.052263615,-0.036449894,-0.041728003
05/1974,-0.032015841,-0.020631646,-0.041742922,-0.002201705,-0.043712837,0.0036189098,-0.028368863,-0.026252348,-0.033747722,-0.085090949
06/1974,-0.02904041,-0.039856868,-0.046503411,0.0026548229,0.0103099378,-0.009412468,0.0023885338,-0.007567423,0.0224922549,0.0015644378
07/1974,-0.063645453,-0.188414373,-0.108709324,-0.098328842,-0.053989751,-0.051275288,-0.100849942,-0.072070557,-0.051727702,-0.014183034
08/1974,-0.103627682,-0.163743761,-0.117616674,-0.08870247,-0.065640844,-0.120929906,-0.038507086,-0.046718042,-0.085039481,-0.084872296
09/1974,-0.11620849,-0.118523518,-0.111312529,-0.147638495,-0.152611958,-0.136558647,-0.083666991,-0.134364541,-0.1067838,-0.039479059
10/1974,0.1122658118,0.1082666642,0.2554734754,0.1710861008,0.2317313932,0.2451593274,0.185922827,0.182863258,0.2085822287,0.177105572
11/1974,-0.053498363,-0.023679224,0.002401551,-0.01447237,-0.048426879,-0.056435046,-0.063020535,-0.043429845,-0.013723791,-0.034413038
12/1974,-0.084567678,-0.067667494,-0.080467143,-0.001546441,0.0108828593,-0.046197533,-0.03978919,-0.026843219,0.0227126451,-0.008306161
01/1975,0.2512919498,0.1810547113,0.2448455358,0.142202701,0.122775602,0.0451773694,0.1246311902,0.0227915402,0.0392268234,0.0614585568
02/1975,0.0408797643,0.0627928042,0.0804671222,0.140739315,0.1063428102,0.0891931459,0.0471113997,0.1050463907,0.0691547155,0.07386997
03/1975,0.0531576298,-0.038001031,0.0498926776,-0.016683681,0.018117991,-0.021711402,-0.008230836,0.0348767116,0.0741592908,0.0873472134
04/1975,0.0025338633,0.0888615139,0.0157979102,0.0198114157,0.0529808076,0.0903328149,0.0677901251,0.0391804742,0.0698330344,0.0886915362
05/1975,0.0371763107,0.0627721451,0.0459157427,0.1066710835,0.0706386299,0.0496756042,0.0274048221,-0.010116146,0.056299034,0.0230976867
06/1975,0.0378642039,0.0424973479,0.039221657,0.0449311359,0.0332931978,0.0356357847,0.0099763342,0.0973850318,0.0395994448,0.0598356498
07/1975,-0.047700211,-0.104327144,-0.045934602,-0.043946268,-0.068091551,0.0280808422,-0.091195857,-0.061384256,-0.093766078,-0.022107988
08/1975,-0.023369756,-0.000768642,0.0071077507,-0.00229285,-0.02105591,-0.016270545,-0.064399061,-0.042687091,-0.03457049,-0.019456035
09/1975,-0.084076591,-0.050085971,-0.017166728,-0.058757803,0.0059767065,-0.028396031,-0.10657161,-0.04526944,-0.056482452,-0.02228384
10/1975,0.0067404496,0.0319835184,0.0315608375,0.0532607542,0.0662570416,0.0958270076,0.033042583,0.0744084704,0.0750859033,0.0825196654
11/1975,-0.002057786,0.0362015447,-0.009597281,0.0107137954,0.0443683462,0.043642094,0.0375682582,0.0624199367,0.0433974862,-0.016254306
12/1975,0.0105743315,0.0263279803,-0.027366279,0.0106653103,-0.04544295,-0.042108682,-0.016989441,-0.021678873,-0.020527806,-0.000957718
01/1976,0.1913559007,0.081325904,0.0921545212,0.1568757769,0.1577975823,0.0925920421,0.1361452627,0.1384793792,0.1698736658,0.119971863
