date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,-0.01034173,-0.00906013,-0.001182454,0.0043029356,0.0157235594,0.0069694711,0.0121709838,0.0067729798,-0.002292296,-0.017327694
08/1963,0.0532109353,0.0522440314,0.0448168482,0.0497284403,0.0605146391,0.0455975831,0.0509038191,0.0727942858,0.0597021318,0.0830300401
09/1963,-0.015356098,-0.00859954,0.0059788827,-0.007656352,-0.010454885,-0.027914039,-0.001401527,-0.025870868,-0.027417773,-0.017474079
10/1963,0.0236249043,0.0383067267,0.0245734399,0.0221268847,0.0109431528,0.1006533258,0.0181509512,0.0090928273,0.0058312306,0.038209439
11/1963,0.0150496957,-0.012713097,-0.002434249,-0.005424776,-0.00852327,0.0004559061,-0.000469231,-0.024485559,-0.004929534,-0.009544921
12/1963,0.0241576245,0.0353948122,0.0278848608,0.0219250585,0.0028515053,0.0200113074,0.0312478634,0.0270310183,0.0225722594,-0.004584539
01/1964,-0.002273775,0.0307227231,0.0311558461,0.0295645059,0.0167111715,0.0060489289,0.0487340471,0.0128528014,0.0239500092,0.0123186536
02/1964,0.0259167416,0.0097061104,0.0257321412,0.0179579118,0.0143761939,0.0130002384,0.001626288,0.0388269684,0.0393250793,0.033647491
03/1964,-0.004452499,0.011977266,0.0033151023,0.0105322599,0.0223808741,0.0158205058,0.0121469782,0.0351213608,0.0403844805,0.0714735395
04/1964,-0.020558188,0.0134819436,0.0012994166,0.0262747852,-0.010694755,0.001200561,0.0133189667,0.0085380609,-0.024523659,0.0078158216
05/1964,0.001159543,0.001267264,0.0235610771,0.0062999549,0.0167647332,0.0207452899,0.0174801213,0.0154212337,0.02740531,0.0366724357
06/1964,0.0161836578,0.016270364,0.0156440335,0.0118553725,0.0449848776,0.0133237816,0.006236061,0.0006375981,0.0152874689,0.0126922434
07/1964,0.0250517868,0.0400001377,0.0212409599,0.0042611678,0.0095653764,0.0248580314,0.0195540982,0.0194183049,0.0337333894,0.0079769901
08/1964,-0.018372055,-0.007793224,-0.00622507,-0.010036428,-0.017541729,-0.018454825,-0.000055094,-0.020025231,-0.009758467,-0.000562301
09/1964,0.0361071367,0.0113669375,0.0294889395,0.0302545053,0.033325313,0.0317101162,0.0448241514,0.0596184963,0.0420598486,0.0314743015
10/1964,-0.001386312,0.0023006342,0.0032437449,0.0347061944,-0.004736348,0.0230182891,0.0256905396,0.0007506161,0.0035191728,0.0133971023
11/1964,0.0035229884,0.0003050126,0.0095489299,0.0212116742,0.0323094084,-0.02018333,0.01166588,-0.006600796,-0.010242475,0.0044278517
12/1964,0.0053624975,0.02055003,0.0043704741,0.0165948763,0.0008301257,0.0068981829,-0.023034997,-0.002524515,-0.018048246,-0.02863302
01/1965,0.074385663,0.0303881371,0.0239268794,0.0412120176,0.0418746109,0.0118232881,0.0261079996,0.0394714912,0.0431871638,0.056589782
02/1965,0.0172499827,0.0141896653,0.0162424468,-0.014798488,0.0134570216,-0.00583126,0.0194520479,0.0209408813,-0.016348369,0.0421423425
03/1965,-0.014465243,-0.010082696,-0.019961423,-0.015239027,-0.009350284,-0.001914854,-0.019801463,-0.002079633,0.0036646722,0.0007193617
