date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,0.0057071651,-0.00389653,0.0029337512,-0.005877611,0.0042905099,-0.004628965,0.0099944059,0.0201153134,-0.009863099,-0.007497041
08/1963,0.0414973814,0.040851918,0.0438518269,0.0585275907,0.0474222602,0.0687465247,0.0733412849,0.063221573,0.0598991597,0.0816771599
09/1963,-0.02829587,0.0072147509,-0.018754544,-0.019948737,-0.006035679,-0.019001769,-0.012069153,-0.028272585,-0.030208478,0.0030636009
10/1963,-0.009861712,0.0292246617,0.0107296742,0.0084449694,0.038037537,0.0433887888,0.0765486341,0.0130685036,0.0412392254,0.0410571724
11/1963,-0.004396082,0.0082161898,0.0260175859,0.0030325253,-0.009173962,-0.042538029,-0.024735777,-0.009268919,-0.008789678,-0.015228448
12/1963,0.0314956206,0.0203816678,0.032169296,0.0222502896,0.0420506096,0.0299844067,0.0013671393,0.0238872988,0.0079383313,0.0051848878
01/1964,0.0169058245,0.021227951,0.0113488621,0.0240700641,0.0450280567,0.0229784295,0.0385280751,0.0181265566,0.0062673181,0.0103104576
02/1964,0.0084032393,0.0140587454,0.0275121144,0.0318609323,0.0063763711,0.0075209277,0.0246099163,0.0288255667,0.0468212815,0.0524847197
03/1964,-0.003533364,-0.005043402,0.035665432,0.0408380864,0.0056044097,0.0217577927,0.0296982442,0.0339549839,0.0156879681,0.0623713843
04/1964,0.0036560207,0.018955357,0.0240872668,-0.002939437,0.0075958631,0.0056986679,0.0035240418,-0.00779895,-0.012918902,-0.021395327
05/1964,0.0107333681,-0.003292241,-0.003030845,0.0145858444,0.0207096284,0.0250375488,0.0180391729,0.0388604425,0.032038968,0.0361139986
06/1964,0.019665938,0.0257261468,0.0332972274,0.0121167457,0.0108334674,0.0032743196,0.0043610778,0.0136336071,0.0177043865,0.0211040893
07/1964,0.0495525955,-0.002417202,0.0294341132,0.0226312148,0.0517152879,0.010889421,0.0076418074,0.0141838043,0.0197575501,0.0094936568
08/1964,0.0035792134,-0.009908879,-0.019963702,-0.007405781,-0.00861083,-0.027502674,-0.004214295,-0.018320675,-0.004817176,0.0001194702
09/1964,0.0270384523,0.0141958851,0.0376076808,0.0158712754,0.043481815,0.0351031855,0.0479350303,0.0667098952,0.0234088849,0.0355864119
10/1964,0.0093877351,0.0042196367,0.016428171,0.010251356,0.0079710375,0.0011903578,0.0083237287,-0.015249745,0.0109026945,0.0400632183
11/1964,-0.01477706,0.0011378818,0.0147330354,0.0222331091,0.0203163497,0.0137260578,-0.011434838,0.0035908565,-0.001593538,0.0132146703
12/1964,0.0252951522,-0.004485494,0.0038060506,0.0012382811,-0.000822457,0.015595237,-0.002540966,-0.00716223,-0.007955838,-0.00872418
01/1965,0.0205025563,0.0583164284,0.0248347871,0.0453420622,0.0231200886,0.0457759792,0.0333216657,0.0387535849,0.0693772755,0.0559583768
02/1965,0.0093918368,0.0208653713,-0.011052565,-0.000233976,-0.002101875,0.0031062657,0.0274613242,0.0012339878,0.0083328821,0.0500898141
03/1965,-0.014649857,-0.024851726,-0.004782383,-0.021583747,-0.003747317,-0.013334994,-0.011790177,0.0038642365,-0.002586588,0.0000359242
04/1965,0.0153205556,0.0151022978,0.053229192,0.0198435995,0.0498587091,0.0413615013,0.0631656448,0.054271394,0.0357446357,0.0672916986
05/1965,0.0114622333,-0.005661517,-0.01555939,-0.005966501,0.0044149213,-0.01044486,-0.000466019,0.0033331162,0.0026801395,0.0049643445
06/1965,-0.018977142,-0.039144586,-0.055011043,-0.049468627,-0.046666992,-0.054765528,-0.066131226,-0.067163462,-0.081755675,-0.093098551
07/1965,0.0035874504,0.0026546198,0.007349292,0.0194679086,0.0122777795,0.0340454054,0.0197208379,0.0472106515,0.0537632547,0.0497566122
08/1965,-0.00049945,0.0303365035,0.018987324,0.0345362826,0.0382814678,0.0559060786,0.0354430538,0.050358043,0.0530951745,0.0617443316
09/1965,0.0383407865,0.0258534157,0.0317350367,0.0383393491,0.0219523683,0.0347889513,0.0267367173,0.0430501943,0.0447778644,0.0691070436
10/1965,0.0145702953,0.0148141624,0.0086888389,0.0377223094,0.0142213315,0.034773401,0.0554100637,0.0704141125,0.042496801,0.0669480431
11/1965,-0.01289308,0.0057890856,-0.022068771,-0.022032163,0.0208346355,0.0073598827,0.0024047148,0.0470229823,0.0578462039,0.0938512411
12/1965,0.0075115742,0.0016716425,0.0098581468,0.0135981516,0.0254872559,-0.006590712,0.0387330699,0.0060049071,0.0150792532,0.0267327356
01/1966,-0.019476273,-0.026959078,-0.000119026,-0.00195193,0.0244354474,0.0244044534,0.0252742457,0.0586619032,0.0597397434,0.0513860708
02/1966,-0.043284522,-0.016913148,-0.026092946,-0.007574122,-0.023523802,-0.010617975,0.0283935111,0.0396827931,0.0171366398,0.0748767218
03/1966,0.0002518802,-0.043027316,-0.00872753,-0.011362942,2.5886169E-6,-0.024749284,-0.007581147,0.0008449051,0.0024100733,-0.006924752
04/1966,0.0183776069,0.0091623655,0.0077797505,0.0484325866,0.0344973499,0.0350639922,0.0252362071,0.0502222091,0.0321791883,0.0726070825
05/1966,-0.032687129,-0.043218092,-0.046369593,-0.041793394,-0.043686575,-0.073423633,-0.069749983,-0.07191403,-0.086521889,-0.101939892
